,angle
0,159.6424745936346
1,160.17089263182592
2,161.92644723900364
3,165.35082798255485
4,163.1966973408155
5,162.82885554663918
6,162.5671801247774
7,162.97230361404982
8,163.23806763934655
9,164.6204663031328
10,163.9804315452201
11,161.77291417206257
12,160.46656395190476
13,160.01575665481545
14,159.08271352013605
15,159.8215128856799
16,159.74068425934882
17,159.45331361467066
18,159.35364136756687
19,159.71980274858316
20,160.23237295633604
21,161.35601230860382
22,162.029008130293
23,162.95067382732734
24,162.9235983188901
25,163.32949981111872
26,163.63158011377217
27,164.25567188991178
28,164.58064793694012
29,165.3935456624532
30,165.2578259154109
31,165.49354900679353
32,165.53490854771766
33,165.25799508132243
34,164.97839061873478
35,164.984453326324
36,164.7643066351602
37,165.3094531475553
38,164.58814762034984
39,164.4871387256826
40,164.08735379390728
41,164.33293325212105
42,163.8748979894729
43,163.54810168659517
44,163.30238502277666
45,163.08642545857415
46,163.10416494570435
47,162.55318754424204
48,162.64908225782065
49,162.66386934733018
50,162.3798528086923
51,162.14620648942991
52,161.94458192005732
53,161.66559197642246
54,161.09859228560973
55,160.45418545742766
56,159.97096260873266
57,159.54366088046064
58,159.60133090144282
59,159.69772258435435
60,160.50230151251534
61,160.7832720833444
62,160.85755906364054
63,161.5638200895349
64,161.67742202159963
65,161.05469380415005
66,160.49013682286616
67,159.50168990460082
68,159.95371883649918
69,159.9285532087719
70,160.47590477928318
71,160.99864196865906
72,160.9086747530742
73,161.01241213482263
74,160.72378346548683
75,160.65510265769365
76,160.5763256100224
77,160.6171022230462
78,160.71485989971345
79,160.33823593277913
80,160.16640489399543
81,159.8293972462525
82,159.19384986537128
83,158.71812416015626
84,158.46162868645558
85,157.85915449633677
86,157.24806983052915
87,156.34052149803833
88,156.2486592812198
89,156.212379205624
90,156.2842632905886
91,156.52024273787305
92,157.88228896186772
93,157.93199153017434
94,157.69118995449486
95,157.53909812567315
96,157.49784790893082
97,157.12601694224725
98,158.04458579731212
99,158.25004268704228
100,158.22003747902292
101,158.35112642151984
102,158.53905100262222
103,159.46918300030498
104,160.21958141050823
105,160.60950718294438
106,161.65468423843527
107,162.7436264509862
108,162.84484285584082
109,163.1986874543026
110,162.98138405278323
111,162.75387349802423
112,162.2008725507947
113,161.73021422798433
114,161.22523407530076
115,160.53154450416721
116,162.71127854873848
117,164.14701138482457
118,165.00498589865495
119,164.45630480129157
120,164.2481286451932
121,163.0824424889079
122,160.68972984966584
123,160.54455033682075
124,160.59102887873618
125,160.9474092076674
126,161.60167643263094
127,162.0651666947333
128,161.66754516932272
129,162.74157045755607
130,163.6802684907942
131,164.00806242128567
132,164.00083272184514
133,164.17085732092718
134,164.023316879611
135,163.93962825058549
136,163.47278210777148
137,162.49680108521426
138,163.05367630321422
139,163.9671835994256
140,164.43519022105656
141,168.2356180089453
142,170.82224993749603
143,170.70868525300858
144,170.37223104659438
145,170.88701447134184
146,170.01805597114765
147,168.89083462284015
148,165.91094969200103
149,167.40907930026796
150,169.7529504926707
151,172.42402231796953
152,172.1350835927799
153,172.42720500075842
154,173.0386513034068
155,172.34535367963238
156,172.12964276220825
157,172.032498683855
158,172.1175370173525
159,171.74713081050933
160,171.16101898450805
161,170.20423055918386
162,169.5105982257999
163,169.4940244937001
164,170.4913701134393
165,170.18822961578442
166,169.61455381842708
167,168.62302579975125
168,168.46930646302818
169,170.2361252041506
170,171.21356884129926
171,173.0962200394796
172,174.2328952400088
173,173.86280256326083
174,173.65124295170153
175,175.0551542616281
176,175.57087097560026
177,175.27703122196218
178,172.7201698404871
179,172.19517570751873
180,171.73058091941934
181,168.87468481651203
182,168.29310618164192
183,167.52310136031628
184,166.62893555153835
185,166.3108065657958
186,166.87167257325146
187,167.70268334379554
188,167.7927770359356
189,167.90193782942347
190,167.71895583696434
191,167.7700266157216
192,169.49838569902775
193,169.65972694752577
194,169.85664353910232
195,169.83235513085256
196,170.23231415607148
197,170.15557578796185
198,169.69675552531655
199,169.01117185907313
200,167.58189363552233
201,167.2808295873955
202,166.9421779310384
203,167.39332112437026
204,166.18931419585186
205,168.52744929491107
206,166.7312187408804
207,166.3196270966912
208,165.27009528425833
209,164.57832975259618
210,164.62310393032084
211,164.06083968765384
212,163.39580783271555
213,163.14635237344206
214,162.65219826482118
215,164.46016226571092
216,166.04954641005483
217,165.80064285833444
218,163.0980169754873
219,160.41898131931688
220,160.19240323050906
221,161.63194652617636
222,161.7136940447997
223,160.8145665019725
224,158.41193425196113
225,160.0012400115099
226,161.21180007789974
227,162.1067643248511
228,163.9469944961705
229,165.64446011123715
230,165.58357998418975
231,164.51347832758634
232,163.8976259575676
233,163.36906612174073
234,162.1269328247553
235,161.511903533808
236,161.2188887093907
237,161.1021119529941
238,161.29884763463497
239,161.99319215067763
240,162.07154272820117
241,160.52508704904926
242,160.85683717262629
243,164.30117439221064
244,162.09025087053675
245,160.34876623084455
246,157.70168062726438
247,159.2227702303942
248,157.99714604374674
249,156.36998759349524
250,156.95987949153712
251,156.63237822330473
252,157.38103786098392
253,157.24997186490518
254,154.4766531085357
255,154.7911652398361
256,155.79841118855768
257,157.60892463000553
258,159.24080678090826
259,161.08603480224943
260,163.9315364663074
261,164.6899850772461
262,165.02940995877077
263,163.74509041909172
264,163.6349387779985
265,162.86473652830423
266,163.02964889726246
267,162.84234234653195
268,162.29454289081335
269,162.02382930068597
270,163.13574645615083
271,164.13813289156116
272,164.05507938136648
273,165.1709812891831
274,165.3648330959895
275,165.58943399287372
276,167.0133037202534
277,168.22131163786705
278,168.6535601035062
279,169.49232357457376
280,169.72821493876089
281,169.4560209576051
282,169.66362845925607
283,169.0910427823438
284,168.3710693663921
285,167.92285728901243
286,169.66983962547266
287,169.579528105745
288,169.95487138517413
289,168.95969962009556
290,168.26942532143295
291,168.1628367994343
292,168.00809215107523
293,168.42061336182314
294,169.02254605650558
295,169.91026042342853
296,170.02668952900473
297,167.8510040032286
298,168.08745184960569
299,167.4329507111527
300,168.51789806158789
301,169.16646628723964
302,169.74266812566427
303,170.60485590875135
304,169.2431375028655
305,169.48657076923635
