,angle
0,0.12385521163653244
1,7.363613493519064
2,12.076395956384788
3,17.853009294905362
4,19.965388155758006
5,22.095590185564504
6,23.467898234254175
7,22.9582774880256
8,22.572697948196527
9,22.622948362915476
10,22.52542777544015
11,21.877932247249394
12,21.542157092574268
13,21.289950551401937
14,20.630267578353322
15,19.854469809633002
16,19.621043716203395
17,19.353063458947794
18,19.595968728520358
19,19.352892411961705
20,19.21363907032581
21,19.19285692703268
22,19.163342191541794
23,17.818245257441355
24,16.295586705373367
25,15.779702807126005
26,14.499478175586642
27,12.836020834072746
28,10.522872199079972
29,10.659248039063556
30,10.014616759192311
31,8.507433370744742
32,7.608386546524114
33,6.911421957839085
34,5.52694610829209
35,4.265266989784626
36,2.834241070451331
37,1.5164024350049388
38,0.08471716052115245
39,3.067415154378572
40,5.86419364937815
41,7.887069501004237
42,10.244736853754231
43,11.515271009306646
44,12.79558683991725
45,14.577946309808091
46,16.463466794352193
47,16.316596363536938
48,16.18132937259669
49,15.704239195306402
50,13.869422153262356
51,11.103511602131734
52,8.727298435511223
53,6.433395037692241
54,4.683929625304871
55,3.1468449949835535
56,2.7164631515866917
57,2.0761186557988283
58,0.45653020988027165
59,0.7822935804424808
60,0.6842833605179317
61,0.9233007651620204
62,1.597844730623289
63,2.2411882738300624
64,2.21877636488613
65,0.7167933796055848
66,0.1651158389436095
67,0.883527783337615
68,1.1953046957403588
69,2.0946818178424635
70,2.2869122869778686
71,2.3193005226628673
72,4.0534322199023975
73,5.576093934048199
74,6.57455573347451
75,7.299128811693104
76,7.663404419259961
77,7.797483392553493
78,8.463916867382746
79,9.027287101728733
80,9.302717468614217
81,9.844469856223268
82,10.43247753431956
83,10.575102109455234
84,10.50317616724413
85,10.441805612507192
86,10.32117210024315
87,10.376959002995772
88,10.502919609164602
89,10.319147904465778
90,10.135250500904116
91,9.898519831235731
92,9.624326118208508
93,9.074617304095563
94,8.787699032634976
95,8.290086613884071
96,7.507640974490579
97,6.925189243593841
98,7.057590819672127
99,9.219789704025866
100,10.929562789107084
101,11.083702178574551
102,10.909550669136332
103,9.968978777371012
104,6.783193884879226
105,4.7819674230717855
106,2.7559697288270337
107,2.4325108477465487
108,2.207396915761714
109,2.541985235668721
110,2.516919762864693
111,3.046928539730312
112,4.301590836722134
113,7.619576647709516
114,10.206360014965163
115,13.68626586545886
116,17.604659675488595
117,22.049554151323715
118,24.767888554624175
119,27.028460288109883
120,28.27218355767739
121,29.89345499540238
122,31.533043942360425
123,32.46217043951576
124,34.123801437721056
125,37.426400752023774
126,37.1079337325812
127,39.81293978859595
128,46.880677120089686
129,50.431273926503536
130,50.88782161749636
131,50.14239316482634
132,49.90241219286082
133,49.99697785547389
134,49.93169525177687
135,49.93976137572284
136,50.02661313612884
137,50.50318294271425
138,51.46320667542637
139,52.953587775703085
140,51.73754655028543
141,44.76961494722552
142,40.895698229396274
143,39.96329995840006
144,40.532606895107264
145,41.97755344100049
146,42.44440258272244
147,44.54170989348837
148,47.25058631223918
149,47.906097500956164
150,49.865917496935324
151,56.65556799670174
152,62.02599732784514
153,73.54718301949981
154,84.3524350149919
155,90.31534702837826
156,93.99404308833769
157,93.7144196188445
158,91.76939977036295
159,90.95190885353753
160,90.13088304582615
161,89.7066297357561
162,89.76282776029342
163,90.12780831557856
164,88.74967980721784
165,78.44158058413747
166,66.47079646277577
167,57.90321531583113
168,53.4186447945784
169,53.01411139541735
170,54.38849859638052
171,55.23635084506367
172,55.54284840944938
173,55.5242371952703
174,54.89660507625271
175,52.821345187526255
176,54.71719642580205
177,63.75213222255144
178,77.99644878973565
179,93.59983614834174
180,101.04678415734881
181,103.31819146954068
182,102.81938655358702
183,100.58730344156822
184,98.01830931158565
185,96.44964849144712
186,95.89606717500155
187,97.47345265237075
188,99.04633974289676
189,91.60533840325671
190,75.19143742303022
191,63.904878980494225
192,56.08985292023183
193,50.119397172227224
194,47.552724352555785
195,46.946558819123005
196,47.164509479535496
197,46.58372205989363
198,46.441438958508655
199,46.33607983713607
200,46.88792266641917
201,48.208133721688185
202,49.36746239191312
203,55.541548023788586
204,64.39714024326335
205,71.44231802819661
206,74.89649185003928
207,75.25940079385602
208,72.071340545539
209,70.3360150879603
210,69.21416999419918
211,66.04288052557314
212,60.956942749594894
213,57.29564812210678
214,54.57818514436601
215,55.55502865425161
216,52.84854081061535
217,48.55787959128333
218,42.450274832282865
219,40.28952560422599
220,40.70617149047608
221,41.22175151360967
222,41.683229245101245
223,41.8455227290509
224,42.291398065677875
225,42.467685264498435
226,42.680672604182085
227,42.82829822911205
228,41.8556630400345
229,43.78872397609029
230,47.104922615959374
231,48.155117723085304
232,46.20687999943826
233,43.23307003807948
234,39.220494734556596
235,34.637349517620976
236,30.02905939035467
237,24.921839961178755
238,22.380976681733877
239,20.321087922954202
240,18.850992550030305
241,17.615337097504842
242,17.725304859302327
243,19.678468629741623
244,21.94879953737282
245,22.686465477230406
246,20.989348944598696
247,19.179646581086256
248,18.741294616571707
249,19.060643048484412
250,20.029426788180633
251,20.65100917421783
252,21.156091239160414
253,21.197579483712627
254,21.542658364457637
255,22.23938003044117
256,20.65104242429289
257,19.1744133532942
258,20.65389615366522
259,20.739091956995015
260,20.11822942914488
261,16.928275487716174
262,16.932214692000542
263,18.849531134773542
264,23.37767053495564
265,25.753884698081425
266,27.166011994608454
267,29.839363958961442
268,31.6558172662559
269,34.55099890928382
270,35.689297368426644
271,38.23515236566418
272,38.48555019912625
273,40.1896110651852
274,42.0563442995014
275,44.426880350321056
276,45.3600355092883
277,45.76213026842582
278,46.854969923833366
279,48.88971119363899
280,49.882387666981806
281,50.576847657330916
282,50.004632923665106
283,49.00925627473699
284,47.99894029816236
285,46.06489961798827
286,41.06043053028493
287,35.20442392958671
288,32.89918603454777
289,29.100777897620056
290,26.173862540552367
291,25.08814500325658
292,24.48465006820146
293,24.363342925809263
294,24.849595640477506
295,25.451382715285526
296,26.109696272999262
297,27.250266690838455
298,27.46792434345794
299,27.777593315775583
300,28.447944225274465
301,29.354385112906737
302,29.934691505997822
303,30.349137238496024
304,30.8170406644693
305,31.47592777773414
