,angle
0,143.40471874212616
1,140.80897550464613
2,141.1803171134529
3,142.2486500478212
4,142.2294683531286
5,140.36058506921796
6,136.75202628426203
7,136.15746906609323
8,135.2135887676066
9,134.85638458430722
10,134.63374311650665
11,135.3633159523688
12,136.29517634173064
13,136.99937249794203
14,136.82546168940894
15,136.05509885852345
16,135.36335052199334
17,134.945884210861
18,131.54066280001075
19,130.3503799862947
20,128.73844279503194
21,130.39133452412963
22,133.09051411967673
23,132.3640024894479
24,129.8891093017815
25,127.78888867386945
26,124.19581255452738
27,117.43096965440607
28,112.76865923513971
29,114.01763160172794
30,116.46563587620355
31,118.68985404447021
32,124.45892038474132
33,129.69178309317
34,129.4033141665778
35,128.9792197698229
36,127.25935789406329
37,124.08829462396608
38,125.03947780084768
39,117.37195901241155
40,117.89427647985123
41,117.81190883466657
42,117.316244248156
43,129.65260643613044
44,136.61181259408386
45,136.95888484521947
46,144.17056518556242
47,153.02755084193223
48,151.43687729894495
49,148.72534364793373
50,148.30482222676727
51,148.4314734813735
52,150.9284327653081
53,150.56001195795875
54,149.3410639353726
55,151.57400607226532
56,152.2303418639971
57,152.37712219160176
58,152.0464961075022
59,152.27743028287563
60,153.3914557332328
61,152.52796230152208
62,152.80393040079417
63,155.08966614928772
64,157.5586621706931
65,158.74956715783185
66,158.96272147771145
67,158.16543205833247
68,158.01563890491258
69,158.1373688329472
70,158.2550023341041
71,159.12945867867978
72,157.3501836958916
73,156.2450908288494
74,156.3327222875792
75,156.95291320744445
76,157.21481339842427
77,158.12899343942317
78,158.9753908400055
79,159.39882542770042
80,160.07193398014599
81,160.2346824301299
82,159.83449530122624
83,158.92711148193595
84,158.8732535324441
85,158.61431528101141
86,157.9549416436205
87,158.11282642991253
88,158.30811131190256
89,157.76016873865743
90,156.2896537322866
91,155.991234695937
92,156.06573403406546
93,156.09705066559133
94,156.09884247959306
95,156.40616635690338
96,156.89474816883416
97,156.88344042761796
98,160.00662562055075
99,156.5208347947102
100,156.6627881784832
101,151.75543989025635
102,143.08762429110837
103,133.71777625778873
104,125.67558393908878
105,124.28487948169015
106,127.91451120987479
107,132.98872252752125
108,142.76838936803824
109,144.81977182364102
110,143.77494778236496
111,145.2102793282185
112,142.43951129240384
113,143.52369533296832
114,147.3043778138346
115,149.90858855282033
116,152.6114227019579
117,155.5369612853361
118,156.56508462764168
119,152.8209218589169
120,153.6610342588872
121,149.12004184042596
122,146.57586930198687
123,143.4007731351196
124,147.63116362344851
125,147.06313931489856
126,144.41136916672804
127,136.6471558000086
128,127.51732846941597
129,121.58601798235996
130,121.92469696437949
131,121.45394400286432
132,121.71272328625543
133,122.82957521018594
