,angle
0,98.90206218600235
1,92.39036688811024
2,87.11054317340307
3,85.31687581404466
4,81.71166628141492
5,80.86890054364713
6,79.65554509174687
7,78.09849213451683
8,75.86815479929989
9,74.34974250257767
10,70.53188787734426
11,68.85278302266077
12,68.22128684918326
13,68.13552778255149
14,68.18905936172679
15,67.7318824160335
16,66.71019887858596
17,66.68838475848445
18,66.91956572730608
19,67.04846539373736
20,67.34580178051436
21,67.30390469383217
22,67.57155991278832
23,67.59300417704786
24,68.37151908997954
25,68.55712775577373
26,69.01559595324696
27,69.57227902735944
28,70.2769650116667
29,70.88145288738406
30,71.4712988878168
31,72.06533714934476
32,73.51129268614122
33,73.74849968988643
34,74.03585157810927
35,74.29213021756539
36,74.29032372588995
37,74.33976509779211
38,74.42368051272095
39,74.45072310098867
40,74.492995328762
41,74.72003348941871
42,74.82233386782578
43,74.81010956060484
44,75.82721375109251
45,76.37911262881765
46,76.62840421164881
47,76.60058460470535
48,76.58360341810103
49,76.21086942621274
50,76.3670525125031
51,76.62794878649932
52,76.4053168011914
53,76.2861725073723
54,76.13831436211422
55,76.26815852207365
56,76.05970561930276
57,76.01465242808061
58,76.0815283223136
59,76.16544720342863
60,75.9100269151563
61,76.05894283091347
62,75.81490744471725
63,75.57095655609457
64,75.25327196346026
65,74.89891286469152
66,74.65681082482774
67,74.5958170864577
68,74.49853615617324
69,74.82181034258882
70,74.85082893477893
71,74.89970173636435
72,74.83189704147006
73,74.59569350606846
74,74.14665109433798
75,73.50239039052587
76,72.95739671035352
77,72.5838898292417
78,72.18818327870618
79,71.99164872719193
80,71.56739401497556
81,71.146724380262
82,70.72638129268238
83,70.6064698020153
84,70.27752375303655
85,69.90791035646036
86,69.66093242446424
87,69.25738116794925
88,68.98630092447318
89,68.84131987668935
90,68.47700365463925
91,68.31364895258658
92,68.16412440512572
93,68.04340353922774
94,67.97371912134462
95,67.67118317304319
96,67.66594815992727
97,67.61529084415714
98,67.49815444624397
99,67.31757642618678
100,67.26530709189193
101,67.1156654489306
102,66.84701864399516
103,66.31994792935281
104,65.7251509813299
105,65.6122829385768
106,65.45136708318752
107,66.20441087640758
108,65.76956700558044
109,66.71528609485851
110,68.02294003570657
111,68.80997458507616
112,70.02897692974913
113,70.83949222000346
114,70.78130150376735
115,70.12754229440704
116,68.79139584637917
117,68.65686426779072
118,70.08914481309567
119,69.14671430054506
120,70.75586473124572
121,70.14782594455394
122,70.89228779780547
123,73.23233252381382
124,76.14397759690642
125,76.74469576504886
126,76.57412821126468
127,75.35185508482928
128,75.44662847601364
129,74.62846199752435
130,75.13411412924269
131,74.49526429906135
132,73.75484387199941
133,74.029496332119
134,73.73956027282428
135,73.72593280584859
136,73.34858861720559
137,71.32949415924914
138,69.35042908729677
139,68.2201774451675
140,69.89437910469009
141,69.58201051705908
142,71.1474184352164
143,71.80006515968931
144,74.07467368156577
145,76.54580610948165
146,84.31550298184582
147,90.74629030248508
148,95.90771401312367
149,98.20905823980655
150,99.67491116613667
151,99.60077130477038
152,98.48446173746981
153,96.0474354830692
154,95.3273965845463
155,95.80758748891844
156,95.82135169439442
157,95.29851000022558
158,94.80132890262865
159,93.30225927789047
160,89.70866989217444
161,90.34162638915285
162,89.41701873161549
