,angle
0,31.762848598434314
1,30.8457975994174
2,30.26640049509687
3,30.745695263283807
4,31.548699175906474
5,31.22644282002293
6,30.878714754081887
7,30.291281867858835
8,29.96336736232094
9,30.04175766237531
10,30.204231071153796
11,30.35357625779953
12,30.24785606041625
13,30.216421750084127
14,30.1429615460675
15,30.015001319673488
16,29.883930751774166
17,29.622825632074893
18,29.37728089727731
19,29.235871068237767
20,29.23013259519693
21,29.17012572278968
22,29.15849116540535
23,29.24640196428677
24,29.36305896159105
25,29.623423380044414
26,29.89293916273102
27,30.014576330267417
28,30.179181342688608
29,30.231087843162246
30,30.32495387991404
31,30.460592061234227
32,30.5674142593423
33,30.5316046692805
34,30.56650330392865
35,30.620656268386604
36,30.757354936176363
37,30.82488065926479
38,30.848663143138076
39,30.8587062326068
40,30.943672137267956
41,30.95834267330104
42,30.94030603752333
43,30.949531361698302
44,31.062019572314906
45,31.09596412243821
46,30.939214251135418
47,30.782072324464167
48,30.803642617823858
49,30.80208569633725
50,30.739665654825405
51,30.759384343211725
52,30.986970088245414
53,31.02333620727511
54,30.80065278178178
55,30.37814859097847
56,30.17803445558018
57,30.146825343543835
58,30.231583057541506
59,30.257273219650244
60,30.162302195792606
61,30.1007899679356
62,30.013090172802944
63,29.969332915712975
64,29.93826225564017
65,29.86213543468675
66,29.85562374497034
67,29.680862358192297
68,29.572345445626464
69,29.575655722679212
70,29.584712449465986
71,29.590518403518733
72,29.427486846458432
73,29.376561470339684
74,29.33087332055907
75,29.278696774895145
76,29.257647998836553
77,29.197737511234063
78,29.265199390292757
79,29.31615072193597
80,29.370753622119693
81,29.466053839260702
82,29.682751928544924
83,29.724803785359796
84,29.843834217545062
85,29.999981337976585
86,30.14260044402647
87,30.600958747775607
88,30.917738424125996
89,30.920761984276798
90,30.930521634969775
91,30.841825720663774
92,30.331025716729414
93,30.232097463742846
94,30.242245588642184
95,30.51951423524607
96,31.483415760075847
97,31.8893470042371
98,32.21369181976201
99,32.41318757025262
100,33.24903214349409
101,33.58682412751383
102,33.81046513940766
103,33.852427188720796
104,34.45263359497852
105,34.67210809823774
106,35.2087941992337
107,35.32481520845882
108,34.60410516188355
109,34.55182525967741
110,34.52219372899339
111,34.43859862014436
112,34.79608292319331
113,35.283646471011636
114,35.699699845152864
115,35.86804796872168
116,36.04184806344866
117,34.801092525630565
118,35.006850441584916
119,35.095435888108796
120,34.999117386802666
121,34.50856059169504
122,34.063647564090644
123,33.51094665393829
124,33.364226713217995
125,33.32151579702588
126,33.45213323656498
127,33.841974913532795
128,33.96649644836491
129,35.165947734846426
130,36.78216103330306
131,37.42981853087786
132,38.6214389612389
133,39.064248207506665
134,39.394808340037294
135,39.73271570246487
136,39.55781803584971
137,39.84124147856674
138,40.212370834639074
139,40.41545873453222
140,40.89898785047006
141,40.95367416278707
142,40.91919698282601
143,40.33413998900489
144,39.04571258446531
145,38.38320850653157
146,37.834001986589136
147,37.1151050708036
148,36.87993758276038
149,35.95538544029923
150,35.64217182986743
151,36.80052851658016
152,38.35509281963385
153,40.06614187385368
154,42.864879091028
155,45.159572733519276
156,44.45522535084663
157,42.961330223693096
158,42.98753915125919
159,48.48951492427796
160,47.70340951312901
161,47.06826420019778
162,47.22648602122057
163,47.631809729425875
