,angle
0,123.8115957434451
1,125.24038233416171
2,123.6536705614192
3,122.33670087432115
4,121.03987893910546
5,120.54071208153648
6,120.12793291704934
7,119.71890969107471
8,119.57464925229199
9,119.51881811095241
10,119.38920959046354
11,119.38389241088976
12,119.83891383523672
13,120.12203822555952
14,120.2751729924976
15,120.26091519506936
16,120.18236465487433
17,119.89404142775801
18,119.68089399994005
19,119.3076154119999
20,118.89777755667768
21,118.37860349858441
22,118.13307786214088
23,117.85786459666437
24,117.52178607101823
25,117.38362550520009
26,117.30841708790126
27,117.27893997464375
28,117.22702305860027
29,117.15147018828328
30,117.10509160071473
31,117.00498756863824
32,116.91773413310202
33,116.7603517028136
34,116.61470488534114
35,116.55870362467664
36,116.47177999088247
37,116.33287514669539
38,116.00585519342296
39,115.97000916278927
40,115.9151031952259
41,115.90879794582546
42,116.03047747456277
43,116.20491495979682
44,116.27993860855577
45,116.32904712113722
46,116.42338431880077
47,116.53935546970474
48,116.63112579456303
49,116.80121432869348
50,116.84429969232994
51,116.85367193436849
52,116.8729362565405
53,116.98519860823671
54,117.06930572313581
55,117.1251125980533
56,117.1935996596728
57,117.22376423345274
58,117.12716988051882
59,117.12257919555663
60,116.78579499289405
61,116.20165845015843
62,117.65461670863976
63,118.19844059790354
64,118.56838453664024
65,118.12820752803201
66,117.68356826582216
67,117.31724249342781
68,117.14768746000563
69,117.11888076774757
70,117.04479533088838
71,117.06124044146999
72,116.99996658255883
73,117.00737077126004
74,117.16239002948012
75,117.21627901429132
76,117.29216544237893
77,117.32882282273331
78,117.40010351920537
79,117.56261705695928
80,117.84304431135347
81,117.97977915873378
82,118.00709771226899
83,118.11139534824272
84,118.12288895496579
85,117.98929805046868
86,118.0262532563625
87,118.00976074626155
88,117.96405285211338
89,117.73954560406612
90,117.2043702207203
91,116.91688910499235
92,116.93553633392345
93,116.74303925790606
94,116.72365173767541
95,116.72487038207423
96,116.63624913512638
97,116.51416638058247
98,116.48262639604911
99,116.3844364445713
100,116.16795391197026
101,116.03350998823306
102,116.15702431629148
103,116.39709883711367
104,116.57154895080063
105,116.47027348789787
106,116.43549066851823
107,116.35912312508906
108,116.47681444753637
109,116.37836032286647
110,116.11772986579355
111,116.14637297044452
112,116.2086375027
113,116.24539648337033
114,116.37029605533175
115,116.60664291925787
116,116.83588375003983
117,116.80818298153731
118,116.90780159449568
119,116.39665737165933
120,116.17016688010482
121,116.03810709043701
122,116.0805023138193
123,116.31335458255289
124,116.61219472754608
125,116.70596811673043
126,117.54658556697143
127,118.883421245816
128,121.53603272148236
129,122.04702926017917
130,123.51183686851844
131,124.47368365507012
132,123.42172044652048
133,122.4247056324586
134,122.36158527419875
135,122.00851575055003
136,121.79000731318187
137,121.79189213651699
138,121.71250986614143
139,121.68635380524097
140,121.88768697724839
141,122.19283822590697
142,123.34639689880106
143,124.5381199920578
144,124.62307834991968
145,125.00889104767155
146,124.99189363656548
147,124.80795814804492
148,125.21071754311157
149,125.37520121032377
150,125.36758045031877
151,125.57690478507611
152,125.88989770820707
153,125.36975172722856
154,124.90520594958569
155,124.6396326755552
156,124.50724237314907
157,124.04821775171905
158,123.73882910812446
159,123.07668442525085
160,122.57551385800359
161,121.77705611615119
162,121.37742404772185
163,120.85690889780402
164,120.9048759925595
165,120.95731394020642
166,121.24752621598695
167,123.36746861285945
168,123.44269187070182
169,123.50599000319244
170,123.43449861204175
171,123.45726869526352
172,123.54817819042611
173,123.77323718723977
174,123.96857069724973
175,123.33585832849748
176,121.65669137682482
177,120.55906418659596
178,119.9875380126817
179,119.48905938562369
180,119.15174368923786
181,118.90600115994103
182,119.11369881801375
183,119.0886443524886
184,118.49427995978063
185,118.08040921525406
186,117.97012496568837
187,117.18132156431729
188,116.92718273445392
189,119.27982924015261
190,119.82426376265049
191,121.13506734534357
192,124.48521061394455
193,126.42378236097134
194,127.0083613181474
195,127.40545259025676
196,126.81335615050187
197,126.38125225487462
198,126.08894992778785
199,125.7908654341427
200,125.2638478274123
201,125.04491723766253
202,124.98348514535802
203,124.9655445473745
204,124.69261383629343
205,124.29737883050137
206,123.81701479274206
207,123.34975629994253
208,121.25188727860849
209,120.37806187930498
210,120.4064825928509
211,120.80418384564885
212,121.29999359112784
213,121.7514596422235
214,122.1351162778409
215,122.45667933782414
216,123.19389051502415
217,122.91382311384424
218,122.68130735046942
219,122.81204862855054
220,122.64195473101464
221,122.14584344884346
222,121.4864435934726
223,120.93149119483542
224,120.75962247664826
225,120.92136830845449
226,121.11880099315621
227,121.29551503612659
228,121.67556466501688
229,121.84354472353454
230,121.82030802728013
231,121.74413254207644
232,122.99407786699727
233,123.11090276679072
234,123.0521547190999
235,122.56580843369017
