,angle
0,26.048731835511543
1,25.77428854453705
2,26.23063896910594
3,26.806740692327185
4,27.058429194006386
5,28.721812975177478
6,29.92263483398774
7,30.618496147200357
8,31.59776759436789
9,32.83479839564028
10,34.55073141566631
11,36.080114251839085
12,38.242708104310715
13,40.09085840203685
14,41.353045810561014
15,41.68887519451288
16,41.65998593662257
17,41.59261917342068
18,41.83402502964938
19,42.1014868224285
20,42.57831829964755
21,43.08149113149768
22,43.44030304213953
23,43.60685448607487
24,43.88684089240047
25,44.03403056449758
26,44.324472115383195
27,44.543757998101505
28,44.68425809237461
29,44.63172869492864
30,44.41217700439802
31,44.180773057679346
32,44.00486323132501
33,43.81860546325671
34,43.50909530711404
35,43.22994474175108
36,42.84569972215855
37,42.58845136672443
38,42.48764342770384
39,42.32946755138088
40,42.31773077927831
41,42.45708825285465
42,42.557589846206696
43,42.6443676294499
44,42.66898910152701
45,42.71169777456329
46,42.72360538333299
47,42.90339981565122
48,43.083134469928176
49,43.167740229226155
50,43.06586217135631
51,42.923998599221136
52,43.02793891796725
53,42.88023855272913
54,42.66781709320085
55,42.4235444476568
56,42.2058363984339
57,42.030837481219244
58,41.902373593171305
59,41.65947311235343
60,41.65341188161084
61,41.52163839400313
62,41.51633793017998
63,41.51037499145313
64,41.548178793947166
65,41.60369447366269
66,41.742571505688886
67,41.8165947504835
68,41.862538140565725
69,41.89575807915355
70,41.96722888320546
71,42.000088306148044
72,41.990654360566246
73,42.020445361018794
74,42.01120973192234
75,41.964671408229286
76,41.81147062958703
77,41.65166155505319
78,41.497428845126606
79,41.28597267614996
80,41.02261502106985
81,40.81278682409953
82,40.79311615276217
83,41.001152353939815
84,41.04186825490574
85,40.79464834001454
86,40.91293351938724
87,41.22064386681017
88,42.27419858963876
89,42.634757060714996
90,43.19961272205643
91,43.437284251460966
92,43.698296019538475
93,43.96464357277385
94,43.77499312658213
95,43.82758693706112
96,44.5252311501061
97,44.88223976613947
98,45.28616179335357
99,45.652714730240106
100,46.10049689335508
101,46.96294908016226
102,47.480609746211364
103,48.68975925398893
104,49.555140000096564
105,50.31659683623988
106,50.282009993602045
107,49.31217230054181
108,48.601656545137125
109,48.44687065635369
110,47.66087639507446
111,47.388811587558635
112,47.18977246446268
113,46.858603524850665
114,46.496267595583845
115,44.87307535912901
116,43.49880527974371
117,42.48604103599589
118,42.312869298431465
119,41.221903459614005
120,39.118124044865844
121,37.4973928281647
122,35.8512855637559
123,35.050871491818675
124,34.10458263984889
125,32.51605157082375
126,32.079023847307404
127,31.656682412852067
128,32.04303017507637
129,32.789106663168134
130,33.664163624871996
131,33.51985410917139
132,33.70109963101978
133,34.898570777836326
134,35.745272051968556
135,35.679539964117474
136,35.68252989980964
137,35.59505552512807
138,35.90227278439334
139,35.80350926201937
140,35.55182728287485
141,34.66374681798755
142,32.857918676177164
143,32.60574564016868
144,32.03602932744126
145,30.927510452365112
146,30.398107511595136
147,29.953324662816154
148,29.457555308093628
149,29.732925738218633
150,29.89104642421798
151,30.255287951262943
152,30.70261105273219
153,30.824553439916873
154,31.250373683590336
155,31.994290637316173
156,33.08437366540849
157,33.723925533964945
158,33.97488523926519
159,34.0942469390182
160,34.173221559941666
161,34.06416960946374
162,33.85141898411227
163,33.47816380696658
164,33.151939026819996
165,33.01331202326684
166,32.43643182702003
167,31.523244703027963
168,31.126567369564114
169,30.966659718846035
170,30.00336071354417
171,29.260813579798704
172,28.971672391766386
173,28.732406670792702
174,28.129255872851793
175,27.392894781128042
176,26.14352820175475
177,25.10464119867095
178,24.33982616064689
179,24.01489958360563
180,24.10988188729849
181,24.209829261020673
182,24.628430518823613
183,25.318849480047678
184,26.341306510393448
185,27.58563149827799
186,28.609233374335673
187,29.247409284336534
188,30.134429073822737
189,30.146629309220536
190,29.966987413430903
191,30.364991303767383
192,29.80412895005914
193,29.23455569048673
194,28.65469422405916
195,27.94332125010495
196,27.420692287243348
197,26.551814875811417
198,25.531434122013124
199,24.95815528931602
200,24.30655580207262
201,24.044761359082234
202,24.075486085402108
203,24.214092944001433
204,24.4960478452961
205,24.926041822237742
206,25.957298114109715
207,27.06323933738832
208,28.550334411960893
209,29.888978764669393
210,30.568497348342472
211,30.993371895552578
212,31.061522604117954
213,32.08878631555298
214,32.68667003288885
215,33.416225478631254
216,34.248536294495
217,33.49260992280862
218,32.35513800978726
219,31.908348396167646
220,31.322158156286815
221,30.892872707515707
222,30.243769823937516
223,29.57226119331502
224,28.998243688576146
225,28.688514740622892
226,28.552146075006238
227,28.5888895097426
228,29.138780183788256
229,29.719987957424742
230,30.88366853001659
231,32.52151177678587
232,34.600038713650186
233,36.80268932185169
234,39.39691355470934
235,41.75181433783889
236,42.94966014480496
237,45.429735300354835
238,47.4915400971865
239,48.493211966989215
240,48.386411395783384
241,48.05424406509799
242,47.915756721583556
243,47.57115869942998
244,45.27963563430012
245,44.34537563434302
246,43.087242895175066
247,41.986619446837445
248,40.44692532459579
249,39.56020844322223
250,38.94756068590474
251,38.76896010501878
252,38.94567706103338
253,38.972588669688776
254,40.06800368762647
255,40.86494323052969
256,43.037395076226915
257,44.65345919994804
