,angle
0,92.84246655918128
1,94.9985068325314
2,96.09337684813022
3,96.82110240774864
4,97.73586990844984
5,98.66203582431234
6,99.10910181271561
7,99.41643498534
8,100.10989392304327
9,100.92244619524735
10,101.8769487825569
11,102.47124820622281
12,102.93488209752678
13,103.1581340726679
14,103.22997985625591
15,103.1550463313327
16,103.1612287324075
17,103.06318011351226
18,103.12850401703099
19,103.06906215686115
20,103.18651116832717
21,103.22733611452458
22,103.26778462343998
23,103.20477556885777
24,103.23978203174465
25,103.19735033516787
26,103.27505412296358
27,103.46758948019948
28,103.56629634220616
29,103.85134454187266
30,103.88780517173865
31,104.03115781210514
32,104.13703469188209
33,104.665479838327
34,104.86495033050534
35,105.00382480446527
36,105.60662576893088
37,105.88435730216543
38,106.0994107672933
39,106.18625871065163
40,106.18481400588473
41,106.19664847419219
42,106.3913973456257
43,106.53706884951097
44,106.49413015473439
45,106.59167820498016
46,106.60422659502643
47,106.58245604313404
48,106.66795405150077
49,106.703973678831
50,106.67340750180958
51,106.32473924948556
52,106.33161173641554
53,106.25157964604281
54,106.07421424900807
55,106.03620365398393
56,105.93039837989673
57,105.70754265395689
58,105.60835359129914
59,105.45467420530059
60,105.30317093031033
61,105.26721152423488
62,105.15757957253973
63,104.86855837061051
64,104.57100366981595
65,104.04410261690413
66,103.98620636371021
67,103.79121967522565
68,104.30423561733684
69,104.41510127637989
70,104.34658254472572
71,104.0733247985043
72,103.64115459749291
73,103.99816120522121
74,104.10389019095913
75,103.61546717206852
76,103.49364249135408
77,103.85021467774908
78,103.73695801312266
79,103.47261487555664
80,102.43401305278405
81,102.04447403323036
82,102.05177091012365
83,102.7459263283506
84,103.7409375348978
85,105.01054221082421
86,105.89964794123145
87,106.72057122981434
88,106.52396377157015
89,106.20356960802286
90,105.84627486677107
91,105.64606660611489
92,105.50820029541308
93,105.68744385588658
94,105.49983160045986
95,105.07610574474907
96,104.90912683739612
97,104.93549191891645
98,105.55330028838148
99,106.37827185637039
100,106.50576432727158
101,106.58502118147203
102,105.61797256504423
103,102.8961930663881
104,101.52884449810205
105,100.49896141515012
106,99.1834722376197
107,98.98217387205278
108,98.75681364654753
109,98.91489795472836
110,99.41746135801213
111,100.42146217973271
112,100.69919983348399
113,100.80593207216344
114,100.90058548321161
115,101.08543263167314
116,101.07841481619221
117,100.9968397434784
118,101.12045298590851
119,101.61640352672282
120,101.92977155673708
121,101.87418060568024
122,101.91554309413817
123,102.22544351941787
124,102.73897189468448
125,103.18092275130738
126,102.96611797526793
127,102.54918696560509
128,101.40109232196761
129,99.35044698700739
130,97.88562547868901
131,97.66827398150156
132,97.64692313606247
133,97.49867568882274
134,97.45569849295038
135,97.97416092050241
136,98.79595935506421
137,99.66302916330977
138,100.1643426376188
139,100.34794789570918
140,100.75911727095627
141,100.39606227486149
142,100.66585994022472
143,100.826084258749
144,101.4173376345152
145,102.3876016789664
146,103.13388385232031
147,103.47690433156669
148,103.36486883250677
149,103.74223331056743
150,102.11235404256462
151,101.77666739865248
152,101.7428928585104
153,101.46275830720776
154,101.45948539507822
155,101.66134087536352
156,102.49609718244949
157,103.28116022728648
158,103.3853475087634
159,103.38169844573349
160,103.4875572312747
161,103.62676667498721
162,103.01583261985218
163,103.17888079624367
164,102.72563177875128
165,102.09790724117204
166,100.60628563094065
167,100.0309942996854
168,99.71190929729437
169,100.42550537373137
170,101.19534241209652
171,102.00369510506249
172,103.0551252070693
173,103.83085009234009
174,103.6302903312959
175,103.45790001246098
176,102.75829577437207
177,101.89295939658939
178,101.13331047140736
179,100.69219849026553
180,100.41631304326211
181,100.17626235226595
182,99.98953888918032
183,100.01018195772195
184,100.57783643160963
185,101.15512273442147
186,100.99567819424186
187,100.99373518181437
188,100.73222715103111
189,100.86858958098264
190,100.96821455016175
191,101.29385718127776
192,101.62867858189674
193,101.64696674422038
194,101.8270966994582
195,101.9851157722452
196,102.00726643590855
197,102.11682576303548
198,102.28073551457317
199,102.46837518499387
200,102.89598049840055
201,103.52134716513581
202,103.42306297280095
203,103.38898992724774
204,102.83319849396923
205,102.62162370171609
206,102.49621378394932
207,102.21042461888368
208,102.64815166848967
209,103.13749765776225
210,103.70441229319994
211,103.9210374847869
212,104.36183531804525
213,105.13558154970752
214,105.1656955775957
215,104.70140141568618
216,104.14391982563794
217,104.11281525513272
218,104.4978978736188
219,104.82226668578699
220,104.86462222731541
221,105.130024407816
222,105.76239807800994
223,106.70868001228183
224,106.82101867319332
225,107.30428648529224
226,106.53477782418776
227,106.53958125767824
228,106.46607004448657
229,106.56550757820926
230,106.39413022938544
231,106.35313039959624
232,106.29463659333763
233,106.2454465129102
234,106.53208102851318
235,106.5761386152866
236,106.58788805547292
237,106.0530030045341
238,105.52113194459699
239,106.25184958515678
240,106.369911555584
241,106.39701175601724
242,105.23475535772451
243,104.85408620276576
244,104.57524319280384
245,104.0522219375969
246,103.36847117633727
247,102.767812299257
248,101.6766926809459
249,100.99113299424545
250,100.40134035280755
251,100.35186219702013
252,100.21075507255387
253,100.09431751489149
254,100.15830823399699
255,100.60087081327595
256,100.9205117250898
257,101.02344425195571
258,101.13604695257106
259,101.32209160808719
260,101.52579092122158
261,101.67049386804337
262,102.02149641533913
263,102.40962452028242
264,102.54064842387561
265,102.79704425537244
266,103.0742878905628
267,103.376046266669
268,103.54970646468979
269,103.74729438294833
270,103.67758729029418
271,103.76641930606388
272,104.00868218468054
273,104.18481373749665
274,104.4238149729558
275,105.11335948957674
276,105.91143399776496
277,106.1108288531453
