,angle
0,21.984242217115348
1,21.94311613375525
2,21.673385019110647
3,21.625501390299938
4,21.50774109556602
5,21.385381565344293
6,21.35887619567447
7,21.35559374664493
8,21.35022196581589
9,21.337225198035295
10,21.323723882271835
11,21.31350100351404
12,21.30433694561264
13,21.282116817140892
14,21.27927500843138
15,21.26671744360099
16,21.255516361280673
17,21.24715753546403
18,21.235728989957344
19,21.221358955475566
20,21.205391250587162
21,21.166876137381344
22,21.117394930664403
23,21.059038108887982
24,21.02322977961615
25,21.01605106751754
26,21.012393234764286
27,21.023159703528073
28,21.036381204063414
29,21.037684334503176
30,21.047186518912465
31,21.066871601678017
32,21.063701962227054
33,21.071966860253315
34,21.093950224190117
35,21.11842926902122
36,21.110829428825475
37,21.091334812620726
38,21.076276842171993
39,21.078595126452697
40,21.084083967102394
41,21.093558881058005
42,21.09696914672958
43,21.1004334030352
44,21.11511475851331
45,21.128111627836134
46,21.129993876207198
47,21.13010004812595
48,21.127405583724236
49,21.159455894666053
50,21.233054415582526
51,21.22070828138243
52,21.21455136710715
53,21.199494405574004
54,21.158648720823948
55,21.093049858812478
56,21.046468372755466
57,21.011824140124187
58,20.964582826418262
59,20.915917648277613
60,20.867212284534578
61,20.832788418995342
62,20.775916565950475
63,20.742921075897407
64,20.70490043553433
65,20.63938324972805
66,20.570628632215453
67,20.596226781190186
68,20.708656506326633
69,20.71380422129097
70,20.43019358255374
71,20.180537732370794
72,20.049491594614633
73,20.012862913045034
74,20.01338353031412
75,20.039134042808787
76,20.068706353180545
77,20.138298543913496
78,20.26838184560958
79,20.363390909047553
80,20.363809452053296
81,20.411561073661282
82,20.352367871006834
83,20.049487172102914
84,19.98560739751328
85,20.77390213165516
86,22.281250617997355
87,22.619520341582277
88,22.651959303758943
89,22.52002333651724
90,22.663002840661644
91,23.01914654423726
92,23.42137284360153
93,23.944662373937557
94,24.36571291026105
95,24.60988919056332
96,24.663997669501867
97,24.601401056178418
98,25.337852114498883
99,25.6747483895721
100,25.691165705297497
101,25.917796046250878
102,25.99262336157318
103,26.21625323858295
104,26.33408084388337
105,26.842432513527225
106,27.5448496170728
107,28.02646888720474
108,28.24013578197971
109,28.189897472803985
110,28.418510556741506
111,28.4529897039463
112,28.62677826536201
113,28.72522201069513
114,28.95368516191359
115,28.92428485988148
116,28.91873192534309
117,29.006207222256236
118,29.36578405734216
119,29.67291117570227
120,29.788867230632505
121,30.00013387012606
122,30.34972716875277
123,30.95076600739303
124,31.08703058154585
125,30.54905722275967
126,30.178339849986205
127,29.999699666012994
128,29.923107999665426
129,29.82016709982205
130,29.97869877988143
131,30.410419764536258
132,32.08198792823052
133,32.90297339637029
134,32.87253689123225
135,32.64370663339482
136,32.63757090103479
137,32.849975538862815
138,32.8101949379968
139,32.92593887712877
140,33.24534496284324
141,33.77516755313356
142,33.99977546345718
143,34.29635962614989
144,34.47267239747715
145,34.92650229488986
146,34.974817572081285
147,35.75748999530979
148,36.23585567844647
149,35.12824878703114
150,35.81186569553121
151,38.21111396746476
152,41.505741056114765
153,46.98382769416751
154,49.0076038481037
155,51.12586052099832
156,52.12312993376808
157,53.220042831056915
158,53.58006826861395
159,53.010258979807304
160,52.38380813730393
161,52.612933540868056
162,51.466050879406616
163,46.67558070568896
164,42.97395175400585
165,38.31655911965373
166,35.037125706151265
