,angle
0,43.41177344631106
1,43.40887879728007
2,43.00579622076408
3,42.77996571333593
4,42.88165050943803
5,42.24571581364029
6,41.88447359822621
7,41.552205080331696
8,41.30518036175446
9,40.891824191609786
10,40.79556418726931
11,40.97935817038046
12,41.721983009417436
13,42.47246804021998
14,42.95112452010018
15,42.66128846513177
16,42.377615909032514
17,42.21504607609521
18,42.0494503990131
19,41.92275195507048
20,41.99621327952677
21,42.09083027088081
22,41.98893455132333
23,41.93203890693649
24,41.78477476344045
25,41.47688858384838
26,41.236979950205274
27,41.19533829908142
28,41.154300532587136
29,41.085903086027805
30,41.12683143436377
31,41.25042814888775
32,41.202372006761934
33,40.582864881931044
34,40.68753330117013
35,40.80485651257419
36,41.178430630186696
37,41.69959041959058
38,42.00842120330164
39,41.891149119832995
40,41.92085917396223
41,42.01329276388873
42,41.695532390553865
43,41.078795423031266
44,40.9931454683838
45,41.47638745979096
46,42.86351243073366
47,43.70412609336814
48,44.0420012130433
49,43.838555707849316
50,43.35144857004963
51,43.96741237562142
52,43.81340823720627
53,42.30369257308102
54,41.255272395584505
55,40.984977500394066
56,40.46558278336338
57,40.34856977276502
58,40.284798355509224
59,40.313609353078384
60,40.35494954885237
61,40.88771458140297
62,41.05627506739471
63,41.5088306316179
64,42.6561862918924
65,43.39004416400941
66,42.80793234471153
67,42.64969962031406
68,42.50149815066072
69,42.43351190780751
70,42.55561519689839
71,42.54581786030213
72,42.43267620620739
73,41.576979391561416
74,41.57405292202582
75,41.952977842771446
76,41.12281537121466
77,41.3370022111446
78,41.454051588114396
79,41.589719659024425
80,41.589484024625854
81,41.90692945023684
82,41.975030439030505
83,42.05756139119069
84,41.78431021004479
85,41.662029883290295
86,41.404516651504316
87,41.240735722102755
88,41.307364025440236
89,41.42786457739615
90,41.529000380416264
91,39.36691637721142
92,38.857535872677374
93,39.558494535778834
94,40.61477075264676
95,40.136650782179736
96,39.80174198368996
97,39.52118580678387
98,39.39947635571931
99,39.61615756709464
100,39.48363659685792
101,39.56055551301586
102,39.51950369638646
103,39.79106551828213
104,40.14998708929992
105,40.38680249923916
106,40.54163148736848
107,40.71633246902527
108,40.8279611446055
109,40.604911540626254
110,40.713858022507296
111,41.17594967968576
112,41.14172903275236
113,40.9246672118885
114,40.882788485252455
115,40.71048618551052
116,40.13454082961766
117,40.42166261095425
118,41.233769166829696
119,41.90562309719757
120,42.04940465654692
121,41.91122189300248
122,41.73215023176379
123,41.758789821665175
124,41.61194287546011
125,41.61935281711773
126,41.64898718509533
127,41.85334699288617
128,42.31083515479145
129,42.21767125901325
130,42.08641139356396
131,42.1850612935472
132,42.00690856785449
133,41.065749074742094
134,40.57002153254405
135,40.29770830241291
136,39.73363898689432
137,39.25335500664252
138,39.15089649126646
139,39.355776441116795
140,40.50750270014562
141,40.618913936966315
142,40.03772775085639
143,40.2630680675836
144,40.25580266198961
145,43.35932651069207
146,43.20281874449641
147,44.3077138648745
148,44.78840816327403
149,44.715159936332334
150,45.07746439868676
151,46.65085633210444
152,46.601982782654645
153,46.24362127639201
154,46.08400996972733
155,49.85115055254253
156,47.95045193317477
157,46.9012960744663
158,46.62528072348057
159,47.18107722179938
160,46.830193213827926
161,46.31446724554821
162,45.22128264570741
163,44.28122660270933
164,43.13198400114249
165,42.931571631258485
166,43.42991458534908
167,46.32419353870704
168,47.29983446706362
169,47.84650751524873
170,48.72597726269653
171,47.22588665241852
172,46.08862215232421
173,45.95370592696236
174,45.10392666089608
175,44.87493792011738
176,44.567708495461744
177,44.704764342487394
178,44.95880850819118
179,44.4495947995273
180,43.716256292742955
181,43.769230850143906
182,44.23651743408891
183,43.640839786568776
184,42.17497307366822
185,41.444841603416116
186,41.520872167158565
187,41.42044021250267
188,40.76239504384358
189,40.890607317103374
190,41.54281507575543
191,41.39288816853743
192,40.771353405419454
193,40.72703533903841
194,40.883760831957495
195,41.43711773049387
196,41.14584970108618
197,40.70008718525548
198,40.304798909222384
199,40.11853156066173
200,39.90293132465488
201,39.880771690102044
202,40.24523097633971
203,41.24295520195783
204,42.37005997479769
205,42.36885167153292
206,42.408137477550206
207,42.954131843195356
208,43.06902272857559
209,42.6918548701197
210,42.37040079642984
211,42.08246764837862
212,42.148397575468486
213,42.15053253851259
214,42.12747334555389
215,42.19443428779062
216,42.780525601080434
217,45.998419074888005
218,46.1828090022805
219,45.59723959084458
220,44.4671659366951
221,44.75683452548001
222,44.37619024837862
223,44.15171211707822
224,42.653981064014985
225,41.7439514640873
226,41.209372270094846
227,40.85825694942213
228,40.83894967201412
229,40.56966161355467
230,40.83719184994391
231,41.366849973943204
232,41.86977239751956
233,42.434302730099795
234,43.176558860157655
235,43.32890696836376
236,43.42879082575526
237,43.605946934977396
238,43.79212302300014
239,43.999075279357896
240,44.18834582565505
241,44.088451643523015
242,43.737075756355836
243,43.52498171789655
244,43.12562975768371
245,42.492574436461496
246,42.417874950314
247,42.322651361534625
248,42.15054953395148
249,42.47878854691586
250,42.75647201153523
251,42.639059939333954
252,42.024736961415236
253,41.728427018000744
254,41.184313746109666
255,40.482524236159406
256,39.5355130212217
257,39.27826326079334
258,39.624291727049886
259,39.44799786099352
260,39.49036862211816
261,39.67449820164005
262,39.743907626133655
263,39.46677804993635
264,39.39043526440574
265,39.5743257774126
266,39.93663389606462
267,40.057515097302314
268,40.11926836986238
269,40.253277448258686
270,40.410706212596295
271,40.71804501564947
272,40.99984504940801
273,41.1002598307922
274,41.31247948615393
275,41.47106479144734
276,41.5623015320025
277,41.632449658577755
278,41.616201455975656
279,41.60885569305779
280,41.60004237094646
281,41.5388789312723
282,41.54596192208744
283,41.59625655947735
284,41.56267793485586
285,41.608804019949076
286,41.67055755416697
287,41.537254627437385
288,41.24156921112975
289,41.04996559777658
290,41.11919140597882
291,41.15453894620501
292,41.23264216652239
293,41.238532642540534
294,41.020228856308655
295,40.77298759292133
296,40.622102558655975
297,40.4806503920987
298,40.307287017948745
299,40.22003051223809
