,angle
0,119.61636964188338
1,120.5647941174707
2,119.52641025177643
3,120.93618296791107
4,121.08478805927415
5,121.5127381216316
6,121.37803935738476
7,121.41892523449496
8,121.45862453387154
9,121.51903564202729
10,121.1014542200821
11,121.16814274584883
12,120.87792855730686
13,120.6575380108797
14,120.25824163649251
15,119.83289956462393
16,119.56759956862406
17,119.42471745401016
18,119.27051514896856
19,119.04779685931993
20,118.83032434285373
21,118.7490055918953
22,119.18214350434462
23,118.52583729599682
24,118.40016063790482
25,118.4810351373086
26,118.49901445039607
27,118.14160456397087
28,117.95395363952645
29,117.81901263935272
30,117.81472063093076
31,117.88021912477467
32,117.87288846178413
33,117.45228515383221
34,116.07380164783152
35,115.17780312966171
36,116.41873455825
37,115.53961172316545
38,115.21783856054773
39,114.75727720201665
40,113.8785969298046
41,114.13111479682057
42,114.15708864273286
43,113.57195688581716
44,112.97254060281678
45,111.72638576701392
46,112.58669178259302
47,112.997680303471
48,113.86243591998459
49,114.59428270533647
50,114.25687027637628
51,113.7046239751861
52,114.15262009259612
53,115.6365965402219
54,117.2946657082048
55,119.03528269510556
56,120.35245325657988
57,120.3963279953885
58,119.84633645932009
59,119.61381211109355
60,118.81174483829979
61,119.89931602257877
62,120.79651741154035
63,119.23069246677892
64,118.87638867216613
65,117.96343209957311
66,117.23205234981253
67,116.56233809888495
68,116.82706424821845
69,117.02623498686985
70,117.22757828998434
71,117.35795911016632
72,116.11242158061242
73,115.48603275247063
74,113.76836936508616
75,113.30530349288411
76,113.48747461152789
77,110.72733296437958
78,108.19240365619162
79,105.36919997264606
80,106.29519732928205
81,106.22174709257055
82,106.04533520420303
83,105.71062711864903
84,106.72930430179771
85,106.39561839197647
86,106.5215415290704
87,105.37566008653836
88,103.96411215267008
89,104.58067894890551
90,104.65980199851818
91,108.40844885886735
92,111.40703541052625
93,112.23090981975028
94,113.42392511805028
95,114.1975516073113
96,115.03026032701828
97,115.72728346603266
98,115.77531985815257
99,115.86415902489627
100,116.33895530956543
101,117.757651864834
102,115.88698646004536
103,112.9476368898204
104,107.5668409029071
105,103.5667795878945
106,102.94691409084575
107,103.33135503958755
108,103.85908133575474
109,104.34050953875669
110,104.32514894219187
111,103.86833696622928
112,105.50347178650232
113,105.53207610461897
114,104.7209474146701
115,101.26009502611825
116,100.24178315421561
117,102.56680528469937
118,107.38432234633208
119,114.93957118022215
120,118.29961052479204
121,117.55765529020486
122,117.42115211619955
123,116.32512198241403
124,115.42773508101439
125,115.08109315294732
126,114.47231935416589
127,113.76255765611677
128,114.50506509209349
129,113.93009165014362
130,110.92157553311837
131,110.00413772651494
132,110.50007726706858
133,109.48121382961749
134,112.34537081239934
135,113.52727555508872
136,112.35410929442725
137,112.61976602336156
138,112.80199281745384
139,111.67624533622109
140,114.55615011852151
141,112.41841270968028
142,109.89107382868119
143,107.39863518513376
144,104.63242404906559
145,102.64738126247825
146,101.94061453432472
147,101.2537447832413
148,100.17609847573414
149,100.31969013958724
150,96.85995477112525
151,95.9673697665524
152,100.00014056184499
153,100.81649089915987
154,101.23975085386022
155,109.97186416913037
156,113.4427934507814
157,113.02864497700243
158,107.69748858739634
159,97.784492840069
160,95.55692157073511
161,95.12812840530111
162,95.42200097189861
163,97.77378545763058
164,104.97655936595339
165,106.35336813594482
166,106.13902417593454
167,103.8125037335261
168,103.8327873462668
169,102.35745768721904
170,102.34484682044203
171,100.71265067134317
172,105.647035525218
173,108.64868175452564
174,108.60327267041451
175,108.74978985732858
176,109.5967859973398
177,108.54389293114104
178,109.74207563001418
179,112.48628762444442
180,110.13831949316462
181,109.35503302223574
182,108.75480549436146
183,109.1418433899536
184,111.34676694162451
185,111.59483696063026
186,110.79890986271593
187,109.09140166774873
188,105.76986295550313
189,103.32993382441099
190,101.43350320026074
191,102.57321982608345
192,102.74965771268783
193,102.81590044354263
194,103.90361528019176
195,108.04498670797227
196,109.30816816224633
197,110.0573577533268
198,110.00167240510352
199,110.24363995782356
200,110.6897779290472
201,113.12461762566413
202,113.3524455532607
203,113.21107511688135
204,113.09167839205048
205,109.55360966292255
206,104.92512516634535
207,101.23220627917206
208,99.31043065921602
209,99.719356602777
210,102.89770796962152
211,105.26437336302833
212,105.51345504043547
213,105.14638772984601
214,104.6821436293481
215,103.90791522232725
216,100.47720743193719
217,97.36697564022477
218,98.78871300686734
219,100.59626915521757
220,100.77297045548187
221,99.35880974029921
222,99.39799428067951
223,101.46499154299923
224,102.84301802349856
225,103.64552759155724
226,103.9580949865608
227,104.21329609978154
228,103.85729465041018
229,102.31047502108173
230,102.00057982648406
231,100.77971522131799
232,100.73965076745797
233,101.090255950438
234,100.45881377796657
235,98.72989533071484
236,98.16455641888862
237,99.12013965841805
238,98.91999053181064
239,99.97530768391758
240,101.60707656484634
241,102.37190650331013
242,102.41565715593744
243,101.61166155746817
244,101.4855617246876
245,102.10129545594206
246,101.45155603902653
247,106.66710719920003
248,106.92728527024296
249,106.05937753476395
250,107.47201167242558
251,109.39273893266369
252,109.04988595727161
253,110.85807155807193
254,107.25652921595254
255,105.8068910354878
256,104.01412988935535
