,angle
0,15.84105724904518
1,15.946625154356761
2,16.236294888610626
3,16.2006647618996
4,16.34336778231121
5,16.503059496517423
6,16.54911980674593
7,16.53149663962872
8,16.585053147053358
9,16.63678729701442
10,16.778998580385693
11,16.838884870059864
12,16.976393000507198
13,16.946711506528164
14,17.086343651326516
15,17.13717787430013
16,17.113963035172265
17,17.094514135481123
18,17.17807815580957
19,17.339731950695842
20,17.772548881328127
21,18.079569113936
22,18.238515827285852
23,18.54165249306457
24,18.716092672037664
25,19.24808957012192
26,19.99573361405239
27,20.196598080890293
28,20.259126918857163
29,20.43954567531694
30,20.556094124160325
31,20.668753435419212
32,20.912070734705946
33,21.29832759185143
34,21.67264765204299
35,21.91332680923089
36,22.716853750277835
37,22.890309783683115
38,23.047668844370673
39,23.199370220695695
40,23.285199334990093
41,23.33282243971938
42,23.40744438364786
43,23.47031443971452
44,23.589221934230782
45,23.97101444720866
46,24.026881486685337
47,24.047650220988555
48,24.27531029945035
49,24.241932511256493
50,24.237859356210194
51,24.210678633229005
52,24.289870733767692
53,24.304855650681922
54,24.364751289829577
55,24.46388439968776
56,24.47307140642154
57,24.426425218924035
58,24.439126967420908
59,24.425417378540484
60,24.544419832247648
61,24.58151300266204
62,24.606791451858495
63,24.43315867615557
64,24.250142519903743
65,24.114504032035068
66,23.76767097431758
67,23.285185232969535
68,23.18903194158813
69,23.094262558389218
70,23.008247245553164
71,22.9234287460652
72,22.96624838193741
73,22.740655961763633
74,22.68056301685877
75,22.674793118046512
76,22.64257284792885
77,22.57505093740052
78,22.541004593076096
79,22.501081809450163
80,22.462128666397952
81,22.473532659378094
82,22.565600335666723
83,22.575297737077324
84,22.253898679805047
85,22.186962175908686
86,22.0749864794584
87,22.066851550044543
88,21.99334240941086
89,23.53780705021346
90,23.840383529549577
91,23.614725359551546
92,23.616287145951055
93,23.797340245239223
94,24.379556477690738
95,24.678290381838668
96,25.134151053821185
97,26.552081659814146
98,27.873287501358636
99,29.296652750343956
100,29.765117900661586
101,30.54918869545823
102,31.45509385831109
103,32.143794946572676
104,32.316801975881425
105,32.30596691922865
106,32.15207218397626
107,31.90762694996366
108,31.78379997612269
109,31.60623785562208
110,30.98155928614841
111,29.795732311282155
112,27.470029088562544
113,24.956195015068328
114,23.47440166257281
115,21.696852072531424
116,20.27627754722658
117,19.380978334592715
118,18.65013210111871
119,18.77741124860888
120,18.79929022023474
121,18.979197218070986
122,19.070482407924963
123,19.17620539468415
124,19.64384735301377
125,20.479165997011798
126,21.202654985627973
127,21.83895460514531
128,22.489843259211355
129,22.90570273995352
130,23.194476259825617
131,23.266969440859842
132,23.273600637804037
133,23.33228023408678
134,23.37718758256179
135,23.286102049625107
136,22.593292026223455
137,22.526992067858842
138,22.175501855731802
139,22.28322070558205
140,23.092090865134686
141,24.981756387550355
142,25.268267686940117
143,27.87355979557821
144,35.33968277643481
145,43.894724966025336
146,55.31968812858732
147,85.71473881100584
148,94.49389898413989
149,98.8903795941718
150,102.31149452879868
151,99.26296800432124
152,94.63038595921465
153,93.40934035166005
154,91.9856023114686
155,90.5865467048443
156,88.62065936732529
157,86.70569732216767
158,85.37813017570241
159,84.69427605472266
160,84.40858698374326
161,83.94873217002592
162,79.60158328637675
163,68.57122322358377
164,46.63316909747167
165,41.1989100918314
166,36.69732736985934
167,29.097310041750205
168,27.415314562777812
169,26.897504976735515
170,26.947950296998442
171,25.422578619905106
172,23.05631581319289
173,22.593900286404033
174,22.745156124703115
175,22.258628916261504
176,21.843242642913744
177,21.898499954633177
178,22.756605943600736
179,23.741940648761894
180,25.801892350465472
181,27.3609788350506
182,28.106727390290146
183,28.51353448920535
184,28.828885177383956
185,30.079726302877564
186,30.366910136494116
187,30.54805848092279
188,30.754457172023834
189,31.079801444926527
190,31.15111449869391
191,31.18390882152908
192,31.32441440924838
193,31.74182011129681
194,32.01448791881426
195,32.35143397075213
196,33.032846963480736
197,33.85011315509644
198,34.650337751953444
199,35.85942983623014
200,38.35105557440902
201,42.64512567133058
202,48.99079502265224
203,55.109409005443595
204,69.82298075160786
205,79.68902992319407
206,87.73780576034186
207,91.61303804977203
208,95.19509422219933
209,98.95461046430148
210,96.32821060445423
211,93.37408355204269
212,94.94062405430658
213,94.62543128463224
214,93.34810067205771
215,93.10514945877176
216,91.69580118905536
217,89.69420997093236
218,67.91715375118162
219,51.181802850130325
220,44.27912274959091
221,41.92260173590967
222,39.47594972508984
223,33.3382862239318
224,31.826010296566754
225,31.32564948152567
226,30.666492918503604
227,30.032792561993173
228,29.226831986135014
229,28.480742076431305
230,27.49930149753028
231,26.468559792921262
232,25.824592246127093
233,24.983604827495597
234,24.44239779520221
235,23.985240661981777
236,23.597145079357297
237,22.766552673312535
238,22.233448515645915
239,21.963866046144446
240,21.765647633438924
241,21.62503153775233
242,21.273414076804023
243,20.753041442543505
244,20.58230461732446
245,20.65089344822353
246,20.768700805315206
247,20.88652648156822
248,21.09061992377472
249,21.412770686034733
250,22.41050254600686
251,23.168432582352494
252,23.89828314499493
253,24.71551534772931
254,26.710654588212986
255,28.08151460067208
256,30.413034484968694
257,32.27261955157832
258,33.7152500592361
259,36.871529756178376
260,39.005556394525506
261,43.37295792580057
262,43.60149156075394
263,44.83468068217091
264,46.87708419049894
265,44.343521865380744
266,38.90315940447729
267,32.76999224536826
268,31.196311907973858
269,29.835455882798836
270,24.89236748274304
271,22.270910340458748
272,20.913151734571127
273,21.964979235531906
274,21.97798200191022
275,22.070676565116035
276,22.594368744959365
277,22.344720789571667
278,24.418942467110593
279,26.30085068626348
280,27.637579782969684
281,29.239402756982436
282,30.79718852573254
283,32.029265187841155
284,32.7872746603149
285,34.33687809398796
286,35.48384739387189
287,36.37389349745436
288,37.267698577807124
289,37.10888863961035
290,36.5223926078546
291,34.71973049454311
292,33.96904094789241
293,32.31651548075143
294,29.94409028121261
295,27.398899842493464
296,25.264171376096186
297,24.028468376948364
298,22.848759448436272
299,22.242914531113676
