,angle
0,174.06380683726476
1,173.509681793477
2,172.067308031334
3,172.1739047452636
4,171.91007093969552
5,166.15088897157884
6,165.97868971768054
7,165.30599550505582
8,166.31917413088274
9,165.58346283520683
10,165.42609453081198
11,165.1848346641027
12,164.8203957782733
13,165.0264141712641
14,165.05201295790437
15,165.2119863765174
16,164.43119184906104
17,164.27619379044367
18,163.66892818435434
19,164.21512138590683
20,164.59685329891445
21,165.2205940625258
22,165.6372257975542
23,165.23856074731515
24,166.60040772422101
25,167.49549087296253
26,167.0928752746859
27,163.60463433888077
28,160.79042606141044
29,158.36061618950305
30,158.58349102785132
31,158.24801635829135
32,157.8637687186618
33,157.98992676190983
34,159.14385565891865
35,164.55753869987166
36,167.7375967132394
37,168.97328144553606
38,169.07890815991266
39,168.73669165831518
40,168.63258031507507
41,168.8182543944702
42,169.04095449916545
43,168.87444891321368
44,169.15092117104635
45,169.406173211434
46,169.70174804213002
47,169.89660450401558
48,169.8098776057845
49,167.486293255643
50,164.88259098911217
51,164.54843052854307
52,164.98489848747928
53,165.57667463087986
54,165.96178364945092
55,166.2117985252781
56,166.2147940960475
57,166.37377339759547
58,166.3688669406566
59,166.21383728631747
60,166.1890181802589
61,166.07908193169942
62,165.8803282408033
63,165.8596028611162
64,165.90308779185636
65,166.04723347677108
66,165.99646468805201
67,165.980502450081
68,165.9328747021015
69,165.76720331226798
70,165.67821578340636
71,165.71567639096378
72,165.87871140264508
73,165.94671445955376
74,165.99765305042328
75,166.15747507777706
76,166.308240253037
77,166.56391743034925
78,166.76857211818418
79,167.06181450257318
80,167.27207437046246
81,167.52247333154028
82,167.67404701683006
83,167.77442020157554
84,167.75277476202
85,167.71424065955335
86,166.99686134488542
87,167.21619708809732
88,167.62602444733065
89,167.84709478768696
90,167.8345669899374
91,167.94268601290716
92,167.73721846167845
93,166.5998581241125
94,165.71240266777326
95,165.5480424729826
96,165.38453909967564
97,165.2988116380239
98,166.61121211542002
99,167.0825618075668
100,168.2361922735536
101,168.3898912303372
102,168.26117132280083
103,168.52281824684061
104,169.58851562630434
105,169.50530218682718
106,169.91694942609604
107,168.94572579840192
108,166.31560163073104
109,166.3013662804032
110,165.80508990723197
111,166.21371340064144
112,165.8845739806624
113,165.529864619484
114,165.6651283099556
115,167.04127224284636
116,168.79582723240875
117,168.25386758114863
118,167.87904219737953
119,168.11141316485387
120,167.43206550051656
121,166.76410860468636
122,165.9456718414735
123,165.48120910741744
124,165.33074927238223
125,165.0334012555337
126,165.34767621655192
127,165.83749143649172
128,169.241063619914
129,172.26559823108101
130,172.35746046851617
131,172.09119789329029
132,172.32887624700186
133,172.83677451145803
134,173.06132224059502
135,172.4324808951549
136,171.92370346472197
137,168.67539958195238
138,168.33568122625783
139,168.1961852843593
140,168.7125369746272
141,170.91077659836398
142,171.7339748637928
143,172.07939144584438
144,171.87905117651906
145,172.11806884181868
146,168.3008830508681
147,167.23243570614102
148,166.7146066434169
149,164.67476108335646
150,164.11542641156078
151,164.07968441024966
152,163.82057557100975
153,163.7930401442302
154,166.28859717712768
155,167.95745120754316
156,167.8066398011376
157,167.9560336954784
158,168.00979605308353
159,166.54135748779368
160,164.79016780233655
161,163.5559319716803
162,163.75843903494786
163,164.6314039446157
164,165.0424006737741
165,164.77250638019123
166,165.27647540007663
167,166.05826368061489
168,166.1693758125252
169,165.35853790849916
170,165.32161750565282
171,165.37353318579517
172,164.6727215631219
173,164.3016860749215
174,163.84577760587837
175,164.20210103635543
176,165.9419570819135
177,167.173902979257
178,167.89184526606792
179,169.25326270759112
180,169.00105334172125
181,168.3573144248107
182,166.60866246969218
183,164.59872986415795
184,162.16787564203403
185,161.0885377277839
186,159.6936863890671
187,157.6802092952094
188,155.19867707444396
189,155.5755096998023
190,153.63806889451052
191,152.24235363859503
192,153.6377046468171
193,156.7549848636922
194,157.03863262786643
195,158.31813455702263
196,158.28357839593454
197,158.3316252065598
198,159.84485300030124
199,160.03550001101692
200,160.95244922652873
201,161.98179257727082
202,162.14994403714616
203,162.44720312852937
204,161.57375966425218
205,161.65584659349932
206,163.3382014788771
207,162.13878001243714
208,168.1454357847095
209,165.50356060765017
210,164.63877566692094
211,156.4247405918703
212,156.24872952125065
213,156.92328593628173
214,156.0051539128576
215,155.84922875434293
216,152.84704958145363
217,153.75453375374622
218,155.46961139315644
219,155.395307270571
220,157.04275851050204
221,157.5594594075551
222,158.0107952470742
223,158.2724127695311
224,157.4331782772186
225,156.39340862352776
226,156.6146948508029
227,156.89056354895882
228,158.0976196456775
229,159.09806628138062
230,159.80829597622264
231,159.20510944537884
232,159.6547020102936
233,159.09893539358526
234,158.41250244377238
235,158.2898558125884
236,157.15363462510095
237,156.9827102683197
238,155.31951883399034
239,154.92880190754633
240,154.71370359311422
241,155.5645112410639
242,155.40680844655344
243,155.91236051358982
244,158.15422728478853
245,160.5233197822739
246,161.2236357166862
247,162.04842339108683
248,162.2844735686945
249,162.8408926188043
250,162.47987740050652
251,161.94869064429295
252,160.72916225451726
253,158.9397810273868
254,159.54205238639526
255,160.09191759515363
256,159.33071442475
257,158.10372740872657
258,157.72034323969805
259,158.10066186812404
260,158.28707463878456
261,160.28260496672578
262,160.5486461903946
263,160.43331051015844
264,158.7381731366861
265,158.65835077362902
266,158.06557995207845
267,158.06077014625842
268,159.32275712186106
269,159.05322753845172
270,158.9430692251911
271,159.78217798406033
272,159.26692233233308
273,158.68286366569373
274,161.32061751622408
275,164.04927754594704
276,164.31486382185358
277,164.09204847324224
278,162.47506931954842
279,163.52734962994154
280,164.36690584969674
281,164.82467200080742
282,165.78302270265465
283,166.98309843464543
284,166.27286892466765
285,165.58943705640738
286,164.4981890183861
287,160.7123647027578
288,157.944779769087
289,158.38196718135075
290,158.2411701406533
291,157.0788845506122
292,156.22953916107517
293,155.29905402627892
294,154.87789614413862
295,154.44390154202353
296,154.20435953904706
297,153.97958140460943
298,153.94837663255527
299,153.79950006960024
300,153.96556123496754
301,153.58334697651298
302,153.33404205112745
303,152.2985648391995
304,151.9481109238568
305,151.73293214100636
