,angle
0,134.16355963951725
1,132.81697409961453
2,134.60737063050198
3,134.39384268079084
4,134.1129166342314
5,134.3349143239097
6,135.34031574180997
7,136.07068602609473
8,136.30025581924485
9,136.79098461735427
10,137.26520507869944
11,137.74762953109112
12,138.3817213072771
13,139.33008445113012
14,140.43787152640442
15,143.10372025065266
16,143.23145812439128
17,143.49482046948685
18,143.4562756890216
19,143.24345283564654
20,143.21572635898823
21,142.59836253356963
22,141.97154774842102
23,141.60088337654915
24,140.8152528791476
25,140.916534212197
26,141.56826035704293
27,141.60711278598603
28,141.98598646614892
29,142.0260248799921
30,141.99764508329508
31,142.08118591099523
32,142.22788201136643
33,142.3938840379431
34,142.65425308119535
35,142.326482909547
36,142.55062143387448
37,142.7500623929133
38,142.73148178656456
39,142.54977104180713
40,142.33191988762647
41,142.21889723440142
42,142.1335148931065
43,142.03554571299517
44,142.36287475227434
45,142.55496575728606
46,142.6722485124397
47,142.7499221712332
48,142.89497713360132
49,142.83391230267418
50,142.78511147256776
51,142.7554468335815
52,142.54577592687033
53,142.29814913194136
54,141.9747588393499
55,141.6237038868151
56,140.9179471083862
57,140.54484797841812
58,140.26360479117707
59,140.0648820836073
60,140.11551106666707
61,140.07443021568665
62,140.27483417241802
63,140.5135509678319
64,140.3009026843687
65,140.36081199343656
66,140.32954854050095
67,140.43680903560792
68,140.48706337788306
69,140.63317543193702
70,140.7429474836472
71,140.79991344381398
72,140.92108744420312
73,141.06541724731326
74,141.25393270961692
75,141.51705811153377
76,141.7323908952499
77,142.04777987029456
78,142.37286059864127
79,142.57065084515642
80,142.80838495597547
81,143.07550239051582
82,143.61383677171804
83,144.02267169081904
84,144.24387045143385
85,144.5576119182757
86,144.83654219932515
87,144.95940571928108
88,145.03267708746836
89,144.95918930814707
90,144.81184458764642
91,145.01537748495403
92,145.35274958415425
93,145.233696008732
94,145.10800640291689
95,144.91185270935162
96,144.84503840827793
97,144.62039799504902
98,144.35087317395804
99,143.91192710645382
100,143.2831272673328
101,142.63399169113418
102,142.22796362690204
103,142.156006010757
104,142.01655625523296
105,141.7793060252112
106,141.63492083821978
107,140.7207778531042
108,140.78328261403396
109,140.78872364825548
110,140.7360112220204
111,140.81839833168922
112,140.8884905674433
113,141.10201239042865
114,141.30080886405239
115,141.32779886754906
116,141.10950490790185
117,141.19212759782658
118,141.69907803803258
119,141.46790618779593
120,141.84289436464016
121,141.88757790285223
122,142.80295359949233
123,143.22968769027764
124,143.14419946323798
125,143.0803433775525
126,143.04001333280848
127,143.00460868360346
128,142.63565496455257
129,142.55420469469848
130,142.40770431207724
131,142.03539899076958
132,141.71906033598773
133,141.93525265656606
134,142.2111641625492
135,142.62624712629625
136,143.071380029417
137,142.8193099743932
138,142.96166965791664
139,142.80132234371268
140,142.60309355606478
141,142.44183758206353
142,142.1960693566129
143,142.30968885325694
144,142.69743539647646
145,144.0761504155932
146,144.24288917422734
147,144.19036462515876
148,144.0261748211782
149,143.89241048171627
150,143.71291877997203
151,143.62118891816812
152,143.48186395682416
153,143.0848757750495
154,142.40775552928758
155,141.46217111687497
156,140.93625882154367
157,141.13793443527737
158,141.53368520747736
159,141.75900334728283
160,141.68732752058588
161,142.0013312501351
162,141.9765534546377
163,141.87243062043757
164,141.80361383177694
165,141.74918553998663
166,141.90879621509916
167,141.71659283681518
168,142.57710299119745
169,142.65088540650876
170,142.7020568385207
171,142.91810552069055
172,143.10204721144427
173,142.99385546395425
174,142.93057125781658
175,142.90663389436497
176,142.8370807980365
177,142.9362231337459
178,142.87153528886546
179,143.42975467123264
180,143.31417841414614
181,142.60933129242358
182,141.97756243474362
183,141.7897746793413
184,141.5741908462753
185,141.3258304258076
186,141.4023741985602
187,141.37235258273543
188,141.22194134064233
189,140.9525516817219
190,140.85953606079565
191,140.8035443267079
192,140.78865799533932
193,141.5871870051772
194,141.70236083694493
195,142.05672204668113
196,142.68106796881327
197,142.90877983627112
198,143.1142591714341
199,143.51568113458177
200,143.6812892969777
201,143.413759504365
202,143.2701063093155
203,143.30594824019485
204,143.39649933549146
205,143.6485946975185
206,144.17860139957216
207,144.41566560781988
208,144.3827088954146
209,144.32127205726707
210,144.1853550938204
211,143.87310605185607
212,143.73364254745786
213,143.60964493858413
214,143.39699583760188
215,143.37331927765808
216,143.28547770991563
217,143.00230630132154
218,142.82885807236903
219,142.64394024016167
220,142.13647396959112
221,142.13616417942671
222,142.0783228838129
223,141.94046019146018
224,141.87607419902932
225,141.9085679712119
226,141.7360550164175
227,141.22072203111094
228,141.08749317929397
229,141.51649418180486
230,141.88741012409818
231,141.83532039766496
232,142.01722855423534
233,141.84729434386873
234,141.73575660107085
235,141.98891827390676
236,142.22755469331466
237,142.49559715512896
238,142.43897610188276
239,142.47748372837071
240,142.48699968316163
241,142.36195206367032
242,142.3251976372495
243,142.15612425655993
244,142.18609594113795
245,142.1171069942992
246,141.8558589588471
247,141.94802070986688
248,142.00465005690606
249,141.9867165457255
250,142.26020044839447
251,142.48794224994688
252,142.57779515380116
253,142.15552685933315
254,142.04298459772573
255,141.9097017789593
256,142.95322543200012
257,142.9061413676846
258,142.88962095723284
259,142.92023277680067
260,142.78882261949025
261,142.9865514536844
262,143.64895712911897
263,142.1049308805904
264,142.2620326365476
265,142.41246324891986
266,142.52822143544205
267,143.74482633955523
268,143.62951023417827
269,143.4399020073201
270,142.9340408393065
271,141.8799367816496
272,142.00777918713393
273,142.13903161525616
274,142.39176952629848
275,142.60789456502687
276,142.3466587966646
277,142.3151527868279
278,142.96232606053144
279,142.93335211542566
280,143.22267317153447
281,143.57496079238274
282,144.73305334106462
283,144.7441001924859
284,145.05579872782928
285,145.47779109519774
286,145.45969190031437
287,145.3260239324735
288,145.19278832085138
289,144.93597798438836
290,144.68902751147488
291,144.25778728071785
292,143.86149690245284
293,143.3278610441327
294,142.97538144828113
295,142.77220320648536
296,142.6820122864356
297,142.6342823164147
298,142.69385633104534
299,142.81605396863807
300,142.98451819673943
301,143.15641616018453
302,143.3401689526504
303,143.46191048244074
304,143.65893275314582
305,143.54243905182628
