,angle
0,25.19263895716234
1,22.38408238115282
2,21.628615442495658
3,20.9274424131191
4,20.454671593973075
5,20.261712552658103
6,20.08007257958261
7,19.908568253223457
8,19.704457703311817
9,19.73377568462236
10,19.882629944699076
11,19.928933460598973
12,20.08002551679064
13,20.152687313796243
14,20.059367322164317
15,20.150558965243437
16,20.254107605923533
17,20.43782712410352
18,20.606921853453226
19,20.580924148085245
20,20.56507925799414
21,20.47807642711493
22,20.39776369566966
23,20.25303181581571
24,20.152972140767588
25,20.096541803113833
26,20.26429909976452
27,20.479241957774576
28,20.67609327102165
29,20.852106508505486
30,20.85474053522391
31,20.851873621492548
32,20.873368768916546
33,20.905960243637765
34,20.924241551111894
35,20.864749142434665
36,20.823601224998956
37,20.667633140223217
38,20.546497437673796
39,20.502684639149255
40,20.456643456931154
41,20.382294166330226
42,20.288898580468892
43,20.231118571927222
44,20.10431472157391
45,19.86625314826772
46,19.591989945996595
47,19.455168877114527
48,19.502145785275303
49,19.501514963884183
50,19.56086380585454
51,19.7794447234647
52,20.030751084989465
53,20.143983605519935
54,20.205474731240074
55,20.2394415492854
56,20.22571096789038
57,20.225614062304864
58,20.239982907637962
59,20.266473212250066
60,20.31060300948187
61,20.289823068155354
62,20.22698609988395
63,20.173618087484513
64,20.142064759441904
65,20.093834116885503
66,20.052805178513715
67,20.01877760608191
68,20.044000684436874
69,20.079790645193462
70,20.147125701359492
71,20.249137648496777
72,20.27583727364757
73,20.297201473111055
74,20.29842237830948
75,20.247336026343557
76,20.187847068339092
77,20.133802642702662
78,20.197512717615474
79,20.30648287289788
80,20.449645409073703
81,20.687217094466405
82,20.969751050249176
83,21.11734280896945
84,21.268897083112513
85,21.368116080477296
86,21.520143600059747
87,21.549699237589117
88,21.537536318346984
89,21.513952473420566
90,21.535260997211466
91,21.536895153188514
92,21.560449444771717
93,21.64157852288232
94,21.765883985880247
95,21.85983638436094
96,21.882465769090018
97,21.766139002372704
98,21.484901839649375
99,21.072420149249783
100,20.883462526634943
101,20.824625336091536
102,20.79634312004572
103,20.71145074795021
104,20.592241143223262
105,20.552305150560446
106,20.60002934770791
107,20.903356325704525
108,20.918876374656193
109,20.914307710385124
110,21.02377318497453
111,21.108877331296775
112,21.161358040340367
113,21.246434070295077
114,21.260187683648155
115,21.210994343846625
116,21.13091285659769
117,21.167243550576654
118,21.302457826762716
119,21.911161718213975
120,22.459484835888126
121,22.70034789882292
122,22.570174308249914
123,22.44865974951273
124,22.215179505711557
125,22.043252880083116
126,21.804476888005276
127,21.67984823251741
128,21.489804325510587
129,21.316763191003183
