,angle
0,162.86392492178368
1,162.74293310720157
2,162.69672108399223
3,164.0790526189686
4,165.36653638593964
5,165.36066514325407
6,163.15067857510778
7,162.9946068343949
8,162.67836462176965
9,162.73278161952734
10,163.27652924607517
11,163.33738022437893
12,162.9388973322582
13,162.8832371882662
14,162.8060722711159
15,162.69865777982326
16,163.04041456136162
17,163.36921621763904
18,163.48677046859035
19,163.62479623728336
20,164.15246864231585
21,164.50105532460708
22,164.64688778840585
23,164.51074501278137
24,164.48742273500417
25,164.52731791925837
26,164.70449996869664
27,164.84150515234433
28,164.704982289386
29,164.5317653866451
30,164.29552652755945
31,164.18796224356532
32,164.064886378291
33,164.04585106351146
34,164.12573357652582
35,164.2551562509228
36,164.34487199058074
37,164.39203107299625
38,164.37300555329782
39,164.3517743652939
40,164.4257051938115
41,164.55240420026163
42,164.6577619584621
43,164.5883665259508
44,164.65447101134518
45,164.63900102434351
46,164.62980317378205
47,164.71415112151178
48,164.61554432411526
49,164.54925834590804
50,164.71440828088342
51,165.00922373081528
52,165.0083643256689
53,165.14949054073276
54,165.2087415857851
55,165.23307244141535
56,165.33287137922343
57,165.4495504885786
58,165.4715383543883
59,165.55035852140864
60,165.68752501020973
61,165.7286648634555
62,165.71186750261003
63,165.71071573691017
64,165.67184010696715
65,165.71501216922135
66,165.74805026008846
67,165.9642766204055
68,166.18560889892527
69,166.37164912188103
70,166.48726123400533
71,166.57060522770695
72,166.6707760850826
73,166.75605484445921
74,166.85857860562388
75,166.9423371160868
76,166.967526977364
77,166.9243270808767
78,166.90890203638736
79,166.86759820204125
80,166.4630867090589
81,166.01828847414785
82,165.59025087643198
83,165.46307744666558
84,165.5280287769978
85,165.55346306726724
86,165.57966714915415
87,165.89028648813678
88,166.12305476164272
89,166.02994577165657
90,165.79372921584255
91,165.57303620345743
92,165.75147442165314
93,166.02385568569605
94,166.34000873102764
95,166.60667972858133
96,166.9346614054188
97,166.80943302886178
98,166.5620200706985
99,166.27788512571917
100,166.12933251986868
101,166.0928818682428
102,166.4085526851142
103,167.22214630513437
104,167.88017100055305
105,166.37641977052598
106,166.8641031818513
107,167.75161807034462
108,170.3135821391973
109,171.46771348978788
110,172.3510960441448
111,172.46466895810084
112,170.8527095256996
113,170.06061111690101
114,172.2677079555909
115,175.02670022063162
116,176.188649140689
117,174.4732257248144
118,176.34736067270825
119,176.26418017982664
120,179.82395833201156
121,179.55931465486557
122,173.83048926606844
123,169.6943155576542
124,168.52924288966042
125,167.60515078661172
126,167.33578809496308
127,168.06601698734187
128,169.28081898891688
129,178.48126647657318
130,175.6351428612343
131,179.88022564415056
132,179.0236413307694
133,174.0439028540845
134,170.96426762546926
135,172.87139896056502
136,176.2261490945134
137,175.68422846062552
138,175.1566732751279
139,176.18266121112683
140,175.09687947115063
141,173.01767428394604
142,177.48750638530615
143,179.09081350054774
144,178.56529110172528
145,179.97549794805363
146,179.70788679080604
147,179.26532605464988
148,179.96908300349503
149,174.4486327099274
150,170.96735553500812
151,170.27725262452978
152,171.38177083532383
153,169.26027196042696
154,169.05306211478768
155,168.93693333739282
156,170.24937257006172
157,172.74039297792274
158,174.2197682874857
159,175.24874644712082
160,173.83521106043602
