,angle
0,105.58822304556193
1,105.2042166989106
2,104.73286056660172
3,104.51959425714284
4,104.58538982933901
5,104.56593733551566
6,104.39618669429275
7,104.3645675121396
8,104.4642517997592
9,104.52281707153965
10,104.57895872673609
11,104.72474871178349
12,104.9464993492943
13,105.25917025617824
14,105.11262517594906
15,104.94065912469544
16,104.74876191717837
17,105.17760213566531
18,105.7396454735417
19,105.79688941907493
20,105.95931752324698
21,106.48724465778892
22,106.95742774970712
23,107.36959443122817
24,107.64722673609097
25,107.72874188944732
26,107.71690977641593
27,107.70010776327976
28,108.57466899894756
29,108.48790139029724
30,108.29113330327506
31,108.14825216821399
32,108.01999393630452
33,107.96230638723988
34,107.91543587353596
35,107.6033748523633
36,107.53071434444915
37,107.45522896266147
38,107.39133805247896
39,107.3394767271614
40,107.32763369196293
41,107.35974731864079
42,107.41199761982062
43,107.50510532268892
44,107.53017786936859
45,107.23005612306173
46,107.240903594441
47,107.05538562248005
48,107.2607729412833
49,107.41139909246722
50,107.66147148251092
51,107.90572368055193
52,108.02933788769758
53,108.25351556672332
54,108.58897326296754
55,108.89231811736754
56,109.15993603929904
57,109.4407852464201
58,109.67456468979049
59,109.9677096831672
60,110.19572548049749
61,110.43390777724834
62,110.59586152826867
63,110.84404349580318
64,110.9127063022357
65,110.89348978403275
66,110.9310467833017
67,110.87451031413602
68,110.86402977280108
69,110.83682300379711
70,110.82600420820071
71,110.73694789844902
72,110.67959285490736
73,110.61522234310888
74,110.50920479425042
75,110.51096626744884
76,110.48243819576896
77,110.44405510007849
78,110.35437575776191
79,110.2373551882877
80,110.07940778312464
81,109.95834668440303
82,109.77012942338884
83,109.5070469787658
84,109.01376823474885
85,108.83037310138539
86,108.81087664516033
87,108.7232889534539
88,108.62859157331432
89,108.77050968352583
90,109.87928715691292
91,110.65795501301628
92,112.26685773346384
93,112.73024611687211
94,112.87242295149035
95,112.76361405749302
96,113.45276203149197
97,113.54992904288082
98,113.66816121807244
99,113.69617525365794
100,113.60896462850812
101,112.88437259745355
102,112.33661369898796
103,112.4902964909204
104,112.62426258072206
105,112.16745723394408
106,111.07560434392558
107,110.30530052804711
108,109.62321882614052
109,109.0104985801127
110,108.95360991303528
