,angle
0,81.06913954790792
1,82.15015887077254
2,82.65803486328818
3,82.86182928324791
4,83.36133677567757
5,84.0159920817668
6,84.64765827460224
7,85.095913887601
8,85.43883676522307
9,85.75251673850761
10,86.03330502842533
11,86.12430842222477
12,86.27412982264656
13,86.41727041545732
14,86.49155916099437
15,86.53406462905087
16,86.49912865509788
17,86.49472767763604
18,86.49811345653507
19,86.53913016473035
20,86.52328866341986
21,86.46604598255021
22,86.20312901086749
23,86.23386070469951
24,85.78917258931267
25,85.14608373377229
26,84.49974926393537
27,83.81400508332139
28,83.07613491642097
29,82.42492928919073
30,82.32086712445347
31,82.34448890591291
32,82.36887013587294
33,82.399160077474
34,82.37097090040969
35,82.5967561447759
36,82.67339299333888
37,82.71202382122303
38,82.76053769411459
39,82.78499855798408
40,82.82190417840305
41,82.2776715007109
42,81.04010638594055
43,80.53780880856048
44,79.84283576973611
45,79.36408676084136
46,79.27164293564884
47,79.14983101216245
48,78.54570295942791
49,77.934350098636
50,77.78099695940368
51,77.70137663875819
52,77.82384980500865
53,77.67198961356193
54,77.78274435839622
55,77.7671867905267
56,78.3097351245836
57,78.72806987261546
58,79.70959424742215
59,79.96622909474347
60,80.957874461843
61,80.28623831122545
62,77.9240609451878
63,74.58474842017844
64,71.75790651047856
65,70.99800453115522
66,68.59122132985007
67,67.18004842092006
68,67.08907188964758
69,66.2995110431921
70,65.95714526140095
71,64.929293965104
72,64.14801386097909
73,63.538507310369766
74,61.81652600006382
75,62.072343315648936
76,62.09342614032121
77,61.57228732351621
78,64.44918999763897
79,68.10549653485425
80,70.61055647665162
81,70.97569248967588
82,70.71253612097837
83,67.26552756639117
84,59.083636293755674
85,52.27584371166547
86,48.35259117445043
87,45.674790127067695
88,44.16125030647493
89,42.74511412048341
90,40.1157192856545
91,36.25896552420456
92,35.92179532577847
93,35.007653231175624
94,34.941218422046894
95,37.6130992546021
96,38.72934684543011
97,38.88099073842575
98,38.093935408511
99,37.763887580187365
100,37.19115149489619
101,37.1033475241047
102,37.3439591151819
103,37.139740085969244
104,38.40313272391601
105,41.40967596629347
106,44.2068360934076
107,44.929233660185915
108,44.11385830985264
109,40.707103731367255
110,36.53176949648746
111,34.34070080367955
112,34.398441853971725
113,33.837390011123205
114,30.84234498430039
115,27.488666383453335
116,25.13435640990552
117,22.264838701796474
118,21.991443234179165
119,22.187509152146912
120,23.520305381892584
121,26.985702728213376
122,27.368439694536136
123,27.751960190658103
124,28.283653561217207
125,28.466678872045694
126,28.48715739627938
127,28.460103546540864
128,28.25362979650305
129,28.589538366424282
130,26.984012467012672
131,27.062523056473253
132,27.866240516152132
133,29.42432245484579
134,30.325051775402038
135,29.85636819057482
136,26.300576223182
137,24.122817816645462
138,23.376226242656344
139,23.541171692335574
140,23.622038634484845
141,22.91343940188009
142,20.32148225125235
143,18.46119216638235
144,17.185552721242765
145,17.682581951444813
146,20.052438048228083
147,21.99417562722643
148,26.526040817964258
149,29.516636061190678
150,31.34969655296413
151,32.47446367786577
152,34.36850489616748
153,35.260539244181054
154,35.04905541410072
155,35.893621860205606
156,35.673492684747494
157,35.95288801032298
158,38.30978250271292
159,41.12700548386585
160,41.79382656926916
161,41.19996562207177
162,39.333586064124404
163,36.332284986060614
164,35.718878259885805
165,33.55086251439355
166,30.508907179281
167,28.747220794572993
168,24.862358104679053
169,22.03559654304584
170,18.75143235292229
171,17.135453609200848
172,17.983575377240225
173,20.19595025918514
174,23.59141871671583
175,26.41132823929316
176,28.364701222447366
177,29.08269296858749
178,29.49200529324387
179,29.254124997051754
180,28.11662885733674
181,25.945987775053975
182,24.91723592509159
183,24.67381096313718
184,26.120522784882205
185,27.123590619854056
186,28.393374714892357
187,28.351678443725277
188,27.42082800880743
189,25.5316226152143
190,24.120301919509473
191,23.959948219486602
192,22.096482183745447
193,19.754115971406517
194,17.968041872845642
195,17.442458274086178
196,16.54598560621571
197,13.700058559434671
198,6.799507723446456
199,11.426480318704964
200,15.591792522206225
201,19.20434764812303
202,19.135955511402106
203,22.72815656641499
204,23.00916355730816
205,19.231406868453877
206,19.775198326882574
207,17.537157445762773
208,18.54654538759638
209,18.0211297674719
210,22.718280823425204
211,23.028052052780108
212,23.175576146848027
213,24.145110316293305
214,22.353242875401282
215,19.955249022040377
216,19.865732864757252
217,20.180486972937242
218,20.459723092824945
219,21.162532345833853
220,21.599320764669404
221,21.03254797460579
222,18.651520865172873
223,19.26282612785077
224,19.5586935638637
225,21.26362615661494
226,22.750503939651306
227,25.11915091738185
228,29.249620420796212
229,31.655853121356348
230,30.71332180862467
231,32.30200520598632
232,35.19740171134439
233,34.92139638224726
234,36.95395794661021
235,40.70006087242817
236,44.10174394083258
237,44.83792763673148
238,47.32087982309222
239,51.37376725631479
240,56.12152053907984
241,59.803462277762556
242,61.36532880418627
243,62.32963043643116
244,66.16041776418345
245,68.57608945240293
246,68.3457413034023
247,70.16410998825927
248,75.26622024387981
249,78.54280040569707
250,82.15392530790024
251,82.89059263418841
252,85.36587425004585
253,86.1072686463466
254,87.25793174728977
255,87.61445588582251
256,88.25625579215404
257,88.99708759822562
258,88.95693059374645
259,89.37153094040002
260,90.34468991421812
261,90.68590219829701
262,90.73295967254381
263,90.5057220047492
264,90.1653232173519
265,89.92394712281015
266,89.66382393674814
267,88.98830980951635
268,87.41885671850542
269,86.45672193694048
270,85.669623678638
271,85.2660251004296
272,84.89156146736491
273,84.20332554023909
274,83.94935708941956
275,83.74026376308755
276,83.76490637945761
277,83.86874138678921
278,84.17324620837383
279,84.12748536870868
280,84.10447959543785
281,83.92882594722454
282,83.78644040593585
283,83.69605282213517
284,83.57731885906404
285,83.47046921979366
286,83.44657485597588
287,83.2813113451746
288,82.94857124700016
289,82.84120289406388
290,82.96414321102475
291,83.63893045024645
292,84.1304908837273
293,84.642559922634
294,85.21816731994306
295,85.08250118812481
296,85.57277629647166
297,85.75548046594213
298,85.74442645772461
299,85.76356864742473
300,85.99509055345322
301,85.97934250663724
302,86.1033730524095
303,86.31390948826902
304,86.22007357419307
305,86.0404842091541
