,angle
0,28.3928178881202
1,26.631166271858728
2,26.096903202257526
3,25.810331996965598
4,25.496632972733956
5,25.386944033934853
6,25.303977009956743
7,25.272121627238928
8,25.27285271043664
9,25.242956519575138
10,25.208732884621256
11,25.190203925728746
12,25.14805349120773
13,25.095820075758127
14,25.010297179183773
15,25.012280300594085
16,24.976190231954806
17,24.8987097222221
18,24.772870423239414
19,24.59758798655408
20,24.486209562832485
21,24.403724847834752
22,24.280335765414776
23,24.1236552874488
24,23.927399451310716
25,23.722958995097326
26,23.627865918482474
27,23.496433134953755
28,23.347843225656636
29,23.188619543585475
30,23.12103608214088
31,23.109562169082203
32,23.097877670719484
33,23.065195155498984
34,23.03752092864741
35,23.094549145260842
36,23.104481892715018
37,23.104215523342106
38,23.09174491333437
39,23.10096529987623
40,23.109033367298146
41,23.08200269953934
42,23.169273192771445
43,23.257263423991954
44,23.270467950031257
45,23.235652092259294
46,23.214588164199867
47,23.184176241565666
48,23.043384726252135
49,23.0221746423184
50,23.029590621050705
51,23.04798965261568
52,23.18296259585939
53,23.210965493203915
54,23.115734895854423
55,23.068347682673856
56,22.89956624470641
57,22.88841192829906
58,22.924110988661315
59,22.909629738618733
60,22.948472905857557
61,22.915429401152704
62,22.557461803750947
63,22.39991018556446
64,22.454543540608896
65,22.40482677686752
66,22.20592521263415
67,22.07396465550441
68,22.13230686812211
69,22.118138138745746
70,22.08592298204573
71,22.091958953507515
72,22.289500430979007
73,22.43278215132453
74,22.402571663650605
75,22.315001309136992
76,21.82863245184021
77,21.47789048516422
78,21.465628715071528
79,21.443644732462566
80,21.336911132827755
81,21.191472227679128
82,20.974985954556402
83,20.91564590597768
84,20.96205717343573
85,20.93535376553472
86,20.849092203389436
87,21.20432453120033
88,21.214547181756515
89,21.38085996086771
90,21.51058700989672
91,21.67015991849592
92,22.04906241776816
93,22.40170061504895
94,22.376143748613078
95,22.40326625704895
96,22.366277902047237
97,22.623140268040093
98,22.76050285847346
99,23.0755707672502
100,23.127292788082485
101,23.18151441924556
102,23.243516908304805
103,23.140863152233944
104,23.096231813233224
105,23.094338795464274
106,23.050224770149484
107,23.34629608555193
108,23.551728112847886
109,24.02527373384987
110,24.23824198926914
111,24.600821996122868
112,24.760314121269328
113,24.704444537923212
114,24.682891850525735
115,24.564871932027884
116,24.690120260409056
117,24.821433291774152
118,25.128146572302164
119,25.742721260801382
120,25.92935987153161
121,26.022364537255168
122,26.099047374584142
123,26.233140924541516
124,26.268412984378223
125,26.150892166919405
126,26.042046087643833
127,26.03755764672598
128,25.797811554037747
129,25.975448875302828
130,26.180806446553014
131,26.13224994363899
132,25.84265026021319
133,25.737646191747075
134,25.545130224754224
135,25.424886424016123
136,25.317621278198153
137,25.07047444094074
138,25.33320101372978
139,25.368653677311425
140,25.218415360485263
141,25.101697887001965
142,24.6880698946201
143,24.767546265921165
144,24.68429490924926
145,24.428926987650165
146,24.15810454681421
147,23.520823221826625
148,23.07556405762292
149,22.428652491486933
150,22.38804220293226
151,22.071893972249732
152,21.809961855482385
153,21.741107960507268
154,21.595929909252828
155,21.810147674927354
156,21.988540658777843
157,22.054625102544552
158,22.29361120598831
159,22.900372779801714
160,24.095259120376245
161,24.608544291198726
162,25.194431974588188
163,25.49476015886551
164,26.074298022928406
165,25.679756616964994
166,25.347867929763446
167,25.234453479734256
168,25.131665968238053
169,24.90020517302963
170,24.606938412346665
171,24.53542002581643
172,24.047593088981124
173,23.77757018739413
174,23.014203376653292
175,22.167987661310168
176,21.776042771856748
177,21.74513082842856
178,21.7862990830552
179,21.852859365328968
180,21.97986837670012
181,22.51852797701863
182,22.600173143803158
183,22.452038308314197
184,21.45813652011776
185,20.937508809370573
186,20.6862356228755
187,20.774576416441217
188,20.21182942452784
189,20.493986131534037
190,22.3117339898659
191,23.417501494632305
192,23.95725292852473
193,21.3872728010296
194,21.520439461121896
195,24.133358263550818
196,24.30248010464441
197,25.35255412378211
198,23.976618620582155
199,26.493826989811755
200,27.247673422299847
201,24.683696026137454
202,23.869531522194464
203,21.93317102670585
204,20.5411154242786
205,19.61366174846417
206,18.58214203419679
207,15.829161245852523
208,16.016204462376596
209,20.22197860167156
210,17.055038860033797
211,15.432224016505842
212,15.350705578342625
213,17.659124507857705
214,17.450098087129934
215,18.74417769741565
