,angle
0,134.1629430797687
1,127.10506446246632
2,120.06430132747042
3,115.56891096092795
4,105.2032234756995
5,101.79975594515099
6,102.36613687850047
7,103.23757482482404
8,104.39944845375112
9,101.79036670860853
10,102.33772565500573
11,100.90718399638354
12,102.52793390170069
13,104.69389785366423
14,105.00869785853939
15,105.02518849493046
16,103.38416169035133
17,100.93397430618728
18,99.65727358224939
19,98.17115023214996
20,96.33721371785481
21,93.85330085955582
22,92.61373506725397
23,91.81029762226729
24,92.09968180711974
25,92.14108082006885
26,91.69463672551319
27,90.39159689777767
28,89.93201537391474
29,90.21716293441062
30,90.27522802940729
31,90.98395685456575
32,91.62854771799084
33,91.32929041315367
34,91.53853516647035
35,91.685858530887
36,91.36725933544
37,90.58655341510422
38,89.24242990969242
39,88.6035405652184
40,88.2938136177072
41,88.1977033648401
42,87.92063135140376
43,87.45053292986069
44,86.92732515551216
45,86.24876761511092
46,85.77171317592558
47,85.21520353610612
48,85.16790123171012
49,85.14988911140648
50,84.66062130126153
51,84.03634828292542
52,80.58123858042254
53,77.40754723022437
54,73.07142962178627
55,62.375943229391815
56,56.39402779271964
57,52.80871503179494
58,50.660122906653335
59,49.42357251137214
60,49.65018451115374
61,49.78934777165951
62,49.796378297507836
63,50.389813786793525
64,51.447347231731
65,55.60755591884475
66,59.30179500553456
67,63.09969751746793
68,65.24156235951476
69,64.56082757361047
70,66.17305234258211
71,68.45697361090514
72,70.1792300933695
73,70.49913549215916
74,69.88275122017764
75,69.77702557438604
76,70.37853994957798
77,69.81235679232424
78,64.90636603197514
79,58.36420004771552
80,48.436456798603906
81,43.052566566495564
82,40.94467529189514
83,39.977135234443686
84,40.598337567996644
85,41.06981242838476
86,41.69375054317894
87,40.38128065460766
88,37.65860627881748
89,33.65796706605437
90,28.859094673202698
91,24.876040928821027
92,22.56831992596996
93,20.889479368347086
94,20.096632230331075
95,18.813609017349552
96,18.36921993205201
97,18.90715337521796
98,19.44442884239768
99,19.873971975144947
100,21.065523362689863
101,22.31139037542415
102,25.827662481707424
103,33.02226035400191
104,38.392119256433595
105,43.281305703005025
106,47.60478235859715
107,55.237979421581315
108,69.66976523468831
109,86.39984453949023
110,104.57503404125163
111,118.91946524419083
112,121.31647984633992
113,127.43015237002425
114,125.49601905411424
115,127.62198400162163
116,125.44806266691714
117,121.03147894771243
118,120.36758805624652
119,120.80547626686166
120,119.41417027302953
121,118.12424902637395
122,118.1135523165247
123,118.13852673300019
124,117.80636511388565
125,117.82446435821441
126,117.988513874078
127,118.29653337154437
128,117.88115604117033
129,117.64711121385781
130,117.01963629302
131,116.47281150759582
132,115.36076055822133
133,114.43100173723306
134,113.11780293628559
135,112.54944970592459
136,111.98286849403962
137,111.32247711970979
138,111.35588181895122
139,112.50274111576829
140,111.21989306300048
141,106.21989656194884
142,100.40504721874612
143,91.84117995530579
144,80.3928363233335
145,64.4940665466689
146,61.642212723496804
147,58.409290096662495
148,50.23115367484655
149,45.67772560646063
150,44.407578992850695
151,43.232532473618974
152,42.844153431324635
153,41.7963531930469
154,40.01922510448877
155,40.656238057554795
156,42.76836859815932
157,45.78506478613306
158,47.42439649801992
159,56.022565532298195
160,72.0754229967774
161,87.7132053841803
162,95.17800698624285
163,107.68278032755191
164,112.51620118705611
165,113.41141479428549
166,115.3748870928327
167,118.85797523579294
168,122.05274987966123
169,126.00360418280374
170,126.71168437922898
171,126.077104770734
172,125.64657312548059
173,125.75427106737422
174,126.0665552002479
175,126.39716001888945
176,126.75969735457483
177,126.40737914803194
178,125.09517715253878
179,124.88980044324555
180,116.86870283789537
181,102.95037854941842
182,71.80837652811663
183,54.71944261604243
184,43.77654528522092
185,34.843449277779236
186,29.14103174797664
187,25.8332091647882
188,24.00318799287439
189,24.173718682082043
190,24.09412023571359
191,24.56798616284142
192,24.564175631738586
193,23.815517344707615
194,27.042354348886196
195,33.240840707757116
196,39.33928574154499
197,43.94939455677124
198,49.24379257024572
199,59.10733823124032
200,65.68470239535752
201,72.04175029962235
202,74.10378940698797
203,79.14870119324327
204,77.71781000011006
205,78.20329194717873
206,78.78814104476207
207,78.0657415854685
208,76.89227409461029
209,76.2591922468947
210,75.5110185858492
211,75.04571142729866
212,75.06427234020346
213,75.33851653668476
214,75.39855368931417
215,75.2848656864191
216,75.2292498979101
217,74.66243868667432
218,73.51226369209785
219,69.17658121906574
220,65.52129438013284
221,61.92310458185693
222,61.119213569641744
223,59.66311273911869
224,58.72224018287931
225,58.89868076094909
226,59.488948363638826
227,59.738170870772905
228,60.02087932255398
229,61.753353690939434
230,64.66959907789818
231,69.69128061720933
232,72.86097549531222
233,75.74370585969005
234,83.64329635442965
235,86.07332419232262
236,90.27080171153489
237,92.9050756476401
238,94.45779155310498
239,94.48425790777014
240,94.20489234052951
241,93.95590469866903
242,93.12841930610915
243,92.992188867599
244,92.51770218525519
245,92.36407815097482
246,92.5873064082947
247,93.08014410432656
248,91.18097958102254
249,87.77613971739504
250,85.05351082686042
251,82.85601788639119
252,82.36848129407703
253,81.90756481344454
254,79.5656739286956
255,77.28493991085031
256,74.99015744514747
257,72.85821060604488
258,70.59553982541067
259,65.57210546490415
260,60.57288804401179
261,58.6394156289871
262,57.01198904192436
263,56.97602167769578
264,57.80243447828786
265,58.637643536511824
266,61.1288041352697
267,65.48850962588917
268,70.22770118935657
269,73.88646384579525
270,82.235506900425
271,84.75921619573069
272,86.94388296682689
273,89.91170239299777
274,89.30467588761303
275,89.72510104630015
276,89.49626603307541
277,89.06588111379097
278,88.81053839315263
279,88.32988988426871
280,87.34599233752664
281,86.55936358159312
282,85.4885717735554
283,85.10214056502986
284,82.9433464959333
285,80.04112618062796
286,78.26960443520193
287,78.40210055922869
288,79.27269857155383
289,80.40929636650506
290,82.38086553653724
291,83.14460079823384
292,85.0890553699212
293,85.109714337463
294,86.05863149293486
295,87.10031866931399
296,89.1947300832224
297,92.18533147549704
298,93.3019655838799
299,93.36011349931425
