,angle
0,178.32906033251697
1,174.46941955471038
2,169.26596813045052
3,168.1508764123881
4,163.77780057265622
5,164.70897396564047
6,167.4141620122065
7,168.34608813606826
8,171.63552206101716
9,175.166687664906
10,177.03814123678345
11,177.20077855050417
12,175.35995944873963
13,174.69864793033744
14,174.71003753225446
15,175.03008671725402
16,176.0365103660371
17,174.7548679766904
18,173.2150574860986
19,172.82681927238565
20,173.70864452170787
21,174.66992313767292
22,174.79417353175407
23,174.3415853178702
24,174.1257316363625
25,173.98152080666998
26,174.09764353033097
27,174.06724099563115
28,172.38380295428908
29,172.31531081200353
30,172.30394171833882
31,172.47282300625412
32,172.35562852559713
33,172.39671045063028
34,172.61568951582052
35,173.4942832617779
36,173.63854445046266
37,173.62402405690344
38,173.5756448892458
39,173.46717487576723
40,173.4134979823276
41,173.24655025132137
42,173.27135332464266
43,173.1108232015084
44,172.71584229329963
45,172.82706095863938
46,173.07689684509378
47,173.538612944389
48,173.99879668601523
49,174.0126377399901
50,173.76509258074918
51,173.50346481593328
52,173.96215213857437
53,174.76876311504148
54,175.77412088962768
55,176.481126066061
56,177.56366554038192
57,178.08339406830532
58,178.10872865174892
59,178.67382398743683
60,179.1405300069705
61,179.2268091963535
62,179.36637669902456
63,179.23215699722113
64,178.84705882997787
65,178.1114376581465
66,178.19457629341548
67,177.92578974358813
68,177.47444514476567
69,179.42544587978685
70,178.24654114999805
71,177.88087371959358
72,176.78961646797677
73,176.28452038540334
74,175.8582534282143
75,175.60269316789217
76,174.47298564508702
77,174.6744859138308
78,174.6292997469929
79,175.51810037706463
80,175.00455119309842
81,174.74989689513987
82,174.40054747211354
83,174.2836771953383
84,174.72731778862374
85,174.70267280705997
86,174.67276174393268
87,175.45974877443942
88,176.21297242361464
89,178.110576985471
90,178.98852969057467
91,179.01855442356307
92,179.07011140687675
93,179.840039131158
94,178.3780772467394
95,176.97076082639623
96,176.4033095708568
97,177.22102689154883
98,176.88024738536615
99,178.57334667423467
100,178.45717110202992
101,178.7086560315258
102,179.3549633746922
103,179.51866318996653
104,179.9953048565098
105,179.8844440169619
106,179.85776924459486
107,179.16103073457322
108,177.64486778815814
109,177.47242291262813
110,177.10776287025453
111,179.46121121585557
112,178.75693502088413
113,178.5582397652206
114,176.9788181039699
115,177.25763939470497
116,177.70786557589443
117,178.04690001577023
118,178.85524112338047
119,179.7067524470551
120,179.64176081132285
121,179.27675429980113
122,179.63436457895835
123,179.88664178762264
124,179.81526029864557
125,179.37957818010744
126,179.23800730841612
127,178.8156019039395
128,178.75455107416963
129,178.81633910020093
130,177.87777356308328
131,177.6357741500469
132,177.68723513892513
133,177.50569597945045
134,177.34112941332475
135,177.15455616871535
136,176.32424287476294
137,175.37427762805615
138,175.4454703779844
139,175.78859970391827
140,175.73869779794944
141,176.11429598317258
142,175.3485965242485
143,175.60044498586277
144,175.7669262161784
145,177.1686405798874
146,177.56725229045256
147,177.04390026052937
148,177.50440035596776
149,178.56131173469552
150,179.5110489647067
151,178.7154607096163
152,177.8666281220887
153,176.8195943501727
154,176.23923178575282
155,176.166148808935
156,175.62204981633
157,176.08003139147274
158,176.45621886122547
159,176.99056467931055
160,179.7448308050933
161,178.5582505740774
162,177.30773368599878
163,175.5530671314501
164,175.27501545541415
165,174.87174011270912
166,174.8156721866675
167,174.88382290829946
168,174.85775399585756
169,173.8906549423089
170,173.24553489217413
171,173.08779237965894
172,173.50614852434234
173,173.87721771260206
174,174.18402208179825
175,174.2684515488884
176,174.3693410598535
177,174.84933767477378
178,174.67111689917866
179,175.0648885957931
180,175.277337274891
181,175.98311443473403
182,174.03629451854647
183,175.33170529722594
184,178.56411057960221
185,178.15432944724947
186,177.5778515179068
187,177.48287986445334
188,176.1648500293309
189,176.42214366259924
190,176.24603183915033
191,174.2867805043944
192,174.68823751494668
193,175.7664175796804
194,176.96839151670443
195,178.48762955767
196,179.53247241795827
197,178.7424046934885
198,177.87636612069412
199,179.23272617832737
200,178.82100103354443
201,178.72628802097248
202,179.92786818870184
203,179.95618685942446
204,179.80018973496752
205,179.50975203922906
206,178.94222830740708
207,177.36538283119054
208,176.86786981116597
209,175.8961324637722
210,175.38270240088292
211,175.90292484158672
212,176.13768762650753
213,176.31653498817678
214,176.73049093463862
215,176.80828395558842
216,175.85440620995124
217,175.92541549157124
218,175.8937245849107
219,175.90237134959537
220,176.45291512134844
221,176.55596065994746
222,176.93467824947103
223,177.58762891527113
224,177.75850229036138
225,177.96839017167437
226,178.18145244926401
227,178.18845546596785
228,178.26851412905702
229,178.63458467260145
230,178.75096298778004
231,178.6693946524817
232,178.60562892362512
233,178.80371910020696
234,178.3682795884526
235,178.33809479012993
236,179.1413617222271
237,179.9744594813776
238,179.66974476524496
239,178.9680386778097
240,178.49291300065275
241,178.26661502464174
242,177.92912067337727
243,177.58795867289757
244,177.5195424176018
245,178.38391894771306
246,178.83387550017656
247,179.46310082209573
248,178.24852994792113
249,177.95506706527803
250,178.14472734391686
251,177.47473793564842
252,175.38509004937345
253,175.0538507187291
254,175.0828169396293
255,174.76144891961056
256,174.9083606597591
257,175.11347456512797
258,175.0883662486807
259,174.8254787343712
260,175.0022395687633
261,175.3144114097365
262,175.46428863443552
263,175.78569793678275
264,175.93950597252385
265,175.9198861955048
266,175.9138355066562
267,175.9599334005335
268,175.52916824658735
269,175.6637220548495
270,176.27945078843203
271,176.58661536957172
272,176.68773791639066
273,176.59361441286634
274,176.83799428829712
275,177.0013135893414
276,176.6878212454994
277,176.3730504401873
278,176.20367227173577
279,175.9604710474755
280,176.04097837353487
281,176.09134488221818
282,175.99628781820837
283,175.93602197244047
284,175.532265581842
285,175.22079796279448
286,175.5287232330464
287,175.68809144439416
288,175.44835180625327
289,175.4116175009264
290,175.4087243055552
291,175.4298834189639
292,174.86616958689854
293,175.79271825722523
294,177.42750267253365
295,177.89769945495357
296,177.47583774105013
297,176.87220902854136
298,177.1047262932017
299,177.18532224117985
