,angle
0,119.39357352936109
1,120.0856372568157
2,120.90354907131803
3,122.90188161773087
4,122.04701958839446
5,122.28974996949209
6,120.68463016153106
7,119.44700803960292
8,117.30766055205673
9,115.9230358756183
10,114.62911349800451
11,112.9950226684986
12,111.84845415401529
13,110.5988674001632
14,109.08512227332699
15,107.51247720775378
16,106.03493059881609
17,104.7946939918163
18,103.83065071295589
19,103.65005337435582
20,103.41811837612899
21,103.19048797289818
22,102.98449720905765
23,102.9166024560145
24,103.19712543710004
25,103.45500873661022
26,103.33279157532228
27,103.371227715651
28,103.53489501436981
29,103.72195029275969
30,104.11788358236606
31,104.64633467184993
32,105.2465006288987
33,105.97305746700026
34,106.4443626087931
35,106.92939301486778
36,107.06975399804527
37,107.09511791788202
38,107.1541243444415
39,107.18855230904394
40,107.11169652313207
41,107.10056051922261
42,107.09569504905441
43,107.10470776114906
44,106.99232192883962
45,106.92057468323874
46,106.87401051590321
47,106.83465096410985
48,106.89780021235902
49,106.9762956845427
50,106.9758414000719
51,107.0498653672263
52,107.10631513768544
53,107.1468284132371
54,107.17715136173406
55,107.25326684494472
56,107.3248650203897
57,107.3326306300575
58,107.0576818471631
59,106.7439959501133
60,106.45296742871102
61,106.1845552981866
62,105.97866012629854
63,105.85505423302948
64,105.51389725648284
65,105.45479977454042
66,105.27442507355222
67,105.34352409444908
68,105.31906507318756
69,105.3527277467178
70,105.35729741654305
71,105.91123546735994
72,106.1206829511971
73,106.08606782538173
74,106.04826745597533
75,106.10325016042452
76,106.05400694222426
77,106.06799569146492
78,106.4351741181015
79,106.63327659442201
80,106.62418465682299
81,106.84214649342817
82,106.90018248561047
83,106.99916374013591
84,107.24828347003822
85,107.33410974008709
86,107.30638547244551
87,107.07990959898233
88,106.73863586153988
89,106.10934123433964
90,105.84740557144738
91,105.56996085338358
92,105.47721648830482
93,105.30678497444315
94,105.00842672138144
95,104.73566245392502
96,104.73613368005935
97,104.78204272384326
98,104.69507649768165
99,104.83895155995393
100,104.87219867741253
101,105.08470737265691
102,105.31641330668184
103,105.75542214344485
104,106.03071134678949
105,106.25916910253763
106,106.31780661639174
107,107.09188847630152
108,107.26685196359715
109,107.33936850084615
110,108.1118107518639
111,108.17151851631215
112,108.13351735678778
113,107.81440439006268
114,107.84618737820044
115,107.75271265119737
116,107.80709722511169
117,107.73360623171547
118,107.56781732669498
119,107.51781704737364
120,107.49431642371319
121,107.36602864356055
122,107.26978641481297
123,107.30264642817433
124,107.28496817336578
125,107.07544382415746
126,107.03486006797094
127,107.06426273286844
128,107.08978158167878
129,107.09487493816697
130,107.15339061566826
131,107.22290840567133
132,107.45113149405876
133,107.45520685137576
134,107.47837848134927
135,107.4401158185715
136,107.29230170898595
137,107.19721490264611
138,107.18547388547942
139,107.18971702724542
140,107.1733265351031
141,107.11064356330004
142,107.44845115073242
143,107.46856997235034
144,107.27795255869283
145,106.69930349276929
146,106.17643291479293
147,105.97328560631375
148,105.94570563974246
149,106.03108856505767
150,105.962360005624
151,105.963270085849
152,105.92229599255782
153,105.9152353420548
154,105.86671364821858
155,105.77983547624522
156,105.5602600647591
157,105.31314155569274
158,105.13783884316469
159,105.10547803583819
160,105.28773219882335
161,105.46341281072345
162,105.73960011605406
163,106.09850253484848
164,106.23788690211535
165,106.19450564771999
166,106.2572715080479
167,106.26131091706493
168,106.24201226772577
169,106.2306254756058
170,106.26120609387065
171,106.29913642576206
172,106.2804534062328
173,106.2777890167734
174,106.27733321293425
175,106.27745842337104
176,106.24399778127594
177,106.23477199465711
178,106.29415735116879
179,106.41399681463565
180,106.53161758779962
181,106.39041711330118
182,105.829574755146
183,105.20692610144422
184,104.95735316478503
185,104.4631192350065
186,104.32918982656773
187,105.05562056557957
188,105.5455348386245
189,106.5292328596452
190,106.74149738410851
191,106.67097813078126
192,106.10112746073989
193,105.72763092879647
194,105.54507699926101
195,105.05597701627174
196,104.66175081922195
197,104.73046954891169
198,104.97724137971998
199,105.04211182590522
200,105.29143413036125
201,105.44492078455283
202,105.51604645477406
203,105.57091327962173
204,105.61966980567763
205,105.61401061261917
206,105.80419564763102
207,105.84351835533585
208,105.91195372882278
209,106.09452020852261
210,105.80536359871799
211,105.56114586088118
212,105.5210002910901
213,105.30275383956186
214,105.18782958803445
215,105.19865445514768
216,105.15959589835589
217,105.13914947149316
218,105.04210281507432
219,104.99025763446686
220,104.98651941581794
221,105.01082845058569
222,104.99962164600032
223,105.03997576815159
224,104.91902852946774
225,104.85962875856177
226,104.80060919124844
227,104.73767466509193
228,104.89018524227563
229,104.97245769988805
230,105.29477858072306
231,105.69441671341055
232,106.12610083158961
233,106.27665186676445
234,106.2799025779826
235,106.40452106791278
236,106.50876658647078
237,106.53503850551246
238,106.50200566928815
239,106.52566771752156
240,106.52167485730853
241,106.52867897433244
242,106.44058647607962
243,106.50865518086005
244,106.49715976338501
245,106.49882211782123
246,106.11723784120842
247,105.97717053065408
248,105.93446310970714
249,105.99691193294942
250,105.99335012029424
251,106.10336222577082
252,106.12015214287942
253,106.06286685347555
254,106.04166137478359
255,106.05794914773195
256,106.07498545306656
257,106.05097470221708
258,105.8750368557632
259,105.87485823157036
260,105.65343221749394
261,105.6003678464942
262,105.5476798625684
263,105.49304696458431
264,105.18577550744065
265,105.1093597130786
266,105.06324734475695
267,105.11314476930318
268,105.62728899122189
269,105.70766744291326
270,105.66280607859137
271,105.57722066382324
272,105.60250598820797
273,105.55243706822746
274,105.5739111367304
275,105.61353444083906
276,105.77048673850489
277,105.8386650668433
278,106.01882193376676
279,106.09235537769793
280,106.17918712707639
281,106.22169302685758
282,106.22935949053924
283,106.24214671970303
284,106.27381410118957
285,106.30378030270693
286,106.34347715476261
287,106.36883079349379
288,106.1022294122976
289,106.01004903855518
290,105.82828121627678
291,105.88107796925873
292,105.86246871286598
293,105.8088862840151
294,105.82947547677699
295,105.89081493104021
296,105.99595543035088
297,106.07716611214386
298,106.11787766463661
299,106.13970256366625
