,angle
0,93.76525468218279
1,94.68196197756998
2,94.04361753903387
3,93.8454547578944
4,94.360509389138
5,94.38966315758125
6,94.64950535513715
7,95.40564911559501
8,95.30624510922539
9,96.06592223376568
10,98.57440154136737
11,99.62858500725218
12,98.47387590539132
13,98.95915913789366
14,99.60293007226925
15,100.01290892036445
16,100.7479879770225
17,101.54553425210413
18,104.18277232144914
19,105.35121853830594
20,106.24793622898255
21,106.93409038707651
22,107.2512697041051
23,107.04150623496211
24,106.1156593093186
25,106.10861332851935
26,106.4288548160281
27,107.22903358529224
28,107.08332991615259
29,107.13712663477504
30,107.34199217369952
31,108.40157807285722
32,109.53499631508046
33,109.71644404894316
34,109.16526116925412
35,109.1128434950342
36,109.42828925063598
37,109.4562596539242
38,110.18869059259485
39,110.90785765695925
40,111.14888629610894
41,111.30731244873614
42,111.22045225548617
43,110.93288524224245
44,109.65917380909421
45,109.8180966573701
46,111.18424941022954
47,111.6102338059185
48,112.70274688505818
49,110.71843942259498
50,110.48914267532439
51,113.21056548597775
52,114.37162637297025
53,114.62977913821278
54,113.80763872169567
55,114.18690813362718
56,114.25094133597712
57,113.8127753084947
58,113.1688161254498
59,112.52312458907157
60,111.59358453618457
61,111.45182609473174
62,111.1801573074949
63,111.94077196109663
64,115.35799421603686
65,116.04573985395771
66,115.16413114441362
67,115.78135714067659
68,115.7204440562849
69,117.24092901399216
70,116.91462797182163
71,117.02419667951607
72,117.98664065910353
73,117.11791048582977
74,116.46872019092581
75,116.3426339298327
76,113.96386476545204
77,114.18520407756859
78,115.87709040088458
79,116.64785422853824
80,118.31721858281675
81,118.50076427524125
82,119.69871387558655
83,118.84363444755009
84,118.68862129699477
85,118.79836231725302
86,117.41578181845541
87,116.89833775686533
88,115.88909284617162
89,114.98721824396263
90,114.03853564424217
91,114.16982275814962
92,114.30712867708127
93,111.57220684563005
94,111.05819290945574
95,107.69425610445658
96,105.97531180736397
97,103.4116261669526
98,100.59256330940897
99,98.95216715338766
100,99.19640890648344
101,100.67098839080519
102,103.42121662861013
103,105.34347124931838
104,106.80772933780915
105,108.57568833748547
106,110.43196733382383
107,111.88736000322766
108,114.60912829856045
109,115.85278718464674
110,114.96850562624907
111,114.00797785181054
112,116.01946328544231
113,112.65859626409544
114,112.69605456538883
115,113.46585204479076
116,113.47375497274216
117,112.76279591422467
118,112.62186853963347
119,112.22079206479145
120,112.41928106484656
121,111.66414471637393
122,111.82796398303678
123,111.71582740883969
124,111.35069980922667
125,111.70005186948613
126,111.81542064281771
127,110.87297369642434
128,113.16307706996362
129,114.58943764609916
130,112.22025929517844
131,110.6984225492951
132,108.38864856241806
133,107.75259275037048
134,107.58526426359956
135,107.26054824159212
136,107.07347982662156
137,106.15286574585286
138,105.3235630758092
139,104.56725329753746
140,106.74261790501106
141,109.73451663595284
142,109.65855682973147
143,110.33667295875028
144,111.51003052882426
145,111.19845732861442
146,113.52720514280661
147,117.80638125409325
148,116.45608024383823
149,116.0081953221955
150,113.97953932338733
151,112.8383933773845
152,112.35356787207554
153,112.516158482839
154,113.48499421331427
155,113.8567891754558
156,114.784425968651
157,114.0716146290024
158,114.78513058800985
159,111.22793704383585
160,110.79429366493775
161,103.63170874589197
162,104.1422039991481
163,106.80395797286744
164,107.88803989953091
165,110.08104979794969
166,106.98687585572823
167,105.65000329124436
168,106.89475631577066
169,107.03339942054113
170,107.41753543846279
171,107.529394665358
172,107.87863534650754
173,109.1567805284699
174,110.20946950778142
175,110.1495263626027
176,109.59473057482668
177,110.05954554627495
178,113.9342380419856
179,121.18901106308184
180,119.78636967033782
181,111.71728126772831
182,110.77321668225508
183,109.46852008587042
184,108.11205598284344
185,109.44891003399488
186,103.48280592213929
187,104.43511873746006
188,100.19894521325459
189,99.31458125677933
190,99.33652309584717
191,98.93153078147023
192,99.1609547753044
193,101.31467659332156
194,105.53930613316757
195,106.32160657357886
196,112.76448042982143
197,111.0940715366272
198,111.27033206171231
199,110.87863607828113
200,112.09622717646134
201,112.39890983191385
202,112.36748536958582
203,111.30752379644079
204,110.17665966579234
205,109.41859998149171
206,107.63755111663944
207,107.4313724927989
208,107.14493414200145
209,105.5653958169946
210,106.63318427888
211,106.63143215453171
212,106.3295792793971
213,106.03525033346764
214,106.0799411648741
215,106.29629903607116
216,106.42064692084732
217,106.38268412144397
218,107.01422153254302
219,108.12800877478305
220,108.152222151083
221,107.42280793164326
222,106.82946498353203
223,106.45583650727056
224,106.73300653433508
225,107.28567425726206
226,107.72812234275744
227,108.83851436267999
228,107.44968763382535
229,109.47265009511251
230,109.26720805811092
231,108.53504565900022
232,108.79286946897369
233,110.45148266502093
234,107.928560006104
235,109.02182452208095
236,110.25023333114768
237,112.30160711937563
238,111.90058570697612
239,109.74440325899799
240,110.41624203561997
241,111.16168701328013
242,111.69884595960053
243,111.44982665443698
244,110.10695544623266
245,108.98962237111544
246,108.32911471930699
247,108.34446208716317
248,108.05335661049872
249,109.41832382611614
250,108.11837452598813
251,107.70699423100486
252,107.20991440338938
253,107.11906502906776
254,107.49632217809564
255,105.85157968726801
256,104.93938323575685
257,104.53556053847765
258,105.10831188833617
259,106.50050574536391
260,107.74230647077752
261,107.28603430372239
262,106.60319601059682
263,105.46542657675072
264,105.24184585507957
265,105.94531734112834
266,107.09448982719609
267,105.19406340399055
268,107.27179475108177
