,angle
0,166.699900733695
1,168.08999799986967
2,167.54638338374568
3,166.78562041831816
4,165.36376696046696
5,165.13492634172562
6,165.34164703412057
7,165.7513595465688
8,165.91732154988944
9,165.76283460264796
10,164.6974340328273
11,163.98804606190623
12,163.21144342673904
13,163.27910368812763
14,162.90879413021094
15,162.22859349635172
16,162.57864586282366
17,162.64167075036784
18,162.21987540623502
19,161.48603093434693
20,161.5151430156222
21,161.5161917575934
22,161.96750998625876
23,161.93831546987
24,162.00592174789227
25,162.55108466175574
26,162.4704869067359
27,162.72172093823988
28,162.67393757283395
29,162.53107643653152
30,162.62659233218406
31,162.51856550704656
32,162.39790812081532
33,162.30879619373243
34,162.30330926210723
35,162.41288994519346
36,162.0404956648436
37,161.05556961519898
38,160.42545180832488
39,159.93152296209493
40,159.6167565738186
41,159.5721595408543
42,159.6023869056645
43,159.62598525720114
44,159.6621538388751
45,160.12882109479634
46,160.5055264623535
47,160.70094365969933
48,160.61412285805798
49,160.76294838217237
50,160.28490739737617
51,160.89196634178407
52,160.73990237406818
53,160.88823493134544
54,160.7074728266557
55,163.67824216330823
56,166.50938473638848
57,166.83060487290916
58,167.79735726451122
59,166.69922780256886
60,166.48014354938883
61,165.91540246352653
62,165.79977468836765
63,166.09062796636488
64,164.32297931457597
65,161.5112058037728
66,159.9679553348202
67,161.35758125090015
68,161.99637126405722
69,163.44642722336718
70,164.1864214292754
71,162.39149082372424
72,160.73406453208096
73,159.87527429765012
74,159.33012577767335
75,159.24531674599302
76,159.31392474049878
77,158.20675653340376
78,160.26310037841597
79,162.13503788764106
80,166.91027432927575
81,167.84977748626656
82,168.91578900642781
83,166.15587106397055
84,164.44494337836747
85,163.80961765386868
86,163.51480727902543
87,162.29045824856627
88,162.90317851954103
89,164.1489945754089
90,168.0241835441587
91,168.14466331685725
92,170.20998602703233
93,163.29304531258487
94,159.79469462661822
95,159.85100365407487
96,158.0398786445476
97,161.59660408713637
98,162.31840325915093
99,173.54956979092898
100,173.65155250608873
101,175.1796298782983
102,174.6569615255288
103,172.4858436795096
104,170.67975864528876
105,166.77945990724962
106,165.44116165738706
107,163.29369802554623
108,159.87842360872617
109,158.02491006251492
110,155.98087962537198
111,154.0464729651273
112,164.21704285650623
113,165.4496862777458
114,173.2909115281679
115,177.62426171265392
116,176.57286336315505
117,173.4651030048227
118,171.76467625959586
119,168.68592376281822
120,167.00480743780838
121,165.2355936212176
122,163.6057912894931
123,163.12759014074305
124,164.2855583033965
125,164.98755036077037
126,165.11888742568195
127,164.63827015258292
128,162.09901861784766
129,161.02951869372095
130,158.36342475121327
131,156.27579383994458
132,154.67387400427606
133,154.26635132051413
134,155.09574925574813
135,155.64145848777625
