,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
0,angl_bow_mov_mean,(76.83025113020439+0j),(68.58340220362038+0j),(35.36580779985108+0j),(39.91635020801547+0j),(24.163687233754672+0j),(44.868354136078054+0j),(65.99144273433397+0j),(78.62557772459012+0j)
1,angl_bow_mov_var,(1043.066209904729+0j),(186.07729901760015+0j),(177.082557361125+0j),(447.7813846172403+0j),(52.49085733390398+0j),(294.83020915516244+0j),(790.1621512959482+0j),(805.9736070824275+0j)
2,angl_bow_mov_mad,(30.38570059812648+0j),(11.748289680165342+0j),(3.821954748074864+0j),(4.843126846853643+0j),(1.9893342960798712+0j),(8.01520830763662+0j),(17.207782739002308+0j),(20.07599533615443+0j)
3,angl_bow_mov_max,(125.06172913616248+0j),(89.5980368107563+0j),(98.23345201067394+0j),(111.928555504793+0j),(47.88824080684946+0j),(84.29644359346095+0j),(138.6409121678337+0j),(134.1629430797687+0j)
4,angl_bow_mov_min,(21.25031710299844+0j),(35.50915589551378+0j),(21.128952746733667+0j),(20.45860334359461+0j),(15.993055710165462+0j),(10.673397783039404+0j),(24.094895581129396+0j),(18.36921993205201+0j)
5,angl_bow_mov_sma,(76.83025113020439+0j),(68.58340220362038+0j),(35.36580779985108+0j),(39.91635020801547+0j),(24.163687233754672+0j),(44.868354136078054+0j),(65.99144273433397+0j),(78.62557772459012+0j)
6,angl_bow_mov_energy,(6945.953698635002+0j),(4889.76035684116+0j),(1427.8229186971325+0j),(2041.096398546177+0j),(636.3746380646226+0j),(2307.9994120356755+0j),(5145.032665454829+0j),(6987.955079607988+0j)
7,angl_bow_mov_iqr,(61.32641790367571+0j),(23.643462424915043+0j),(8.822802784411618+0j),(16.691102532253012+0j),(7.874197207849999+0j),(15.55437661566701+0j),(36.26941231143372+0j),(35.40923427810376+0j)
8,angl_bow_mov_entropy,(5.63084917987341+0j),(5.703082256614124+0j),(5.665822171533165+0j),(5.587584479268391+0j),(5.683414032957548+0j),(5.6461525473685255+0j),(5.616905508168481+0j),(5.632177516091152+0j)
9,angl_bow_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
10,angl_bow_mov_kurtosis,(-1.4569639097672586+0j),(-0.9512637501752184+0j),(7.2385990318102404+0j),(2.2142263661682797+0j),(1.698465044507854+0j),(-0.03923857020229171+0j),(-0.057754903540073954+0j),(-0.6475151671531325+0j)
11,angl_bow_mov_skewness,(0.020896233786909753+0j),(-0.31192020630531575+0j),(2.5236611632343866+0j),(1.7495155954408401+0j),(1.553149138079994+0j),(0.18217633468614733+0j),(0.7920625276602521+0j),(-0.23224619940958688+0j)
12,angl_bow_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
13,angl_bow_mov_maxFreqComp,(23510.05684584254-0j),(20986.521074307835-0j),(10821.93718675443-0j),(11974.905062404641-0j),(7394.08829352893-0j),(13729.716365639884-0j),(19797.432820300193-0j),(23587.673317377034-0j)
14,angl_bow_mov_meanFreq,(115.22126093218189+0j),(65.76275334332465+0j),(29.97622119859835+3.7152561346933344e-16j),(31.102756000860033-7.579122514774402e-16j),(17.98454041331925-1.4861024538773338e-15j),(47.986058710909774-1.4861024538773338e-15j),(34.08398841203206+0j),(134.16294307976872-3.031649005909761e-15j)
