,angle
0,116.63976473457018
1,116.08238928081553
2,117.12596664666219
3,117.26225534035154
4,117.44492159960978
5,117.34887902877287
6,117.49602730809809
7,117.85452724741333
8,118.00615062595304
9,117.96700674669052
10,117.91236175496638
11,117.54201899810312
12,117.55131136530679
13,117.4947499950008
14,117.43276815070948
15,117.25528454601374
16,117.33867331009853
17,117.4087430814269
18,117.44565345600498
19,117.483415323847
20,117.431610355766
21,117.30735763114023
22,117.0737566773173
23,116.83872282088936
24,116.33245745434272
25,115.91372924638705
26,115.9089788873975
27,115.76299052747356
28,115.71071842175712
29,115.6823087919083
30,115.5782280904873
31,115.34241807151435
32,115.0045649313922
33,114.45994466772106
34,113.73379824407348
35,112.96571350648662
36,112.21738459914198
37,111.17784435030205
38,110.14778411158233
39,108.82873652896015
40,107.41031150444749
41,106.9542383990356
42,106.5254039372341
43,106.25176742701592
44,105.90954097728257
45,105.77475223116383
46,105.59919814415287
47,105.4434916363239
48,105.33690314421827
49,105.38334713756157
50,105.29192780340026
51,105.26047786611048
52,105.30187318783544
53,105.31813252197091
54,105.3700667003259
55,105.40342106185668
56,105.50787881572202
57,105.63990981173856
58,105.83084894205734
59,106.02521032303235
60,106.03558185569779
61,106.13044502686321
62,106.109081945562
63,106.10686603178488
64,106.0023741688982
65,105.79646911351492
66,105.6347545062093
67,105.56780515667225
68,105.58538556664402
69,105.51189681888351
70,105.50364008225739
71,105.41235038684434
72,105.33763343496324
73,105.26003110852602
74,105.3113934298627
75,105.47347551784355
76,105.57909421549368
77,105.6717984523032
78,105.76322635041174
79,105.8121455918953
80,105.85004662501265
81,105.85611201353777
82,105.87131577883827
83,105.96367367454346
84,106.06331324142346
85,106.15338433611996
86,106.28064906503454
87,106.57871439382447
88,106.80178589199517
89,106.81826995481333
90,106.8521134665321
91,106.88238438942426
92,106.91194523472288
93,106.97440473556819
94,106.97221580792703
95,106.96706097051208
96,106.68079065628555
97,106.52506271401884
98,106.42403053745267
99,106.4072703516245
100,106.40137811777254
101,106.37565990240566
102,106.49082613441217
103,106.43060677773946
104,106.29851847932662
105,106.30045322815747
106,106.29114988935822
107,106.32699619842685
108,106.33282957551222
109,106.3785749496484
110,106.39196167120866
111,106.38904404988509
112,106.34152966678491
113,106.1838861883667
114,106.05193079629132
115,105.83220649190514
116,105.76971493958087
117,105.76621644784916
118,105.70852608897852
119,105.75554543540952
120,105.7038399756845
121,105.64510984220234
122,105.52551061264609
123,105.43614607647223
124,105.35606578190726
125,105.2205108168011
126,105.08335863963248
127,105.0033099264281
128,104.92694442943176
129,104.88601601830993
130,104.88074538981647
131,104.8831300535418
132,104.94668717747666
133,105.0369906878642
134,105.16665083579787
135,105.3065490033122
136,105.3926814709161
137,105.48435567358737
138,105.60502264708029
139,105.66320080614366
140,105.67787289308765
141,105.69002857521394
142,105.66545720183018
143,105.57515074138044
144,105.49744988654388
145,105.40885003018943
146,105.36421320336717
147,105.34885048495451
148,105.33854690478955
149,105.32195803118165
150,105.46879898664224
151,105.5549575725403
152,105.68343489008433
153,105.84582571819692
154,106.02833330324839
155,106.62176042531729
156,107.32474991364049
157,107.70978040001762
158,108.3994824578055
159,108.57377045569066
160,108.47654775145529
161,108.27846457103371
162,108.09998298592026
163,107.92555441362092
164,107.656335604616
165,107.62296125158394
166,107.52184735157283
167,107.32732634110852
168,107.23116678144444
169,106.47399579725149
170,105.85503223382113
171,105.49160183765062
172,104.90723581242696
173,104.39932183974935
174,103.99560521504708
175,103.85570771346727
176,103.78776755566923
177,103.79184840187662
178,104.0503929938265
179,104.01543176654306
180,103.548155742412
181,103.16244458088624
182,102.97793379183236
183,102.82024460150132
184,102.67342542606883
185,102.42758209305532
186,101.84850481048147
187,101.43266389306899
188,100.77648099335977
189,100.35092219331
190,100.28129312079483
191,100.32206947792963
192,100.5697467000706
193,100.60380263694674
194,100.90570670474972
195,101.1602392612208
196,101.38432913880439
197,101.55530294408544
198,102.47206833008744
199,103.2810990604105
200,103.59389095133821
201,103.8960001145046
202,103.71810901842753
203,103.79107604865123
204,103.81255580933748
205,103.61942383858695
206,103.35506749027405
207,102.98348406914755
208,102.61928914041886
209,101.85791548350846
210,101.7267185161241
211,101.33160151726918
212,100.91128032296575
213,99.27611519907981
214,98.03346685732316
215,97.40660714451542
216,97.15803910263628
217,97.2753530946199
218,97.3230719829545
219,97.191945740486
220,97.24244751251968
221,97.21531917501113
222,97.0728858870537
223,97.02323843968242
224,97.68131373740573
225,97.73638702621815
226,98.37343415443132
227,98.46321456380184
228,98.73572312872363
229,99.09297596739248
230,99.06895505445448
231,99.13426510389127
232,99.28421798552387
233,99.42102622399051
234,99.86845771936146
235,100.3068425928609
236,101.62253645714577
237,102.52424986113562
238,103.33894005913567
239,103.98752593690438
240,104.92634280503322
241,105.3790023441322
242,106.00040424679474
243,106.71593663654292
244,107.20533455688206
245,107.60100368973931
246,108.04812135910953
247,108.13789193129648
248,108.23745224530026
249,108.29174984301767
250,108.33292877480974
251,108.71265470068928
252,109.02617148874788
253,109.48130757084701
254,109.77780041470936
255,110.00599175506488
256,110.11064940917666
257,110.30591990296571
258,110.35191758626422
259,110.43702295871381
260,110.57202967912588
261,110.79283092731251
262,110.98204994050224
263,111.14495864175902
264,111.13334491285644
265,111.13534010953146
266,111.01510728925618
267,110.92598736457177
268,110.88442865429815
269,110.8090882372287
270,110.74883996798033
271,110.67782953974336
272,110.5710616067116
273,110.5569178522214
274,110.58006851200682
275,110.62165438023484
276,110.72075105158154
