,angle
0,152.679644373214
1,153.53031445617887
2,152.7055908747054
3,152.31969005529896
4,153.04429779962015
5,157.468906740153
6,159.73507594815686
7,160.85421611711618
8,160.1172933166074
9,158.28733272677883
10,157.24311331169636
11,156.14916302301205
12,155.8354030823205
13,154.78640669276936
14,154.07492816540116
15,153.67628734634405
16,152.753886847097
17,152.40573894530678
18,151.9024545758722
19,151.40853816924636
20,151.54882765430833
21,152.28454842108258
22,152.822507305827
23,153.35018187117888
24,153.5975216232581
25,153.88704923526092
26,154.13430519907783
27,154.4408749192883
28,154.72588025986852
29,154.6171668898784
30,154.5426166776096
31,154.4808570936304
32,154.41629532288897
33,154.60895092421822
34,154.5113904579531
35,154.31753737584984
36,154.44971706708756
37,154.71195895907613
38,154.6653221546381
39,154.87082217260166
40,154.34149607955536
41,154.121038521671
42,153.4643137199515
43,152.65440187445225
44,151.9723319085946
45,151.23999201998168
46,150.9240356108838
47,150.70689031999478
48,150.58451357750226
49,150.07751083543988
50,149.397726421785
51,149.13524560041162
52,148.99901615425253
53,148.28468415562867
54,147.9707321256779
55,147.4532906536059
56,147.2031182777126
57,146.32672382425545
58,146.13602095977987
59,146.68343735876104
60,146.9368702798279
61,147.353305097584
62,147.78669143338374
63,147.84319344746496
64,147.59556504016183
65,147.57346066572643
66,147.64971529618597
67,148.11366490944405
68,148.52294084743463
69,148.8638770459031
70,149.3202143907669
71,149.71001199649336
72,149.5279870541214
73,149.90315354251302
74,149.95086475652454
75,149.52014337461955
76,149.30288622391993
77,149.27180143620438
78,149.02921841977948
79,148.62548276185527
80,148.1578446208871
81,148.07076196136433
82,148.03115585066007
83,147.8813998661868
84,147.6048460791472
85,147.5756390645054
86,147.4038447765851
87,147.24334656846466
88,146.99912825210424
89,146.8112180401139
90,146.66553399575528
91,146.5799339759184
92,146.5834201902933
93,146.68190632619263
94,146.91817972442217
95,147.00585689956839
96,147.13241723264974
97,147.24061170988153
98,147.33693816205445
99,147.46727339750785
100,147.7680153089051
101,148.03669127491793
102,147.91616212906854
103,147.92890065709068
104,147.86380581163183
105,147.74458566129144
106,147.64799055027157
107,147.36841962950558
108,147.25731488906968
109,147.1990141946267
110,147.26558023043214
111,147.27118571409824
112,147.58212586872915
113,148.0131685692677
114,148.602113134114
115,149.2648859366973
116,149.72189154062698
117,149.8587853662601
118,149.86183807568582
119,150.0814638649973
120,150.04719604199644
121,150.23165045027503
122,150.4129598818091
123,150.40124375723732
124,150.39827180039376
125,150.42861475683014
126,150.59747988325864
127,150.67973516655343
128,150.71272734614433
129,150.79742096932765
130,150.87424163244225
131,150.91360698759377
132,151.1457306157963
133,151.35869113046732
134,151.50735553420753
135,151.60199141284042
136,151.6832365181118
137,151.79427549042327
138,151.81347840817608
139,151.87993274131466
140,151.83251212910025
141,151.8130466687705
142,151.75242105855125
143,151.64595994943448
144,151.43757309626145
145,151.31632152585462
146,151.16747135221942
147,151.0206491614876
148,150.9049879473964
149,150.82533524556064
150,150.81258129338275
151,150.93920976178148
152,151.18514230135605
153,151.07300133361076
