,angle
0,133.3377296792397
1,135.45605134941158
2,137.1275500824344
3,137.99006951937847
4,138.0476058851046
5,138.69293961529988
6,138.9639731127665
7,140.19022007536307
8,141.36991480273227
9,140.99413611997565
10,141.36460459932215
11,141.34421147581912
12,141.46493754587755
13,141.30949847557523
14,141.5749212644749
15,143.04126614268534
16,143.7930396466215
17,145.29853122916364
18,145.87158352607915
19,146.8271692642176
20,147.55874246570835
21,148.04947429746622
22,149.44218916334307
23,150.0121642164908
24,150.34470052730188
25,151.17067133352037
26,150.3194603891523
27,149.5529142239757
28,147.87614656001838
29,146.7196665797881
30,145.75473274049565
31,144.62562297187569
32,143.35644990117288
33,143.2261104735353
34,143.81050245554843
35,142.63033336865988
36,140.80633462544682
37,139.36205662192884
38,140.36858477924096
39,138.43230198072857
40,138.03544342202457
41,136.91897798916253
42,135.61847239044832
43,134.78805157350635
44,134.68047250338222
45,134.34018683459277
46,133.67461496754828
47,132.89770625327978
48,133.2488678802888
49,133.6840894138802
50,133.40347377647444
51,133.11488033574943
52,133.18462607071288
53,133.2035412746827
54,133.20700202776177
55,133.17689647172878
56,133.13578182211106
57,133.14149692374895
58,133.20678994641725
59,133.864647555709
60,134.33999283668456
61,134.4864593709712
62,134.35884058475716
63,134.10797879638693
64,134.09340079210398
65,134.24872111663592
66,134.35612821767793
67,134.28949951309383
68,134.24949885726184
69,134.21942398786524
70,133.9769075631177
71,133.65891060929394
72,133.51172340429946
73,133.42688540443643
74,133.20932604668164
75,133.0322003440855
76,132.97027335777875
77,132.92377866880688
78,132.89340496030553
79,132.9592617690909
80,133.23672679193396
81,133.29357528555556
82,133.27623908912722
83,133.2282165928223
84,132.80173862087682
85,132.55817701518663
86,132.34302391825804
87,132.23511391628276
88,132.10805643356292
89,132.04758772155986
90,131.92333320114923
91,131.864208390315
92,131.77719136480397
93,131.7841708740399
94,131.86014830241268
95,131.81520913303356
96,131.4234478295717
97,131.25826291346596
98,131.04568936214852
99,131.02665368300063
100,131.08974527981198
101,131.17430814040267
102,131.33867356981006
103,131.4798731487001
104,131.44107428417092
105,131.2992263096808
106,131.1300701291325
107,130.9800664622818
108,130.7966337313045
109,130.78696924103517
110,130.67307578983753
111,130.59626564956415
112,130.56709790031087
113,130.8220223202805
114,130.99451236036856
115,131.6226089100316
116,132.02011786871785
117,132.21634641466215
118,132.51471286960452
119,132.5987425798334
120,132.45273094278554
121,132.39239294717044
122,132.4330190829072
123,132.5025191820314
124,132.4821504852437
125,132.62101314631292
126,132.83113604717505
127,133.09835905130106
128,133.32411103213613
129,133.41613031635532
130,133.41305705775108
131,133.42494132490535
132,133.45603254961497
133,133.47046963543679
134,133.47682889263908
135,133.32771366033168
136,133.15569767503308
137,132.99115410636762
138,132.72918174976093
139,132.54155135962185
140,132.485126606944
141,132.39361793832202
142,132.29851393902044
143,132.22132280866734
144,132.13983497106307
145,132.08142121835283
146,131.98244038968764
147,131.98796809513436
148,131.96327394949992
149,131.94606472352527
150,131.93942147871746
151,131.89502643442432
152,131.91406225038125
153,131.94253394206103
154,132.06021390013302
155,132.3157885241512
156,132.92648684312624
157,133.20511117268273
158,133.3697161051827
159,133.45467891665945
160,133.5032862661871
161,133.44453288340836
162,133.29637412451078
163,133.03961929093447
164,132.7284427512994
165,132.51143519316983
166,131.86530650353853
167,130.9639794790102
168,129.18637056217597
169,128.2425172792038
170,129.04267965597472
171,129.609281039566
172,129.11841153779488
173,128.42029593276064
174,127.57359678148427
175,126.95568133237151
176,125.95701401946731
177,125.7713582789171
178,125.71508421285664
179,125.74620176699729
180,125.96499283601058
181,126.13195804729506
182,125.711508094629
183,125.94204862816738
184,126.25325347867913
185,126.37327541365357
186,126.96528958168723
187,128.3674845765315
188,129.79979773456057
189,130.6360701573478
190,129.86583935210555
191,129.01973918951848
192,128.7456047102332
193,127.88156996573667
194,127.86747045332048
195,127.8832730599258
196,128.1870933719159
197,129.03213946525472
198,130.93528040638074
199,131.1214613069503
200,131.72944749666772
201,131.16757368150334
202,130.34662247667967
203,129.95288316454523
204,129.70084589141592
205,129.3106545210875
206,128.947029351536
207,128.67114037425944
208,128.45958468557214
209,128.47255812267443
210,128.50949991829287
211,128.26675204324914
212,127.9647607039089
213,127.93365923460142
214,128.2423632687911
215,129.08390868578513
216,129.23429175564672
217,130.35696057256894
218,130.81507339542904
219,130.76021797806467
220,130.64241607303487
221,130.83909507974
222,131.1944845147227
223,132.3290802147054
224,133.1991276843519
225,134.65210733000376
226,135.551341681454
227,136.32009865567142
228,137.6747107985072
229,138.13628403176025
230,138.37529151998507
231,139.0036121996522
232,138.86915923209563
233,138.29983507650195
234,137.76326968803897
235,136.52887679037576
236,134.13222925344982
237,132.70305627620075
238,131.60249496529323
239,131.4649708698529
240,131.93117970861817
241,132.63554004683724
242,132.79862741566274
243,133.03391164933558
244,132.79117681229943
245,132.8508130992112
246,132.9521055409638
247,133.27162406586788
248,133.4458404473303
249,133.62369675053608
250,134.08294154006785
251,134.90809175550632
252,135.09492797736743
253,134.83836578966358
254,134.9737421546802
255,134.99144638093216
256,135.24736537178418
257,135.27033960769035
258,135.38031770771997
259,135.42833353183767
260,135.83623058935922
261,136.1113713002445
262,136.26826085664834
263,136.38962944192815
264,136.25728292761747
265,136.01846106248237
266,135.65446769606191
267,135.56452286054312
268,135.40394675150344
269,135.47688645409448
270,135.55249233401213
271,135.62333358180175
272,135.5330319373032
273,135.42242424635768
274,135.4975857976791
275,135.73065240416085
276,136.56934956052922
277,136.9615801083578
278,137.47581187201084
279,137.49587507209722
280,137.53700957670915
281,137.7177267156688
282,137.9039703352322
283,138.05935177767117
284,138.2235417972821
285,138.3174223322809
