,angle
0,54.22813151020177
1,55.875501984330526
2,56.63550887927608
3,57.93636205559332
4,59.43477457847585
5,60.03309124699727
6,64.18769358902965
7,66.76230541452787
8,68.28400295314147
9,69.9957893699754
10,72.84325636868031
11,75.85007488220305
12,77.4109050509279
13,78.57479215705229
14,77.5358573027014
15,78.38624693927092
16,78.14663683696733
17,80.22544312742971
18,80.87530592074026
19,78.8490493211183
20,79.15215435946554
21,79.24757241863809
22,79.25798880607148
23,79.46997946615198
24,79.65267504259276
25,79.70372840385178
26,79.68848974908445
27,79.63427628643709
28,79.5849239253066
29,79.57443395271905
30,79.56093112865828
31,79.58513566942484
32,79.66822694697052
33,79.65336068104776
34,79.66918314735386
35,79.71646114222924
36,79.63171819159615
37,80.38708065099681
38,80.8133562838444
39,81.52507500684527
40,82.39320975969564
41,82.94994678305744
42,83.32483455687122
43,83.34968565812426
44,83.47637528253546
45,83.39866237483824
46,83.1230958904556
47,83.26070056945895
48,83.39426623637553
49,83.51827980137938
50,83.27502770246832
51,82.46803557840886
52,82.0970955608378
53,80.94536862113048
54,80.24030331960957
55,79.31196649294324
56,78.63059056206015
57,77.77506818009027
58,77.56227323114054
59,77.33285971805469
60,77.18453748930776
61,76.0098185838928
62,75.79772135975867
63,75.10435600489856
64,73.59556779452649
65,72.53767222705933
66,71.21421756328141
67,69.7099761397556
68,68.50513782280726
69,68.04093609519357
70,67.66390376071911
71,66.74811274739247
72,65.88914549314181
73,65.2564268057692
74,65.02371368315872
75,64.70298392399866
76,64.57052851028598
77,64.27382904133819
78,64.14257449640138
79,64.04622356975463
80,64.02059410824488
81,63.75198185224595
82,63.44899691235696
83,63.036463266383514
84,62.92865166526576
85,62.96857814099474
86,63.14143577750077
87,63.32581012188319
88,63.519502705941946
89,63.522921774892744
90,63.56012731637218
91,63.568481760733874
92,63.641055351344804
93,63.71179168889891
94,63.7710023560433
95,63.74266468887685
96,63.63391674046113
97,63.50713273703014
98,63.3775408470742
99,63.31721937703701
100,63.28509409071984
101,63.231892321668425
102,63.21823451909909
103,63.27220341918552
104,63.30733415744503
105,63.108118952655325
106,62.919772534493
107,62.60421316384333
108,62.33123116119061
109,62.27308113043179
110,62.20514758175656
111,62.056412954857734
112,62.020980164710295
113,61.999429787425115
114,62.04534832028037
115,62.04937792359815
116,62.33441736710465
117,62.34683832181947
118,62.07300642860431
119,61.969567893197706
120,61.26249362519577
121,60.518845955884636
122,59.432204521118194
123,58.76708799700466
124,57.97056968204086
125,57.09295467745774
126,56.51487820022855
127,55.74864349071816
128,54.84690983800666
129,54.20350466062407
130,53.88495607896446
131,53.631351156986575
132,53.40898279387399
133,53.20278409106114
134,53.00192032086456
135,52.803563697410546
136,52.643727860994666
137,52.49869410847073
138,52.543674249129104
139,52.53164492802135
140,52.55985989328073
141,52.646704622625464
142,52.682313294722846
143,52.73881448537352
144,52.56277553585161
145,52.5637470925531
146,52.3620314678541
147,51.929956653187546
148,51.64354364032362
149,51.18337470802959
150,50.57729318026703
151,49.99244242045294
152,49.306793051303075
153,48.569121423721164
154,48.157970333877
155,48.03062438260032
156,47.91818183563211
157,47.811803581913445
158,47.629039410563955
159,47.60901841213408
160,47.34474753057967
161,47.26834159050018
162,47.39853824431835
163,47.49797576991137
164,47.97460969227833
165,48.35842132592672
166,48.46233113814244
167,48.46747628347668
168,48.35096314766171
169,47.927338030844986
170,47.46564828115869
171,46.91226725799111
172,46.69398813949033
173,46.577744795417324
174,46.57435365884607
175,46.520315107640904
176,46.38577917315134
177,46.18083385821566
178,46.18937246494163
179,46.17087968010338
180,45.99628974797109
181,45.744763989573634
182,45.67649857750033
183,45.63984835669879
184,45.580557218777905
185,45.56636920167662
186,45.54043657237899
187,45.42215962790685
188,45.399432531054885
189,45.31480467881466
190,45.12958245321375
191,44.70420178615034
192,44.428764635223935
193,44.07300337800262
194,43.821175691712284
195,43.69428244799517
196,43.65031018977044
197,43.48932591554317
198,43.29476148380831
199,43.10807057547211
200,43.08740659155742
201,43.03177701549598
202,42.92751598572762
203,42.74596088452099
204,42.69178667282247
205,42.64775439100152
206,42.561840911769174
207,42.54346350085353
208,42.53843863181483
209,42.54770889430338
210,42.54078678290076
211,42.49015645455006
212,42.40508085745257
213,42.41924366783707
214,42.4263641285493
215,42.37570744742101
216,42.39034266834694
217,42.47245777442263
218,42.55115243319283
219,42.60907525948638
220,42.597699940476645
221,42.57183231313679
222,42.485647225290535
223,42.38508055528507
224,42.3412318476414
225,42.31186636932934
226,42.1677099669797
227,42.032211768185476
228,41.92120905809611
229,42.04849335390194
230,42.25596578987663
231,42.37946750906508
232,42.490685214146204
233,42.544652496737044
234,42.515406195396096
235,42.45527065484804
236,42.42066877903938
237,42.561156925689026
238,42.83474266134219
239,42.93258582407442
240,42.98291465261466
241,42.91532261641039
242,42.629192034290114
243,41.78905244852704
244,41.7404436121499
245,41.306870391906465
246,41.655157918018105
247,42.121444010840904
248,43.054013789970035
249,44.34326145243386
250,47.19509633000456
251,50.51421989139963
252,54.949822280440344
253,58.10011020700681
254,59.17040242934508
255,59.07468897392327
256,59.180971664812525
257,58.04915056153421
258,58.16998414995151
259,55.82805194467321
260,53.8230044641978
261,52.44860069545096
262,51.63687810853013
263,51.74836053150215
264,51.957101446627966
265,52.813271868251846
266,53.32699168859117
267,53.73210965872524
268,54.571317836006514
269,56.06509566840287
270,57.19532540541423
271,58.93542248994407
272,60.814929615559244
273,61.23815850075799
274,63.708681741087275
275,64.67281688366766
276,64.62429876605495
277,65.38688623617449
278,65.9102662051468
279,66.40207437171841
280,66.54125953905273
281,66.41464595029288
282,66.28697057634393
283,66.69205446112255
284,66.67574988195483
285,66.37402011043704
286,66.65600247493755
287,66.68820126283315
288,67.10017357505684
289,67.92815738650968
290,68.8835774878275
291,70.91867627534458
292,71.27049454991679
293,70.85916796450101
294,71.16813697274323
295,72.61285367741603
296,74.38455014952419
297,74.30899696603497
298,75.3802901832258
299,75.25335374913753
300,74.6600360908466
301,74.51588601902685
302,74.70893858362426
303,74.84847730894467
304,74.80587610816455
305,74.74885373356169
306,74.87047894279867
307,74.80575125791773
308,74.13940418915199
309,73.96890024557948
310,74.08898008242326
311,75.43849101572552
312,75.16317433202724
313,75.44711885378669
314,74.92345957772689
315,73.11366268732243
316,73.09555032178214
317,72.5572831145283
318,74.7344908154184
319,73.4733336508182
320,71.04418253161889
321,68.05010411932622
322,60.505726265034816
323,52.95177784908013
324,44.67575810289423
325,39.94222310125806
326,36.11034620046289
327,33.46734937216811
328,30.98065637765325
329,30.099157108504265
330,30.0061576730143
331,29.189401083943377
332,28.238685403230914
333,27.812619814319145
334,28.42720465954212
335,27.867230274137285
336,27.17910021706771
337,28.124855234958506
338,28.70766346169146
339,28.776083976246014
340,29.87388189447397
341,30.034131379570464
342,29.07141534049257
343,28.69868360001792
344,28.97804594586953
345,29.390939166636183
346,29.745000126851046
347,28.325931462644014
348,29.122133558013328
349,29.54823408448415
350,29.269872443215704
351,30.7383764674478
352,32.77141799405353
353,34.21437031580968
354,34.685106094071934
355,37.31366159773462
356,38.874120990255925
357,41.56325670345638
358,43.6777825684651
359,45.958671431599846
360,48.001231828005224
361,51.53093481849831
362,56.663641726269816
363,57.382664522881406
364,57.90129852681209
365,57.695245151085736
366,58.82859894525629
367,59.866967782776406
368,60.73803168875948
369,60.60490324067286
370,61.19885913882982
371,60.94560980032546
372,61.627859232509934
373,61.16682272440712
374,60.72257826930383
375,61.5208528934406
376,62.43166299486374
377,62.26489014545125
378,61.86062435214603
379,61.4690325127961
380,61.34551925760672
381,61.147543322132194
382,60.91660240364681
383,61.3568081163236
384,61.227963977925455
385,60.907774061098024
386,60.95475742449013
387,60.701065501000926
388,60.48132465679491
389,59.597325433488436
390,58.55837030179509
391,57.24554915587414
392,55.7822597491188
393,54.56807096475926
394,52.49447221829988
395,50.459894082696366
396,49.18557976526189
397,47.73478431088832
398,46.383975268452296
399,45.905286796906765
400,45.62648997625604
401,45.46050449463408
402,45.331068220307536
403,44.89487737724209
404,44.53878784738013
405,44.09582672786363
406,43.30513408956236
407,42.65154670549539
408,41.99227403375826
409,41.128852661453465
410,40.69220684269425
411,41.08225608572605
412,41.30318315382257
413,41.476810645088115
414,42.00819307457721
415,43.05558728098456
416,44.26836641890136
417,45.19404838502009
418,46.00350243826158
419,46.436176666421815
420,46.93063732873416
421,46.81642948173523
422,47.25793014310928
423,47.97537477832261
424,48.625632690691184
425,49.51491674262128
426,50.15070053088939
427,50.069387035785056
428,50.139907787693964
429,50.32239694094771
430,50.18646609293982
431,49.97201173386332
432,50.09701122847588
433,49.93312595347355
434,51.902513408394775
435,53.257610800846464
436,54.25539812888795
437,55.47996656807548
438,56.4574332848524
439,56.5803398734471
440,56.4311358671606
441,56.491501920948146
442,56.594867043232306
443,56.65574650565852
444,57.29209412853003
445,58.288134053826056
446,59.09282532961394
447,59.806751034699126
448,59.921148559395284
449,59.9551528447251
450,59.90626611753844
451,59.92332625758841
452,60.041237280133345
453,60.39240279434359
454,60.968934617298395
455,61.374032235211715
456,63.01418567100707
457,64.19571928003592
458,65.90176543563902
459,68.33657862868432
460,69.1451074435574
461,70.04256012108566
462,71.46122993671658
463,72.47037595819324
464,73.59834281679251
465,76.08904540037527
466,77.9315223419747
467,80.36602247743552
468,83.40729260719854
469,84.80377506523797
470,87.13891141289588
471,87.45226968710932
472,88.45099873341752
473,88.25444418302561
474,88.3151142045864
475,87.84337089097056
476,87.4597584309571
477,88.88425922493133
478,90.3620827193676
479,90.78192336659436
480,89.31230696714675
481,86.89324227142129
482,85.2461375830365
483,82.26870595796044
484,77.63723504337744
485,75.12051155043326
486,71.22416100321722
487,69.2674961046177
488,67.07131219322426
489,64.31816116745198
490,63.090617098495805
491,60.985303792614246
492,57.309909051706015
493,54.34061865816408
494,51.32066832159214
495,48.964462062442195
496,48.80923132478383
497,48.40483632131073
498,48.58758942918617
499,48.245130439690904
500,47.460246620188336
501,48.02916291570611
502,47.145004159199
503,45.53290366439794
504,44.16162305772907
505,41.38821026282971
506,39.68128843927238
507,37.883256546230314
508,36.92464773057144
509,36.889428993912475
510,36.48202863061465
511,36.94800420646026
512,37.53627033589561
513,37.45764996615619
514,37.25297244774604
515,37.344986855665354
516,37.76197499475728
517,37.85598035767704
518,39.25686897310767
519,41.840234563613066
520,44.5497157927582
521,46.61812115614339
522,49.031304709286005
523,51.58185759586714
524,54.99294586793883
525,56.21131691689315
526,57.52586023320415
527,58.42867413970723
528,58.726356532334684
529,58.62628330278864
530,59.82579074137871
531,61.262225641373874
532,61.81464080267079
533,62.425037497439064
534,62.974594521597155
535,63.280494290959574
536,63.76643456579914
537,64.4527123895534
538,64.81336898983672
539,65.48466813015058
540,65.82008664398364
541,65.85009350954478
542,65.76412844075978
543,65.6343238448175
544,65.53251219796951
545,65.5047416605604
546,65.68930403966102
547,65.33616101339035
548,65.19712638336843
549,65.47157877041839
550,66.02329935869595
551,65.78122320157368
552,65.13396487579342
553,63.838772475746566
554,63.786881505141835
555,57.29356441515836
556,51.54108944092642
557,48.650783189739435
558,46.84664239752897
559,45.983503996013745
560,45.42760339930625
561,44.03238059692354
562,43.40810317498104
563,42.969828903442796
564,42.859885099170526
565,42.38650139253375
566,41.953359561704744
567,41.6827443233436
568,41.32263416956684
569,40.44974102511732
570,39.868268533549916
571,39.69700449762721
572,40.0092030287229
573,40.27723850382266
574,40.54558635167873
575,40.13427303072655
576,40.94922034178511
577,45.21720889702036
578,48.75337371230544
579,53.493011884421556
580,53.38524174004211
581,52.77396455180088
582,50.75077147361116
583,48.178897745588216
584,46.61050352498907
585,45.450526457509724
586,43.981875318049255
587,43.165024006376015
588,41.75417815537853
589,40.57831396980962
590,38.39332115459754
591,37.992201832074976
592,37.850520781709115
593,38.02033916276307
594,38.44764560589747
595,38.61243953236426
596,38.721351259269525
597,38.67863787814646
598,39.1132256041342
599,39.123433644560684
600,39.48689125319944
601,39.626178560800646
602,40.06744577781993
603,40.134629470637584
604,40.11069127696307
605,40.104998147217
606,39.72921123427743
607,39.09663043115204
608,38.17416772644111
609,37.463861792451624
610,37.55571715987393
611,37.28740855022186
612,36.91150843696367
613,37.46270494137119
614,36.55017689380856
615,37.176922605927544
616,37.96421571974533
617,38.42403044193111
618,38.58032813855953
619,39.01116876108412
620,39.11086591193013
621,39.33104494861064
622,39.40695477224286
623,39.81832176286654
624,39.726267556709644
625,39.58371849056337
626,39.7927402720772
627,39.9978399720913
628,39.93707142872371
629,40.4618006999896
630,40.833274864923375
631,40.25374210385472
632,39.54405258061061
633,39.1138764502542
634,38.643404396987336
635,39.1110540552741
636,40.373449391528055
637,41.938400004443984
638,45.248834438455404
639,48.868080700369354
640,53.353931047423714
641,60.687945278643475
642,68.392425153571
643,71.9243185731144
644,73.41811812033608
645,75.71400944806693
646,72.84824399891045
647,71.81830066851133
648,73.54776261842622
649,73.95627113507555
650,74.24146273318564
651,74.48254595770243
652,74.50773743578618
653,75.6435005937362
654,75.38224770661436
655,75.27059649497006
656,75.15853380832723
657,75.11582995245087
658,75.03752713870036
659,74.37991952198344
660,72.39186080533244
661,70.94666661228273
662,67.50735636728149
663,67.75735831144507
664,68.20750777730812
665,68.52249892994249
666,66.08825484004159
667,61.97158604592869
668,59.07342591772927
669,55.88852574277214
670,58.066071199666865
671,57.62423534573967
672,57.27884497993833
673,57.40003613768644
674,54.867774910544675
675,54.697949713178296
676,55.18361216911813
677,54.02062699184617
678,53.353666917494934
679,53.30322809723769
680,53.145429212912035
681,53.30307323926901
682,53.24428420562818
683,53.37270748324197
684,53.495449148021
685,53.52690808944758
686,54.132104316696065
687,56.3289135556799
688,56.39068628008101
689,56.433589160074064
690,56.42857976265329
691,56.33855997860821
692,55.694320960012355
693,55.69824331819429
694,54.84615952657167
695,54.713358802413254
696,56.78493037355872
697,56.92593646993363
698,56.85926495801096
699,56.755044573602795
700,55.85868646117744
701,55.655911006468585
702,54.48416885290031
703,54.535116595583055
704,54.59241263232556
705,54.73810176155002
706,53.1468437293697
707,52.92877151304666
708,52.49674871106014
709,52.38880151187524
710,52.289589052159094
711,52.32058007807836
712,52.32326926143951
713,52.48489623350518
714,52.76937299261886
715,53.12691840885816
716,53.68129935262697
717,54.198653901636085
718,55.24065200352293
719,55.413812838205764
720,55.381704916747616
721,55.40035121376716
722,54.890853349057906
723,54.427675624923104
724,53.81028252816653
725,53.61090932630328
726,53.49226639685821
727,53.46141866246551
728,52.304054739953706
729,52.213693012715716
730,51.90071776362814
731,51.726847990303746
732,51.10286724065062
733,50.522805216259364
734,49.82799636162129
735,50.012628408290304
736,49.156455583211304
737,48.79183287600862
738,49.12527212823357
739,49.8500178689564
740,51.95606841126175
741,51.90965987418787
742,52.41916105508077
743,52.92843949656058
744,54.0689567446422
745,55.42282364907837
746,55.54863626802486
747,56.11843943679611
748,56.41950666670886
749,56.502810638312546
750,56.531339123008074
751,56.61501360697128
752,56.64499507966943
753,56.62904008175124
754,56.569908824300136
755,56.348545984595255
756,55.7071850019631
757,55.27081093716196
758,54.45786861225193
759,52.97156114248495
760,51.17604568458357
761,49.57442532952769
762,49.16037812714098
763,49.16055287746135
764,48.870146706121986
765,48.88757511423119
766,49.595766064400884
767,51.36819181389173
768,52.55289395622759
769,53.71816670354853
770,53.39254640389404
771,52.604589789015456
772,54.16743933598544
773,55.31643848362307
774,55.64179740309289
775,55.621313852389356
776,56.28673289358768
777,56.51133399350586
778,57.05029758562981
779,57.9777706581693
780,58.38259126862321
781,58.452653394543816
782,58.69817389388176
783,58.663510728683754
784,58.72509309792638
785,58.76795723363229
786,58.37678955365026
787,58.206512913673876
788,57.93151025607876
789,56.18159792124166
790,54.20471868132419
791,52.44538511205979
792,51.73757553755451
793,49.569745255868135
794,47.854900209683365
795,46.51839466005847
796,45.27175511577027
797,44.63121493504267
798,43.6592544537093
799,43.065404861539896
800,42.93254400526521
801,41.89472335082778
802,40.63133513462086
803,40.11515723682308
804,39.746444167795765
805,38.62098246985001
806,37.930155587752914
807,37.71320874513121
808,37.16627792452126
809,36.80346222062168
810,36.53689040365887
811,36.268893429311916
812,36.15615013928086
813,36.243038461632395
814,36.34361612166475
815,36.05235622708948
816,35.569576306374756
817,34.896408437165825
818,34.066317197313644
819,33.64582107456439
820,33.43446218990585
821,33.49064736781801
822,33.626517651383274
823,33.904443674609915
824,34.17046631050013
825,34.22801217990488
826,34.27467451821379
827,34.270146960092944
828,34.1297234257546
829,34.04930028782146
830,34.039538475975526
831,34.04229903753649
832,33.98251248392306
833,34.029797992583404
834,34.07827478623719
835,34.3603235652285
836,34.57083439256041
837,34.91723605801921
838,35.23635432241245
839,35.37951837176925
840,35.63135809196046
841,35.704329043349816
842,35.83562667271457
843,35.91932527626019
844,36.05444220430925
845,36.221568653734764
846,36.38275869126173
847,36.67168100454138
848,36.93090988993647
849,37.224984558669824
850,37.3436833741505
851,37.39381267035559
852,37.799214818948975
853,38.17424632828761
854,38.41282562418785
855,38.59062409217148
856,38.7806065095683
857,38.812078343812445
858,38.87823757836422
859,39.00428572371676
860,39.02682275972771
861,39.071121016479104
862,39.016751349443126
863,38.91228996302925
864,38.82827051718266
865,38.759158534963795
866,38.78800906490045
867,38.932260151015
868,39.09600092454535
869,39.28171690953061
870,39.389985044908066
871,39.41265521978064
872,39.45802235213237
873,39.62348095180976
874,39.79803364982423
875,39.8347336962478
876,39.914690267971714
877,39.77590551210495
878,39.71258892404832
879,39.65116745047312
880,39.626249997325594
881,39.564667947480245
882,39.50246463145492
883,39.208434366408866
884,38.817329430114135
885,38.441026113486416
886,38.25901513213538
887,38.09359171264672
888,38.07050025550502
889,37.98717813711876
890,37.886523558545626
891,37.85438908525581
892,37.767896122728615
893,37.71231786937929
894,37.68161756031466
895,37.60447372660771
896,37.615232261208796
897,37.651741075710675
898,37.71084293666345
899,37.8162398423779
900,37.978044077093394
901,38.06768268654819
902,38.20009063830996
903,38.35385020804373
904,38.557850554067905
905,38.695448862035875
906,38.822103924261185
907,38.89093804096702
908,38.946104738167016
909,38.989909901598885
910,39.073584278608095
911,39.136595795458994
912,39.141639909265386
