,angle
0,105.55018957786298
1,106.61053514974598
2,107.00021121557471
3,107.56341331617551
4,107.99647524434212
5,108.1179627178801
6,108.07539242743108
7,108.33236007602504
8,108.48447663186401
9,108.47126106841078
10,108.32696409323775
11,108.52205869614043
12,109.21022787062704
13,109.37500893168229
14,109.80027270629049
15,110.38033638814858
16,110.34876547291896
17,111.82189182126486
18,111.99538839601298
19,112.0539605762113
20,112.44398405302826
21,111.76234175717326
22,111.53377427383042
23,111.40932399482276
24,111.26442546684112
25,111.1465965942431
26,110.92930463548856
27,110.8487551696549
28,110.91205738752595
29,110.92877521954159
30,110.90111630688678
31,110.9157400062156
32,110.90621075638767
33,110.99806976420639
34,110.93269604410656
35,111.10487393604795
36,110.76813840525071
37,110.99796623386268
38,110.51264528618104
39,110.20050770668746
40,110.10806975463846
41,110.2105208632029
42,110.41159619340435
43,110.71650179044684
44,110.74318005913536
45,110.73856435135697
46,110.55695813215733
47,110.4332069001691
48,110.20140362791388
49,110.16526250029939
50,109.75172936623677
51,109.76251285653225
52,109.8536919709553
53,109.76383286127003
54,109.79223545711345
55,109.84047588516012
56,109.91621536669571
57,110.09130710968725
58,110.07636348610959
59,110.11119888447004
60,110.27043442727742
61,110.57546335889145
62,110.53759688138992
63,110.2964120208142
64,110.14956128377204
65,110.09091314042425
66,110.08735063983333
67,110.33380020930805
68,110.99353849250942
69,111.34974782872362
70,112.29720344315186
71,112.6391893219745
72,112.68730441030232
73,113.02776303407833
74,113.43012658602518
75,114.08988630249699
76,114.37697697493796
77,114.71702236417346
78,115.17590545284266
79,115.69399628943016
80,115.55844483751629
81,115.49013865594982
82,115.39387409034853
83,115.38654463902274
84,115.2448370031432
85,114.9279183953736
86,114.79555662902025
87,114.22399367607147
88,113.62693649453769
89,113.25571023550286
90,112.90294392983711
91,112.88617916073812
92,112.69070888971986
93,112.71960675493371
94,112.74200789731404
95,112.70931600892948
96,112.58420045449584
97,112.45390545079438
98,112.32657045427091
99,112.13223195080307
100,112.05929291559127
101,111.9070802346903
