,angle
0,35.2950571716116
1,34.80096824403289
2,34.345983610542554
3,34.21282713423735
4,33.880861557628776
5,33.682535642389574
6,33.63492129008566
7,33.69566399483172
8,33.69749991298442
9,33.731266925590745
10,33.728923888972915
11,33.78334917996823
12,33.94824214748203
13,34.01098688202303
14,34.02814973704451
15,34.064630345615846
16,34.0630410764294
17,34.07242950877222
18,34.115726564076866
19,34.128480020743304
20,34.13758666769322
21,34.12420617530398
22,34.140936099088805
23,34.14378764833835
24,34.12025309134797
25,34.10534316948523
26,34.10226623069826
27,34.11509271120295
28,34.19338734059501
29,34.28180851510136
30,34.3521717288253
31,34.49422577841577
32,34.81682128191224
33,34.98430589968026
34,35.14600098791758
35,35.24340901049321
36,35.35304746870666
37,35.55136517523357
38,35.7994015571341
39,36.28312564982527
40,36.75133301842436
41,36.93507104874969
42,37.07770282199412
43,37.13225936146801
44,37.14392835242189
45,37.14626904881926
46,37.17806442429362
47,37.24913256500721
48,37.328999910055295
49,37.356327653565046
50,37.2798799730605
51,37.26821588900803
52,37.22938001228777
53,37.20839120323895
54,37.197063173051596
55,37.195186518119684
56,37.23484434618486
57,37.315663309441554
58,37.40988155082273
59,37.47527497737492
60,37.52591342982575
61,37.50483944819011
62,37.46954815283982
63,37.44891944476459
64,37.48295272202443
65,37.48101240415997
66,37.44325074479825
67,37.403817771593886
68,37.39643591442816
69,37.30715954464081
70,37.237986335183315
71,37.11684216689069
72,37.08575070525884
73,37.049031574959045
74,37.03568319876134
75,37.11364247770548
76,37.16736805205556
77,37.201701637225646
78,37.2105909766294
79,37.160665901861535
80,37.04897712715392
81,36.805385445040486
82,36.717088520445095
83,36.58860559505641
84,36.53024043529044
85,36.39589580565852
86,36.13560224297857
87,35.81859262511977
88,35.558974760946384
89,35.350879216370416
90,35.29626482633233
91,35.2757025786764
92,35.31200882135755
93,35.53428506580624
94,35.616731957479715
95,35.68016702871272
96,35.885388874264294
97,35.94137154527182
98,36.01933838151639
99,36.18894308023741
100,36.207518097581804
101,36.23616659796876
102,36.313960037406076
103,36.39065703238375
104,36.39258844446452
105,36.43326076926509
106,36.51405735513767
107,36.53318259338357
108,36.5208357756049
109,36.50185483500057
110,36.48207114968569
111,36.490784223905024
112,36.477018079515965
113,36.4950928774033
114,36.54623508845971
115,36.57284821570844
116,36.628874280799266
117,36.65558596503197
118,36.64434428097933
119,36.62302778528277
120,36.63857574546592
121,36.66646628646068
122,36.68778891717406
123,36.71464461372358
124,36.745004338992
125,36.75949395337466
126,36.77338202894592
127,36.81591196976203
128,36.81877512368712
129,36.82653905598372
130,36.84395102615664
131,36.8768315470343
132,36.88436759853093
133,36.86268631151597
134,36.84971046128612
135,36.8430383145195
136,36.829999310632864
137,36.86747544100579
138,36.918850655551566
139,37.012359770832006
140,37.18580449485869
141,37.357225998941715
142,37.56392168917914
143,37.68535340814083
144,37.93362230243032
145,38.22888812173875
146,38.406145526440085
147,38.44340868976883
148,38.43408089607929
149,38.332744498368264
150,37.830787098541876
151,37.243441523802765
152,36.31975228585067
153,34.859534181957734
154,32.79784364749469
155,30.559607760549913
