,angle
0,97.58239581057344
1,97.58524347914917
2,98.00087477663321
3,98.01769191081627
4,97.9697478923904
5,97.94094405265312
6,97.99231789852705
7,98.14818033548234
8,98.36896314435327
9,98.39664153231413
10,98.33117053511356
11,98.27184817907711
12,98.17898710544551
13,97.97988558212329
14,97.69834463319114
15,97.39681578126718
16,97.14735744984887
17,96.94954200488866
18,96.88706219392027
19,96.81937501898415
20,96.81429617451023
21,96.77626574132394
22,96.7790678324126
23,96.7916252322385
24,96.18191272426934
25,95.89048104616442
26,95.87888726306348
27,95.89325730499135
28,95.70839078027306
29,95.37299039261349
30,95.11856801262398
31,95.29761222401731
32,95.41400823999274
33,95.62805446890853
34,95.913582772289
35,95.86398585689486
36,95.86542155998498
37,95.78697642097477
38,95.5850826428939
39,95.31471195995357
40,95.19114359999233
41,95.16724801809403
42,95.2987731774073
43,95.30534501471924
44,95.36449749018054
45,95.44610502742958
46,95.45263627410802
47,95.4906159402767
48,95.65093320638293
49,95.80370321120809
50,95.88755156732888
51,95.97626105676191
52,95.87532070085757
53,95.7627441109974
54,95.75734138226983
55,95.72366771714222
56,95.82565509386014
57,95.86455481280657
58,95.90871280919188
59,95.9008623043117
60,96.06023420654358
61,96.16330478031058
62,96.2179163936892
63,96.22343197808863
64,96.17811189940116
65,96.28087896911262
66,96.18788722640997
67,96.18330542651138
68,96.23327777799662
69,96.44822096119054
70,96.44825401565957
71,96.35342097918966
72,96.4161556958215
73,96.01240650267893
74,95.73121889529051
75,95.69327252028074
76,95.71321310997551
77,95.6940064911767
78,95.81029636497864
79,95.96351346105551
80,96.04321637247735
81,96.14652274546765
82,96.23987618039803
83,96.36477540938304
84,96.27470731307153
85,96.24723792833315
86,96.27436392955858
87,96.18322315927672
88,96.04491564068596
89,95.86287322908112
90,95.70325843957363
91,95.55550845623516
92,95.33544029187858
93,95.20639394147624
94,95.20834935765818
95,95.2034051731564
96,95.29956485377856
97,95.35415333490785
98,95.40517366358442
99,95.40579427159089
100,95.40403125073972
101,95.43168326601679
102,95.49670375212459
103,95.5036533742611
104,95.5832840524312
105,95.52349348602394
106,95.40974803364925
107,95.3224894416723
108,94.92338569945164
109,94.87134932886356
110,94.72952192240443
111,94.73707746071986
112,94.73580809413691
113,94.71745008497139
114,94.78292703718239
115,94.85659766965416
116,94.88446106923017
117,94.86898162838101
118,94.89778058526947
119,94.91404227115817
120,94.95374317027478
121,94.97800674517374
122,95.04626924131028
123,95.15096864383965
124,95.2214147556328
125,95.33251076561184
126,95.3042380854727
127,95.30799537462455
128,95.30666852629278
129,95.26111390868154
130,95.1888564322459
131,95.46132819913488
132,95.67807537117461
133,95.70838713784735
134,95.67672672128437
135,95.57620623196868
136,95.48505623747806
137,95.44164455232081
138,95.42131498343001
139,95.39396269540346
140,95.38683818127436
141,95.31728667440126
142,95.34819174500262
143,95.37174588048008
144,95.35747632391973
145,95.23106287464569
146,95.0368508871887
147,94.33502056646407
148,93.99631664390822
149,93.82291559949402
150,93.86545124359122
151,93.76274745096782
152,94.44216808624968
153,94.43112791693089
154,94.19370830854282
155,94.09853071755312
156,94.1672877090399
157,94.2067419954809
158,94.2214841608157
159,94.15251013128895
160,94.22462955746781
161,94.23771019137116
162,94.27508459781623
163,94.44018889802763
164,94.49799911251617
165,94.6078797866871
166,94.64853667640844
167,94.8369363186722
168,95.73062896530337
169,96.16906890949542
170,96.227851330301
171,95.89261256605589
172,93.70134914183855
173,91.5204182673227
174,90.7759324246825
175,90.48367969794293
176,90.15258786541389
177,90.2822435914134
178,89.89861379986526
179,89.36420136954767
180,88.54080654916388
181,88.30258937293841
182,88.88517009226106
183,90.19677512774244
184,91.45447204933797
185,92.70098069040027
186,93.95574088834942
187,95.6836155486557
188,96.21262497466084
189,96.77883027195696
190,96.73859791259952
191,96.54481560075052
192,96.22277229295172
193,96.1349444069766
194,95.48651755390324
195,95.38886604401092
196,95.48639921957381
197,95.26464008935542
198,94.4249403128631
199,94.1393636452126
200,93.89064922615184
201,92.74011842866769
202,90.90206382054637
203,89.98595865077661
204,89.18132949963487
205,89.20866283737273
206,88.9050851322615
207,88.58278377640225
208,88.09382506103582
209,88.21429844413173
210,89.25832887598894
211,89.8744581668667
212,89.90864222681822
213,89.99581431475731
214,90.08920337923985
215,90.07072580314207
216,90.35462777993108
217,90.58706225494467
218,90.75531402892669
219,92.51553824230469
220,93.57135224342169
221,93.84719183083325
222,94.41946180122358
223,94.50396863629331
224,94.35630523363253
225,94.365920661888
226,94.92114711071324
227,94.04780409366525
228,92.67926639623104
229,92.18562948137956
230,91.3441819917019
231,89.6208040441142
232,89.24425368278969
233,89.24044931818233
234,89.97499186790422
235,90.26753992187797
236,90.31477760763367
237,91.6660252867491
238,91.7917653554109
239,91.87437836912633
240,92.01287361950799
241,92.00582610762731
242,91.91979926512033
243,91.88081593740307
244,91.60525966689072
245,91.58011386662305
246,91.3864449273257
247,90.81863286905106
248,90.82315888735334
249,90.77075609882618
250,90.9215128510538
251,91.1520301461259
252,91.13478040543977
253,91.22559153924665
254,91.1397515750843
255,91.06362658561318
256,91.10147400073815
257,91.20019334250263
258,91.27232854857486
259,91.25760958361124
260,91.2311700848158
261,91.26334978962252
262,91.49986788755099
263,91.76488963851585
264,91.7702558279682
265,91.78028581788222
266,91.74463734008867
267,91.60485431929568
268,91.55023821995513
269,91.44807542468602
270,91.3070105877294
271,91.36435119206887
272,90.9296887072917
273,91.11030092126144
274,92.1218688790129
275,92.39484742456033
276,92.87444564546577
277,93.6811855501717
278,93.27933894582615
279,92.69936046832346
280,92.6090379485789
281,92.67652748251527
282,92.78974892713003
283,92.52139060080187
284,92.06788223795658
285,92.0088918424677
286,92.30879898305525
287,92.67901128252169
288,92.73254788060122
289,92.58743339127922
290,92.38687609040775
291,92.194331259227
292,92.1397013682609
293,92.08084660421694
294,91.97072573764115
295,91.7596201560413
296,92.10608546630434
297,92.17985996919212
298,91.86872115360006
299,91.90929421345436
300,91.97318791060364
301,92.9858916251562
302,93.67004786458574
303,93.01355444213196
304,93.233760304131
305,93.61184124266713
306,93.71054111007423
307,93.99362768166814
308,94.09798489662533
309,94.04743763655136
310,94.37236491434619
311,94.46797204535811
312,94.49541783365618
313,94.82072231115605
314,94.93487470412536
315,95.0699258152227
316,94.96832291981245
317,95.03414205790814
318,95.00262192834437
319,94.09701168577993
320,93.40524331569789
321,93.31541921130814
322,93.23873557771707
323,93.17960422037595
324,93.21516605097463
325,93.31809582675048
326,93.13665077179242
327,92.56069541880021
328,92.61220953065984
329,93.33981496276866
330,93.30284547554395
331,93.42828082388793
332,93.54959323384323
333,93.74282873984713
334,93.86290452536802
335,94.02285804886507
336,94.01484602467869
337,94.28253005516683
338,94.37508852870286
339,94.64876172436759
340,94.47684853933492
341,94.93808285380344
342,95.53333440276579
343,95.80266818635378
344,96.40925475427144
345,96.32059340532203
346,97.52267467598978
347,99.41295601145602
348,98.70913256988922
349,98.04524446603197
350,97.59816915933551
351,97.25581296829873
352,96.37175517966483
353,96.63234897507915
354,96.85758097964967
355,96.47304681994584
356,95.761902110941
357,95.28012570557283
358,96.01449243787295
359,97.04714708260389
360,96.73121150676509
361,96.68977746249104
362,96.35443437444444
363,96.26583603193303
364,96.65529607086324
365,97.58888532149268
366,100.32568019980488
367,99.71929816256556
368,101.67795492574231
369,101.31749567102202
370,100.93383607020462
371,101.14774498964681
372,103.62959015495363
373,106.26907654912432
374,107.55013347932541
375,108.7373412779489
376,109.97384706984028
377,108.82674556742654
378,106.99362847248881
379,105.56678577370778
380,104.69724563155839
381,103.8212776534055
382,104.64137240502242
383,105.71651097709218
384,105.83081194125444
385,105.38941645835001
386,105.66344152946564
387,105.96250232298979
388,105.81090403636895
389,105.91087450999979
390,105.8960130718931
391,105.66804297794982
392,105.1331137052737
393,105.20016976247672
394,105.08152129294442
395,105.29360761432659
396,105.4253578176914
397,105.68396098444902
398,105.75023952083555
399,105.88984193789253
400,106.00690933838939
401,106.08171108279126
402,105.80566192951855
403,105.79230885394469
404,105.64031717969732
405,105.76494949458703
406,105.95796819479881
407,105.90803035877036
408,105.83058810004647
409,105.69503439172647
410,105.22808196676138
411,105.22133483179582
412,105.2126049086092
413,105.24263456239728
414,105.21018281230002
415,105.12268998520264
416,104.49493158662548
417,103.76684975024392
418,103.09801896335748
419,102.52518402998896
420,102.04903131566813
421,101.79462684886576
422,101.77076882526315
423,101.71245699756119
424,101.45204753389132
425,100.98583438628448
426,100.49514923922392
427,100.3911126004483
428,100.2325345654443
429,100.24539530624624
430,100.2776970963824
431,100.24872642753824
432,99.80212271757097
433,99.49487980644389
434,98.69862018678528
435,98.34965103372866
436,97.37694168077853
437,97.09794540449704
438,96.86351123891858
439,96.08183993478514
440,95.36631262231265
441,95.30451534477587
442,95.46872949560829
443,95.42335415689452
444,94.96947298237944
445,94.82511558755418
446,94.65206531155177
447,93.94743699938296
448,92.95166466180889
449,93.34139290454094
450,93.48687140296309
451,93.67069707161912
452,93.74850276432453
453,93.61894694170546
454,93.77855207383168
455,93.8904633890229
456,93.67187908721444
457,93.89780878189916
458,93.99656055518344
459,94.13006436487315
460,94.79184878539827
461,94.96778129750562
462,95.04670413863256
463,95.18151289847978
464,95.82254151988124
465,96.86174994037951
466,97.34821455447148
467,97.68597243452892
468,98.23165330651132
469,98.09204123942553
470,98.01921169987699
471,97.84456574608087
472,97.78435969008233
473,97.81970431359632
474,97.92783078867383
475,97.98138051019083
476,97.90324726673114
477,97.66823492986732
478,97.36526247390624
479,96.88766864990185
480,97.10247838112296
481,97.10426578967133
482,97.1428332032726
483,96.98699565093911
484,96.65220317464293
485,96.41118670547469
486,96.33334997526951
487,96.46299870415555
488,96.7944179701195
489,96.99747597696648
490,97.14275222823397
491,97.21473918718416
492,97.15860691803012
493,96.76654957940616
494,96.35627926976717
495,96.13744694158962
496,96.12941904590642
497,95.89193136858111
498,95.64875424109883
499,95.54022672588385
500,95.2159013627035
501,95.36604210782993
502,95.6871081932821
503,96.34442090801045
504,95.87027727074158
505,94.43136413816734
506,94.23634226644315
507,94.30959699455016
508,93.12819319237504
509,92.93967967101635
510,92.77822229303997
511,93.98246250947476
512,95.0710198933223
513,95.02037619524147
514,95.28356466162923
515,95.31589757143088
516,95.2540483351052
517,94.94929908832816
518,94.59657087147995
519,94.42640296012846
520,94.33302502944397
521,94.43244364693622
522,94.56035329385782
523,94.84052915672646
524,94.89667679114127
525,94.56368809110508
526,92.80994546514498
527,92.96966302225448
528,92.55032525163847
529,92.64326832734673
530,92.59515651315206
531,92.34825601239633
532,91.80474471565064
533,91.70048624878503
534,91.66704651641864
535,92.29991943952201
536,92.18542522776701
537,92.129914299428
538,93.21457298661224
539,94.60889004087736
540,94.4054618932598
541,94.8815529786311
542,95.25339047144797
543,95.54510625512519
544,95.64847201615659
545,95.77304189158703
546,95.85533331039144
547,96.20717303430433
548,96.63174864767707
549,96.82646071127121
550,97.0264370338694
551,97.00197316118509
552,96.79497346795118
553,96.74173525229186
554,95.91714265343661
555,94.53491317423777
556,93.32331311961826
557,92.79476587345319
558,92.72577803032883
559,92.92372414473347
560,93.11375468087537
561,92.98424141694822
562,92.60599355894118
563,93.63169369581779
564,93.65711037534126
565,93.1474251249355
566,92.66804816872161
567,92.26811755986557
568,92.47778568041483
569,93.36735216636812
570,93.52194015835023
571,93.57025379800864
572,93.96563120450904
573,94.54967873044251
574,95.43644528242969
575,94.45737772544763
576,94.7829159093815
577,94.84599123284444
578,94.98705824264549
579,95.37581565495643
580,94.60906310635023
581,94.46912146782199
582,94.50881817212179
583,94.71313943591527
584,93.89756483578819
585,91.77551270293202
586,91.39686278628517
587,91.43263898031876
588,91.11682714239734
589,91.16930998838308
590,91.20049795465188
591,91.06351261997091
592,90.95884147269801
593,90.96844326640682
594,90.33223857947671
595,91.0778832563466
596,91.36317730015415
597,92.25413957062159
598,92.94025757117714
599,93.10170450839759
600,93.1511207333414
601,93.1446475536424
602,93.30557283365972
603,93.64262807825477
604,93.54173369859612
605,93.46096002659219
606,92.3727970352148
607,92.4128192372092
608,91.44868079560518
609,90.48184003136443
610,90.27940875238875
611,90.55706951296382
612,90.74037081102293
613,90.81629378244527
614,91.00846309876671
615,91.41755591342664
616,91.5911053335764
617,91.65345682267441
618,92.00756328550548
619,92.46963735251894
620,92.50491183638125
621,92.5886850463854
622,92.68470669797405
623,92.71344003077822
624,92.99724874201115
625,93.22875765622125
626,93.15720126754559
627,93.12301803893949
628,92.77206422879425
629,92.21050025043958
630,91.80826967162778
631,91.66650395842225
632,91.58037786084448
633,91.5447289079904
634,92.03888576050609
635,92.22700436628352
636,91.9591567055887
637,92.05131864621849
638,92.26421664264312
639,92.76457023401244
640,92.86333005503155
641,93.51025030419473
642,94.88257557724975
643,94.2449478272417
644,94.10859427049151
645,93.63606986976048
646,93.5249183125972
647,93.45892539902808
648,93.49799424542098
649,93.56394264767069
650,93.65965250260437
651,94.33041042992184
652,95.14759688471186
653,95.10000699302265
654,95.14200392665546
655,94.32807013738294
656,94.04600613217437
657,93.1093734103737
658,92.30126639358842
659,91.67089510458109
660,91.69360025489179
661,91.79724473199947
662,91.75358021211046
663,91.89775435808015
664,91.92178225233886
665,91.99571503408909
666,92.08224253757378
667,93.0475648655801
668,93.27651105062333
669,94.36699627579611
670,95.64208156782645
671,95.70242443963843
672,95.0457198435287
673,94.36702710323824
674,93.90241962292575
675,94.90233234902645
676,95.37487995744628
677,96.09346230389167
678,95.81661256719582
679,95.80209388514905
680,95.58297977878429
681,95.04906827572658
682,94.71821630264098
683,94.66718250407779
684,95.24610496633794
685,95.35006057696184
686,96.11567823848245
687,95.99344021942677
688,96.0734442878224
689,96.42586054843296
690,96.44492850888113
691,96.97777483277066
692,97.1249693596758
693,97.58098197880146
694,97.72013204038633
695,97.7517596455701
696,97.90710802143087
697,97.8388201646527
698,97.85468810243849
699,97.94820901998234
700,97.87675786046991
701,97.86146718586265
702,97.88981179384048
703,97.9954270964154
704,98.05881215510689
705,98.2233532077266
706,97.6015408639691
707,96.73919282317154
708,96.1979316037896
709,96.39082308132069
710,95.98204722248983
711,94.15071369646881
712,93.34893522931296
713,92.90834616695822
714,92.55923376826271
715,92.66991847310148
716,92.9097139430776
717,92.95264198028659
718,92.94387584696177
719,93.05089164017373
720,92.95667097775551
721,93.05052416210681
722,93.23986529798432
723,93.42325862166335
724,93.64581018071964
725,93.98410486297209
726,94.22128347084914
727,94.27387291974276
728,94.35178414702283
729,94.3762517308438
730,94.47208475754837
731,94.59166354125783
732,94.53571410176052
733,94.47353359612661
734,94.47103996758557
735,94.37097296112228
736,94.34321258936428
737,94.44633997164179
738,94.63835271741213
739,94.7863244509407
740,94.85954824328
741,94.74819927684734
742,94.68323594197325
743,94.51205599677331
744,94.2411716598297
745,94.01496084391505
746,93.75794352114201
747,93.65821947983363
748,93.50826766161919
749,93.45547507176474
750,93.36771306808292
751,93.35186969393311
752,93.26599698925642
753,93.17542281069974
754,93.31823353591956
755,93.49220229900226
756,93.65644444332908
757,93.81415589557525
758,93.93343741233413
759,94.12562932819945
760,94.36214585144086
761,94.71669651403231
762,94.8592325004509
763,95.04163732266137
764,95.21870995271628
765,95.30128735158836
766,95.25161088950973
767,95.28432571479514
768,95.17975869975292
769,95.20676616594147
770,95.34269031543016
771,95.47574240893903
772,95.46809971883594
773,95.30225206923011
774,95.25101859866881
775,95.23929323088127
776,95.16490419757649
777,95.10140820818926
778,95.04170027306486
779,95.0440407490855
780,95.15680273551669
781,95.26657356836287
782,95.22927919964758
783,95.26282504236268
784,95.31651533974188
785,95.3392103354865
786,95.53728813657547
787,95.73187556601808
788,95.79286436717744
789,95.71276703254408
790,95.50653975026223
791,95.105931087427
792,94.87115716802211
793,94.72177155731745
794,94.56789777332403
795,94.56145053909258
796,94.58278364805668
797,94.58826877190235
798,94.5900915029112
799,94.56589878574435
800,94.49845661721095
801,94.48801587992715
802,94.65215591753555
803,94.95799181780836
804,95.19711840100967
805,95.29688720031086
806,95.33612759661416
807,95.40441061478543
808,95.63552236087723
809,95.87098659953587
810,96.5871023612265
811,97.3389184148091
812,97.76761496961707
813,97.8800980448023
814,97.8090138373258
815,96.67495251641458
816,96.5118570224682
817,96.41325820891349
818,96.44818800021905
819,96.39258502422749
820,96.45000218661053
821,96.7173714249682
822,97.25302031983018
823,97.5760430593121
824,98.26094114034585
825,98.89851823073987
826,99.26545269891767
827,99.82467178891626
828,100.31450383195231
829,100.35166816435816
830,99.74604757152022
831,99.49454595875345
832,98.99877339922595
833,98.60701390651252
834,98.31245767489816
835,98.0799030764031
836,97.87134683569543
837,97.7812810810577
838,97.62052362145303
839,97.45429505565244
840,97.5438061967122
841,97.67215849575516
842,97.66251491649011
843,97.6447463488499
844,97.59296343175289
845,97.48776543241038
846,97.5192689973358
847,97.33637861393984
848,96.73752046853663
849,96.80696483023019
850,97.10149969612554
851,96.81573850550498
852,96.6715169056123
853,96.499257345993
854,96.34611289755483
855,96.26304217605384
856,96.07348629092114
857,95.87766943773087
858,95.65132734024003
859,95.49920711948782
860,95.2227915317375
861,95.48602648947993
862,95.71663650024163
863,96.64580736066063
864,96.35073276210962
865,96.13199614840892
866,95.77993728825042
867,94.4271484982268
868,93.33209507040591
869,91.8289546803898
870,90.98153659917413
871,91.10620878075251
872,91.51051524491064
873,92.05300193019616
