,angle
0,56.5576326830532
1,57.03981194070301
2,57.592285528808404
3,57.69324590899264
4,57.76995430950771
5,57.898937388993495
6,58.03707104884787
7,58.48644888075445
8,58.86523464801037
9,58.982808575599336
10,59.24941229757253
11,59.68227122428193
12,60.3064145657502
13,60.798509261592294
14,60.935070591932394
15,61.18529641476126
16,61.236809901575
17,61.27249186813626
18,61.28335177057214
19,61.24856982519884
20,61.16829310925417
21,60.98824084969116
22,60.88200632614481
23,60.80130580495234
24,60.627971912280806
25,60.261030730249104
26,59.985217528659064
27,59.61395122172585
28,59.599002515682976
29,59.218254698635626
30,59.52179710079462
31,60.05832467781788
32,60.48876654538967
33,60.76254729778608
34,61.18372778061355
35,61.43047090554842
36,60.584813497774896
37,59.80369379943993
38,60.00030888355756
39,59.747263851512216
40,59.458100590566325
41,59.28602913170249
42,59.13499891028693
43,59.05633071483573
44,58.84908692038171
45,58.768520290599945
46,58.76664910483732
47,58.7621837286774
48,58.816828672138605
49,58.81306830528203
50,58.88170024468393
51,58.94818284593171
52,58.93950572423395
53,58.85825861525107
54,58.78398511789483
55,58.724963394341955
56,58.63992867876249
57,58.53464864354554
58,58.39674362068587
59,58.29304633653577
60,58.15615994618334
61,58.217109120767674
62,58.26190334574266
63,58.42977538118606
64,58.71462861507971
65,59.06091918454131
66,59.58308299535536
67,59.708193993460846
68,59.91825001521561
69,60.26494573217679
70,60.61882581955679
71,60.829806054273476
72,60.67046434351463
73,60.54977038799564
74,60.3918784996943
75,60.35249432193232
76,60.34173238724967
77,60.409000600093094
78,60.528252010186364
79,60.485993047048645
80,60.44589025651928
81,60.49821433990248
82,60.53520490405238
83,60.741115280598066
84,61.00387892275147
85,61.11911704077299
86,61.1975054058979
87,61.248445073651006
88,61.417243155534834
89,61.48297486226543
90,61.53528333908373
91,61.56763829540134
92,61.519322296655204
93,61.597753463350415
94,61.456296690616064
95,61.446828670428836
96,61.35667005792758
97,61.24295702223124
98,61.18463091809492
99,61.09785813694414
100,60.94361594771896
101,60.80909338953757
102,60.78698545282233
103,60.88801904559326
104,61.15192882223785
105,61.31042489455274
106,61.43762226732427
107,61.65248165716323
108,61.785085619705605
109,61.87577337908021
110,61.98248502389051
111,61.86863369482688
112,61.805517180729545
113,61.8174115154003
114,61.76414616153903
115,61.635865219285144
116,61.60741697535508
117,61.59584349395769
118,61.545320018346345
119,61.54907508733378
120,61.53232596312515
121,61.53648550516476
122,61.5254668391545
123,61.56753975515314
124,61.61817637978557
125,61.649140754989624
126,61.70752696693814
127,61.762061156941606
128,61.80482359001509
129,61.92432010207222
130,61.98886076614691
131,62.051902539972446
132,61.70668668846786
133,61.62286997730066
134,61.523374949569536
135,61.28497036710146
136,61.16314446312159
137,61.031613568636345
138,60.98090174669366
139,60.88638572656584
140,60.83172366901064
141,60.50350374176632
142,60.21668544679734
143,60.111465460794925
144,60.204801514988574
145,60.3530041026417
146,60.15903484698779
147,60.25082902433981
148,60.5518871349668
149,60.442292461754974
150,60.60719603357053
151,60.941813231406776
152,60.8019139557795
153,60.106257204527914
154,60.37011497320508
155,60.31177317133806
156,60.38418584676405
157,60.42323873985892
158,60.30687890418176
159,60.4846668377212
160,61.23580947751563
161,61.944254296360924
162,63.072480737356166
163,65.2837603223726
164,66.00458733266582
165,66.57434561677802
166,67.96447579515784
167,68.37913003882744
168,68.95475976845107
169,69.9349665669683
170,69.60912231760341
171,68.47729111744269
172,67.82577480622444
173,65.57683642342054
174,63.75468199678038
175,63.06380085976458
176,62.663118078721155
177,62.523434561089395
178,62.420372239858125
179,62.70231646450269
180,63.076996539370356
181,63.165966557401525
182,62.946510314627005
183,61.21529794125427
184,60.325894433174355
185,59.84885840420647
186,60.81206965761866
187,62.84296379499277
188,64.04096940258911
189,66.47379241249345
190,67.14299844649435
191,67.43291764431697
192,67.22774665202155
193,66.22220491844422
194,65.71019712676141
195,65.61326510950505
196,65.30885866115052
197,64.85020228314961
198,64.36881788517259
199,64.06269697063335
200,63.77424935908469
201,63.15950808340491
202,61.89676140701257
203,61.68062760949846
204,60.98470906037647
205,60.9636704542279
206,61.07065113204734
207,61.8422537717234
208,62.62818377027904
209,63.3304629598515
210,64.01115051545098
211,64.182391063931
212,64.01973179196126
213,64.19019651098961
214,64.96397678919985
215,66.73796818805297
216,67.1628943532893
217,66.5973950051799
218,66.14889941748697
219,65.4464448474432
220,65.03102801689192
221,64.8223487321463
222,64.66318510967801
223,64.19475973147412
224,63.7569056567306
225,63.65942858092438
226,63.386316926602824
227,63.187416316025676
228,63.06703711968367
229,63.084171422246264
230,63.577917139394934
231,62.63720120806421
232,62.757178320163646
233,62.54164875430799
234,62.93127083710288
235,62.07399222358833
236,62.071760934043034
237,62.34358456592397
238,62.25505577172125
239,62.41829612633342
240,62.22884886191641
241,62.23237294596928
242,62.983452894392364
243,63.04440869553469
244,63.51573531251212
245,64.05395450897724
246,64.39661288807952
247,65.27480092812486
248,66.28270095633015
249,66.80039162965124
250,67.09789005001207
251,67.32368329660916
252,67.39941507160526
253,67.33001555200279
254,67.37926876285722
255,66.9365153276971
256,67.03095900237237
257,67.13071773062553
258,67.03447055009433
259,66.99543711711748
260,66.77852453024381
261,66.55315240171778
262,66.42952388155105
263,66.28223137775784
264,65.8178114851917
265,65.93087467334885
266,65.9841612791188
267,66.09376270791284
268,66.09007427907592
269,65.82329159485887
270,65.52234339599642
271,64.95396078382156
272,64.42029037346605
273,63.58819868544883
274,62.764434223448475
275,61.43019959537937
276,61.169651498049745
277,60.622670849970646
278,59.35277693313053
279,58.70976001473919
280,59.00324580255445
281,59.4703935745331
282,59.97945250332055
283,60.09211924901729
284,60.04806537065208
285,59.7167096163564
286,58.633466379650194
287,58.10661648268279
288,58.24135538892655
289,58.13829947273137
290,58.17766031295748
291,58.61451440187174
292,58.943046543938195
293,59.366695804640266
294,59.53235547458454
295,59.60086770472365
296,59.975823907910154
297,60.6408082312947
298,61.311646809803264
299,61.50957785854028
300,61.9856895942722
301,61.259026467110715
302,60.822530896260105
303,60.87030155337901
304,60.70673789612622
305,60.33985755951718
306,60.31781522363228
307,60.18779196102236
308,60.158831894987735
309,60.25467335968753
310,59.986260385623105
311,60.235062382341106
312,60.36508144526118
313,60.65115832397208
314,60.691815855671834
315,60.64464646977769
316,60.746493332642856
317,60.82030787617438
318,60.911673901847706
319,61.05438928206748
320,61.5055532613521
321,62.24697590978954
322,63.393027017695815
323,65.67795178788302
324,67.45407209187017
325,68.41617289328626
326,68.36162935684429
327,68.5010224970518
328,68.45679815942023
329,67.45638572430434
330,66.64533740791772
331,65.68473143180866
332,64.2914859911826
333,63.796066018040506
334,63.26708356863135
335,62.64971720611813
336,61.7757660413052
337,60.88102194926179
338,60.29758304483236
339,59.24441186289558
340,58.871062370012936
341,58.77383977594685
342,58.65755699700197
343,58.28971017820185
344,57.97912930044823
345,56.132601107850974
346,54.75452967524622
347,51.89594687662087
348,47.4115415197793
349,42.67656722189441
350,40.013436331673944
351,38.63869400725319
352,38.656868983141344
353,38.579819025640035
354,38.82893109315922
355,38.559786111993155
356,38.91925527185347
357,39.517890522692994
358,41.633571362176255
359,41.92168887061994
360,43.25358495215787
361,42.10182954190257
362,42.08481703828447
363,42.068869357884054
364,42.42967721857769
365,42.92196344165194
366,43.35949488824126
367,43.09517808218343
368,41.60404762938549
369,39.49347020110351
370,38.16865346381513
371,37.24863249585453
372,37.09010021099143
373,37.295077090587085
374,37.02845608041101
375,37.10627685216327
376,36.86278571685599
377,36.52628270993154
378,35.83833493631732
379,34.080626589619456
380,33.552140335217175
381,34.139210060957986
382,35.576585049920034
383,37.27863023262142
384,43.72694734931266
385,49.38548667268397
386,53.31078270697976
387,55.19416297212227
388,57.90224087054015
389,59.17678537537946
390,59.48609916863075
391,59.74447944805743
392,60.360714112895685
393,61.581281806352735
394,62.34463707308289
395,63.25371255226155
396,62.9594562484167
397,62.93962139092175
398,62.84016294011684
399,62.3612554016486
400,62.239908913139345
401,61.40676752947827
402,61.185425874722974
403,61.21721243277658
404,61.23306005836457
405,61.121520699665005
406,61.039994180565095
407,61.032517231276664
408,60.98329231050316
409,60.98869085478133
410,61.017992126852576
411,60.98736534501435
412,60.91288865561033
413,60.82380182417586
414,60.60270958009882
415,60.3082838679812
416,59.87940745960204
417,58.9904386547627
418,58.68720170888565
419,58.5769300688351
420,58.24373050015393
421,58.25448317269517
422,58.524669978242045
423,58.757837991416736
424,58.97431696036921
425,59.16341305631887
426,59.5988963248363
427,59.928609375617945
428,60.23010418103943
429,60.6656780944389
430,61.179591413009774
431,61.89707530173613
432,62.85313553103041
433,64.5974938240709
434,65.0449253424732
435,65.35986200344372
436,65.46187902645596
437,65.62217950006995
438,65.70114180163155
439,65.87925743502188
440,66.62739659971464
441,67.34417888906067
442,67.67136200469544
443,67.50538418916018
444,67.39228927394075
445,67.25030699351456
446,66.88825159805415
447,66.92579578028156
448,66.63649749484674
449,66.43667837876208
450,66.38511325517871
451,66.84581539451746
452,67.0512327519471
453,66.93774167936962
454,66.56191840690705
455,66.27245236810967
456,65.31279079044987
457,65.3248408530431
458,65.79749763175168
459,66.79565930776155
460,66.77638314795534
461,66.81074066570443
462,66.80107217725966
463,67.49118454959223
464,67.6485959374604
465,67.95518116921006
466,68.61908191588752
467,68.91399386232443
468,68.68025705815451
469,68.54718492619024
470,68.17851782094587
471,68.06586834540222
472,68.28733433015387
473,68.24796130473241
474,68.51701889629611
475,68.38095422587783
476,68.55661325013386
477,68.84477336534216
478,69.03546526162344
479,69.11937525547283
480,69.1388436987691
481,69.21926377239163
482,69.96716407983429
483,71.40210937390549
484,73.52626436861011
485,73.89576592242611
486,74.13811262422574
487,74.98430045919014
488,80.68250457471983
489,82.58284764492991
490,81.22524722168619
491,79.83173058626792
492,72.47199270867242
493,69.80024032189685
494,68.09235445473963
495,65.90144079930171
496,64.35623798550688
497,62.78581344017938
498,61.27735242429358
499,60.93091357974028
500,61.01568318042582
501,60.93654782630129
502,60.99719151941033
503,61.019623942161374
504,61.07995570289016
505,62.58491097150469
506,64.63466866226922
507,65.82182048853258
508,66.44595506809
509,67.13500578874256
510,66.72472013027074
511,64.92138534302673
512,64.4624832401825
513,64.1737954105749
514,64.22588724152739
515,64.19709431433563
516,64.54741431503129
517,64.51327824931295
518,64.66309070287114
519,64.62503808029933
520,66.23594160406017
521,66.72469448648141
522,67.51904259070527
523,67.68528347020093
524,67.20468329686118
525,66.83750269192754
526,65.81344408118156
527,65.58582520683053
528,65.08104323298629
529,63.41840249908195
530,62.368697128317784
531,61.47449935671602
532,61.30561203245935
533,62.4154100007204
534,62.622338630576365
535,63.011652881564146
536,64.38608268209269
537,64.57319375322766
538,64.34877221690134
539,64.28409999019254
540,63.21110939324558
541,63.10300788737776
542,63.66661429253782
543,63.8552003350392
544,64.25081925634161
545,63.537014135300055
546,63.86768989053769
547,63.717657039710474
548,63.499663405436664
549,62.882295576307726
550,62.258496502016804
551,62.12350645379079
552,61.57417058335422
553,60.45853167464908
554,60.12123624079426
555,60.40101120178954
556,60.612312813745305
557,60.94937057170697
558,61.35338295668227
559,61.25250944099209
560,60.18686501218541
561,59.764651028857436
562,61.2443934977177
563,62.91198301674153
564,64.06379516869761
565,63.849628977332465
566,63.63624940452348
567,64.04936987779632
568,64.09723900821115
569,64.18370365256747
570,65.31700058241219
571,65.64611442413023
572,67.12404975152388
573,65.57578994959947
574,65.06403632100087
575,64.17986546897653
576,63.77507743653785
577,62.947776936538304
578,62.92512626862843
579,66.00006225989283
580,64.77510034718888
581,71.57315512994577
582,129.9423250428811
583,78.3059179670291
584,70.76475091996598
585,66.72955909682365
586,62.54961449052804
587,60.15875445705341
588,59.24592626739771
589,59.24417131021592
590,59.99148104405594
591,60.84476051152855
592,62.830843130459265
593,63.70974368047665
594,64.00723951338196
595,68.27727622329948
596,69.56521605962179
597,71.5676148471615
598,76.2484030256828
599,75.79450703240987
600,72.54068007146465
601,69.99041104841041
602,68.54757021673086
603,68.03182117783447
604,67.40895677096641
605,65.4648933774577
606,64.1305683972802
607,63.43571427845872
608,62.580135440370015
609,62.12919353081506
610,61.65162074576659
611,62.07064813557868
612,63.41660558068151
613,64.05783025683895
614,67.82591637334492
615,70.14550786848609
616,71.01109623873734
617,70.89927764952057
618,70.74984870517038
619,70.66947844589644
620,69.33546675728697
621,68.55066157959361
622,67.67708370430283
623,67.41722536606004
624,67.68332959148951
625,66.32565359181937
626,64.63844948181858
627,63.85607846052591
628,63.643831126438926
629,63.615171728510454
630,63.436911765258245
631,63.04664859609244
632,63.65105049181938
633,63.622874668882275
634,64.20578368402421
635,64.68708405848152
636,64.9805330137558
637,65.7367613011426
638,66.25533739918181
639,68.0693820174041
640,68.40965235151005
641,69.48539523333038
642,69.66442673839191
643,68.37858070282529
644,67.37834544316416
645,66.54369835101171
646,66.1461988987074
647,65.97241733415392
648,65.81889363871578
649,65.9040471189534
650,65.25556428847453
651,64.66106916019064
652,64.37218795810544
653,64.58599707543762
654,64.83111041194263
655,64.8374319682525
656,64.9081071698218
657,64.72634847038209
658,64.54662347966969
659,64.48124119378934
660,64.25774651803746
661,64.0038236441273
662,64.04518938849586
663,64.53933771747104
664,64.88480184424189
665,64.83177997486968
666,65.19081764608141
667,65.39380229117982
668,65.64653107024506
669,66.23610009348221
670,66.8838628771762
671,66.76892199867089
672,64.62992288494625
673,64.2190600789788
674,63.69103037607877
675,63.0669201289708
676,61.82400218276492
677,60.309761225232535
678,58.78799122714285
679,57.74337638714237
680,56.7400502364986
681,56.65246735754766
682,56.40566552291007
683,56.00328163944781
684,55.503933815636785
685,55.523285350077096
686,54.77201977229101
687,54.84714764561063
688,55.33290266816363
689,55.54981793500595
690,55.62937532668317
691,55.32669540816372
692,55.41285103145391
693,55.54827173532783
694,55.91536688953327
695,56.23367238125665
696,57.34547981828348
697,58.189608752578444
698,59.07445905889175
699,58.76715540312342
700,58.04292951491843
701,59.025089457139025
702,59.335114248792266
703,59.35271394090336
704,58.91007412597822
705,59.02708877712434
706,59.395220904584264
707,59.80929809051464
708,60.03646529795996
709,60.55268118776207
710,60.57051379465918
711,60.89624129610725
712,61.43946110476419
713,62.23671556650766
714,63.15642071143648
715,63.507582059871574
716,63.620136582815164
717,63.785253397332944
718,63.970952515834206
719,64.42495361838115
720,65.31872173149839
721,65.69503915503432
722,66.18246338135988
723,66.88991947085607
724,67.32191973039082
725,67.64093945046174
726,67.75179478378608
727,67.65814342539743
728,67.89116396982392
729,68.30089766381293
730,68.4772646184108
731,68.51809052502821
732,68.43354876687472
733,68.4214518633629
734,68.20839383037388
735,68.10954315697431
736,67.97849809323235
737,67.73519502199417
738,67.52172453361679
739,67.28046412869696
740,67.20419184209251
741,67.01148147328334
742,66.85625260604867
743,66.86344065635947
744,67.17883192440762
745,67.54481481803947
746,67.78087198738045
747,68.02102389850023
748,68.31431373650227
749,68.45322671139688
750,68.48768293438263
751,68.52477057230202
752,68.54993318577893
753,68.32341028733741
754,68.14322534655977
755,68.02317556456416
756,67.55046931407718
757,67.1996390634225
758,66.80719806043155
759,66.32554181016674
760,66.04613169076144
761,65.30370073609876
762,65.06894350354665
763,64.7741132889208
764,64.62819268616381
765,64.75646471178071
766,64.8103517111984
767,64.9297153085868
768,65.46924509453403
769,65.64730631678601
770,65.68614195094524
771,65.6972397548165
772,65.660862946869
773,65.663964243285
774,65.73324767392485
775,65.86791472306814
776,65.99973692174775
777,66.08335776722411
778,66.16387939596349
779,66.03160377259844
780,65.92982149204184
781,65.8276930427424
782,65.82754777512018
783,66.10344831288413
784,66.08980263492028
785,66.07444336681255
786,66.01905921195215
787,65.98910392200536
788,65.96986487563376
789,65.92283972781912
790,65.88790693466811
791,65.77875501892534
792,65.39509079621385
793,64.9562318097136
794,64.86116384552712
795,64.70793057410543
796,64.5561582264885
797,64.3775045193004
798,64.21431465192626
799,63.92828189609856
800,63.70217864369042
801,63.624589576930525
802,63.5952093682361
803,63.41685659006672
804,63.416087693791916
805,63.67681756719683
806,63.65293790792708
807,63.625285045218554
808,63.522433593372135
809,63.368473969638195
810,63.02501413970706
811,62.66131829514052
812,62.473568199358304
813,62.400321994353064
814,62.500783761551325
815,62.9709414228518
816,63.059977407308416
817,62.52984871731056
818,62.243037592314465
819,62.02956447467632
820,61.961022256209894
821,62.04536895744639
822,61.99206783516248
823,61.99819287793231
824,61.90353243502297
825,61.46143988801971
826,61.02623610448397
827,60.55160805469234
828,59.99065101068133
829,59.932203329994174
830,59.88415997086798
831,59.746336952878316
832,59.76614948923856
833,59.44820524229943
834,58.751856511058065
835,58.45938003620007
836,58.49040939616651
837,58.659177805267994
838,58.609626457112164
839,58.755589831745496
840,58.81873507019189
841,58.45080868793789
842,58.230305512999884
843,58.065747560400574
844,58.460418253409344
845,59.26956560682521
846,60.068643857327686
847,62.26698638179531
848,64.7680425852773
849,64.06150019742633
850,64.24350769392835
851,64.48870915371751
852,64.47657906286828
853,64.3325198943211
854,64.42953639362486
855,64.55419947344426
856,64.15567789925915
857,64.18514466959343
858,64.49272277093544
859,64.75586066572268
860,65.15174511816767
861,66.09490948207551
862,66.6171649340958
863,67.04978695945805
864,67.21309721314539
865,66.88375326938186
866,66.30853088248139
867,65.71436317030086
868,65.24570217181142
869,64.30596471128453
870,63.648117372890084
871,63.41624743584952
872,63.74458246414649
873,63.90667042970129
874,63.820576432969204
875,62.929448399119806
876,62.98027146592048
877,63.38324412827276
878,63.824171494115355
879,63.888186831103326
880,64.11322673064849
881,64.12149071820537
882,63.99289124452808
883,63.8140883167389
884,63.35157826273647
885,63.04312844536826
886,62.69054604710787
887,62.558662414418706
888,62.11645825012563
889,61.59588014293655
890,61.10209825773189
891,60.78062249544557
892,60.325632798348195
893,60.07854557677522
894,59.1752048518387
895,58.595784242546074
896,58.3230262432707
897,58.37791116126302
898,61.73558178737804
899,61.689914652406415
900,62.275988565090934
901,62.17457423357652
902,62.304165432632274
903,64.07561438027297
904,64.61793679649129
905,65.38917283510892
906,65.28942041220725
907,64.12124114103169
908,63.90785810257584
909,63.89882691079657
910,63.09770670690846
911,62.422279683828
912,60.862990018141055
913,60.004502085410294
914,60.37176660070889
915,61.48220973910704
916,62.00400787463333
917,65.19129970623472
918,64.78376858697321
919,65.31156983907731
920,64.55564477542306
921,62.22496953775838
922,61.137292776249595
923,60.73584921099783
924,57.971647426933956
925,57.040842012969435
926,57.21583600846195
927,57.11628269995845
928,57.32800031306426
929,57.64349331670362
930,58.92005266990123
931,62.03553292649251
932,63.90390233688205
933,64.18918775097485
934,64.74355677579167
935,65.01200310788371
936,67.03996153089236
937,78.80990538768908
938,83.16373431248068
939,79.89234276963317
940,73.61911560734494
941,66.67768542204313
942,63.4708223507141
943,63.15658535778374
944,63.04010517347163
945,65.80506826600032
946,65.47463885333816
947,65.10424117013326
948,65.276531044938
949,64.59860017279955
950,64.43146001256116
951,64.01213478058828
952,63.5569358038062
953,63.151865217712846
954,63.25879388191972
955,63.67576023940965
956,62.699739365324696
957,63.22534306992248
958,63.08955248312051
959,62.8260948233231
960,62.17614708848088
961,62.60860198779397
962,63.44675537177219
963,64.35249449173199
964,64.65340127476945
965,64.77204895878141
966,65.24807471464484
967,65.39694709242103
968,65.68002593857486
969,65.70463664193063
970,65.66404250111151
971,65.04074422094708
972,64.44073135669849
973,63.594876016450286
974,63.72438157274158
975,63.63933679167155
976,63.37564400204291
977,63.43310209761916
978,63.996509930210166
979,63.93653807713956
980,64.04483747899154
981,64.13127826140794
982,64.13603736837845
983,64.58287902071099
984,65.64840054620963
985,65.90746037273918
986,65.97251916611236
987,65.96072110394233
988,65.19236891466802
989,64.55432335467412
990,64.52716326577024
991,65.96644721752814
992,66.37419862407445
993,66.50610239279769
994,66.2285321448858
995,66.01856325841351
996,63.90476853402698
997,64.49164619259075
998,64.76191094158932
999,64.40368143802543
1000,65.04891792896417
1001,65.93060761383606
1002,65.94913605595539
1003,66.65470656739106
1004,66.85495336596303
1005,67.84790127297835
1006,67.2210310323312
1007,67.0489311173785
1008,66.47695970398559
1009,65.79496161487363
1010,64.41420842147942
1011,62.55673860088473
1012,60.51008798342338
1013,59.52383648181097
1014,59.223106050035035
1015,58.91982164089157
1016,58.43553608608841
1017,58.448209788176534
1018,58.7454465468321
1019,59.33888732907466
1020,59.731708493387856
1021,60.30615696603674
1022,60.49727865349073
1023,60.17091945853557
1024,59.51859081087913
1025,59.130298453573886
1026,58.48063335618496
1027,58.186046031910315
1028,57.993041495891546
1029,57.76612822380095
1030,57.731611158897
1031,57.712484621468114
1032,57.99932608384592
1033,58.166581878051964
1034,58.47990705074612
1035,59.20432554751869
1036,60.38468290351596
1037,60.30925378446696
1038,60.29381707086727
1039,60.44018900002007
1040,60.62874781888836
1041,61.168471429651234
1042,61.52249764902806
1043,61.75200144514271
1044,62.37756360495114
1045,62.797568547530446
1046,63.166018474447355
1047,63.37177406456681
1048,63.469546452745625
1049,63.239358882275404
1050,63.028144314037405
1051,62.92594594489529
1052,62.59567652028104
1053,62.375769340256454
1054,62.45023318150004
1055,62.49264627468458
1056,62.3844370431969
1057,62.383059015237706
1058,62.45708179962815
1059,62.221356924034914
1060,62.01708969945603
1061,62.01159446469442
1062,61.76285833499775
1063,61.710033041185945
1064,62.29561273988708
1065,62.65625769763595
1066,62.71903094864414
1067,62.865743386817066
1068,62.75497463134984
1069,62.964957379642286
1070,63.227845297433475
1071,63.43013293747629
1072,63.628741418986905
1073,63.61376816721873
1074,63.673876856405315
1075,63.67379229371101
1076,63.816653014227484
1077,63.96328235231278
1078,63.99956610163745
1079,64.04142256354733
1080,64.11587388193225
1081,64.20710487236596
1082,64.3247334380768
1083,64.3312238178791
1084,64.33848395921602
1085,64.39490188081186
1086,64.36668707550145
1087,63.53411873428531
1088,63.25319037373794
1089,62.60012604715519
1090,62.37798505847026
1091,61.67535610520156
1092,61.010378518616875
1093,60.93731079336372
1094,61.06330536157241
1095,61.05034349216761
1096,60.99679047910912
1097,60.447435963472394
1098,60.86266586027384
1099,61.00111164520501
1100,61.02520762488969
1101,60.98822679345263
1102,60.84365284035325
1103,60.45711715993577
1104,60.24138802728825
1105,60.028981570923776
1106,59.93061669382408
1107,59.83637890665639
1108,59.64890385369204
1109,59.06817553239344
1110,58.616217898275195
1111,58.55004240837183
1112,58.422698026562834
1113,58.295305676844066
1114,58.267441955135816
1115,58.23700290081186
1116,58.15108556584241
1117,58.13300675071691
1118,57.96916285126895
1119,58.65339281297236
1120,59.775452132445146
1121,60.53423596699986
1122,60.992963582129676
1123,61.30204354356198
1124,61.66245325576167
1125,62.90931885577585
1126,63.79145240326354
1127,64.43386440897066
1128,64.82311370153714
1129,64.81377363416416
1130,64.27190112857734
1131,64.03390486886238
1132,63.77683171939892
1133,63.42706246048948
1134,63.15675409852654
1135,62.9315725867945
1136,62.661006352999415
1137,62.379274972043035
1138,62.82557532067749
1139,62.80327849267808
1140,63.36975893290881
1141,63.45141059929201
1142,63.62397885188698
1143,63.751037817523915
1144,63.62626385461563
1145,63.30395409654932
1146,63.18145142564718
1147,63.49824494098555
1148,63.82083902372165
1149,63.82171119555907
1150,63.88604235786463
1151,63.75366523064405
1152,63.30214549143627
1153,63.18235035631161
1154,62.88157819888961
1155,62.60630484213166
1156,62.07842330343383
1157,61.61345679674321
1158,61.11946475671323
1159,60.16457706875545
1160,59.23474723897764
1161,58.557612241840125
1162,58.38865929373954
1163,58.40356392448205
1164,59.502019105822605
1165,60.032052189018614
1166,60.529611020324495
1167,60.69537599649083
1168,61.00239885461655
1169,61.018709627864375
1170,60.957088785733276
1171,60.830120430526755
1172,60.91342144996553
1173,60.72108131644578
1174,61.179742612718215
1175,61.90630694867781
1176,61.97940400827252
1177,62.26319127236814
1178,63.081885287807545
1179,64.20443286731918
1180,65.43870643474385
1181,66.16776790325164
1182,66.72814150816562
1183,66.79956402979371
1184,66.60614599635963
1185,64.41495836291112
1186,62.80716092556412
1187,63.21255883503585
1188,63.37807895413827
1189,62.31207582496557
1190,62.099432200328074
1191,61.24986693348465
1192,61.508889185385506
1193,61.690406265921986
1194,61.18722222540835
1195,61.41140139055525
1196,61.3304186259768
1197,61.96911791306001
1198,62.535713013549774
1199,63.54862265244358
1200,63.74669880175196
1201,63.77981526264807
1202,62.392176934888674
1203,60.35263028433128
1204,59.84180717715343
1205,58.91159757048081
1206,58.960145485906935
1207,59.23453979915751
1208,58.83092062085077
1209,58.34746595335328
1210,58.47774554887478
1211,58.23055209116191
1212,58.68602026907686
1213,59.080583957017616
1214,60.37894449916168
1215,60.85479653516676
1216,60.769256545534255
1217,60.62430961288911
1218,60.06969715381904
1219,59.41875640801653
1220,58.91851638458244
1221,58.95529085232321
1222,59.166695037566335
1223,59.08962494435183
1224,58.50342751381698
1225,58.8807098044349
1226,58.736525182436296
1227,59.13804885221777
1228,59.18026790774875
1229,59.4213358565412
1230,59.480800072154544
1231,60.16214564081181
1232,60.62802397877314
1233,60.4506697813733
1234,60.22792723740987
1235,62.79348274327491
1236,63.08665639839493
1237,62.875321190636754
1238,62.97060332491517
1239,63.4183529950766
1240,64.19265809427968
1241,64.86991891955795
1242,65.6725159965877
1243,65.77000223264922
1244,66.5582854854391
1245,68.99467215006862
1246,68.72401470173112
1247,66.6948995670946
1248,64.33478506304363
1249,63.755742399419894
1250,61.06724263978802
1251,60.36589115899652
1252,61.090767026909845
1253,61.35510902305359
1254,62.2113464998137
1255,69.23041509547753
1256,75.10488982790653
1257,74.19126448271525
1258,71.75983044981785
1259,72.28651805468651
1260,71.44479456047544
1261,68.58970284468869
1262,62.33903530166639
1263,61.56645161755209
1264,60.70626702412399
1265,60.49054717409731
1266,61.478081497705894
1267,61.64923922277526
1268,61.56618480204486
1269,61.66978684527814
1270,62.47954781338831
1271,63.93607527398051
1272,63.77175431090417
1273,65.31689523688773
1274,66.34826485791332
1275,69.29679239597571
1276,69.39707861318419
1277,68.83587527880456
1278,71.0246391394854
1279,71.07086942131144
1280,69.76982627889944
1281,68.94402449294137
1282,66.40483841211687
1283,66.8535622500918
1284,66.6161707994695
1285,67.96787222063166
1286,68.27005899558318
1287,68.8468856689328
1288,68.16860463001129
1289,67.42818697195793
1290,66.5226375554611
1291,66.05232109085806
1292,66.08541098781161
1293,67.29270167516806
1294,73.80894312335558
1295,77.07602186278291
1296,76.62656951035575
1297,78.07136969477827
1298,79.16419405996433
1299,77.7801642127205
1300,76.98174671268099
1301,75.42187250332371
1302,74.56667926284265
1303,73.45441095077959
1304,72.50482407764439
1305,69.89959120361964
1306,66.99699389102342
1307,65.01340196927923
1308,62.81017617672044
1309,61.34334588444488
1310,59.70689740556532
1311,58.939529359675944
1312,58.85087242591257
1313,60.374912196606296
1314,61.16774804720854
1315,61.73229196364375
1316,64.79524736931512
1317,66.33516383430968
1318,66.87615430829375
1319,67.03810771305794
1320,66.47437070138024
1321,66.8279518971566
1322,66.78660003119732
1323,67.32760330016286
1324,67.36229783069608
1325,66.99212518199803
