,angle
0,19.282070313900114
1,18.788915747564314
2,18.372105916514585
3,18.090327456308724
4,17.894699792036075
5,17.75730478626097
6,17.6717849548796
7,17.55060369805478
8,17.474178391720145
9,17.426426340655215
10,17.37198862903101
11,17.347767326472464
12,17.344288380274687
13,17.313690325152432
14,17.278778989203644
15,17.224415394537488
16,17.162309960535474
17,17.08271404556651
18,17.020243905825158
19,16.964769455472837
20,16.9573006149884
21,16.953193045696793
22,16.939397266905836
23,16.93584244941211
24,16.932779254926636
25,16.950243444476012
26,16.944172471804244
27,16.938849621831498
28,16.937640244224852
29,16.950743171219067
30,16.947274981852114
31,16.88483566957704
32,16.803072108007676
33,16.780447184140947
34,16.77799016763456
35,16.69831035858716
36,16.572740977359043
37,16.522611740592357
38,16.56645441721137
39,16.593575344381605
40,16.59930825478268
41,16.638066262383923
42,16.668896962387482
43,16.68993272798934
44,16.699900408708785
45,16.704908959548664
46,16.708109544501376
47,16.709586045953184
48,16.770633710725473
49,16.76931193158436
50,16.752696122443634
51,16.74419008855409
52,16.732763908470915
53,16.71992731397975
54,16.708433980576373
55,16.698254653749284
56,16.698551183461355
57,16.69016039969975
58,16.686652640612856
59,16.68954620180368
60,16.625971820656343
61,16.573446373853034
62,16.540520702876883
63,16.477966808022273
64,16.457311389286023
65,16.435403126074757
66,16.438397695136462
67,16.413723800216832
68,16.38462888153843
69,16.362770719272287
70,16.342833822586968
71,16.315715221242886
72,16.40625674879056
73,16.42321640082685
74,16.483009683267337
75,16.49017145884081
76,16.49825391632418
77,16.50746323656229
78,16.517360157098317
79,16.52877109707566
80,16.518333315207638
81,16.520425184892225
82,16.525998911828303
83,16.504234758555995
84,16.481648732374488
85,16.35128479717826
86,16.338690559118945
87,16.27015782672316
88,16.199424820473123
89,16.177510031334723
90,16.130120570946936
91,16.078443137358445
92,16.016727642568448
93,15.979949537854697
94,15.932624666821413
95,15.914815492800827
96,15.791231307861644
97,15.686052101027116
98,15.601358647293598
99,15.506282893944633
100,15.48103005274537
101,15.486388145527307
102,15.481171819048212
103,15.483366549036896
104,15.492255034370437
105,15.515339573388307
106,15.534005192424383
107,15.54262817032814
108,15.574276519694097
109,15.592692789134043
110,15.609027792544854
111,15.630493414385128
112,15.647505374640883
113,15.68365408256945
114,15.752357641371834
115,15.762772786796997
116,15.782040754867046
117,15.801466113690509
118,15.796820054126862
119,15.794539621959027
120,15.789760998761384
121,15.778920992086277
122,15.77172837573914
123,15.743716366924131
124,15.721492265554446
125,15.71399808983905
126,15.711011954273582
127,15.711872659797379
128,15.713453951124057
129,15.714782011256956
130,15.729614924808017
131,15.735655287905916
132,15.724834769391732
133,15.732377155720858
134,15.735781425131204
135,15.731975443804153
136,15.729523796768232
137,15.695556492606752
138,15.681795382662091
139,15.64281697776281
140,15.601963617247815
141,15.568064079320312
142,15.568866966981158
143,15.572662319905637
144,15.573891703693997
145,15.619735604099178
146,15.655000761565084
147,15.736229372249857
148,15.768956246681308
149,15.878248028824233
150,15.984623772070384
151,16.040962548345636
152,16.04434476567948
153,15.955445759433754
154,16.019548502550567
155,15.977405645636688
156,16.147090376017474
157,16.682564491915862
158,17.10656215868081
159,17.052307589912257
160,16.86608961940575
161,16.800928024289252
162,16.76162414761224
163,16.726119711906225
164,16.79346760519571
165,16.835306354142293
166,17.049292762564047
167,17.293304043838837
168,17.6354385848536
169,17.994203382075714
170,17.808167496539614
171,17.89098822796723
172,17.902241961959678
173,17.45688941543391
174,17.45041729785492
175,17.550298373111705
176,17.89405554225106
177,18.266803227991208
178,18.728244972820317
179,19.403765733683297
180,20.161079114143856
181,20.4793872079183
182,20.532025220736603
183,20.692870626229052
184,21.24795348579408
185,21.189259410922947
186,20.720933130646088
187,20.448589933715787
188,20.331287784851227
189,20.37559291387561
190,20.660601344144588
191,20.939080595867527
192,21.337599101663965
193,21.598683414862013
194,21.86443667161132
195,22.502399565828192
196,22.766575505920354
197,22.333830147845745
198,22.20205062836362
199,22.115097550783716
200,22.316970143857777
201,22.152917736086675
202,22.133683008879288
203,22.000984044198262
204,22.100025314964196
205,22.201578059129552
206,22.314232934540502
207,22.43727947808151
208,22.562046415635923
209,22.68983053500197
210,22.953527462919634
211,23.01436883045985
212,22.984287572424847
213,22.576116627343897
214,22.430953345148545
215,22.177941198639324
216,22.291615303005564
217,22.754557857356694
218,22.787726520818183
219,23.259851703329375
220,23.482067235970614
221,23.80165309747501
222,23.89290610234056
223,23.8685766284809
224,23.959793187889368
225,23.851151289874228
226,23.408809051307657
227,22.74239902307026
228,22.25840892936592
229,21.931389501335563
230,21.792736125585215
231,21.552469899615822
232,21.154099951922642
233,20.132994678516663
234,18.723477804652333
235,18.012165747671766
236,17.616261005357465
237,17.52199038440841
238,16.903524266034946
239,16.91381598358712
240,17.055432069596247
241,17.295274920095764
242,18.268904933617527
243,19.603180065942983
244,19.884074785662577
245,20.225432757113335
246,20.37587114810491
247,20.70868198363125
248,21.112363641835465
249,21.266225301828086
250,21.521301637942376
251,21.668144177375645
252,21.52704394508332
253,21.424627602698706
254,21.371969431609266
255,21.34404011101715
256,21.318597422587207
257,21.312193009906096
258,21.249696022975495
259,21.259408340703207
260,21.266477663989313
261,21.27853460908518
262,21.214483169220657
263,21.18870858675912
264,21.04884896570837
265,20.85778958144212
266,20.68125897698485
267,20.590386829607326
268,20.53559576389371
269,20.430705275636463
270,20.35164621522123
271,20.327113400191795
272,20.426255587316792
273,20.413477580781205
274,20.368271468803698
275,20.338635183482527
276,20.145611547837138
277,20.15747856635994
278,20.09621131011272
279,20.10104511683617
280,20.085461159603273
281,20.125055587912108
282,20.184653365926856
283,20.30885008497079
284,20.41123163123368
285,20.57726061941344
286,20.7496137140207
287,20.96857617404976
288,21.237900807212988
289,21.424171143503838
290,21.852767644508567
291,22.160131890387422
292,22.283861660943565
293,22.35521689320208
294,22.360283607123815
295,22.38087194286726
296,22.395325909720103
297,22.431498510751382
298,22.620692400119612
299,22.69017676237916
300,23.041299786152752
301,23.414269982084935
302,23.72838133986144
303,23.687089808385828
304,23.789974588312802
305,23.737058128035642
306,23.63155913391182
307,23.43500051206941
308,23.404033784637956
309,23.376188138039073
310,23.239233890383154
311,22.94763358619548
312,22.73206650324606
313,22.519302133926377
314,22.197607129491864
315,22.043523165905903
316,21.947272696162095
317,21.743128360961176
318,21.481440096921638
319,20.987312269967493
320,20.496199159413564
321,20.22565461353025
322,19.887392545932393
323,19.5769500387371
324,19.082086883359523
325,18.49626942139922
326,18.3173137649545
327,18.058588335979813
328,17.7388499533943
329,17.745754019798696
330,17.741488630728938
331,17.881797162268416
332,17.939684924282766
333,17.961711710760515
334,18.059453707868215
335,18.187232438727758
336,18.156890424707477
337,18.17513649747713
338,18.318377994103205
339,18.318651176322167
340,18.34693444025812
341,18.290756564346
342,18.182637997384628
343,18.04498026317718
344,17.910414729118994
345,17.71482851822837
346,17.491240291019633
347,17.422032739373755
348,17.350363934545207
349,17.323969981995976
350,17.290756598629148
351,17.277668647692657
352,17.25739880327767
353,17.2637614511431
354,17.282145594558138
355,17.339311621130765
356,17.391573256251743
357,17.422813601175484
358,17.465243888271637
359,17.51488021515791
360,17.541744860918218
361,17.56308263493932
362,17.609465560856513
363,17.68725355063994
364,17.722325651534145
365,17.77986101645152
366,17.92450859132078
367,17.93805952338306
368,18.021783473796685
369,18.108128981695934
370,18.160619001392888
371,18.16416855031833
372,18.117258812931126
373,18.178738590746494
374,18.372198102589724
375,18.38528166318665
376,18.361569049784457
377,18.291819683799968
378,18.29605416871329
379,18.377504045483008
380,18.358548822013923
381,18.27539453710746
382,18.25032912949505
383,18.257229499041873
384,18.353825823209434
385,18.383439497682662
386,18.46066312376753
387,18.62949485728426
388,18.714548986922264
389,18.76587778460807
390,18.801042383595924
391,18.847387875482937
392,18.852842287406144
393,18.913408539935897
394,19.012328129639975
395,19.20204794633372
