,angle
0,99.24928301655453
1,99.67492587712486
2,99.7659634435504
3,98.88927096525909
4,98.03942743489952
5,98.86954451751667
6,99.08560833696635
7,99.31728925298846
8,99.80586188783208
9,99.94520290553626
10,99.82810432847748
11,100.33624199800587
12,100.58559515304634
13,101.21135650282086
14,100.94797258100904
15,100.89863605194523
16,100.90521208459012
17,100.90961448009641
18,100.82222325093805
19,100.84202530397872
20,100.82132852272268
21,100.40349205485687
22,100.4184106741675
23,100.49538400293349
24,100.58722943730817
25,100.65199567012951
26,100.47806424992264
27,100.50148064865496
28,100.74636869106547
29,100.62434664337758
30,100.69258188177889
31,100.64779051436028
32,100.70154059173426
33,100.91682805996182
34,100.89233522229256
35,100.92845676414122
36,101.04909975809714
37,101.03275231174042
38,101.07958565131378
39,101.26650335217003
40,101.45945353762794
41,101.54161276299384
42,101.62276105313072
43,101.79828142499218
44,101.78318055037181
45,101.3694880085683
46,100.80259862956791
47,100.35516457304557
48,99.59830178194541
49,99.59903568489484
50,99.07588772383053
51,98.89267035217182
52,98.42289064392563
53,97.95224779793266
54,97.89141737696669
55,97.87697569784194
56,97.79377167649196
57,97.75213053089615
58,97.63071978285151
59,97.6097915416595
60,97.47658381476494
61,97.04553024150232
62,96.73442174126873
63,96.63657430338884
64,96.65756344375261
65,96.63209356262199
66,96.66602221501705
67,96.68549541636891
68,96.65802248315555
69,96.6055988220752
70,97.05498544565822
71,97.14842519442577
72,97.57961705788799
73,97.65375058848913
74,97.62660039641928
75,97.46129830888765
76,97.36233319404741
77,97.15117264372981
78,96.89368355472463
79,96.59319756229324
80,96.47618409012402
81,96.28685401130626
82,96.16927001381052
83,95.9995616210241
84,95.96302093666185
85,95.95329012110412
86,95.89431310152429
87,95.775106272141
88,95.74469213445613
89,95.68665942660564
90,95.62796421163463
91,95.5840865397641
92,95.40702489006397
93,95.1208543857236
94,95.10090267996563
95,95.05992031214163
96,94.92593051395278
97,94.93390870349818
98,95.01065768058814
99,94.9665728017131
100,94.96609954784937
101,94.95374227994262
102,95.08582751668766
103,95.47998737320428
104,95.94522354687663
105,96.4843197789761
106,96.88157409344949
107,96.96835665543769
108,97.35578395898571
109,97.63420069999243
110,97.91701518994378
111,97.94343589529018
112,97.99160679413747
113,98.1267806398349
114,98.19950398983788
115,98.28725315447649
116,98.35802545352915
117,97.72333080794176
118,97.19496092429164
119,96.89946440852479
120,95.03335105707349
121,94.30148438551845
122,94.22986869395932
123,95.57468571036081
124,96.72556162630077
125,97.7311583151087
126,98.21548812351607
127,98.24895132514133
128,98.18698866427442
129,98.2351518053148
130,98.09630575151284
131,97.6724981013022
132,96.17735239306323
133,94.45174709534257
134,93.01006675024264
135,91.5277938350946
136,91.13677322010909
137,91.08998821688274
138,90.8846182203627
139,89.91725325792372
140,88.9671472660323
141,88.34840599995955
142,87.80644342684964
143,87.03780718622036
144,86.45201191981344
145,86.24953092380045
146,86.25699907967964
147,86.23178122475078
148,86.23017915358348
149,86.22663561612578
150,86.22129910980082
151,85.95840681787408
152,85.63423084335449
153,85.5007098167102
154,85.42525367141467
155,85.39446116043861
156,85.4843925509505
157,85.6002743018161
158,85.70183852157089
159,85.79736402561403
160,85.92599686000334
161,86.06602038793012
162,86.07262357579384
163,85.85684745058104
164,85.69268556891335
165,85.57860215917465
166,85.47241867301774
167,85.37235415491887
168,85.36631054924509
169,85.3361327351395
170,85.27671419401769
171,85.30961170268242
172,85.31893857518439
173,85.28027193114622
174,85.27292408979275
175,85.23494201334569
176,85.19692650277617
177,85.17091063377212
178,85.17617150740895
179,85.06660199421985
180,85.14603884295786
181,85.16768165373836
182,85.18066689888008
183,85.11653787240469
184,85.01848963155709
185,84.92875016565712
186,85.01956108929225
187,85.15096510629341
188,85.26146620406145
189,85.43545730801141
190,85.50512117076887
191,85.4676830927662
192,85.49029960029966
193,85.56473151341542
194,85.53740672650538
195,85.53303858127246
196,85.49227752869234
