,angle
0,67.18430761674767
1,65.89497396063875
2,65.17919532427547
3,65.45307165615088
4,65.88229039622598
5,66.12778858815159
6,66.27618648421483
7,66.00894093373479
8,65.38009157328699
9,65.47957133159102
10,65.52314104005669
11,65.62946125077713
12,65.65780768133989
13,65.71212540538825
14,65.7981996534342
15,65.85843546272427
16,65.8773740601424
17,65.881254587974
18,66.67652968450727
19,66.68334049165199
20,66.75606284701459
21,66.79229005413721
22,67.14386325728853
23,67.26659211993413
24,67.28485582031038
25,67.23233495367786
26,67.21683514353187
27,66.9350211614396
28,66.73321463530048
29,66.68054257771942
30,66.67496135222723
31,66.72402214690239
32,66.74068717471093
33,66.8285994790762
34,66.79746689697039
35,66.53155546430538
36,66.40792910199214
37,66.44217293393164
38,66.4371827864701
39,66.43982227707805
40,66.4228422128312
41,66.43550645511776
42,66.47652134730282
43,66.47208249918657
44,66.54419837798297
45,66.57912364207212
46,66.65174487844503
47,66.71476554880525
48,66.66338211903428
49,66.61271908662
50,66.44096615541712
51,66.33183355201287
52,65.91446406917746
53,65.87765073719726
54,65.8929275612752
55,65.82256732020548
56,65.65430314332453
57,65.50841060952989
58,65.23423510463907
59,65.196560387065
60,65.10148058762717
61,64.95014450652289
62,64.89262832972983
63,64.89479572987344
64,64.82366682848297
65,64.79129638977305
66,64.73316335314577
67,64.74258078342568
68,64.85423153167365
69,65.02791252685621
70,65.15057104998134
71,65.3310166655285
72,65.47086072970406
73,65.71934972179781
74,65.88024586428618
75,65.98784208149905
76,66.08655083423203
77,66.16973023755205
78,66.28468769812747
79,66.32730709729701
80,66.60396169238311
81,67.4308258631209
82,68.30431957350335
83,68.4265446066825
84,68.69642807165596
85,68.88842240603097
86,68.94334597423027
87,68.97675522035452
88,69.02254989011084
89,69.03255226096216
90,69.06899600590636
91,69.08127942793983
92,69.14647657594556
93,69.26337248365967
94,69.23078014478617
95,69.10307243084684
96,69.0806002723269
97,69.08125318328594
98,69.12709942139718
99,69.09148161920123
100,69.01404756220532
101,68.81977945821623
102,68.5004490157743
103,68.44734926196965
104,67.36945567620133
105,67.19540529636743
106,66.50270036199689
107,66.59035724728558
108,66.50666880812365
109,66.3703565300479
110,66.05712409628914
111,65.96151007645153
112,65.44952094237847
113,65.28342778386323
114,65.19827833615867
115,65.03464809184291
116,65.03882503426036
117,65.26816452873258
118,65.80740691455767
119,65.85845983226177
120,65.92069414885258
121,66.02943950489416
122,66.17748313900323
123,66.21695685697618
124,66.57341197718368
125,66.7542746950713
126,66.850475122596
127,67.04530758128139
128,67.12611979255342
129,67.13759581852895
130,67.08394335324692
131,67.14905508809746
132,67.12824573655239
133,66.89422282494091
134,65.82927522979661
135,65.56661437647156
136,65.53685092573065
137,65.42681460978315
138,65.55562061231973
139,65.64173620777093
140,65.52378408147942
141,65.48702292530803
142,65.80996696550255
143,65.70775580095194
144,65.48164144462683
145,65.48331018603598
146,65.58004781249052
147,65.42069741022993
148,65.4189677321778
149,65.11575503405396
150,65.2153609106914
151,65.14509871504536
152,65.13001023653223
153,65.24087836997172
154,65.61418687304365
155,65.79050270432654
156,65.94597858268239
157,66.00750507334472
158,65.74695484899337
159,65.59565908845721
160,65.38960650151068
161,65.27051966712159
162,65.1365791090185
163,65.00750302095916
164,65.04246135799319
165,65.10231057018355
166,65.70674768245219
167,66.91027196751008
168,67.04876804712903
169,67.17952244537275
170,67.14784936653628
171,67.14186899455949
172,67.22746983610311
173,67.22376147722855
174,67.29957489026408
175,67.21698589389504
176,67.22631304522349
177,67.32961811057775
178,67.37599246522456
179,67.42068153403055
180,67.3662709755851
181,67.36823941633938
182,67.36436130667931
183,67.26272032824988
184,67.11426495780361
185,67.01749353570935
186,67.60717126479017
187,67.78387142776499
188,68.07976620682737
189,68.3412286835356
190,68.56339925759256
191,68.89797006475742
192,69.63649221416865
193,69.38111256237431
194,68.71595919429899
195,69.72923459338847
196,70.54372499162422
197,72.06148678550583
198,71.72666266423568
199,71.12006263713802
200,71.27324395141041
201,70.8862786484957
202,70.69760472426042
203,71.08623697321633
204,71.57059799653773
205,70.6645916716097
206,71.88578645466309
207,71.00272430966754
208,70.21976819249996
209,70.13386002926943
210,70.41352237784649
211,70.28738546340603
212,70.66088648840216
213,70.8439469187966
214,71.67078207127965
215,71.56147030191659
216,71.61117634571251
217,71.66037955288016
218,71.56775534639283
219,70.58549197743521
220,70.78390316332236
221,71.0951215512328
222,71.52188308226198
223,70.07893495771606
224,68.98160733723705
225,69.08140425166685
226,68.5312054116423
227,66.84445486526954
228,66.9045426645931
229,67.03111416196496
230,67.86343058109226
231,68.16403667664167
232,68.59767169245215
233,68.93809469536578
234,69.212850343194
235,69.3920542209631
236,69.44626737756592
237,69.66056368920393
238,69.4785492223768
239,68.8030180631527
240,68.52167833359596
241,68.63347662490717
242,68.36239151374481
243,67.63166514660517
244,67.71745665468725
245,68.3226804024071
246,70.12862015785387
247,70.707679544552
248,70.84582985573691
249,70.42346739807539
250,70.46911522468379
251,70.34010365543362
252,71.75495230659693
253,71.51476913343672
254,71.2055637729542
255,70.96219425152837
256,70.54681302975388
257,70.96317081996914
258,71.24578901547541
259,70.83523940047793
260,70.58877635919936
261,70.99097093822851
262,70.69087663133473
263,70.38567869195347
264,69.35472333459006
265,69.17827499060556
266,68.4943961477194
267,68.58282010155142
268,68.37392918640053
269,69.417304374682
270,69.903294014668
271,69.90365675332632
272,71.16646077090817
273,71.16072808812211
274,70.92387478209484
275,71.23192383895045
276,72.36222995354082
277,73.04293664792654
278,73.07472387661063
279,72.96528186381609
280,72.77941784506882
281,72.7584362733468
282,72.3983505456288
283,71.76239302562644
284,71.88322690222424
285,71.92245976737674
286,71.84963416407125
287,71.79642496650035
288,71.40138843501542
289,71.851080195641
290,72.08820716824181
291,74.21263571664218
292,74.49601411800744
293,72.94228147240699
294,72.41310677634175
295,74.23919926442878
296,74.23012314859636
297,73.76074609453504
298,73.42170445704781
299,73.03592795684499
300,72.63453541724566
301,72.71058339599665
302,72.66428648142241
303,72.12762676439647
304,71.49865828526747
305,71.26210854321272
306,71.04302980151901
307,70.98481129079796
308,70.96431303103422
309,70.81810684643783
310,70.42836358406402
311,70.22752137860698
312,70.08334707580529
313,70.048920569898
314,70.03008525486706
315,70.00188384272475
316,69.89564283663682
317,69.86671029088005
318,69.79928422215316
319,69.64461795528221
320,69.40372724220315
321,69.14159897459581
322,69.03167455336543
323,68.98490561358149
324,69.02038422302766
325,69.09815900352143
326,69.23294213319284
327,69.36060035551073
328,69.59560330864569
329,69.43445156125775
330,69.26970909679537
331,69.33035130410231
332,69.05206535196857
333,68.9951364858171
334,68.86940226787878
335,68.50104123362648
336,68.29984786956065
337,68.22653738774306
338,68.57315356992547
339,68.8508718801444
340,68.96515165034694
341,69.14880422799456
342,69.35519190701007
343,69.46313537013857
344,69.44076174785395
345,69.32185054715762
346,69.39073144388188
347,69.69845870652007
348,70.96411767099553
349,71.90598957571302
350,72.40430820469516
351,71.12955004462826
352,70.38574215725139
353,70.29361645672031
354,70.38225748413724
355,69.71155454471318
356,69.35472790670283
357,69.01502387514634
358,69.24198652818343
359,70.19446416315299
360,70.67229430214523
361,71.16703455642732
362,71.6381474397555
363,72.01087021039862
364,72.08073155588232
365,71.68198565391165
366,70.92736686445508
