,angle
0,101.35546148674679
1,104.48513790075793
2,106.2066315471128
3,108.18147857077722
4,109.96159305401352
5,109.94904342097857
6,109.23225153789699
7,108.58777568107115
8,108.20455781897078
9,108.26267687868136
10,108.34563451192162
11,108.28363291060057
12,108.94507223584597
13,110.20552625233643
14,111.17386509987287
15,111.86759383723088
16,112.1386856487313
17,112.28285611911807
18,112.34299037511207
19,112.4635201852638
20,112.49874406932454
21,112.63752923714551
22,112.8053744499837
23,112.9609687961445
24,112.46937395632338
25,111.97831771182834
26,111.6859486820357
27,111.35538358584944
28,111.14765462458206
29,110.71434045761185
30,110.51872018136407
31,110.57653920818768
32,110.37198604865426
33,109.96021844948834
34,109.59342735861802
35,109.3436581705991
36,108.8931732677064
37,108.64647288065828
38,108.65521070241164
39,108.94830748261293
40,109.07371161963488
41,108.98498966400985
42,109.19043728579786
43,109.2587060133585
44,109.14666506057776
45,109.06325914909473
46,108.83919961482144
47,108.72664201243674
48,108.6957779157463
49,108.92956307592291
50,108.93157525030955
51,108.52656766826183
52,108.60063272584384
53,108.65908775928699
54,108.77744733406058
55,108.84214003521618
56,108.8603296633373
57,108.88675680177249
58,108.88946187788801
59,108.84186214300459
60,108.60923173765022
61,108.66820967900767
62,108.70314036415618
63,108.57424533932232
64,108.54342577887434
65,108.56304050075275
66,108.56684255667403
67,108.53892049545064
68,108.41037771995164
69,108.41266008653889
70,108.50135673801987
71,108.57936607554899
72,108.89528889467832
73,108.82913874060483
74,108.80713290179153
75,108.7582544917837
76,108.75954664245171
77,108.57929247469855
78,108.50523703304063
79,108.48970905615411
80,108.2803690567057
81,108.21331368355843
82,108.14036014396765
83,108.05157062508309
84,107.73394238181407
85,107.59597179403406
86,107.42024070815398
87,107.29215461577033
88,107.16405148633811
89,107.21892470635709
90,107.18615947383273
91,107.14344971054592
92,107.05600830108173
93,107.07946083696166
94,106.95920961943932
95,106.8366090490614
96,106.19733600955851
97,106.25744634467574
98,106.3141941011823
99,106.31606185926879
100,106.29567851341204
101,106.36561345171805
102,106.4845401563617
103,106.54845985149058
104,106.69229947191764
105,106.68835843654628
106,106.66224281549859
107,106.64116754316467
108,106.9978371191485
109,108.2518418351747
110,109.3493962271663
111,109.35985053456352
112,109.298752503889
113,109.3274912580844
114,109.14238164808046
115,109.09218544626424
116,108.89503006219357
117,108.42833080605817
118,108.04155870758902
119,107.77636926531838
120,107.51911933700453
121,107.71905386284226
122,107.79737863305434
123,107.98630867387985
124,108.16239809994744
125,108.38430869928922
126,108.96916424024337
127,109.39282989369721
128,109.84891744032456
129,109.86051056752513
130,109.44933630711088
131,109.34885771899303
132,109.37591448858029
133,109.76206450428501
134,109.28638956717865
135,108.96820819275965
136,108.94509874381592
137,108.79365726364426
138,108.7376952399461
139,108.65689992809428
140,108.35625773998268
141,108.15936853774005
142,108.10755775795653
143,108.62229059833382
144,108.89591212291182
145,109.11540487400092
146,109.1479483676518
147,109.16539160473516
148,109.1548616669858
149,109.01592007848876
150,108.86372947264456
151,108.93139461441271
152,108.67035681618677
153,108.52553979167178
154,108.40228553315788
155,108.20127067305674
156,108.09260997847059
157,108.22930344912848
158,108.3096573437436
159,108.24454236630086
160,108.23762400592648
161,108.35799069361863
162,108.34116042967466
163,108.47179130596524
164,108.57520699498889
165,108.66533333920393
166,108.27964745456995
167,107.88859052034164
168,107.84309402486525
169,107.96017383420894
170,108.10853849850926
171,108.22779514400273
172,108.42032844130225
173,108.49472893186433
174,108.30174983032381
175,108.14920658857883
176,108.26404041212211
177,108.14220622141303
178,108.18725749839734
179,108.73253035729587
180,109.28210834150062
181,109.71527584572127
182,109.81394333917333
183,109.89363881506762
184,109.30942810495836
185,108.70957826721931
186,109.64829062127643
187,109.92291378827892
188,110.50365628431337
189,109.9153675423224
190,109.05789564699201
191,108.1115565448209
192,107.31620535110252
193,106.49377340330044
194,106.27509041146638
195,106.24220262570344
196,106.24562759388928
197,106.44113003437259
198,106.61089469808121
199,106.66947330507747
200,106.3852205123435
201,106.40423697753153
202,106.16852131835907
203,106.63478358116808
204,106.65960225156829
205,106.58874951158785
206,106.67741850776639
207,107.15842459571883
208,107.43333489632235
209,106.98649071676977
210,107.21603643453534
211,107.4126505161546
212,106.76641289375672
213,106.98211587076244
214,107.33415193526804
215,107.12559705660155
216,107.11844167566596
217,106.44997821140677
218,105.53042626130659
219,105.0017157684827
220,103.970706872101
221,103.10916918080885
222,103.10224680751753
223,102.8985333033497
224,102.86371979934476
225,102.80793711581215
226,102.77426236500854
227,102.98294219477224
228,103.47231893380423
229,103.81594655336102
230,103.85109423483935
231,103.72563041909456
232,103.8121164323847
233,103.90011075961137
234,103.8844413059973
235,105.00509499006711
236,105.34950906411248
237,106.39661654134838
238,107.44041306825088
239,107.86039180915373
240,108.23212324464774
241,108.65250074634298
242,108.70263269123802
243,108.68242678824853
244,108.76775738391399
245,109.04077550036075
246,109.27153205114519
247,109.65554128294465
248,109.82593166954706
249,109.77080113334159
250,109.71186832608325
251,109.4696414129422
252,108.78398557308714
253,108.40391137211364
254,108.51826266072098
255,108.18006842885546
256,107.8511404348555
257,107.6640808430443
258,107.18103773295698
259,107.21760232267357
260,106.17289743869364
261,106.25608585095472
262,106.55952329564823
263,106.44463362433123
264,106.93521683281773
265,107.11308144090003
266,107.79834967759248
267,108.05876044509606
268,108.33197666426796
269,108.48050817245189
270,108.68049490536583
271,109.60862503416453
272,109.35315677663772
273,109.06698936518356
274,109.25194325080906
275,108.92887462365309
