,angle
0,147.15346476100615
1,146.6085347657631
2,146.97121725494327
3,147.77977879580556
4,147.66426309110085
5,147.54094175875974
6,146.80906729733772
7,146.34955465403553
8,147.30066639844858
9,147.77691963665092
10,148.4676999265129
11,148.88580826160788
12,149.53615163494857
13,149.74646429996935
14,149.68761994135855
15,149.12422045244224
16,148.77448699105813
17,149.19433820545405
18,149.5708904693653
19,150.14762262148912
20,149.9797560429215
21,149.5009671935927
22,149.115805050214
23,146.64361576001812
24,144.36721823336114
25,142.79363967758763
26,138.64508961949025
27,135.6381714023511
28,132.80334191779176
29,134.48116509337103
30,136.34777102549512
31,137.7494662051878
32,138.8029056046339
33,137.44613475021416
34,136.6760094493561
35,133.09040488092606
36,130.24022811563805
37,129.13394940930743
38,128.59138507242332
39,125.87801342065403
40,125.110043800628
41,124.55380305076669
42,125.44532363695713
43,125.88053732468627
44,126.34046099318635
45,126.33721227993745
46,126.57669182430834
47,126.82095724363819
48,126.76240563345551
49,127.90267491821716
50,127.72531753523485
51,126.85690251129995
52,125.90651820321187
53,125.6044132574794
54,125.48960553485692
55,125.52806684969168
56,125.57975934730808
57,125.87492654305132
58,126.35583158454443
59,126.78557254596465
60,127.00254930385275
61,127.13681842163882
62,127.48869679216558
63,127.48803093561568
64,127.97450072710623
65,128.05278242754488
66,127.98265810718388
67,127.9930759356094
68,127.9218745555265
69,128.70608497449575
70,132.28111674419605
71,134.9036973205642
72,135.38015824528426
73,135.78554267231672
74,136.4062158943378
75,136.62056055394905
76,136.63056789941646
77,137.28836925293018
78,137.88347714491763
79,138.41835973506744
80,138.7331215048626
81,138.71329065123794
82,138.63464067182304
83,138.5841376439593
84,139.21239333178528
85,139.7032249975747
86,139.6841996687352
87,139.3663319053871
88,139.25999390818512
89,139.00804797308402
90,138.90208471626383
91,138.85737783773737
92,138.59889541684984
93,136.81248101804445
94,136.1746841162652
95,137.14228142764424
96,137.13888972204015
97,134.4292379184614
98,133.4541643626023
99,133.8766007716506
100,134.2396142082846
101,134.74465661922787
102,135.2261237587673
103,135.6138989477889
104,133.7109322111078
105,132.65574391399943
106,129.1623161094433
107,127.62434815128051
108,124.06453639931044
109,123.49405551163122
110,122.3985862650418
111,121.89027972593303
112,124.11219824873736
113,125.79566408805775
114,127.04791642404159
115,127.70571075269925
116,128.00022694585732
117,126.07170700047794
118,123.98911049341139
119,128.54409572281259
