,angle
0,123.06334857948582
1,123.66098433713833
2,124.22146698724666
3,124.57166416217817
4,124.68407923604795
5,124.65754420557312
6,124.6813446466802
7,124.70664844452529
8,124.78477832299322
9,124.79653992627462
10,124.82424325216905
11,124.80538592978209
12,124.79730180643622
13,124.79690641914178
14,124.77147329069783
15,124.7234253907805
16,124.65401219277305
17,124.60987551587709
18,124.52074467011732
19,124.4954927741224
20,124.5524105691907
21,124.567863419417
22,124.58568280051784
23,124.56273594699087
24,124.57068963061712
25,124.5552651852455
26,124.5484628098271
27,124.54476617663033
28,124.52164492915998
29,124.50766933546873
30,124.4817267146395
31,124.48324420536196
32,124.45357241095354
33,124.3518564578495
34,124.34384280032972
35,124.33677057600141
36,124.32633730162465
37,124.30139655697229
38,124.26938214040695
39,124.26864704579697
40,124.26221472323124
41,124.2897674582282
42,124.27323064661459
43,124.29068972319016
44,124.29827299397519
45,124.29275084924666
46,124.27769976588627
47,124.23398631062193
48,124.21061261932988
49,124.17523303278799
50,124.14292811897496
51,124.1413925085958
52,124.15072966551799
53,124.15219342788617
54,124.19432494620102
55,124.19358335442985
56,124.16654978640858
57,124.16577613745199
58,124.1412515648729
59,124.1386745776212
60,124.17877167952261
61,124.22280755387123
62,124.23516448719269
63,124.27587244359941
64,124.3578445452319
65,124.4552101334518
66,124.51827330341308
67,124.53566708322563
68,124.55375657343697
69,124.57397405058748
70,124.61923892586145
71,124.64919681513732
72,124.68484791308262
73,124.65977801432769
74,124.61823473069359
75,124.55361809992189
76,124.43648240266032
77,124.3061966395008
78,124.23767939822699
79,124.20800395713187
80,124.20718766041506
81,124.21578484455722
82,124.21048231857532
83,124.20594119040348
84,124.17746717774895
85,124.17899803260948
86,124.18414619524134
87,124.21105494266914
88,124.2318161794806
89,124.265424012035
90,124.29077398798444
91,124.29904928775082
92,124.31433862440625
93,124.31975098893093
94,124.41951347637288
95,124.4576477150647
96,124.49774812830609
97,124.56579732001751
98,124.63518975958223
99,124.76374871294541
100,124.76833679228724
101,124.8565911858276
102,124.85078721259424
103,124.9000219105649
104,124.98977120381832
105,125.0339438957271
106,125.10166245734138
107,125.27173957007511
108,125.32861031031553
109,125.45505994775115
110,125.53775624606729
111,125.68976319064936
112,125.83284793357981
113,125.88505068165071
114,125.90613963596735
115,125.85348143743917
116,125.79896187724569
117,125.77165967402527
118,125.78677758620759
119,125.76908239708763
120,125.64622118668211
121,125.66564285712627
122,125.79803134287377
123,125.8916894516984
124,126.01080293920938
125,126.06386153634665
126,126.13762431140526
127,126.15921000685861
128,126.09730740768273
129,126.12413095126956
130,126.19184534632541
131,126.33745265858985
132,126.45762984917181
133,126.70193462332534
134,126.85858496442208
135,127.132103119102
136,127.40496099791224
137,127.47831416024047
138,127.54107134809078
139,127.56415975711491
140,127.59961709302576
141,127.60793519040337
142,127.51926411417821
143,127.48010163656463
144,127.42844857766286
145,127.38712098811109
146,127.35093769708362
147,127.31571990654965
148,127.20645618611692
149,127.11553601538202
150,126.98358480172976
151,126.95314382753807
152,126.89273660298429
153,127.01194782781911
154,127.12358363458424
155,127.15761175873936
156,127.16049412371825
157,127.03168137113221
158,126.88347795927751
159,126.8522959888052
160,126.76781998368864
161,126.74330119752025
162,126.7771764557649
163,126.66966628477084
164,126.54723828822435
165,126.48284563604145
166,126.4478240831032
167,126.43543832944209
168,126.38433699898428
169,126.37636014249884
170,126.34569911990116
171,126.31965102305995
172,126.26078849790719
173,126.24829861464667
174,126.12746732023135
175,126.04747911961948
176,126.05773455971556
177,126.06141767492826
178,126.10169956818072
179,126.1233042634478
180,126.1707678839793
181,126.14677955207355
182,126.16159151774872
183,126.20448815360626
184,126.29333110061057
185,126.50326578485152
186,126.74537874865482
187,126.8993833430952
188,127.0250861121871
189,127.07228882604682
190,127.0678387928161
191,127.03085570327542
192,127.10945707499988
193,127.26425854447697
194,127.33179867930795
195,127.45873797359297
196,127.5698564038045
197,127.69576209197851
198,127.75182430711993
199,127.79052120206367
200,127.8243890397795
201,127.8863510342803
202,127.96110846282582
203,127.96911528655588
204,127.90857382769212
205,127.82310654659864
206,127.80786189511969
207,127.78560435054814
208,127.72935394319384
209,127.62364579844697
210,127.60142550308797
211,127.61260448130935
212,127.6037532613378
213,127.6059088793427
214,127.58971960135341
215,127.5740084416918
216,127.58729135652092
217,127.60854760706147
218,127.61124672026003
219,127.61656255203246
220,127.69644870130912
221,127.77927898859832
222,127.90209445138433
223,127.95021090479977
224,127.92020492342644
225,127.95462912224727
226,127.99537127591395
227,128.02034313726617
228,127.67520577539884
229,127.50156052279004
230,127.32848784920543
231,126.98876990334162
232,126.87215597041808
233,126.45691666103843
234,126.14933818376355
235,126.11358364426457
236,126.09473433875993
237,126.20019382742896
238,126.2725485246522
239,126.38703359385559
240,126.51051439024792
241,126.55744370017146
242,126.59648423138549
243,126.54768571759035
244,126.4740007390244
245,126.45228676844064
246,126.35105910048645
247,126.19019922037887
248,126.06455897138181
249,125.9578884514078
250,125.65668975370914
251,125.60031987192366
252,125.57322025004089
253,125.6415204958113
254,125.52474197816863
255,125.56707195907492
256,125.54250423455144
257,125.55795823284069
258,125.60505134452384
259,125.46977309917847
260,125.4561031389058
261,125.47297322306244
262,125.57064386446677
263,125.69012860429763
264,125.69096324833384
265,125.81261518259834
266,125.84356928588409
267,125.99636519742828
268,126.21951825957177
269,126.29168914612808
270,126.35993700048203
271,126.53039636696599
272,126.71678524835875
273,126.8614021722255
274,126.9214292255187
275,126.94221650115381
276,126.94478079055074
277,127.00417682581568
278,127.04605590543585
279,127.11760694097882
280,127.26130263817157
281,127.4296212072056
282,127.69989369672848
283,127.82402006807229
284,127.8193954895113
285,127.81690597312627
286,127.8225295977914
287,128.35512344948955
288,128.57915582745431
289,128.6329217935104
290,128.82123279289414
291,128.72258529623977
292,128.84154590138195
293,128.4660599532424
294,128.17968195515036
295,128.0414168021082
296,127.95275295146416
297,127.93900788841722
298,127.86103291436032
299,127.98875012462014
300,128.18486755661561
301,128.41820312966107
302,128.47400344880057
303,128.5397187966666
304,128.77798772566481
305,128.58551371028506
306,128.43577333965388
307,128.4222095081228
308,128.32675816463396
309,128.0417030582387
310,127.68513364894002
311,127.53353127910259
312,127.5267085565745
313,127.69575317440376
314,127.8583518005953
315,127.93183851025691
316,128.15162261738132
317,128.05978415770474
318,128.0126551085528
319,127.93320988964842
320,127.75533609192593
321,127.6698718150725
322,127.63392789277532
323,127.62451255899296
324,127.66215591437279
325,127.5312123124911
326,127.49745253412709
327,127.45738413962047
328,127.41934853943903
329,127.43360752397118
330,127.4042059829622
331,127.44430219137851
332,127.48027266403082
333,127.47674028226947
334,127.47240793986651
