,angle
0,29.47428791712942
1,28.92517118134198
2,28.65396052054881
3,28.59785626154896
4,28.540677317483286
5,28.476249474156734
6,28.332527540588202
7,28.17008165829868
8,28.01321279472599
9,27.78925109844668
10,27.711213294126154
11,27.564441073160197
12,27.02062183240127
13,26.665968404693352
14,26.368247533010727
15,26.214472631023938
16,26.115798191938072
17,25.954135757382613
18,25.822401107300923
19,25.713368431220825
20,25.574557659669384
21,25.415775017600474
22,25.362883172505665
23,25.324102196461144
24,25.340705508199374
25,25.393284589693607
26,25.402280378291668
27,25.471050065476295
28,25.48250327400419
29,25.510913812940352
30,25.53996100539856
31,25.580311486045364
32,25.59628933556603
33,25.583521964187398
34,25.656247480682065
35,25.744557656820856
36,25.747179997751587
37,25.745278050456136
38,25.754043817011123
39,25.772347483172243
40,25.781279750804558
41,25.796138697769635
42,25.808368857358968
43,25.840025125090268
44,25.83957331318893
45,25.84088347492652
46,25.81455277115805
47,25.73769734629806
48,25.70546157943542
49,25.67019343919971
50,25.646681151018868
51,25.61619265147073
52,25.642779478580916
53,25.711804757944513
54,25.74065000827723
55,25.743256584992096
56,25.758669186243235
57,25.78064587681952
58,25.793057081335512
59,25.82934723287815
60,25.878095188143913
61,25.899982867776544
62,25.93359781632771
63,26.007415333763266
64,26.04155890068386
65,26.095026856590685
66,26.12663349079156
67,26.19967578676092
68,26.247799843639427
69,26.28896146442679
70,26.344165799124042
71,26.414190833561616
72,26.42992445854869
73,26.483510913116888
74,26.495914239383833
75,26.55307044920436
76,26.57374742772923
77,26.56114415272699
78,26.533672444682722
79,26.512206999305956
80,26.450387064299125
81,26.386414134030517
82,26.35152179121473
83,26.336859006793144
84,26.33092213964814
85,26.28258640455587
86,26.181415394160567
87,26.139829148771298
88,26.127527009585346
89,26.128390690642625
90,26.109725579784318
91,26.11999941883839
92,26.112541150711017
93,26.087586791676458
94,26.05236707759733
95,26.01213424724374
96,26.040979807132334
97,26.082600701962548
98,26.241930884854693
99,26.346257390305304
100,26.43849883563096
101,26.58079434307152
102,26.711016119316614
103,26.72900231286118
104,26.764205113228115
105,26.803477582221635
106,26.96034019753122
107,27.037723404071958
108,26.947043070988467
109,26.868743145062833
110,26.816155454015224
111,26.748443772554754
112,26.7104310479789
113,26.636007181957154
114,26.54477795605186
115,26.334900487248973
116,26.132353381061513
117,25.960206141480285
118,25.643835290535574
119,25.309466185629045
120,24.966343196044257
121,24.681835150028455
122,24.417797782755496
123,24.181237382808536
124,23.891547248501304
125,23.652951347211886
126,23.443274359591985
127,23.290158767781133
128,22.962430851328527
129,22.713020582659663
130,22.83001439255903
131,22.96056024332117
132,23.029701792400484
133,23.152038191817372
134,23.324996367769177
135,23.379944980825627
136,23.585895417605133
137,23.543473134268428
138,23.776792571214678
139,23.724181443125914
140,23.734968659095408
141,23.733746689021658
142,23.572063358539133
143,23.091658399181906
144,23.02310580944559
145,22.684103043572115
146,22.602273667619304
147,22.514843836949822
148,22.47371012474945
149,22.42488654283098
150,22.475703128204298
151,22.49283331013662
152,22.484051337959137
153,22.56994024782218
154,22.596582813934745
155,22.62013201736531
156,22.70839732180566
157,23.06586028912216
158,23.08321983736825
159,23.306647044100945
160,23.39756487146714
161,23.884332941432312
162,24.35178603648881
163,25.085128640405998
164,25.79373873884992
165,25.914842747805253
166,26.063652024803385
167,26.21082064227635
168,26.28666760206504
169,26.436130578674444
170,26.686277366414917
171,26.841281720827478
172,27.071494109041744
173,27.267739398501252
174,27.474804875479514
175,27.49128834996162
176,27.493973040687543
177,27.517496214752697
178,27.557933471553845
179,27.564687076029607
180,27.55510494138469
181,27.553803481195228
182,27.53601577013993
183,26.99641895914575
184,26.51753083907527
185,26.281128884849387
186,26.051435725261584
187,25.990872610022258
188,25.99672284014478
189,26.015356885925282
190,26.061385179250045
191,26.074366117578293
192,26.04728981486305
193,25.9686252716765
194,25.912462435407267
195,25.871648640462094
196,25.801549764428103
197,25.763914052217057
198,25.70282870055955
199,25.567073767453916
200,25.552049942083947
201,25.52102984664386
202,25.362628838839974
203,25.390739651312174
204,25.382920742203673
205,25.43784774365313
206,25.431947744870918
207,25.507617226538386
208,25.549504611292964
209,25.638522471044734
210,25.647131915998294
211,25.694288771718085
212,25.65613741919779
213,25.64990948588053
214,25.550815076845563
215,25.52784994257647
216,25.390572689955384
217,25.16725451537827
218,25.13420485595797
219,24.8286965992675
220,24.71002654571325
221,24.700050923202458
222,24.504865494971803
223,23.853143950170587
224,22.978429623943157
225,22.72118597529188
226,22.58927685309398
227,22.5134069610358
228,23.371484683242905
229,23.487524150390755
230,23.36553003110074
231,23.6735385585077
232,23.90825720469947
233,24.18978602226312
234,24.447229390632078
235,24.666332679692836
236,24.81811646531735
237,24.826550966262186
238,24.626722834814814
239,24.47300220797935
240,24.22788588697069
241,24.195885081521762
242,24.24022659705751
243,24.41027259451169
244,24.794698630349743
245,25.050388303120528
246,25.367227136836814
247,25.749565598256712
248,25.869409476327768
249,25.90634851912501
250,25.772267041694686
251,25.648886669711136
252,25.704858394608557
253,25.710321654641522
254,25.718451134258235
255,25.68110617209713
256,25.842932452664826
257,26.084062547056398
258,26.042246291382114
259,26.15861819708121
260,26.259143070463562
261,26.114618754816597
262,25.9251059248193
263,25.795255711712024
264,25.830597397257847
265,25.765188831450295
266,25.734098120309937
267,25.74284725320373
268,25.754360945357465
269,25.520703479718325
270,25.214710467609954
271,24.989451557996414
272,24.902253905923413
273,24.89766629244564
274,24.932306668118677
275,25.06629907885638
276,25.08146421216491
277,25.170592961014943
278,25.204176077323744
279,25.286182981530903
280,25.368986412217133
281,25.439236934095884
282,25.49491852842281
283,25.592905121667815
284,25.74299205228038
285,26.131549809612494
286,26.348849939946685
287,26.606704751908996
288,26.865547939717203
289,27.092550313433794
290,27.20592071399273
291,27.392374748378156
292,27.204676395230486
293,27.21330420806119
294,27.002720293918852
295,26.810852387541807
296,26.663897923167408
297,26.472452709141
298,26.129214862964457
299,25.915555160523127
300,25.71406827414812
301,25.54451316321421
302,25.541461354896065
303,25.508114441148432
304,25.64214913887851
305,25.694374237239987
306,25.790732335795017
307,25.959879358146175
308,26.170200941428057
309,26.451467217737374
310,26.652070172763683
311,27.027865978115347
312,27.08834104438016
313,27.222509194610645
314,27.365824300227167
315,27.511032448791855
316,27.5477221394265
317,27.634394209468745
318,27.646994034832602
319,27.5796606855224
320,27.444979396221825
321,27.296651180171054
322,27.18834968278306
323,26.92118084372587
324,26.808171938857917
325,26.62662927626838
326,26.329877336036926
327,25.93859486281449
328,25.75820848663334
329,25.621632230468652
330,25.464469769379797
331,25.44498190820731
332,25.47310653005423
333,25.485551483037703
334,25.610297727822285
335,25.728742411641548
336,25.828867626597166
337,26.03572341102526
338,26.243169626308287
339,26.351608385862733
340,26.370018875288583
341,26.384137426335514
342,26.39471700334288
343,26.436993211414336
344,26.429560781140275
345,26.53143154340194
346,26.487142007951846
347,26.256240163571526
348,26.016480729633642
349,25.75050207355908
350,25.46877708508661
351,25.362018601973194
352,25.296727776683795
353,25.31285773076174
354,25.37259183420455
355,25.70665500188334
356,25.97089909507013
357,26.266134065488256
358,26.512370992170116
359,26.73261822980047
360,26.750827550844694
361,26.7979452058675
362,26.82966906724657
363,26.834547300843884
364,26.885111816702654
365,26.88872099113428
366,26.8651009735717
367,26.841504575274616
368,26.821879411911524
369,26.83775885794726
370,26.86949286959221
371,26.931151090153627
372,26.914772446394355
373,26.919579744663515
374,26.899692113673556
375,26.875211177654922
376,26.86649411581126
377,26.852946349923716
378,26.8771508335937
379,26.936481669562404
380,26.95478627863253
381,26.963839574074438
382,26.953649978502206
383,26.94043022877796
384,26.918053102270843
385,26.805862382419765
386,26.64768764044602
387,26.629024495006004
388,26.65279646017528
389,26.730129930460937
390,26.769955760636616
391,26.7830163750195
392,26.758222729125016
393,26.67503958697355
394,26.67415227143168
395,26.79101896992882
396,26.94504748035608
397,26.928606182372572
398,26.94572688431367
399,26.984378025427297
400,27.0726063243043
401,27.139504680656092
402,27.318664458611877
403,27.522978125525082
404,27.69389706661309
405,27.804205265789985
406,27.885534110395163
407,27.97075464198656
408,28.014053604634025
409,28.076117295096836
410,28.1349757040299
411,28.180297229183132
412,28.26709694591583
413,28.459178700479328
414,28.895404569227004
415,29.119169496252525
416,29.150267183967486
417,29.08110629291632
418,29.03554886972004
419,28.92651604500099
420,28.86311769490116
421,28.347854380818212
422,28.286882312870524
423,28.2831365602905
424,28.28682727452433
425,28.26778065481869
426,28.2879873928278
427,28.49629977458429
428,28.661892016216857
429,28.801705227857077
430,28.894815416734712
431,28.86987605760986
432,28.71652500398261
433,28.318240447843504
434,27.60492018751993
435,27.49305418559133
436,27.488257170184266
437,27.531780824863784
438,27.681647907652444
439,27.792800089963688
440,27.70461879655232
441,27.318807517220055
442,27.030472397365962
443,26.933825103038128
444,26.897736852862124
445,26.766862882760396
446,26.797631566739867
447,26.72972276755671
448,26.78921518096065
449,27.008131781731297
450,27.11409981393131
451,27.510625206574147
452,27.69616073073903
453,28.028828290654552
454,28.413534598202574
455,28.645969660170024
456,28.842928226221087
457,28.89790026830573
458,28.66461614223421
459,28.098032297626474
460,27.504816065003087
461,27.06039825907776
462,26.81725490255457
463,26.780485707593748
464,26.58758724806327
465,26.277272224983488
466,26.290343404227574
467,26.37857756294319
468,26.369142079826407
469,26.37004513913587
470,26.377030856656933
471,26.380972631270694
472,26.01313048998442
473,25.61107800293042
474,25.017958248961325
475,24.95196402229085
476,24.92615148283975
477,25.17599189671916
478,25.53926057317285
479,25.7161772675548
480,26.349805334526398
481,26.186749799013104
482,26.437193768645443
483,26.4726095278229
484,25.885061609247302
485,25.209721490992585
486,24.89472409834496
487,25.020425465630254
488,25.16771566311738
489,25.43621359939493
490,25.60413063616435
491,25.68159520150524
492,25.735485852462784
493,25.642686116496435
494,25.478594982594867
495,25.398235121400745
496,25.3683404476761
497,25.291571601192803
498,25.25136110957374
499,24.851879884382917
500,24.62165974626147
501,24.613418107296535
502,25.03298855576948
503,25.68575805730521
504,25.683651104484316
505,25.530512487648437
506,25.26180327174088
507,24.966331354858184
508,24.965931344240495
509,24.980379152074754
510,24.800498278437605
511,25.06525899400449
512,25.18046059551778
513,25.55558449929171
514,26.040583902744864
515,26.18054785557351
516,26.569642639193006
517,26.521605522914133
518,26.412066157586903
519,26.343790450852406
520,26.482918703871235
521,26.569022328119296
522,26.53197313987542
523,26.353535160399012
524,26.27626773373551
525,25.95936849092273
526,25.66846419166072
527,25.553083119672685
528,25.01766137230266
529,24.923915560297516
530,24.883077498164706
531,24.957110599328114
532,25.07878385934776
533,25.13613535054949
534,25.11027897422812
535,25.121515529698712
536,25.188371444864064
537,25.45250740749905
538,25.65164211362969
539,25.426569165655977
540,25.45680839183278
541,25.427789477886606
542,25.552029551518228
543,25.682481870577337
544,26.04735314661042
545,25.94713030316989
546,25.839386342833844
547,25.7053425449823
548,25.77700334201374
549,25.879061696434796
550,25.88138042520272
551,26.0305305811678
552,26.545485157234065
553,26.841085264285674
554,27.311605594301266
555,27.631797809732166
556,28.007305090858022
557,28.19553108675187
558,28.220023537491784
559,28.151213235605955
560,28.119874112588384
561,27.477885068098427
562,26.315976939784402
563,25.765262738775697
564,25.750947680565087
565,25.881909708896732
566,25.889022215393986
567,25.95222965353797
568,26.116462847593024
569,26.04890730152283
570,26.55078330452467
571,26.894692400652826
572,27.18909014233461
573,27.541947458877623
574,27.58418615526046
575,27.696147964559692
576,27.609595241371938
577,27.765496865248583
578,27.77214037684066
579,27.56204399654241
580,27.229759482731932
581,27.093192714574972
582,27.063967956376096
583,26.958650724357128
584,26.688894501958114
585,26.626896353499788
586,26.439065876071805
587,26.459386203299818
588,26.631836759462843
589,26.644269393018526
590,26.815496960209895
591,26.992068714039
592,27.215884290671283
593,27.514526432983452
