,angle
0,43.98596089375669
1,45.13664674802721
2,46.39942231090157
3,48.44453671300385
4,49.54557669514834
5,50.55979370266166
6,50.24172281274461
7,49.41185838501351
8,47.845421731706374
9,47.221570049431236
10,48.45779309816635
11,48.68567612311158
12,49.47270319454544
13,50.13533369756836
14,50.68906050631247
15,50.96417866571277
16,53.036059873025685
17,54.525265512337405
18,54.89023850831684
19,55.36579645806965
20,55.63662125990049
21,54.606435854655615
22,54.21210128761446
23,53.65810228429477
24,53.43499303798338
25,53.51732009254463
26,52.31428676949268
27,52.36996308561964
28,52.54744521204571
29,51.102181809896564
30,50.81510752715433
31,50.60205487967696
32,50.53704856356709
33,50.67909350380595
34,51.08134824235477
35,51.510301150945494
36,51.74122108146856
37,51.81656792202046
38,51.868037022644906
39,51.80430702414246
40,51.75645756858893
41,51.85277294397581
42,51.84535781076956
43,51.847126929858305
44,51.77361344158788
45,51.87504963136386
46,51.99309172859031
47,51.69558047538291
48,51.13813572824548
49,50.870759595313416
50,50.72798553932327
51,50.5367637630192
52,50.45436769423412
53,49.905213676818825
54,48.872622363389375
55,47.900770522065805
56,47.37140119811717
57,48.43674257817084
58,49.06538052631168
59,49.474668577593555
60,49.66608982062723
61,49.67102924313907
62,49.87409307870684
63,49.96072970167697
64,50.01159414181647
65,50.319596898943225
66,49.65962698597141
67,50.33912768807627
68,51.025276380584614
69,51.650005621435525
70,52.56834517473663
71,53.1224165202962
72,53.96116360746158
73,54.2568400060105
74,54.50879257566791
75,54.538615449126034
76,54.64054288324954
77,55.33734676003704
78,55.132076520862555
79,55.039824809450536
80,55.13089951153051
81,55.12340299556403
82,55.19278329613931
83,55.21699038570379
84,56.252509069998766
85,56.816900068250526
86,57.50411006702051
87,57.08591237569268
88,57.25774429613522
89,56.808828407612445
90,55.99124284417217
91,55.87155102480596
92,55.80034315591405
93,55.077522041830946
94,54.37247717733821
95,54.08527587741406
96,53.91362708950896
97,53.88833997804505
98,54.312672076666665
99,54.639416233546314
100,54.990476749971116
101,55.155219167965356
102,55.19320811649153
103,55.510565648598245
104,53.8824695209003
105,52.98686103167064
106,52.62548593670694
107,52.182998587067964
108,51.799932845468476
109,51.56622039048589
110,51.41570429740579
111,55.17994940459997
112,48.57557475107939
113,45.88945270970484
114,44.79578153467481
115,43.418385624375404
116,42.96662535113649
117,41.83483187922451
118,42.668801737771865
119,33.44732304282523
120,35.70509559750222
121,41.573647928399176
122,44.17458429290895
123,36.82129938235604
124,40.43710818724365
125,31.831150921193338
126,14.176094923886554
127,11.31868981189624
128,9.119594438235579
129,17.24072705300255
130,4.363303702849333
131,12.694453746126309
132,15.672345382524234
133,12.20405970219225
134,11.262972603506746
135,9.585279995727054
136,1.4577543592463078
137,2.4180757681547793
138,19.557045149065054
139,24.17833983615482
140,9.612316350924374
141,7.518893339436812
142,7.228753101044468
143,23.3578448048238
144,25.46968060994497
145,18.90620246425636
146,23.682719575777167
147,24.90757659838934
148,26.28559140904875
149,27.419843756109728
150,23.149917121325476
151,32.47631136117955
152,35.129284924544436
153,34.907441650601264
154,32.9377462424756
155,31.95206762677965
156,26.867899010873852
157,21.35772096128068
158,27.975966935339283
159,42.84905791466275
160,48.50456991311315
161,48.80615965745487
162,48.340685778938685
163,49.251583740228675
