,angle
0,74.98970083515546
1,76.97202819316226
2,78.66554543164928
3,79.75844323777449
4,80.67514661922671
5,82.23393605472874
6,83.0815654156078
7,83.80704025071344
8,84.81791965424937
9,85.59516002884655
10,85.97252647623301
11,86.03788706528692
12,86.1051889281395
13,86.01315775987834
14,86.23829495686641
15,86.60491352828662
16,86.53706624416532
17,86.76019374122868
18,87.094002101386
19,87.68693752986697
20,88.29078963617422
21,88.54972715706003
22,88.70670426995908
23,88.95476286148613
24,88.88800265922356
25,88.62287241865249
26,88.51049963751083
27,88.2216088991325
28,87.94553736291203
29,87.81712115646404
30,87.57877083067321
31,87.29895217877807
32,87.0157658175879
33,87.016731767936
34,87.0148934322477
35,86.97827463741696
36,86.98611143810328
37,86.97752139178291
38,86.93330384693223
39,86.93807663981676
40,86.8677967877731
41,86.84240666213267
42,86.78347759631279
43,86.66643819119103
44,86.48583371609531
45,86.38211024228848
46,86.17202732474287
47,85.88563675302036
48,85.74906307933543
49,85.79365502026339
50,85.89454365571096
51,86.06756981213152
52,86.16344035216629
53,86.21904744329105
54,86.16131348028232
55,86.02009937855314
56,85.80561081313544
57,85.80052982602666
58,85.86957853754247
59,86.0381182195719
60,86.4089055833493
61,86.58387153562819
62,86.91941852630717
63,87.35832123465936
64,87.73941769900993
65,87.89771382639
66,87.9811714744965
67,88.0439051844246
68,88.08263624336527
69,88.13705179824107
70,88.16899110655116
71,88.1641933556887
72,88.16876935366133
73,88.13564484291075
74,88.13335619304911
75,88.07473459640676
76,87.97880753661612
77,88.00926476904544
78,88.08217897324062
79,87.93626534604967
80,87.8570125793795
81,87.87554272519274
82,87.23184103809601
83,86.90616789853244
84,86.75159130471603
85,86.62317728082806
86,86.4728884613582
87,86.52230712662814
88,86.38641377690426
89,86.50787689264058
90,86.54908831771985
91,86.56030365012849
92,86.16120195587077
93,86.04990285877575
94,85.7233070107608
95,85.55953345850409
96,85.2455573524636
97,84.95008491664147
98,84.87553358826909
99,84.71032162668772
100,84.7226005316191
101,84.76928327314604
102,84.75792149733343
103,84.89119955929236
104,84.95877827059076
105,84.80080390313618
106,84.90034777730341
107,84.88398258559859
108,85.06057058288553
109,85.11546124633594
110,85.21962479368631
111,85.45895321309163
112,85.64714094719318
113,85.86230805986459
114,86.04909757131828
115,86.37019848913276
116,86.94697667090207
117,87.20730585168621
118,87.51745547333363
119,87.64155072875818
120,88.10587991294156
121,88.455128781887
122,88.7646658730113
123,88.89277329305142
124,89.02842992285409
125,89.08051551291732
126,89.07174729740885
127,88.98466802406662
128,88.82464127006014
129,88.60191976943123
130,88.1938026446425
131,87.97005331658836
132,87.82604694114919
133,87.52024807569943
134,87.3602031966939
135,87.31093295410967
136,87.22587499640785
137,87.14798611431193
138,87.09860213973441
139,87.08354728644625
140,87.03170131344416
141,86.86145077736802
142,86.8485904809254
143,86.85650360175883
144,86.84225448193813
145,86.81463258914671
146,87.00086172286551
147,87.22818749721633
148,87.39688655887505
149,87.49999027891468
150,87.49493965214094
151,87.54936075696963
152,87.71240741781486
153,87.78098508864426
154,87.78355628252889
155,87.77727355140149
156,87.5094345738212
157,87.27005037622793
158,87.15794203215083
159,87.10068711628193
160,87.06938835045342
161,86.9965857385068
162,86.96634754265352
163,86.89967184764505
164,86.8161352855976
165,86.6809820175284
166,86.46537506548047
167,86.3116613201601
168,86.29188852249786
169,86.29443495070969
170,86.3322127750014
171,86.28345494197744
172,86.17248479824806
173,86.05322150801283
174,85.87072685634836
175,85.75731011433372
176,85.75517703791847
177,85.67810381238957
178,85.51484840870926
179,85.38513162753623
180,85.2830322646133
181,85.07586264274809
182,85.05584110249303
183,84.9840433419819
184,85.01331129297198
185,85.15787153759206
186,85.37545776236536
187,85.46947246583632
188,85.72627811030682
189,85.84768650917096
190,85.98778985510846
191,86.1759248559101
192,86.36499266757272
193,86.45913936803473
