,angle
0,113.41535279899391
1,114.30618811014061
2,113.84701819304739
3,113.79667642534586
4,112.96423487004039
5,112.79748512033734
6,113.4234354392805
7,113.36509145456706
8,113.6484617201547
9,113.28554399697784
10,113.1067159869919
11,113.21881956411616
12,113.45154223088464
13,113.151745347582
14,112.67021864918672
15,112.36799387812141
16,112.57874227579629
17,112.88797761593574
18,113.65182818928032
19,114.34689510993542
20,114.43214459651279
21,114.14642346316681
22,114.15297896010695
23,114.10676552841281
24,114.08705461242761
25,114.15326384094885
26,114.05993315763082
27,114.12250505747318
28,114.04912900496142
29,114.20169876550516
30,114.61493995860602
31,115.078128438953
32,115.72777601387347
33,115.8866622703316
34,115.99163991409674
35,116.05052047034249
36,115.92667592206473
37,115.4945233204139
38,115.18491849667004
39,115.08029186248129
40,114.86687187312134
41,114.74482768554674
42,114.41478058478052
43,114.10810318970353
44,113.59908507787763
45,113.22905982140831
46,113.0184713708523
47,112.95209262509718
48,112.96867462679003
49,113.00172056874547
50,112.90596501785942
51,112.87697427175733
52,112.87696790577328
53,112.92223052968747
54,113.00870953961956
55,113.19067181572942
56,113.1786467866408
57,113.08408295256312
58,113.01067659821082
59,113.1421382721573
60,113.33762713785853
61,113.47094585194421
62,113.76488098406159
63,113.83142482566588
64,113.68299338162132
65,113.7990073908585
66,113.98676852412412
67,114.02707388518078
68,114.0849100699343
69,114.05256313696627
70,113.99968637058701
71,114.01255738002178
72,114.009261251158
73,114.08955450970912
74,114.15509698869707
75,114.33835168512174
76,114.591285001922
77,114.43674184648839
78,113.88622231172424
79,113.56480442450618
80,112.98644125956311
81,112.5172726888432
82,113.01002253620275
83,113.29206600164028
84,113.628906514661
85,113.9977130581955
86,114.06446211897956
87,114.09217392930996
88,114.41167988961246
89,114.37663144506533
90,114.52058138050893
91,114.4740039445432
92,114.62035985743834
93,114.49764559359954
94,114.47183903813516
95,114.39435639002818
96,114.12196311948404
97,114.4070241357463
98,114.6132699921173
99,114.42503776994397
100,114.43396866589914
101,114.58209874352039
102,114.66112121457532
103,114.23344441463897
104,113.51889745256203
105,113.14660283649084
106,112.37865089377367
107,112.24330002372001
108,110.57212816492324
109,110.01441687894562
110,109.06195864431804
111,107.64640623794251
112,106.69817474550142
113,106.71256075711698
114,106.97868592040247
115,107.10698503055606
116,107.32669866567996
117,107.59101072141043
118,107.8109138973016
119,108.16563244117307
120,108.70738416954863
121,108.86996805232513
122,108.87983554841661
123,108.91119411042544
124,108.82975847616551
125,108.62535892414715
126,108.45044314757843
127,108.21049873573841
128,108.24007256551367
129,108.1386578332966
130,107.99605075483463
131,107.57393304904396
132,107.45930815008717
133,107.3403134918588
134,107.37478796676537
135,107.41972152595136
136,107.77465630321791
137,107.98332861644388
138,107.99969587559518
139,108.04149511620453
140,108.0017522152734
141,107.98362243133111
142,107.97534976793379
143,108.0220668642059
144,108.1213928648875
145,108.2066268134632
146,108.20111571427927
147,108.43314371840016
148,108.4479985984676
149,108.55308692343321
150,108.50193076471983
151,108.4489593823803
152,108.16827266809317
153,108.2056278272985
154,108.2319706420896
155,108.2605769986083
156,108.46158575443623
157,108.64066916810934
158,108.91754798764288
159,109.12900778347108
160,109.1670882514549
161,109.36497214887578
162,109.32959100752778
163,109.23284954009688
164,109.03819856058166
165,108.73784881435246
166,108.61104548986319
167,108.33544707493584
168,108.1389846061449
169,107.81917737594591
170,107.75181173840437
171,107.98819991744632
172,108.35241803463043
173,108.3315920422751
174,108.20794755109819
175,108.17606562108813
176,108.26302982000098
177,108.32815363166013
178,108.42007510880602
179,108.69458387192108
180,109.26178143107714
181,109.43591470517636
182,109.20922372447295
183,108.9005677358143
184,108.78855555446255
185,108.85428413556251
186,109.08603821737304
187,109.36039799053395
188,109.74093058836006
189,109.99153349185652
190,110.2250824820495
191,110.5793814862077
192,111.34642820694285
193,111.72318906226883
194,111.96338819713907
195,112.23361857733951
196,112.5771896442259
197,112.80174204456716
198,112.93013427971252
199,113.0018456932988
200,112.8821990801677
201,112.90787398563856
202,112.94958642632362
203,112.87904365693673
204,112.54824181621515
205,112.47086112307007
206,112.29957398430716
207,112.18655840599311
208,112.03041115132368
209,111.86076687503743
210,111.77762042686076
211,111.73425262068467
212,111.66286674285881
213,111.62523158658068
214,111.62050481748844
