,angle
0,105.10220060010313
1,107.49590186873795
2,107.7643518766546
3,110.20095614236776
4,110.10078106302926
5,110.44320941599429
6,110.02131239008493
7,109.4519195238138
8,109.64013287532832
9,109.28676186310973
10,109.66803403614918
11,108.63960829289881
12,108.51829907407586
13,109.2893493433178
14,109.87775509198468
15,110.18078708125636
16,110.28936022679203
17,110.59232302147701
18,109.94503320365477
19,109.22367108872167
20,108.60650403037013
21,108.82266009001661
22,109.31625129738676
23,110.57030153516915
24,111.48893218959209
25,112.48505026197746
26,112.02112490742273
27,111.88348771219988
28,112.41582281999835
29,114.47226970641393
30,116.89831439326886
31,118.30521844022955
32,118.4111933085727
33,119.82828490898082
34,122.57245824324916
35,120.64401796405568
36,118.30512281263042
37,116.06434380026664
38,114.92946014085373
39,114.75693151501744
40,114.5444838132378
41,114.44080794290858
42,115.07430553908266
43,115.4977549728771
44,116.10328900026414
45,116.86078286044724
46,117.74186049151483
47,118.35898662949437
48,118.41761391801056
49,118.32405456046087
50,118.08977170381006
51,117.56427628387625
52,117.70979706593768
53,116.91555063018647
54,116.29041925074381
55,115.64962910276964
56,114.89713265070203
57,114.12428305915176
58,112.37703619798482
59,110.80284009840128
60,110.65185642492027
61,110.55862967822009
62,111.4439012552925
63,111.92620653217732
64,112.48888778044393
65,112.95825465560951
66,113.16172133192883
67,113.34218436196538
68,113.44939547249601
69,113.28492408258117
70,113.28811632545577
71,113.15612498635824
72,112.99626462407684
73,112.44977281885076
74,111.74916133300636
75,111.50062468566347
76,110.45392201580775
77,109.79041312285158
78,107.62425068328048
79,102.89810059591538
80,101.0325598211729
81,101.13402853796623
82,101.30919373915698
83,101.83140235101733
84,101.02448783091847
85,100.32594601764109
86,99.95532692914308
87,100.32149542968452
88,100.41387953158998
89,100.40395325740982
90,100.52520902772791
91,100.5746044029947
92,100.32629965900188
93,99.75118450817807
94,99.04663462358698
95,97.08079057304059
96,94.88388146575606
97,92.99786611401369
98,91.12301853198448
99,88.44634659205127
100,87.31511465406535
101,86.60653170033488
102,86.42264610985328
103,86.68119542179988
104,86.97423524758715
105,87.09949813653944
106,87.08224539111609
107,87.36493010099517
108,87.43312798284632
109,87.46685042894642
110,87.71945834548058
111,87.41164296069688
112,87.2846302583456
113,87.65149286741462
114,87.61388980278616
115,88.23742296435279
116,89.37168031996637
117,90.46511360482083
118,92.07481533037274
119,92.72613830439127
120,93.82831110288662
121,94.63344087154096
122,96.23482660059706
123,99.05532550538638
124,100.34003120671449
125,100.3717112702763
126,99.71991560045382
127,98.812694736617
128,97.01473496588788
129,96.81321003462313
130,95.48523009313479
131,96.28478138196733
132,98.71778415711331
133,99.84605372141635
134,99.59180091155243
135,100.95121630975332
136,104.1968292081431
137,107.48356649299481
138,108.9556469405725
139,108.98393839247188
140,109.24808599357004
141,109.17146647517784
142,108.58737936681177
143,108.06867221902228
144,107.13613514425259
145,106.8404458744214
146,106.43994738477556
147,105.99612929274895
148,105.7200856075377
149,105.6235431655754
150,105.06199732219676
151,104.89137125344291
152,104.70024694374162
153,104.21548500445789
154,103.94312867816726
155,103.79520485924883
156,103.50744629211863
157,103.38582611561492
158,103.3802868474531
159,103.38386992160397
160,103.3486177622398
161,103.64686233184723
162,103.7840426047197
163,103.8775319496041
164,104.05671071381278
165,103.86626975514118
166,103.62005160804571
167,103.6040049179263
168,103.81394593140206
169,103.94503087127595
170,103.9768369179112
171,103.9740894410489
172,103.98271883566687
173,104.19579940021138
174,104.34549550568967
175,104.2764032002329
176,104.18485535868737
177,104.33986664199186
178,104.42161220568003
179,103.99252777240324
180,103.51889536353227
181,103.07178462141728
182,102.51849146601344
183,102.13657585045459
184,101.96113042184481
185,101.77797393607727
186,102.21021193907035
187,102.15953921341307
188,102.74440102188237
189,103.59668871505043
190,104.42659895776528
191,104.21867863229676
192,104.41081372667746
193,104.90420070428792
194,105.37114383304645
195,106.23145189793384
