,angle
0,133.49842616488922
1,132.84172529425737
2,131.55206457753735
3,131.14618275130525
4,130.68188312746148
5,130.28911057663257
6,129.97524164865993
7,130.58258390523912
8,130.9089503210413
9,130.20590956185706
10,129.49913138937356
11,130.4545169034505
12,130.37401209799697
13,130.7103875447013
14,131.64002214943272
15,134.5603908902691
16,136.8519544317278
17,135.1144251714238
18,130.40289858385026
19,126.65195237777164
20,123.59997103324999
21,121.69603273920701
22,121.00197390162295
23,121.50185687354838
24,122.49208964825183
25,122.8318926028091
26,122.92563358112734
27,121.39791566507925
28,120.0701311386446
29,119.4244123448986
30,120.71341113774591
31,122.6450134175992
32,123.21732687782259
33,124.36259898654782
34,126.37566330500029
35,127.72094184347525
36,128.49442215419646
37,128.70152746917773
38,127.3630716385172
39,126.67875335850744
40,128.42895730366803
41,130.4749805445072
42,131.28238196210185
43,131.75997066222357
44,132.86710248859805
45,133.9112341360711
46,134.77510672352486
47,134.16506043446617
48,135.8042405467002
49,137.32024808564586
50,137.73221198475977
51,134.95313595255882
52,134.69923904508116
53,137.17838294488627
54,140.6245753760283
55,140.0319852155232
56,142.41410832388712
57,143.69769712278304
58,146.65056441259222
59,146.98875497083435
60,147.69322617310368
61,147.46432546941077
62,146.6811668079381
63,146.43533134885982
64,146.0692255454312
65,146.21743828617073
66,145.78039221491542
67,145.34825321225549
68,145.56364752861106
69,146.35508516074376
70,147.1469655476196
71,148.04864077583034
72,149.76645365750704
73,149.04200906098654
74,150.62933276479822
75,151.29348483743647
76,152.96211917461062
77,155.11031892354302
78,154.02631245608342
79,156.49946058475228
80,158.08023782961433
81,158.37646306474738
82,158.70250711354197
83,158.3796728345519
84,157.80223469693573
85,157.1432724293907
86,156.69117903228792
87,156.53235725421655
88,156.5291480741073
89,156.5826624731503
90,156.3443184445773
91,156.23909972700451
92,156.35013322309578
93,156.6406346471422
94,157.01669772102858
95,156.7718496962141
96,156.68597383187594
97,156.8900418857229
98,157.02252928788383
99,156.9407412173272
100,156.64039694742544
101,156.22725289995597
102,155.85962056495515
103,155.78199897385397
104,155.59704576330594
105,155.4284324187258
106,155.3475482679706
107,155.25041727308147
108,155.2395414604273
109,155.22708719726552
110,155.5367653126336
111,155.7341097669861
112,155.7331432900326
113,155.89694808433643
114,156.35659552450076
115,157.08619530635386
116,157.995816815687
117,158.55584810901578
118,158.5541898614728
119,158.50601189851338
120,158.16470732555462
121,157.5302840422041
122,156.46987558389304
123,155.954268033747
124,155.60169615116584
125,155.1220656117926
126,154.73744000468457
127,154.71180435708504
128,154.71002601706616
129,154.54554550285886
130,154.56570680670507
131,154.71574090343472
132,155.18582881538165
133,155.01675327356546
134,155.08214625336208
135,155.41815902069246
136,155.8251034106751
137,157.23362988548052
138,158.2993394146558
139,159.45106224642475
140,159.54092397337985
141,158.63769152972085
142,159.4581135551105
143,160.38935674003497
144,160.24592477345578
145,160.2029809611865
146,160.15454812662648
147,160.07881031720163
148,159.82973855580923
149,159.04518637023608
150,158.39194724923522
151,157.55015847624324
152,157.43651456159762
153,157.02703542089614
154,157.0078609285114
155,156.9425093483296
156,156.93158321461712
157,157.00623048986088
158,156.97005305973562
159,157.04341068971203
160,156.9710366627079
161,156.8265046589871
162,156.63069829517852
163,156.59476100197588
164,156.71521145082264
165,157.12438819658556
166,157.4124110513927
167,157.6697467695874
168,157.9622327659089
169,158.17624099634804
170,157.83521446727326
171,156.8033833699319
172,156.4167004013792
173,156.09735298585628
174,156.21559929382605
175,157.2213266052624
176,158.4301255232127
177,158.72015938685195
178,159.5000500816033
179,160.36083472894728
180,160.597681088133
181,160.76408030125458
182,160.24553406753157
183,159.91846303465618
184,160.20594928250878
185,160.0704108805968
186,160.37400200595667
187,159.02950618165056
