,angle
0,64.46355096451856
1,64.79660672404547
2,65.29714208011977
3,65.54637077413462
4,65.75414761625183
5,65.9342242569731
6,66.14016514992782
7,66.20068965317958
8,66.28120239720846
9,66.3092516591227
10,66.27840221268069
11,66.27366947510711
12,66.34832684989112
13,66.45890536117092
14,66.5630218753878
15,66.59890261233755
16,66.65389882285251
17,66.7339202939876
18,66.7826395442658
19,66.82851087760925
20,66.91942414532411
21,66.9594714275091
22,67.04243594536662
23,67.08999877491367
24,67.13740447054765
25,67.17044731341706
26,67.23060563370791
27,67.3009426661473
28,67.36783719711556
29,67.40971088429758
30,67.43407697926165
31,67.45925578358394
32,67.4614319937379
33,67.49883709091698
34,67.52150604962851
35,67.52967220720979
36,67.55767913337665
37,67.55598736219258
38,67.55541332397793
39,67.56491610139871
40,67.56936101720075
41,67.55756785373427
42,67.57025123066562
43,67.54220953623545
44,67.57613510186347
45,67.59794805433319
46,67.60627785362144
47,67.57855277608608
48,67.59235535831976
49,67.60658132121372
50,67.56994367282059
51,67.55574666355929
52,67.52677803769113
53,67.5253054909509
54,67.54796739710757
55,67.60690540976432
56,67.68040307234057
57,67.76212522152669
58,67.8030952975541
59,67.85811713905049
60,67.86659887936283
61,67.81367143360411
62,67.77956141112935
63,67.65933000052688
64,67.57793829988869
65,67.5352307148161
66,67.54729666727633
67,67.53940702112158
68,67.58709387741315
69,67.65710525366521
70,67.73705561756803
71,67.79991721207948
72,67.88707451930344
73,67.93490292598264
74,67.87932609885785
75,67.68404480719059
76,67.44839091637941
77,67.33376493274928
78,66.7827564590041
79,66.44610049736978
80,66.33974411955079
81,66.08434163367777
82,65.63892251384928
83,65.51414141253328
84,65.43945579977428
85,65.3535855495625
86,65.97130169907018
87,65.53262410568584
88,64.17534899322843
89,63.8362663080545
90,63.91070937902749
91,63.35334215152628
92,62.874438005441064
93,62.98736874749637
94,62.551953809307435
95,62.35827473915007
96,62.124020912663354
97,61.92562303140021
98,61.85228317274318
99,61.043537936548624
100,61.56568931623057
101,62.50328335482648
102,62.7066300903203
103,62.4720488667063
104,62.093661463574904
105,61.943966311861566
106,62.1105038266825
107,62.503269886202574
108,62.522510726793655
109,62.52676506656945
110,63.3458433884397
111,63.58675930380083
112,63.79065836342838
113,64.22690802713731
114,64.38724304545548
115,64.43846804040464
116,64.50594082719981
117,63.62930217555633
118,62.56827193393468
119,61.82630350287214
120,61.64015475413952
121,61.853470434899286
122,63.237791567829284
123,64.06745125269065
124,64.19108559434802
125,64.9381041145098
126,65.21875735956823
127,65.1800915988841
128,65.43630375808311
129,65.21179094466885
130,65.11119341828068
131,65.03005748954446
132,64.92119557467288
133,64.84507225594697
134,64.54378266505917
135,64.24704180335686
136,63.71458809101145
137,63.35298467312922
138,63.47328649050459
139,63.9451036550342
140,63.87808710901524
141,63.74613295820836
142,63.814447715136104
143,63.879193058885015
144,63.91673492805066
145,63.91064311256761
146,64.06700534758623
147,64.42951174493776
148,64.6650860119737
149,64.80640134322965
150,64.87196559945752
151,64.78852052887629
152,64.79595598077454
153,64.4754304532089
154,64.24189734776708
155,64.09833689517707
156,64.42870249114605
157,64.5569467036096
158,64.63897027588796
159,64.54262220175653
160,64.71711265199542
161,64.88432903971693
162,65.14725053817801
163,65.32757467135767
164,65.38472582720006
165,65.32665754129175
166,65.3942547990105
167,65.2842706959549
168,64.83419372558646
169,64.76405921224688
