,angle
0,48.115641357973736
1,48.01241673039877
2,47.87538397966809
3,47.61490501266166
4,48.025843102575244
5,47.90949476843053
6,47.384691952093284
7,46.722084890723224
8,46.676019578865166
9,46.67801961763789
10,47.33391332972845
11,47.72145878120025
12,48.09042720579677
13,48.282552402858286
14,48.289497589120714
15,48.40106202746976
16,48.35130498497419
17,48.20756674338164
18,48.09978556718581
19,47.982941527859055
20,47.910811976958904
21,47.849889626095056
22,47.8858552257826
23,47.560177026229105
24,47.53484716332247
25,47.52907890487339
26,47.517870109428124
27,47.557940227485204
28,47.712594456876836
29,47.93836957667696
30,48.04714413018705
31,48.3638307148047
32,48.45234053719082
33,48.5757495857959
34,48.49503683481746
35,48.51212286382977
36,48.51266054563746
37,48.45818556298482
38,48.32877994380846
39,48.246261096587
40,48.25912337081457
41,48.20925370722836
42,48.15534900890264
43,47.99645997956989
44,47.79904838421928
45,47.58629505520411
46,47.394651611410964
47,47.204300262051625
48,47.15048576797707
49,47.09697210623405
50,46.684996801271275
51,46.4238862226622
52,46.1895364328087
53,45.71541348712747
54,45.85386948831272
55,45.9258005861413
56,46.09364323380709
57,46.2454300757054
58,46.27447554888554
59,46.2948180453754
60,46.46669246889891
61,46.62327022013906
62,46.70702893356225
63,46.74591754268018
64,46.858491578291655
65,46.76904902187269
66,46.62902866729213
67,46.5971639363619
68,46.47144191522612
69,46.950446183572126
70,47.3605451552053
71,47.68670625148593
72,47.74585890829189
73,47.85296289190855
74,48.50842866518698
75,49.00234853720434
76,49.56354885452618
77,49.44569088669802
78,49.03570652812224
79,48.89474876448595
80,48.96068018301757
81,49.171623321825244
82,49.44024774553708
83,49.72966953178256
84,49.43356373407647
85,49.35737679832606
86,49.37522836005503
87,49.5106172353145
88,49.55217666936261
89,49.40050799159154
90,49.323668847094154
91,49.32699243795816
92,49.73702435901733
93,50.2823144957545
94,50.92192454909072
95,51.132912907410784
96,51.54482254173076
97,51.86654937924865
98,51.95053776100161
99,52.08109079113969
100,51.977491811274334
101,51.816785634858
102,51.71710633707079
103,51.49346778796228
104,50.87576350511214
105,50.600500946453515
106,50.32009512787681
107,50.137187356807075
108,50.24418986532065
109,50.38385699271392
110,50.49454588833144
111,50.56577839931231
112,51.07922288176062
113,51.27796473498661
114,51.3492295141452
115,51.42608222536399
116,51.171420911240034
117,50.90736581376959
118,50.719367149306
119,50.807340953580805
120,51.11834369963923
121,50.96207089162574
122,50.72285359831498
123,50.719454240672334
124,51.07644525179554
125,51.18372863290779
126,51.000138107668704
127,50.45434663814537
128,50.0559234467006
129,49.98878206818073
130,49.9908817423965
131,50.06468788220291
132,50.37716327954304
133,50.89876266754357
134,51.357148042929204
135,51.66033368559693
136,51.75234838461895
137,51.823896204913716
138,52.02835687804655
139,52.013152329863395
140,51.85877950872005
141,51.79332239634511
142,51.491134806004744
143,51.234577360935695
144,50.69387796318911
145,50.77250407087202
146,50.825057950145414
147,50.85265298576253
148,50.654407091576104
149,50.60163998301044
150,50.57260213889709
151,50.588564680788664
152,50.60870872222604
153,50.577573112695326
154,50.590254200477666
155,50.601060301014684
156,50.58037714003867
157,50.74054031562925
158,51.016039326291846
159,51.33033314613149
160,51.61265294022844
161,51.719049195450225
162,51.71501045163119
163,51.64796482776183
164,51.36951810706146
165,50.95481533946513
166,50.566040209258986
167,49.92328944760122
168,49.653526525317005
169,49.46615085099865
170,49.233819743995475
171,48.95196832610944
172,48.785757807424034
173,48.442318494311465
174,48.50235763061496
175,48.65848747516109
176,49.087480021493995
177,49.33114675700807
178,49.440454277632945
179,49.472863717516695
180,49.24634692094351
181,49.11148947818053
182,48.80315292374107
183,48.816003713692695
184,48.928571569561186
185,48.72024677335127
186,48.82243485634449
187,48.41571801255027
188,48.39088469479711
189,48.48825656140055
190,48.21096872839684
191,47.81954002620339
192,48.287218338149515
193,48.206554088725625
194,47.42286346005689
195,47.01151410765145
196,47.050095280715865
197,47.43815938250966
198,47.76924711570058
199,47.86175469199324
200,48.06958395381811
201,48.658981836103884
202,48.459241699229516
203,48.67054500886999
204,48.70024270472039
205,48.933055369044425
206,50.81049734304301
207,50.7254784379829
208,50.56285420296018
209,49.709537263793074
210,48.37356432542324
211,47.21626547778728
212,46.641063660040565
213,46.562656604800296
214,46.375658679337214
215,46.23640319043844
216,46.12122176708836
217,45.984118511489214
218,45.96578554886833
219,46.140661989304576
220,46.50394415810027
221,46.91725796477453
222,47.271712302021356
223,47.52516128928107
224,47.970136290187845
225,48.69929064057591
226,49.633323041968445
227,50.29761578151763
228,51.244872750758105
229,51.646965638212805
230,51.96505162005293
231,52.01494156635193
232,52.00332821131663
233,52.01364837529097
234,52.25304992019986
235,52.19328808708304
236,52.37729542406851
237,52.60539478669882
238,52.64121709576674
239,52.63736024465912
240,52.47572375429869
241,52.382074447449966
242,52.45194352981542
243,52.42386770755895
244,52.42916411019467
245,52.73015159796964
246,52.70732791387035
247,52.36749611598789
248,52.066728096241135
249,51.828256696623505
250,51.701514819911885
251,51.645355792951584
252,51.38346077152995
253,51.34476885046429
254,51.205941756498284
255,51.164010232958894
256,51.23751016025402
257,51.31957016896095
258,51.4160952788856
259,51.518872313176765
260,51.511212564302944
261,51.17276531296594
262,50.73193210861018
263,50.37009391822361
264,50.320286836504884
265,50.305030499604065
266,50.25060347001815
267,50.34486648962124
268,50.49253407722888
269,50.865932745150914
270,51.35776027518342
271,51.68759616480362
272,52.06324270150496
273,52.06694205528694
274,51.93635013668168
275,51.67909892373653
276,51.48846752848342
277,51.1929881054274
278,50.85855403087375
279,50.69605744522651
280,50.59056989155701
281,50.60680219505465
282,50.66914408094351
283,50.72596521785839
284,51.15436580059362
285,51.23247417724927
286,51.27098167308417
287,51.35276252932412
288,51.361679264244906
289,51.23915867374725
290,51.023299937919326
291,50.75000697303283
292,50.830512207838424
293,51.18726961088379
294,51.390340744170246
295,51.49368621846791
296,51.728449382874274
297,51.8825288719418
298,51.94230061151836
299,52.00973490917979
300,52.04403434511045
301,52.169682831147206
302,52.2207842286553
303,52.31946360064073
304,52.14766412710157
305,51.86824856786332
306,51.609792436231324
307,51.56054586793111
308,51.5567842671481
309,51.603754508965494
310,51.695092885031684
311,51.79716753716547
312,51.91430502190695
313,51.892529001997396
314,51.90139174172276
315,51.93935784980956
316,51.81827415404728
317,51.67301967907507
318,51.47392164113436
319,51.41264979073992
320,51.45831735976072
321,51.520516834809115
322,51.5298722379691
323,51.735815894168304
324,52.06410573817351
325,52.213638163907696
326,52.21730505976793
327,52.08695087854081
328,51.96305091408332
329,51.85376630034569
330,51.82464157435304
331,51.626909549875556
332,51.491580950147835
333,51.49111193721585
334,51.505864080109646
335,51.731500038006146
336,51.968496616977546
337,52.14210573799818
338,52.48461269462765
339,52.80626553668815
340,52.912907258767376
341,52.9787872256104
342,52.94041565412967
343,53.01374729537942
344,52.74954040658913
345,52.72931007417287
346,52.90046307759031
347,52.92975872186485
348,52.88125240523085
349,52.80712706241024
350,52.62309118122804
351,52.57949210460689
352,52.06361465921237
353,51.66462506492689
354,51.71293166495372
355,51.618709997888125
356,51.596948077904926
357,51.737636590143694
358,51.78113812593029
359,51.77419424098857
360,51.72564646602541
361,51.73621847756188
362,51.760037699856724
363,51.67077644133577
364,51.4917551807049
365,50.964419375302434
366,50.07110352979509
367,49.53310136584733
368,49.233450958653435
369,48.98082514547466
370,48.80700020079398
371,48.64758759622085
372,48.22584876378016
373,48.03361152251004
374,48.00005060431615
375,47.83118474460134
376,48.127825963136566
377,48.65639753781654
378,49.22163044594922
379,50.24888392689085
380,50.786983429763666
381,51.500586923649145
382,51.91879916828605
383,52.2702455938623
384,52.925106284012415
385,53.129153585955486
386,52.90563981200748
387,52.82064706553393
388,52.45721507130827
389,52.148866660549345
390,51.39551608339424
391,51.19824504867315
392,51.02696671181385
393,50.68234511065475
394,50.27008702686215
395,50.10721383130193
396,50.10295378333802
397,50.12360468101184
398,49.99583547576269
399,49.9915853341835
400,50.21774778935823
401,50.24991931814576
402,50.17721808009568
403,50.76423610844422
404,50.83076740601271
405,51.48956794490741
406,51.827538533802944
407,51.76811012685135
408,51.216186498593096
409,50.8120471257955
410,50.29517909636159
411,50.28509640553372
412,50.128007469542894
413,50.21562685618427
414,49.49453347918215
415,49.364312019541956
416,49.409209195869344
417,49.806263388090755
418,50.39950829280811
419,51.19234020478597
420,51.46338501328095
421,51.76529057054884
422,51.851585567294975
423,52.16782739577797
424,52.4753521527382
425,52.70419767000646
426,52.776446945519496
427,52.668798839246435
428,52.4619844819553
429,52.1651280512577
430,51.80722844495182
431,51.638561363625286
432,51.24260769159588
433,50.61207530851006
434,50.581920417002166
435,50.727794036711785
436,50.77963507848662
437,51.167933912632975
438,51.15204367574554
439,50.860296419649856
440,51.392603621390705
441,52.102652339488365
442,52.66309299702206
443,53.19468421867465
444,54.069977831505796
445,54.40215722354468
446,54.784739032004005
447,54.669168598824385
448,54.506851179286905
449,54.28907891745728
450,54.308819415469586
451,54.310535657747735
452,54.21306885132549
453,53.957424370757614
454,53.731927945831984
455,52.98978929044516
456,52.317192606421116
457,51.63069533488755
458,51.22565300853699
459,51.191816261626435
460,50.62546373266396
461,50.47076443990827
462,50.31971481283199
463,50.33960779830815
464,50.69206828641706
465,50.62401692072797
466,50.667706495626874
467,51.10137697032414
468,51.76823164883442
469,52.10843772967694
470,52.24822746458593
471,52.25417438377819
472,52.33634225306803
473,52.28140050319128
474,52.33499995257342
475,52.392016846892396
476,52.43454259911268
477,52.493015593752304
478,52.199707914149215
479,51.69595706538648
480,51.484123872927995
481,50.75276226553014
482,50.10946465559528
483,49.58258445206215
484,49.01938512707378
485,48.01897729571992
486,47.829986123963025
487,48.176704792007605
488,48.304809031703876
489,48.70047853725383
490,48.550123399247596
491,48.5354745942346
492,48.403392761974295
493,48.59028904078468
494,48.63277670887094
495,48.71270774887586
496,48.56657994737042
497,48.48546467595828
498,48.24972610678927
499,48.178231680440696
500,48.11744293460653
501,47.9028971383194
502,47.86781288834554
503,47.88931375959469
504,47.89240423890363
505,47.48859222232282
506,47.674102437900004
507,48.14953716649452
508,48.4551274316373
509,48.80743630101733
510,49.033442073330605
511,49.34344410112592
512,49.85515635764087
513,50.0438451003072
514,50.17832041492489
515,50.320125215161404
516,50.36044608684753
517,50.76058800883662
518,51.20691027438625
519,50.6926950041949
520,50.25637831967772
521,49.7130688940281
522,49.506357865132216
523,49.45172365123002
524,49.309929427005194
525,49.12236308172338
526,48.94190980054402
527,48.72882955689865
528,48.48771106470808
529,48.15501401871657
530,48.254527552846355
531,48.199950880970846
532,48.2077298925497
533,48.56682366985557
534,49.1247417416875
535,49.71000148903649
536,50.3781779633577
537,51.09475942643099
538,51.74471263619562
539,52.45163540048075
540,53.54831380720741
541,54.067933758302964
542,54.27109934795983
543,54.647911562568986
544,54.61621864311686
545,54.34745287855851
546,54.335364076813875
547,54.41525048626699
548,54.4966811708239
549,54.73814920639264
550,54.80380197918509
551,54.92125761208141
552,54.94713555844115
553,54.905339360839406
554,54.928066372493205
555,54.922865499803656
556,54.975276011547194
557,55.06195103143868
558,55.01172258642124
559,54.97174260360735
560,54.85958437776818
561,54.73282101561607
562,54.49386496723786
563,54.37391567337437
564,54.58273629811242
565,54.79343249850562
566,54.61568503560606
567,54.3901269360025
568,54.311378981367774
569,54.543133468224276
570,54.83194356101616
571,54.91452933923141
572,55.1479378134638
573,54.915061377307296
574,54.590416377025996
575,54.59998661270822
576,54.60664728793215
577,54.607462536841396
578,54.63829540563371
579,54.67617948673793
580,54.725213889245765
581,54.72347967515508
582,54.786673107467855
583,54.90937522151526
584,54.950058451295625
585,55.12858244305381
586,55.178874764481286
587,55.34118747144136
588,55.47389311511224
589,55.48323948882919
590,55.49314319353314
591,55.5286265592847
592,55.6046634226655
593,55.72964650214114
594,56.00077438979006
595,56.353098128788844
596,56.65427809955496
597,56.785240766564925
598,56.7972667680457
599,56.77751653617073
600,56.4624358017051
601,56.371873612025894
602,56.21009907943872
603,56.1177490205376
604,56.02960805460983
605,55.983380291728295
606,56.03513870639328
607,56.4340968433223
608,56.51373202892286
609,56.26202466212499
610,55.99994451213895
611,55.80459328838009
612,55.41183228520446
613,55.23257076425515
614,55.051540595411524
615,54.68984376629296
