,angle
0,18.77578312817533
1,19.131378314730703
2,18.846620371484008
3,18.757798586531123
4,18.53764417240127
5,18.170799921120132
6,17.593432165313754
7,17.112394780758727
8,16.932064606916242
9,16.627193792808296
10,16.63363890168835
11,16.741866359250725
12,16.80224441855619
13,16.73952522188344
14,16.6643593119921
15,16.675858496491024
16,16.63824321899009
17,16.589803631391167
18,16.578482660720084
19,16.55557008798758
20,16.537388838220625
21,16.63430823880384
22,16.556404344710188
23,16.47617250821746
24,16.456011028464385
25,16.450864752658305
26,16.443594934958078
27,16.528840171761665
28,16.701033450597723
29,16.817181798280902
30,16.86203472523678
31,16.98210944695917
32,17.09061211072747
33,17.101411802059175
34,17.06101088952867
35,17.023137188718845
36,17.049916627453282
37,17.039536337088894
38,16.99263295407305
39,16.959858145982587
40,16.954135017440066
41,16.96508341431353
42,16.979025508738218
43,17.048957278139603
44,17.23917067876781
45,17.312888847504926
46,17.270317626202758
47,17.476962319128617
48,17.49998712355168
49,17.503987813680407
50,17.198522685577284
51,17.07496396728922
52,16.995263443091083
53,16.952589195160932
54,16.961469858351975
55,16.97726650193255
56,17.01880867593693
57,17.057182604496845
58,17.064317422383823
59,17.062000466250847
60,17.089866925038525
61,17.087868361532887
62,17.083113231409587
63,16.96827129588892
64,16.987625406826222
65,16.651439614789386
66,16.275155631546582
67,16.26535519556069
68,16.22140200341633
69,16.37779526907006
70,16.512999208170488
71,16.614812010445124
72,16.54633299804362
73,16.49527778665391
74,16.63536600452409
75,16.71848023433071
76,16.693960644280473
77,16.358270201088793
78,16.04278207198972
79,15.990255317622392
80,16.00153805792748
81,15.989678834919404
82,15.923469309157031
83,15.937293947121256
84,15.89460538290042
85,15.898989164965679
86,15.878788353755473
87,15.855510086304632
88,15.65623694563189
89,15.427616513988713
90,15.249128045513196
91,15.274699488990255
92,15.591025492768939
93,16.063835436122268
94,16.364586885307705
95,16.5579455018495
96,16.73424211844053
97,16.824598428983354
98,16.799410116864895
99,16.746649226227508
100,16.77578487642279
101,16.68892673322679
102,16.53353873597576
103,16.50006400265214
104,16.562951005104743
105,16.655757346994644
106,16.777090695815552
107,16.91184999805848
108,17.146507575228
109,17.354040570750445
110,17.405447237674032
111,17.44713954933934
112,17.43795536526177
113,17.45460727885104
114,17.465654457400884
115,17.500034874497388
116,17.4631082970615
117,17.48024919487873
118,17.563014701135316
119,17.604415134494197
120,17.750676706853678
121,17.77169909605961
122,17.90690352616799
123,18.063796662104764
124,18.444994316840344
125,18.71260021215602
126,18.893291108614793
127,19.034867380808087
128,19.106240023084162
129,19.077304219134465
130,19.195786835558184
131,19.44777232491569
132,19.68720553418949
133,19.879808489015627
134,20.096221388906933
135,20.20307849474477
136,20.246091294668506
137,20.28394249823388
138,20.287881202235432
139,20.194943052528316
140,19.995267877910866
141,19.884449021739123
142,19.564514415238374
143,19.340717358906147
144,18.96796048417397
145,18.846750927196084
146,18.705813439303366
147,18.40698622392362
148,18.19489183641231
