,angle
0,115.78943123506869
1,114.5769798826156
2,114.20348701426322
3,113.94097306615076
4,113.99338856464495
5,113.95982783779914
6,113.88405552353366
7,113.72196635668936
8,113.16600369917789
9,113.13214538489461
10,113.57598305192819
11,113.77716867975316
12,114.13819306190997
13,114.2732968766259
14,114.40639614181919
15,114.4618143031556
16,114.5932321327421
17,114.696858000673
18,114.99662025151746
19,115.23655516963306
20,115.35639160446559
21,115.44772315509589
22,115.50636395108944
23,115.35321623299532
24,115.32015771859871
25,115.3441053400118
26,115.35154290888883
27,115.2494125436955
28,115.09052621665192
29,115.02783502848239
30,115.03496946097333
31,115.00834106800534
32,115.08989385709893
33,115.14106738687013
34,115.14292753126541
35,115.220574407109
36,115.24872417884764
37,115.22832244009159
38,115.16045682677618
39,114.92262640259722
40,114.84308281662526
41,114.68168641480796
42,114.62687733067264
43,114.72876465920046
44,114.88261423867003
45,114.81461034132548
46,114.7649149187268
47,114.65151259034513
48,114.65418959985996
49,114.48180217457043
50,114.23350691509934
51,113.84662925579752
52,113.67085541981554
53,113.43275876932739
54,113.24922495915673
55,113.1134211747858
56,113.09616491606234
57,113.06129968198303
58,113.10349388468718
59,113.10426143795203
60,113.01078071184435
61,112.99314947094948
62,112.89593151599102
63,112.78254884140173
64,112.77156332255596
65,112.8096797036214
66,112.89791839386352
67,113.00321508089928
68,112.99342751412206
69,113.20255325024898
70,113.45868562912821
71,113.74711896390698
72,114.08176996695694
73,114.1899307282517
74,114.23988661918422
75,114.1649414958057
76,114.20126343570595
77,114.04840963820219
78,114.00035053075717
79,114.01455996420324
80,114.27138574240811
81,114.55682572435545
82,114.94754837553845
83,115.1358486645048
84,115.0848601023191
85,115.03131674338573
86,114.99325790134894
87,114.8991875058126
88,114.95019567346739
89,115.05123373023791
90,115.01850879194951
91,114.94851480542866
92,114.99636238644219
93,114.96624182368976
94,114.9319710747976
95,114.85854816088258
96,115.01943867279633
97,115.17588755661536
98,115.04332936985205
99,114.9467856593204
100,114.8844271522953
101,114.67665915851032
102,114.29638439078136
103,113.87943217689065
104,113.71821150862948
105,113.68527111742678
106,113.2921796710494
107,112.68549607147638
108,112.28758841953004
109,111.87534749730158
110,111.78524178409097
111,111.74785576710278
112,111.70971030532922
113,111.68693937642277
114,111.77482650966492
115,111.89418373146714
116,112.02020069198542
117,112.23280183588366
118,112.54076684512955
119,112.38860838252218
120,112.51245299536865
121,112.62595112547952
122,112.66791991872283
123,112.6556846900912
124,112.66271911640766
125,112.59761317573968
126,112.58248139250652
127,112.49403986660234
128,112.70440270002304
129,112.9638230714359
130,112.69033810474004
131,112.3833473881174
132,111.67237204022662
133,111.29018273592473
134,111.25246342371544
135,111.190399298081
136,111.12952270763942
137,111.07763420522377
138,111.14260879043024
139,111.12291163310859
140,111.09200633952517
141,111.24128614782529
142,111.46754080772412
143,112.12303672894245
144,112.34624430737526
145,112.45330648306611
146,112.78043691953714
147,112.70966259714675
148,112.76569504279101
149,112.78940605015147
150,112.88592237320135
151,112.92976678970746
152,112.96911707261232
153,112.97950423107487
154,113.01078991273103
155,112.77286337054223
156,112.44599516412764
157,112.02186782938101
158,111.76338709657894
159,111.48534941378055
160,111.47465974627632
161,111.44657797422097
162,111.52185380351595
163,111.61924484990693
164,111.68462055209835
165,111.71280993137886
166,111.87902863073008
167,111.97726816646275
168,112.4236247370139
169,112.83655854475798
170,112.80288462287997
171,112.84753898712692
172,113.26349030803821
173,113.52840425094989
174,113.88553019195771
175,113.87498071756968
176,113.92244560333955
177,114.13962857438564
178,114.20889712564188
179,114.26290405872983
180,114.17747651059311
181,114.15262637264831
182,114.07063885533066
183,114.05055914414615
184,114.04349179832208
185,113.87259925414563
186,113.44487242226263
187,113.45717204700728
188,113.53827363253177
189,113.65421456159022
190,113.77783506932194
191,114.02767320667039
192,114.01463950945282
193,114.07625340391313
194,113.86463692958432
195,113.49476240952342
196,113.3959406261399
197,113.41612132658153
198,113.25669845495675
199,113.18356621798766
200,113.08789802688891
201,112.87650922918277
202,112.68295769357279
203,112.57547443689353
204,112.48536379817276
205,112.50244750489796
206,112.51468282779098
207,112.57285248322133
208,112.6399399540371
209,112.6645077975289
210,112.67014634265135
211,112.69023552121777
212,112.7488212752412
213,112.77946267667916
214,112.80802296191318
215,112.93707739046768
216,113.00191109663218
217,113.06817136528728
218,113.23594961819022
219,113.45505418522303
220,113.68951159153647
221,114.12023723205314
222,114.39447081514204
223,114.41258075004417
224,114.4756623205876
225,114.52449218710396
226,114.60031314429139
227,114.7417801342723
228,114.52641301990775
229,114.21964052313638
230,113.92965799188738
231,113.92890029303479
232,113.84293929338524
233,113.83505188970877
234,113.8642726349534
235,113.83705495716599
236,113.76095923333811
237,113.62058379703863
238,113.62670675675868
239,113.63948479007638
240,113.93223991357222
241,113.99955356555215
242,114.13788267407692
243,114.17534810902289
244,114.17636032391144
245,114.17614203968441
246,114.18258347947416
247,114.15938219383737
248,114.15581914077089
249,114.12105036997171
250,114.13045980689172
251,114.14190783919618
252,114.15943943720681
253,114.16735639860562
254,114.21499764191616
255,114.23805516470178
256,114.277978021306
257,114.35589223762751
258,114.38059311538902
259,114.37629802410245
260,114.39676749607435
261,114.42028726042531
262,114.40477316171885
263,114.40105330308353
264,114.444907145443
265,114.43299998876535
266,114.35643579044874
267,114.35340017207746
268,114.33625379065614
269,114.33331732733868
270,114.3832923032747
271,114.44336220230974
272,114.56020277744936
273,114.55935384536488
274,114.55177046248318
275,114.5434797575275
276,114.53009232442488
277,114.46106274870284
278,114.37765876615192
279,114.34625044787512
280,114.3399807161017
281,114.39334361975475
282,114.56469345496704
283,114.56014730989168
284,114.57530906567074
285,114.62634194927163
286,114.67856186127327
287,114.73724010789158
288,114.78611815774119
289,114.89956870393185
290,114.9461086305578
291,115.00997354374054
292,115.01075826530891
293,115.0420631663863
294,115.14184906778958
295,115.210135944812
296,115.31583165794643
297,115.46936839623534
298,115.49205157233146
299,115.50744135085243
300,115.42624415919101
301,115.35624260213277
302,115.27121627025983
303,115.03351194466177
304,114.9293386245241
305,114.79617521698061
306,114.67604689332299
307,114.64853145008487
308,114.64842377732207
309,114.70756004840358
310,114.90376852907363
311,115.05894954180286
312,114.96631844487044
313,114.98721791367782
314,115.01217076269599
315,115.00482987472124
316,114.99548743795286
317,115.00189982019984
318,114.99134417465709
319,115.02710865570782
320,115.04591273606734
321,115.05323475428018
322,115.08411877793476
323,115.09399321400818
324,115.08287281074968
325,115.21578146228616
326,115.30325901030658
327,115.30750777835328
328,115.12427676341686
329,114.9402283180969
330,114.94149838609017
331,114.92461334588873
332,114.91930521661074
333,114.95815835643343
334,115.23114773680331
335,115.63687291874241
336,115.70847014755617
337,115.75814277036785
338,115.93258735371268
339,115.977473584047
340,116.0048434553084
341,115.94059694282245
342,115.94233677514633
343,115.93115932595944
344,115.91602250978407
345,115.87054717070252
346,115.78034831991292
347,115.8071253621473
348,115.77448472156514
349,115.74633093158806
350,115.75649876691438
351,115.88999905259307
352,116.13688372730448
353,116.04955019754108
354,116.0564567782425
355,116.05226766832821
356,115.93759019404298
357,115.85292004640054
358,115.75329059685744
359,115.6468229129289
360,115.21379240709997
361,114.80220135672621
362,114.52566705672666
363,114.28093710481131
364,114.1709271491777
365,114.12340703844386
366,114.0801809005185
367,114.09781003040368
368,113.9696053425889
369,113.93678657463057
370,113.99096470033555
371,114.06024468834387
372,114.24259028447669
373,114.40898587663374
374,114.55689694456125
375,114.79720599021084
376,115.07919683940138
377,115.06545360741957
378,115.10570876405721
379,115.12157017139059
380,115.1087910375713
381,115.14747570982773
382,115.31873251294047
383,115.36924243625542
384,115.36939302350719
385,115.46935600231161
386,115.38260678062511
387,115.3856369539688
388,115.34315944900891
389,115.17837569919917
390,114.74470034226813
391,114.34997710583711
392,114.30659434575917
393,114.1131024543763
394,114.0354013454002
395,113.9457417736919
396,113.81075624542616
397,113.59381536227951
398,113.44718124973299
399,113.30238421559076
400,113.25292128749864
401,113.25690719945678
402,113.38016760894917
403,113.72455610089997
404,113.89817341660338
405,114.10568783023747
406,114.21976274613162
407,114.06525022052907
408,114.00698976576356
409,113.892717362148
410,113.87154494982931
411,113.84170703515618
412,113.70183116079735
413,113.38707331762338
414,113.25225980700006
415,112.78551039642181
416,112.61003113358433
417,112.41717460344788
418,112.20790985561442
419,112.08643741152366
420,111.94154607238823
421,111.67185191808242
422,111.44606314584908
423,111.40264435131438
424,111.3341580712014
