,angle
0,44.43449444723501
1,43.483512504255316
2,42.90025725482259
3,42.041996536292594
4,40.93128278412702
5,40.11786353288052
6,39.50697919317548
7,39.21120457108062
8,38.33992043246849
9,37.4918010527837
10,36.663442877527615
11,36.38446486574296
12,35.81768958875561
13,35.62870329436028
14,35.64304871440015
15,35.645203387161224
16,35.786330985249464
17,36.0293792703192
18,36.18061112771711
19,36.288106039009655
20,36.25952366018184
21,36.202548695118026
22,36.02015649978046
23,35.56728906387194
24,35.3983658891752
25,35.27301911786297
26,35.14697334565158
27,35.048655254697756
28,34.9833998435216
29,34.96477685462103
30,34.96739951227054
31,34.98565023298618
32,35.02579616042492
33,35.068509336678254
34,35.088229100193125
35,35.230108516701556
36,35.43663985899125
37,35.687867209178044
38,36.04087366517333
39,36.40199427177818
40,36.667817878234914
41,36.90871207381391
42,37.12815046983084
43,37.61170449219834
44,38.09327257830448
45,39.27039009783412
46,40.256977630021886
47,41.427757943118074
48,42.038418898507366
49,42.68732206728592
50,44.07320953828445
51,45.28669038099094
52,45.873090322674514
53,46.002985475304804
54,45.45981918339087
55,44.93490476959063
56,44.62226058835664
57,44.13373826654329
58,43.89595485298731
59,43.48627352499666
60,43.21535452867881
61,42.98893402319569
62,42.88500957865092
63,42.375676317147146
64,41.96837892721161
65,41.42708328222158
66,40.958249652557406
67,40.34145276140165
68,39.99191242821831
69,39.39650720261412
70,38.673726561987245
71,37.19104340134056
72,35.61944392507865
73,34.50533724294844
74,33.73919985171208
75,32.7062554734109
76,31.548595983015243
77,30.83836585795143
78,30.744489337434164
79,30.689644940131014
80,30.62909504602595
81,30.909846452402327
82,31.507076486166106
83,31.5967544466573
84,31.37771800258511
85,31.172642862247923
86,30.952700211867217
87,30.844836595993918
88,30.268087904696266
89,29.904140871711448
90,29.528103544913506
91,29.297964819884367
92,29.2190194591204
93,29.02554409608853
94,28.63193879075246
95,28.39832059954111
96,28.157354182562173
97,27.862356664974982
98,27.150442876406483
99,26.21316927986338
100,25.29900462576179
101,24.19653432478806
102,23.605263974834187
103,23.269686694291632
104,23.088808997019296
105,23.343684049542976
106,24.140085829165496
107,24.852531473085133
108,25.318880862008854
109,25.589227660739457
110,25.637344090540598
111,25.585998037914884
112,25.433731499735458
113,25.138801023817205
114,24.782579480121555
115,24.03583131681865
116,23.392891284415025
117,22.596064122495047
118,21.794897742532605
119,20.68706227475407
120,19.722597171492286
121,19.051204616047922
122,18.52470528510095
123,18.264791800134898
124,17.809890897820267
125,17.10622125958537
126,16.585169745891818
127,16.189571212425232
128,15.985465590753064
129,15.84309180696292
130,16.33815055992659
131,17.16673226206219
132,17.919651731010088
133,18.601631174411047
134,19.46521335273382
135,20.01878844787803
136,20.74990326175511
137,20.961010214968457
138,21.218018760564036
139,21.556539739873074
140,21.920591518257307
141,22.368765212657316
142,22.635646059010295
143,22.77355497959951
144,21.969004127667755
145,21.23864958830965
146,20.63428275826968
147,19.999250119404486
148,19.593244255461382
149,19.29396222543816
150,19.15547161939914
151,19.003024218890086
152,18.941506514253117
153,18.974213844141637
154,19.224326979001823
155,19.75671803591297
156,21.20612682201445
157,23.122807019196422
158,24.467800952883362
159,25.17184451945094
160,25.72426376474711
161,25.99519303471049
162,26.286657726564215
163,27.24518127521912
164,27.7143330215851
165,27.97317826981457
166,28.1024569231005
167,28.732350759580147
168,29.115389953137385
169,29.210418668794766
170,28.98832784016379
171,28.78688057870851
172,28.679870560627283
173,28.48667350530477
174,28.533785016504112
175,28.48397789957438
176,28.56321530703436
177,28.655069362187092
178,28.54037616168363
179,28.577170798655317
180,28.550621921443962
181,28.65532590640737
182,28.874689417228968
183,29.395634586979373
184,30.767944503665195
185,32.65611652055263
186,34.16429265372152
187,35.404661759994205
188,37.14125025314555
189,38.78805153892369
190,40.09877152885936
191,41.34254284795503
192,42.65673875895142
193,44.90440263224148
194,46.449269596202654
195,47.26398315416251
196,48.85465919568088
197,50.57975303848
198,52.096510844165024
199,52.55960929816043
200,52.80604698982736
201,52.555443656745084
202,52.32671716169091
203,51.84568431503621
204,51.85092033113009
205,52.08616816026647
206,52.06117123586815
207,52.56478059865233
208,52.41657369743621
209,50.90866811623379
210,50.53060122051399
211,49.38585902781298
212,48.71154805279964
213,47.7835182752733
214,47.247849229089724
215,47.18569055972624
216,47.260831843685146
217,46.90673196524998
218,46.604451579884966
219,46.16116246654218
220,45.59557741029841
221,44.07000109005622
222,42.428603739658634
223,41.12197781822559
224,39.9842083352873
225,38.56671324661508
226,37.69720383494978
227,37.30981155100251
228,36.92728631375448
229,37.277763033775955
230,37.50464537169148
231,37.58704442171913
232,37.51318817220428
233,37.58460541163473
234,36.674573601945035
235,36.71047107454187
236,37.03885094386518
237,37.11791727463542
238,37.23620769015051
239,37.18454982474433
240,37.77257685923682
241,37.72684259213043
242,37.71213343492494
243,37.598149261291965
244,37.30332260322642
245,36.98678943733944
246,36.69881289801797
247,36.49955992190377
248,36.3756349556469
249,36.2817679550463
250,36.099078451821846
251,35.9742166058376
252,35.78095040767855
253,35.600291927967625
254,35.44204401274213
255,35.44464731842431
256,35.42720803303739
257,35.373326939406084
258,35.27817964721645
259,35.159162945018345
260,35.11486238065317
261,35.08191945173094
262,35.07781260977264
263,35.066215100475375
264,35.01781642229985
265,34.99553563587483
266,34.938724257543946
267,34.9256670983245
268,34.84034172180837
269,34.67406428018981
270,34.639756191963365
271,34.616009217334415
272,34.68768094674935
273,34.56678160473912
274,34.1904128110134
275,34.097965897684595
276,34.31457744551857
277,34.41174904415865
278,34.504041638497476
279,34.485706086643994
280,34.48044018135583
281,34.44930018807995
282,34.498043618649895
283,34.43505008882264
284,34.26851559319992
285,34.20082341060926
286,34.196316771502985
287,34.35348366018577
288,34.37786629287229
289,34.37690879539983
290,34.38146277288319
291,34.32794255965611
292,34.28900351179475
293,34.125503924391055
294,33.76669669385548
295,33.3094961254389
296,32.77014242364658
297,32.358837032703036
298,32.17378322519852
299,32.16398262275086
300,32.17935194092118
301,32.349762669693504
302,32.55568169147271
303,32.684289474378666
304,32.791229151882916
305,32.75172544234576
306,32.74361725972093
307,32.71549315166404
308,32.5196571064951
309,32.28843159390197
310,32.2407211955729
311,32.35456927283351
312,32.15405483580247
313,32.09717059318764
314,32.10903459396299
315,32.10011620419704
316,31.994472315196077
317,31.893417713465947
318,31.65465215424576
319,31.499347649297274
320,31.51196554026797
321,31.611319683742977
322,31.62649041088468
323,31.77556174462646
324,31.9987627886104
325,32.09792131714764
326,32.20509503530262
327,32.37753783915589
328,32.51903780265189
329,32.70914652551793
330,32.838331260610424
331,32.96063074400486
332,32.990520368626626
333,33.05168424590594
334,33.0107059695017
335,32.92233482829495
336,33.14886879983536
337,33.37171468418798
338,33.35236268994404
339,33.408377723955155
340,33.397618455527905
341,33.44320702421713
342,33.27404382435373
343,33.07229731962071
344,32.89448366190121
345,32.630437246951516
346,31.990905696736352
347,31.669902500508545
348,31.452754914255774
349,31.472031323357992
350,31.75606803144302
351,32.33702908160992
352,33.626317494608045
353,34.602467493256995
354,35.42382235747526
355,36.15606780841851
356,36.874626512543216
357,37.6503324581495
358,38.43459235534595
359,38.93179644122491
360,39.36866838183693
361,39.94383386678182
362,40.47956240457924
363,42.03493666979596
364,42.4871580410591
365,42.664012578657385
366,42.74950466993783
367,42.85125025212244
368,42.65965482438944
369,42.42344233754464
370,42.371246244236794
371,42.2185361327685
372,42.16453102708486
373,42.15331659232803
374,42.007975265929865
375,41.25445107134897
376,40.33953447593576
377,39.58580794253951
378,39.27169600425583
379,38.62143463857214
380,38.34526426840974
381,38.403836616785064
382,38.10426954641646
383,37.04183283747331
384,36.09847812333515
385,34.38887543904622
386,32.5106223859403
387,30.952297432591905
388,29.928994761318002
389,29.325487306945202
390,29.584607773139577
391,29.681989533882067
392,30.20317970973947
393,30.809463526945297
394,31.472647430074655
395,32.121766269897364
396,32.58234832334354
397,32.58213145566913
398,32.49235065562228
399,32.364675182002124
400,31.621620411354403
401,30.59547490812595
402,29.670296305129717
403,28.548595999791015
404,27.628127208885406
405,26.757733893242683
406,26.279905447396352
407,25.96612320435055
408,25.622963806526833
409,25.06069293580644
410,24.4268001630725
411,24.166854701369722
412,23.9355037982537
413,23.57289637208968
414,23.404034254754304
415,23.581293575709918
416,24.41113565830867
417,24.975246597186498
418,25.942411999172442
419,26.919731592671795
420,27.24402381027716
421,27.191020936622145
422,27.246060487068764
423,27.1377889529653
424,26.80333861488276
425,26.63630817468
426,26.38005979065277
427,25.301594305727853
428,24.341588203717563
429,23.18211052113278
430,22.21359574319031
431,20.96706941491778
432,20.394847149015156
433,19.903766313351596
434,19.682876500077462
435,19.158865748384308
436,18.57239792805904
437,18.065793685770796
438,17.535978553867736
439,17.16466688205126
440,16.98357659008581
441,17.39486720257993
442,18.4925576573839
443,19.698024357198435
444,21.104438374596803
445,22.303997084399786
446,23.570791640309924
447,24.276151854319316
448,24.99676450698581
449,25.372692162861277
450,25.732273806068555
451,26.092964662025707
452,26.165259916733227
453,26.340909977805374
454,25.887154971700255
455,24.73371554987303
456,23.719754363975216
457,22.8158124816003
458,21.965967501649263
459,21.39299223007077
460,20.95066614595898
461,20.806414083918128
462,20.645331382031806
463,20.633765944991158
464,20.632725104923257
465,20.663783474123857
466,21.19639228262167
467,22.09923948975627
468,23.46270438231257
469,24.73696739164477
470,25.758314912008768
471,26.25043695163784
472,26.89918051939334
473,27.525428612682507
474,28.135152206886364
475,28.51063161208323
476,28.68920628388742
477,29.097235064025448
478,29.407068866660882
479,29.80688342754873
480,29.846356312608165
481,29.358449637217586
482,28.97681983495439
483,29.036589527244654
484,29.114904411801245
485,29.23300618290509
486,29.032888604760977
487,28.913732384282422
488,28.715757770636213
489,28.4795208153431
490,28.517355355039527
491,28.487408359604583
492,29.007827103990245
493,29.879824959489714
494,30.70378867321879
495,31.989905206720508
496,32.75040858040288
497,34.25391136860269
498,35.553805571129075
499,37.29269549086354
500,39.686272579989875
501,41.94725150609004
502,43.3291133140382
503,45.67965245035969
504,48.13799578185128
505,49.46343200821411
506,50.19203123362728
507,50.76178928073355
508,50.45109804362791
509,49.917233313351495
510,49.176195784110426
511,48.59827177966178
512,48.15304542729807
513,47.73992044203743
514,47.33856871364648
515,47.49559071885527
516,47.50238841856406
517,47.215344769618
518,47.69004802347152
519,48.34462969007388
520,47.93202830769242
521,48.06494380652259
522,48.28509974230433
523,48.61522823894127
524,48.42932255865811
525,47.98077019278798
526,47.38551966620021
527,46.611776390179905
528,46.35074393209634
529,45.981297278469434
530,45.624609607669534
531,45.080611092877334
532,43.60164728766383
533,41.981636176513305
534,40.440255191500604
535,38.63787037129716
536,37.70904369794311
537,36.84062053788224
538,36.388185462276816
