,angle
0,178.21266956909744
1,178.0809917434654
2,178.75811166515683
3,179.7199726561319
4,177.61886346777038
5,172.8979908505655
6,173.94214110850692
7,172.91123135631747
8,171.522665335689
9,173.68051161103938
10,174.2311408067905
11,175.60711766225353
12,176.54827824796547
13,179.56170009280552
14,177.34766888196157
15,179.68442745407347
16,174.91904783119543
17,171.25021853000518
18,172.1480458926574
19,175.02245212355186
20,177.09869250672236
21,177.4817963650339
22,179.76834003059184
23,176.958189424433
24,175.87573225184235
25,178.25472377736034
26,179.46792063609078
27,178.2582410923632
28,177.47933481926663
29,177.64224774727074
30,175.8565254743401
31,174.91082624117735
32,172.426289184312
33,172.21081657408956
34,171.79822503128392
35,170.2471563212229
36,170.4450172780871
37,170.5204413209142
38,170.32086634476326
39,170.15091448137346
40,174.57578748497022
41,173.0934070170543
42,171.67940721578103
43,170.81685159669917
44,170.57811886943082
45,170.95528500458462
46,171.31913816730165
47,175.38729766337616
48,175.11319532082814
49,174.31300045311468
50,173.524931770432
51,173.00801988131545
52,172.91681685520072
53,173.00829509523243
54,173.07077233399386
55,173.3222446090072
56,173.4935185054713
57,173.4369614172205
58,173.44601628866033
59,173.95715022248046
60,173.97701904551545
61,174.07091707056628
62,174.56262412378325
63,174.69191220993665
64,174.93866387235317
65,175.55751059564642
66,175.98566094576543
67,176.1085504370403
68,177.3979686376009
69,177.49323857399057
70,178.6883386566991
71,179.3760557830233
72,179.23136412567243
73,179.09656036816762
74,178.7523062786913
75,178.18182180579765
76,177.90087546768316
77,176.984250492358
78,177.15011951002788
79,177.21117513825425
80,176.72008628898755
81,174.35611668041514
82,173.96928081439918
83,172.1429043523381
84,171.64212179762188
85,172.67024170549934
86,170.83420817908544
87,170.82500971457145
88,170.59777846124538
89,170.43382765860034
90,168.64028782356408
91,168.1801678130704
92,170.48285221390245
93,172.15620322451767
94,174.51561314849525
95,175.9613159632286
96,175.918489214062
97,175.62287672345545
98,177.03329935802924
99,176.18831632832706
100,176.29928959610487
101,176.58503027689892
102,177.11366672390645
103,177.22857005935592
104,177.47487930384742
105,177.23110216428176
106,177.1752206885012
107,177.5924678781541
108,177.90474456600057
109,177.42225337733595
110,174.63939880075347
111,174.45096956215113
112,174.11273805807963
113,173.64168206754348
114,172.25485859764242
115,171.11450484866057
116,171.31941113176947
117,171.8797697000702
118,171.90130831649384
119,172.63922349065248
120,172.66028885891325
121,172.7230235686877
122,172.88555485052817
123,172.74904187930946
124,172.64496141930877
125,172.6455776577485
126,172.83168774634026
127,172.98421117680022
128,173.1533441553014
129,172.89904587099915
130,172.66677848539862
131,174.05896592864732
132,173.83626165771608
133,173.40667860007323
134,174.1656870429696
135,173.94590881848686
136,174.4100472967117
137,174.74857984829143
138,174.6215487822788
139,174.47263359806132
140,173.57014687768927
141,172.3891967912167
142,172.31292612701037
143,172.4803305000879
144,173.864334964746
145,174.5718797444847
146,175.03551901674658
147,176.86184984851104
148,179.58575084041627
149,179.30462825848977
150,178.4565644683951
151,179.42246217728626
152,179.75694421148503
153,179.57578565674126
154,179.2117759770849
155,178.67934824066438
156,177.01503638861098
157,177.18974051978896
158,177.3177732045493
159,175.7841049505792
160,175.0975930222545
161,175.40758536752296
162,175.99650115777084
163,174.1733087232498
164,174.3754241011403
165,174.32439102136252
166,174.24126403509374
167,174.34836323901848
168,174.65644416919352
169,173.9152524820737
170,174.74068259504213
171,175.17025747452186
172,176.2050390108954
173,177.1026886579248
174,177.66457271969367
175,177.99202037428486
176,178.19543994720533
177,178.50261104025805
178,178.6204987838754
179,174.45887910959243
180,175.3364982233003
181,175.8230211983189
182,176.64783034714034
183,177.71392561375922
184,179.56978583633042
185,178.90500828094648
186,177.7451402653975
187,179.09495273536496
188,178.10210814334752
189,178.06043567171315
190,178.45175187199973
191,178.67782167520195
192,178.4392710595402
193,179.02675233537232
194,178.8843790585254
195,177.81760000543048
196,179.8631239821887
197,179.18430342928946
198,178.43889216721135
199,178.01948292087368
200,177.21777227036605
201,176.36190679085178
202,176.6658089302431
203,176.33031962266233
204,176.6041860923497
205,176.7060631997323
206,175.97535478330357
207,174.72785628790123
208,172.28922837241927
209,171.6803566958239
210,169.71677227044046
211,167.87738316918634
212,167.5686789332484
213,167.30800458749925
214,168.7129284986557
215,169.07372396094848
216,170.63403550221548
217,171.14649956519705
218,171.2274446338635
219,171.51662759715376
220,172.11879744712513
221,172.57992696264688
222,173.35287930810742
223,174.61003164469963
224,175.14569035788273
225,177.139505213632
226,177.70693792501885
227,177.3796003547267
228,176.2777476924921
229,175.51795844897083
230,175.2319651760042
231,174.54667449059457
232,173.11825593369045
233,170.78058144387424
234,170.3361891516122
235,170.6209973482452
236,170.30480221379153
237,170.1810555062113
238,170.02731313142672
239,169.69783440998302
240,169.21760983258903
241,168.71408084878428
242,168.54749689424
243,168.1017416424024
244,168.07773768190512
245,168.11441994172486
246,168.14978322176992
247,168.03917248618635
248,168.726858374531
249,169.37409256055943
250,169.64318512084407
251,169.47282576269757
252,169.58701388176692
253,169.76402633454393
254,170.05035151346914
255,171.118389957533
256,172.43584318849688
257,173.11571022001348
258,173.38184157628527
259,173.61898416736827
260,173.76475407456942
261,173.50454808790712
262,173.16079598556394
263,173.08462865428132
264,173.3169762857019
265,173.62353637100176
266,175.08599974161908
267,176.38108332357555
268,175.67102015105738
269,175.04155849371833
270,174.47989020692376
271,174.6699245908541
272,173.3180170792854
273,171.77763801598056
274,171.60857112308574
275,172.19609373538202
276,172.04085406927766
277,172.04318096875681
278,171.84827341292257
279,171.61236290804877
280,171.1994246608811
281,170.86433242563461
282,170.96411557631743
283,171.6049349057716
284,172.7376838531537
285,173.41306934044235
286,173.5733668597632
287,174.2933072421172
288,175.87218578966895
289,176.75026250858562
290,177.72084421894004
291,177.37658708605628
292,177.15530077249628
293,176.87068610818986
294,176.71453097592908
295,177.02336656818053
296,178.07418208254637
297,178.27191246112676
298,178.49038972657812
299,178.6247448954806
300,178.3971234805813
301,178.34687228322628
302,177.97945231483118
303,177.6719494089556
304,176.92725091622225
305,176.30977275166114
306,175.61871249630872
307,174.99946157057278
308,174.530181661466
309,174.39950611204753
310,174.48735911769165
311,174.68439786593316
312,173.85950788709752
313,173.40373998865792
314,172.84029682115707
315,172.66811623676458
316,172.56434488234083
317,172.52970077393528
318,173.24459401962798
319,173.39889735126488
320,172.92986441708692
321,173.11069114533416
322,173.20921888653353
323,173.95510560315614
324,173.66683970474267
325,173.95632625632504
326,174.56595601936988
327,174.51681812547014
328,174.51080434885873
329,173.97137776463086
330,170.2165513383305
331,168.3752463458944
332,164.8877324223955
333,166.1159967434598
334,167.5779071681977
335,168.1540076323783
336,169.0253557688833
337,169.69804972304271
338,169.6803352176939
339,169.53929598890605
340,169.6827766641688
341,168.04462553596494
342,166.87200930550227
343,166.69737037505112
344,167.20898951255867
345,167.32717793014763
346,167.703203465727
347,168.16111396944964
348,169.79637800180177
349,171.62743988245145
350,172.069085620873
351,172.96919304228814
352,175.40210965563494
353,179.4959479859427
354,178.80181653017976
355,178.24729235812907
356,177.76338015535353
357,176.7611621800206
358,176.09386247558777
359,176.6887798525851
360,176.2224374904361
361,178.45679338153585
362,178.39599916393584
363,178.58970972678077
364,178.50467880988379
365,179.43021344624887
366,179.02869668525366
367,178.80271226369194
368,179.0714774974857
369,179.13251401350823
370,176.82686759698782
371,176.00982256519185
372,176.23213215427447
373,177.829210529433
374,178.8099565892446
375,177.59364719166717
376,177.07098704002263
377,178.974068047661
378,178.79541704667153
379,177.0260341434084
380,173.66646280527084
381,169.15016107257932
382,166.850080203307
383,168.80701064881558
384,170.73661976162578
385,174.22907707506013
386,177.1507383969867
387,172.5789290909999
388,171.35572801973757
389,169.74224205932396
390,167.47745718107006
391,165.2313872826685
392,162.96410266956866
393,165.32738377498058
394,166.66997248052581
395,172.66156575444765
396,173.18295587993913
397,173.42677000781154
398,175.72251571585727
399,176.3264988010241
400,174.52750550029418
401,173.05716720360124
402,171.68684304484609
403,171.39271862998643
404,170.87054661625837
405,170.80362220931187
406,168.75408225045626
407,166.98034817970438
408,168.51939812857228
409,168.88265366080486
410,168.45968078585878
411,169.06118044663143
412,170.3626506622786
413,169.76788860918302
414,166.00152990181468
415,166.26124982888652
416,166.94223636753762
417,168.56699890322452
418,170.07328348554356
419,171.8288638601095
420,172.11973841505971
421,172.19761387942094
422,172.02576148759255
423,172.85793896105469
424,174.59929446032064
425,175.43209834541625
426,171.1917490982669
427,171.41527768034268
428,170.78674231445365
429,170.88856334760993
430,170.43016659900866
431,172.48227720021885
432,176.72820167677185
433,178.2211078701807
434,179.31404574005518
435,177.21765792901067
436,176.12207755876037
437,176.37469598504896
438,176.62917707551597
439,177.85528021168798
440,178.42120882972117
441,178.82114501538302
442,179.80592012277197
443,179.37148199485122
444,175.29606791679316
445,172.88909449772615
446,170.93554944530493
447,171.41635067363555
448,173.4013433354074
449,175.72964447972367
450,179.06103787135095
451,178.56091593220634
452,176.4829103946219
453,177.01887721524113
454,177.79503487764939
455,179.02980129899908
456,176.0073306220211
457,177.2752819889877
458,178.0042855449983
459,178.7503959765685
460,176.94398285466127
461,179.1315105821873
462,179.55660906679677
463,179.77100240346158
464,178.50299300876176
465,179.4347737748401
466,179.0731243049369
467,179.67836481507464
468,177.92257661700225
469,172.2866217848498
470,169.40832513343662
471,169.84114825822252
472,168.27505085002605
473,167.93512305751065
474,167.5477061634816
475,166.93733621364345
476,164.9432132691365
477,166.37632064651734
478,174.36409302480826
479,179.8879768558886
480,174.86356308356216
481,175.5132016128045
482,177.96631908618372
483,177.36700185481936
484,178.32724441693557
485,179.6743250145759
486,179.00638644606207
487,176.5736140379597
488,175.45471508341222
489,175.30069877611328
490,174.10049124387368
491,173.47406723333538
492,174.0317172157345
493,174.16421224066
494,175.85109374403115
495,173.54165386454554
496,173.49269887415096
497,172.64242924177316
498,173.37406699078278
499,177.67076566496192
500,177.6074775289071
501,173.89873057398958
502,175.281090719238
503,172.3222117448895
504,175.52511464074612
505,179.85414266804128
506,173.11343497559358
507,175.57296647112923
508,177.82244219613494
509,178.59226052625533
510,173.77883272789248
