,angle
0,158.9687128232396
1,165.37481157151777
2,167.05659377837873
3,168.08282589277886
4,169.91233152884183
5,172.76643185093567
6,172.65383339138404
7,172.9700845920332
8,172.0134567564618
9,173.48934966633743
10,173.51444269894046
11,173.2304869215409
12,173.28009582839508
13,172.79312234238188
14,171.45655813688367
15,168.69690120690402
16,168.4075900302308
17,164.16323398762842
18,162.86575310826169
19,163.4436488646685
20,161.437798666126
21,161.981995019407
22,162.7406937413751
23,163.06105765997034
24,163.7184551050705
25,165.18113741236579
26,166.34734071106158
27,167.12388187061836
28,167.6227579284513
29,168.3071417030614
30,170.24485226613817
31,172.31295590333528
32,173.63242694584636
33,174.17420789674154
34,173.19139942569723
35,175.8790033748629
36,174.2907590496325
37,172.11590050614933
38,170.63305232616577
39,169.41418917036935
40,169.47263731929996
41,168.19017204558028
42,167.945213289262
43,166.89176871540812
44,166.04049362877953
45,165.67830017713516
46,165.31845434140075
47,164.80042651113735
48,164.1735111090105
49,164.3554097173068
50,163.56424692878846
51,163.25967399954072
52,163.48653099067346
53,164.22419463750742
54,164.4061727227302
55,164.47025900577458
56,165.0860944546265
57,165.1578041414446
58,164.77572472823732
59,164.58365992633688
60,164.3785792503073
61,164.20178744709426
62,166.87299535436597
63,171.6563526980504
64,172.715198551067
65,173.3981543592873
66,173.45170101803774
67,172.7533811742794
68,172.61762264943127
69,173.1906470040649
70,173.8232213436523
71,174.29531059672843
72,174.42182353204268
73,173.7807593263364
74,174.39767453923895
75,174.72185642641014
76,175.49201519778515
77,174.45743839551116
78,172.81784076768642
79,171.8873683852553
80,169.49243194167778
81,165.63121735075322
82,164.8812798428407
83,165.49439027606897
84,166.34699180484947
85,166.1980048582256
86,165.19066528625717
87,164.1007552072814
88,163.7517346241789
89,166.75600913864176
90,166.79911335267752
91,166.54569034159675
92,167.20355653214145
93,167.61479673715712
94,167.1331964163795
95,166.80618548985308
96,166.64368143794894
97,166.2051720476783
98,165.1875352684908
99,165.40532814913215
100,165.0238033991337
101,164.8457479134414
102,164.8833947064838
103,165.1478175328005
104,165.4638626390732
105,164.70194755258308
106,164.83669480673038
107,164.66998840382576
108,164.96293953654765
109,167.50880398231976
110,167.05382828311406
111,167.33351431815228
112,167.23005754728723
113,166.97468467135593
114,166.56350717554
115,166.05416010060222
116,165.61020191725189
117,165.39960558615857
118,165.34250330700343
119,165.29030520222966
120,165.620196802241
121,166.5365304576514
122,168.6334281651666
123,168.24564954223527
124,167.12977962644393
125,167.11920445293188
126,164.9110694842728
127,164.28632038666086
128,163.36512244077053
129,163.5449317089949
130,159.60381601683775
131,155.39345933208153
132,153.09724745991218
133,152.7955117801936
134,152.73395887356722
135,152.91626163143107
136,153.87136220551986
137,155.0014995478936
138,157.87327425798426
139,160.03385889019174
140,161.9574757365131
141,164.72716020091275
142,167.9419648912639
143,167.86560023996915
144,167.68603652872488
145,167.44251859866253
146,166.42041763344162
147,167.31377657291165
148,168.41801778762317
149,169.32958245839407
150,168.16361360595363
151,167.37427355562025
152,165.64842023908545
153,162.9594544637535
154,161.90261652816795
155,160.7924490283803
156,159.26278500699357
157,158.0081456927391
158,158.09924293175257
159,157.71237564440818
160,155.21673334902454
161,154.4072128432377
162,153.81366190127477
163,153.09983798892478
164,154.42719087955786
165,155.23576491871793
166,156.4721130971514
167,157.83308931274826
168,159.30120495709934
169,159.90390999812232
170,160.78148754945062
171,162.71755824516825
172,164.45196483621856
173,163.18079673154216
174,161.35367085030967
175,161.31246081602626
176,160.40725027672426
177,158.52497502480267
178,158.17507053732157
179,159.19298187580134
180,159.84411887213076
181,160.7800089951412
182,160.7066781142764
183,160.56470172142332
184,160.91773786453308
185,160.89487882136126
186,160.97650208611935
187,161.5384713715209
188,162.37858984600783
189,161.5915962229293
190,163.69342336180415
191,164.01570751398512
192,164.42323821144348
193,163.58329264443506
194,163.58232536929623
195,166.6795719181463
196,166.33830137108367
197,166.08186608071063
198,167.71835656956884
199,166.27472518144094
200,166.66805287841217
201,168.4502251672989
202,169.63992996733612
203,170.26661173779146
204,173.42798202124845
205,173.87881492610018
206,173.81423521916483
207,175.5822039746271
208,176.04691165063565
209,175.30157124710158
210,170.2765386967377
211,158.14976851734642
212,152.78979354343488
213,148.78409512161076
214,148.47197615773842
215,151.5993057099895
216,152.55713281534517
217,156.43689109108755
218,158.99465570132804
219,161.08081067078288
220,160.71022439262677
221,160.57859731720015
222,163.04808499269038
223,166.4206089876724
224,170.3627509102968
225,171.741036626318
226,172.17818457618804
227,168.8157466630501
228,167.45243889438996
229,167.72334181522513
230,166.7579441318441
231,166.1615575929352
232,165.51523683585194
233,164.14724678486368
234,162.217817009193
235,161.86225214947973
236,159.27049673899512
237,157.50433020253388
238,156.81385336564446
239,157.2997030703044
240,159.72471601162343
241,160.53534662504424
242,158.21060863221055
243,161.8416123634061
244,160.76612317016418
245,157.80500250804639
246,157.40509624925613
247,157.80892542913006
248,156.64371685776763
249,156.44443364582003
250,156.27181726472418
251,155.5691542303968
252,157.84437888924123
253,156.21143747323276
254,157.76237875669827
255,160.73940901884342
256,163.6357420018362
257,166.27968570331325
258,165.47133145530637
259,164.96546430625529
260,164.4486492301876
261,164.09434045546772
262,166.13540548813216
263,166.77639823494098
264,162.97745965237164
265,163.98030276219365
266,162.7848208681361
267,164.20155543233403
268,164.84785909306413
269,162.39418406645322
270,157.32332809596363
271,161.72749763308832
272,162.91131991969405
273,163.79868061948437
274,163.54905241027103
275,164.99156912800083
276,165.5128959363752
277,169.19975339537208
278,168.08752274815933
279,168.6704182675299
280,168.6428477822205
281,168.65126503795102
282,174.83127569798896
283,169.88419476368705
284,167.0113427591438
285,168.45666525506965
286,165.03258033480734
287,165.15120035094128
288,167.47177332028713
289,163.48800862523672
290,164.3036324276805
291,166.12454954184005
292,168.53450341959217
293,166.84457784977943
294,166.8377107286053
295,165.29394565286358
296,165.25149104974648
297,165.4083426061581
298,166.0022170858732
299,166.08992565184272
300,166.5656896281293
301,168.5299179341501
302,167.82957391937154
303,167.96450403098802
304,167.45635909778568
305,168.37348485533576
306,169.92274408946423
307,170.4720620740053
