,angle
0,112.34063402303859
1,116.71140322094006
2,118.11247433383198
3,118.51162223146149
4,118.24021547694801
5,117.42182596620775
6,117.6680168789865
7,117.7986886580319
8,118.18166051796427
9,118.21080397411754
10,118.19267664987728
11,118.10856825838856
12,117.97350441164505
13,118.04239792515274
14,118.66612188531533
15,118.71803827772298
16,118.3357825214769
17,118.11781311578565
18,118.39628426718409
19,118.02579168449392
20,117.51017870813641
21,116.9930177177185
22,116.78152827253331
23,117.17419015270137
24,116.97064087094728
25,117.30769966546279
26,117.43679048210555
27,117.22905042348863
28,117.59164449793943
29,117.44539056415422
30,117.49678426064027
31,118.4735693098183
32,118.64846968183416
33,118.86601454577723
34,118.14190175733604
35,117.31472418116091
36,116.33029750899146
37,115.41100548016107
38,114.90543785957257
39,114.4162615142083
40,113.91929597886967
41,113.15379512762588
42,112.41139894383986
43,111.1102953692215
44,110.15332214947024
45,109.81658003390292
46,109.56414132576501
47,109.67892753616783
48,109.74460527636404
49,109.75222456477364
50,109.96689445228007
51,110.27952688419728
52,110.46414758964725
53,110.78886143077136
54,111.2172341351058
55,111.69778825145788
56,112.14622683113264
57,112.29391101310071
58,112.49389371890283
59,112.76097683097554
60,113.20201751701184
61,113.4819731896774
62,113.89826357948058
63,113.96747246912044
64,113.90893091747496
65,114.16880564584612
66,114.47273877998734
67,114.76467088669962
68,114.87235160154714
69,114.9044822330507
70,115.29627716824555
71,115.88754478048112
72,114.98249775949718
73,114.87073439508409
74,115.02607998783398
75,115.06429142773432
76,115.58679088577632
77,116.30259840681042
78,117.41655558941248
79,118.69821232881458
80,119.35732716441278
81,120.01296039458863
82,120.82078447520256
83,121.39835406509167
84,121.98815460645463
85,122.748277751711
86,123.25247854248198
87,123.51643332469597
88,123.44012971267816
89,123.467336339154
90,123.39247283510514
91,123.27163045704644
92,123.08477185039895
93,122.82982763527328
94,122.61582654074185
95,122.48704918521132
96,122.36941833010228
97,122.32335764097341
98,122.177431323324
99,122.0096971806311
100,121.6139044154347
101,121.28286061581954
102,120.9695480252883
103,120.64164860861328
104,120.19998667532975
105,119.68812475629392
106,119.21834772548164
107,118.5502387675829
108,117.3863637890834
109,117.15915873657346
110,117.01211575044572
111,116.81382702936673
112,116.8077565004458
113,116.81107262545302
114,116.81381884565087
115,116.83896290413588
116,116.85035914628384
117,116.87909111130853
118,116.90198519518164
119,116.94028756778812
120,116.91985298976383
121,116.63465489069615
122,116.46216113409203
123,116.43999148528985
124,116.65183334806947
125,117.04701812900781
126,117.2516243776634
127,117.60472533042936
128,117.7844803020544
129,118.08618957094035
130,118.72147555603252
131,119.52097240575876
132,119.99402932961125
133,120.21561233664765
134,120.33893682056491
135,120.329649741786
136,120.04072071007127
137,119.87155450404148
138,119.93372453553805
139,119.94855234940815
140,119.81136835218928
141,119.64520352653676
142,119.59836754088532
143,119.23474771998835
144,119.02555524306358
145,118.55654162440611
146,118.23846239124163
147,118.29605909682147
148,118.31370610736532
149,118.6329386745666
150,118.72469053369193
151,118.78341883424694
152,118.85937285237249
153,118.56423697694689
154,118.42328204257656
155,118.33552633600908
156,118.35521427524111
157,118.34793394194942
158,118.37987112561335
159,118.42239265292312
160,118.4933143530089
161,118.54746477369345
162,118.66427833908908
163,118.76860404009898
164,118.77982084208352
165,118.89870523898598
166,118.83905724269924
167,118.77270707586631
168,118.94614833828119
169,118.4819165059528
170,118.31134192910143
171,118.0485832567156
172,117.85602232682768
173,117.68827927849709
174,117.62309007362096
175,117.64370979490003
176,117.48797361427765
177,117.26559155229882
178,117.17284480967125
179,117.26579200430959
180,117.47050114771557
181,117.599035019983
182,117.66741037404091
183,117.95072053384146
184,118.21186770212849
185,118.21651116238851
186,118.1731731075095
187,118.06390752700268
188,117.90651334086088
189,117.70097578069911
190,117.56839364856904
191,117.61706975878789
192,117.63034506733904
193,117.57463748288265
194,117.48895129470276
195,117.30825490165188
196,117.16489786451194
197,117.06360273957853
198,116.97501686670151
199,116.85368395621951
200,116.77086114692015
201,116.66001543637631
202,116.52781784303326
203,116.47470002561728
204,116.4697696743187
205,116.43392228074731
206,116.40676139347421
207,116.38944867221375
208,116.36835711730326
209,116.20296454659065
210,116.1920764515108
211,116.19052253326163
212,116.18771350143845
213,116.09920353613289
214,116.05548537904755
215,116.05461852295706
216,116.13414134469915
217,116.30090842538361
218,116.25406601682988
219,116.20128672986773
220,116.14531413437234
221,116.04128928218577
222,115.99547016177917
223,115.93771329309024
224,116.02916614860496
225,116.06251844428638
226,116.27198499237161
227,116.90772759291626
228,118.0300344715513
229,118.76609777187157
230,118.74633280667054
231,118.72976483710896
232,118.39562384754547
233,118.42200708061155
234,118.44666458212008
235,118.39681032134
236,118.2581084025268
237,118.08247510402785
238,117.95741111574108
239,118.0625409274457
240,117.95446842994316
