,angle
0,115.22126093218185
1,115.69954272381636
2,115.85817246949645
3,115.22507119775963
4,114.97960577867175
5,113.47367103903656
6,111.94052800501134
7,111.75683654691915
8,111.57623536925209
9,110.53846722335459
10,109.49973001511557
11,109.5994145919799
12,109.7491699524492
13,110.09404193370827
14,110.51466571040135
15,110.41357074416902
16,110.50390403943129
17,110.58768311938852
18,109.52042450078756
19,108.67840935309809
20,106.81609081938274
21,103.97959403830333
22,100.42711210176594
23,99.17886979888164
24,96.63333761265801
25,94.90784567846833
26,92.93752282650735
27,91.75799219964455
28,90.69898299025408
29,88.85239829127977
30,87.43762463690177
31,86.03972093364006
32,84.06927416982145
33,82.60299147858191
34,82.20744417255261
35,81.84686775707236
36,82.19030395620521
37,82.37305422499921
38,82.79773688781881
39,85.2809871127492
40,87.71675071908282
41,90.29423583275377
42,93.08748259598059
43,94.30289386228361
44,95.9369868256162
45,97.60174382318507
46,99.35312533677023
47,100.99729812990199
48,102.94420559132476
49,104.98249063865867
50,106.18936232257565
51,107.19330007930631
52,108.52182209111047
53,109.73027892237891
54,111.11497970639277
55,112.72304354868231
56,113.12713840936507
57,114.27529433626609
58,115.18272663592421
59,115.67446235626349
60,116.67138165127642
61,117.8657654679007
62,119.8741516103191
63,121.97678059853013
64,123.55632354515367
65,123.91960851167335
66,123.5812911576445
67,123.36063900388808
68,123.06895009065383
69,123.48935668288667
70,123.35147138250039
71,123.3697606636274
72,123.88054777222212
73,123.73427319401767
74,123.58762397429442
75,123.67368741359678
76,123.78102019001577
77,123.88625894026845
78,124.4241318715884
79,124.82711769589844
80,125.06172913616248
81,124.7711664406454
82,124.3128668574615
83,124.3470277812431
84,124.13941002264741
85,124.06682221527791
86,124.13177844421992
87,124.15295513546184
88,124.14496709189905
89,123.98625119412316
90,123.66018264582948
91,123.73887429175693
92,124.08906915256449
93,123.77157883334735
94,123.66414573132414
95,123.60166574495312
96,123.47762843756905
97,122.62638163073899
98,117.74754547659879
99,113.84064285731347
100,110.01788044152846
101,105.62610821316119
102,102.69316984050613
103,97.82119385371374
104,96.37343923527357
105,96.50781940943239
106,96.08359306533521
107,96.13555009138497
108,96.56693760643645
109,96.88254818607987
110,97.13895718479245
111,97.38786837457121
112,98.07588294482645
113,100.44967387395218
114,101.1617907932283
115,101.35901933008341
116,102.22437375229543
117,103.90879833789137
118,103.78562276886083
119,103.00745195173891
120,101.14079784317221
121,98.12953852084746
122,95.04646998274774
123,92.60177005734135
124,87.03283405298913
125,75.57498430857986
126,67.72627353597511
127,59.983071564216345
128,51.200157977602466
129,49.22824888719155
130,50.67594195964853
131,51.70706407100367
132,52.15291420045733
133,52.09684353548724
134,52.30501002483261
135,52.32906343574976
136,52.41435836057762
137,52.18227341664436
138,51.24746812475399
139,48.566847833142525
140,47.726410752631026
141,52.83081215025434
142,56.86747764365155
143,58.23610694480296
144,57.87796285811454
145,56.75454440020618
146,56.576102600880866
147,54.38350645730089
148,51.137124738994885
149,48.24380948112903
150,44.588527773566014
151,38.24007609194332
152,34.14110482386912
153,31.19813178375018
154,28.35702105122948
155,30.21133904262818
156,31.865733389416135
157,32.90896828314521
158,33.6502070777358
159,33.91449831333125
160,33.90700932203399
161,33.9452799126023
162,33.669991881033184
163,33.674595806920046
164,31.38783073414086
165,30.771113247876254
166,31.680558854480868
167,35.47226182959767
168,37.79202967472568
169,38.013106460874745
170,36.85638255915285
171,36.18449433814216
172,35.79515045254412
173,35.65388412877805
174,35.48575125834849
175,35.37224349213841
176,32.80341196265178
177,28.044280372785643
178,23.863409270813353
179,21.25031710299844
180,22.99673859102489
181,24.841844327294496
182,26.51390693104005
183,28.16289044563348
184,28.744770925130446
185,29.932515681050067
186,30.446455259386834
187,30.229964985849335
188,30.059988246066162
189,28.591723956988925
190,28.84224880548958
191,30.754112288707418
192,34.08293537869555
193,38.956953810506015
194,41.39144737513891
195,42.104566156175494
196,42.101474848645616
197,42.74253005639969
198,43.123536731766144
199,43.14903993120255
200,42.49110048118968
201,41.41368387392643
202,40.61888003568809
203,36.841634626342575
204,33.03570094179815
205,33.229871316147154
206,35.077294845509755
207,37.0812603209593
208,38.753974609290715
209,39.34411390023946
210,39.62926353574636
211,41.8723468802223
212,44.45879788036179
213,46.044689623129784
214,47.26903096215868
215,45.8754205462726
216,46.37103915381983
217,49.634267811104884
218,57.06489890918681
219,62.44172872692771
220,63.015110241800045
221,62.662624148746275
222,63.03294697980953
223,63.66640232458838
224,63.578196281062176
225,63.03338143099055
226,62.06766948227353
227,61.708163395763926
228,61.743034065003506
229,57.74506568867575
230,52.80673656089927
231,51.242564666648455
232,53.371532925507026
233,55.882003958492476
234,59.01435859168477
235,63.872738792356095
236,69.7081879093605
237,77.49978331834676
238,82.57130921263396
239,85.80928374054406
240,87.77292461609744
241,89.14552894137637
242,92.33547784460279
243,94.23011802153792
244,98.7198718752523
245,103.09527645387755
246,107.4351484941362
247,110.1657787445923
248,111.91782045467022
249,113.74736332971614
250,113.74144304260216
251,113.91976213056478
252,114.16189679310128
253,114.47600175620343
254,114.71526986883939
