,angle
0,101.47003987605166
1,97.5146978524913
2,96.43160572577207
3,97.40056916946627
4,98.60047575244228
5,100.91718808077987
6,100.74313743944226
7,102.27475659467763
8,102.79779432581807
9,103.93097004503193
10,104.56344884322951
11,105.1311473870993
12,105.33104948899901
13,105.5127548310804
14,106.62095938070007
15,107.95167731955831
16,109.67572632162077
17,110.74029937219498
18,111.13878390939755
19,111.12440538399264
20,110.62018750047932
21,110.52688614805055
22,109.92656417511921
23,108.60505573793446
24,107.56974152079388
25,107.11811441748705
26,106.8083896410892
27,106.25942908536237
28,104.27681979316301
29,102.1560545555336
30,100.17272345443186
31,98.69718781400107
32,97.27719935584443
33,96.37127352002659
34,95.64313112216652
35,95.2138698817531
36,94.3971689906644
37,92.74292547268026
38,91.99173557217318
39,91.02999708348494
40,90.25661737500572
41,89.89324231725413
42,89.55590900798788
43,90.01549013454839
44,90.83647876988064
45,92.63161951791264
46,95.77722657482997
47,96.80345853298785
48,97.63253467348814
49,98.09389540928184
50,98.99023129710982
51,100.43106049620951
52,100.19807478114055
53,98.73389860789999
54,99.3767041039037
55,98.88825679058442
56,99.20262746691333
57,102.23177679612485
58,103.53847173674609
59,103.99361695276883
60,103.96529434727051
61,104.36614537738137
62,105.2204837493968
63,106.00126465197314
64,106.27728203598343
65,106.34652033472872
66,106.42431695838954
67,106.54822672018307
68,106.86854926846482
69,106.47486899506256
70,106.3277741834736
71,106.8028271099694
72,106.91295321350361
73,106.73186924047269
74,106.45094113448778
75,106.36373327721594
76,106.37648327953386
77,106.44997707047642
78,106.5563509195695
79,106.45453694891168
80,106.30861129471043
81,104.97411308789012
82,103.8979575950271
83,103.30012261938418
84,102.20357784791383
85,101.02615791157251
86,100.1052759914271
87,99.63772387422375
88,100.103459975281
89,100.32614042516485
90,100.97562743232032
91,101.49297638282195
92,102.65146425908938
93,103.7294588369731
94,104.00194194499886
95,104.34964654689767
96,105.10930080330817
97,105.94402905371652
98,105.7580957466771
99,106.6086069577766
100,107.10237061991026
101,106.08567436163818
102,104.35439582990725
103,103.76477063296414
104,102.63850230296487
105,101.01581712159219
106,100.20361213406466
107,99.15803746898882
108,98.7248054709267
109,98.39413808956891
110,98.93880536908216
111,98.6556048674754
112,98.64631647460578
113,99.81853943713537
114,101.6343269108566
115,105.20744392024105
116,107.91388846186493
117,109.26592035168431
118,109.51109760534791
119,110.24645567851306
120,109.79446534989509
121,109.06262782280939
122,106.8618085856437
123,104.80739053384812
124,104.08116984775177
125,102.1640473598988
126,100.80317191444516
127,98.8424464471741
128,97.6485516826977
129,93.30882707781858
130,91.66074690636013
131,91.41984443341947
132,91.1990745773613
133,90.8731562503261
134,90.16501374804886
135,89.86921582696176
136,89.89214528513618
137,90.03885522257286
138,90.05882976216232
139,89.99115225079339
140,89.09588465819452
141,88.88704766604391
142,89.97048276756047
143,90.98648201855742
144,90.6945484333247
145,90.4969979434532
146,89.71485631361924
147,88.61752459202222
148,87.53687616540333
149,86.64289152301123
150,85.98080430904436
151,86.2538712624432
152,87.96101130717851
153,90.65533600687615
154,93.56246718699396
155,94.67228745919903
156,96.86596143151303
157,99.34785014452507
158,100.01153192884817
159,100.15180043320771
160,100.14768998689397
161,100.13352283694462
162,100.03280105527995
163,100.17914497955667
164,100.43672154400417
165,99.37956092890158
166,95.26015472043488
167,94.80879730597164
168,93.12590484126616
169,91.62776435969812
170,90.90996198450507
171,89.9928863212225
172,89.70841858117976
173,89.46162837130618
174,89.41161700071919
175,89.70616990175373
176,93.35649509949162
177,94.02017924215833
178,94.78611356127277
179,96.9055547897658
180,99.19888275083332
181,99.4074104554071
182,100.3222733515064
183,99.49293099856004
184,98.39771262299337
185,98.41151154139129
186,99.40827153745067
187,99.29247571984496
188,99.10967695353065
189,99.03217416859684
190,98.74666470934682
191,97.2870123409075
192,94.07688515363478
193,93.18825595231074
194,92.50289029119544
195,92.01734444982425
196,91.01944619639488
197,90.66376934286143
198,90.13100541725895
199,89.28046785500028
200,87.7760218072463
201,87.68393165929223
202,88.29270986839447
203,89.96099054086926
204,90.74805291637735
205,91.33531855799487
206,91.92917485265299
207,92.36710711147269
208,92.0422985415992
209,90.67833831286441
210,90.11448956035964
211,90.22510944926526
212,90.10647155568071
213,89.86589676663151
214,90.29164241456792
215,89.74452146520436
216,88.90917792323387
217,88.68129500677857
218,87.50286027956227
219,87.4003435943947
220,89.56412375616942
221,90.24479953659417
222,90.47500131829125
223,90.43047858471736
224,90.4128146086096
225,90.71426891711829
226,90.99561872858597
227,90.66244578066744
228,90.25253436052235
229,89.94613135848154
230,89.01091201714836
231,87.65039239417356
232,87.2830827945799
233,86.93797910369446
234,86.84852056369562
235,86.79010767470874
236,87.33136308506126
237,88.45394330528573
238,89.09047365957721
239,91.30589182695212
240,91.78758179684088
241,93.02181183917102
242,93.30765587234256
243,96.12934441220371
244,97.28891454526917
245,97.01023600725067
246,99.237552017505
247,103.93810401783594
248,107.23528666290397
249,110.33093254312223
250,111.45644163596182
251,110.96665693812557
252,110.9423778288265
253,110.74879503789535
254,108.6601294656245
255,106.70189908106619
256,104.18669212232942
257,101.25351266074534
258,98.66492428750499
259,98.11344668539716
260,96.8568598026681
261,94.73957815408704
262,90.91773627807389
263,89.37712384304123
264,88.46382408421606
265,87.4072872917075
266,85.9553320896815
267,85.48466638318259
268,85.34209225575036
269,84.554737370439
270,84.98468082231611
271,85.40861575998044
272,85.42288421819786
273,85.2842188692489
274,84.59853213663607
275,84.50299260892713
276,84.80959172548343
277,84.89387334944624
278,84.41977693516662
279,83.9530961371092
280,83.33487308203009
281,82.2453362404611
282,81.64397581359574
283,80.95662854641722
284,81.28261124319519
285,81.92914998552756
286,81.94364093308307
287,81.54475824816491
288,81.30829005928072
289,81.21123263629485
290,81.42345305872993
291,80.74662861163391
292,80.14366235776794
293,79.42050660830294
294,79.16572754297091
295,77.7554517624525
296,76.82643824139673
297,75.37807639339096
298,74.91970276833095
299,75.60629827575501
300,75.659573099121
301,75.42276978992932
302,75.17411929474362
303,74.93749294880249
304,75.37384945832207
305,76.64019949831913
