,angle
0,68.78148646142802
1,67.94973395570322
2,66.07051840245192
3,63.905634572227385
4,63.441955375329066
5,61.95045985905656
6,61.97172221222748
7,62.243157626759256
8,62.301439722200136
9,62.347866681075665
10,62.38345490272473
11,62.44738409619549
12,62.250967741894
13,62.06752566062711
14,62.205665353268536
15,62.45398633274295
16,62.49885485526175
17,60.93384960231466
18,60.869395282051315
19,59.5091182008081
20,59.42654868461738
21,59.74857605316459
22,60.74763592288499
23,61.06929882810563
24,61.403580322705494
25,61.797196761793714
26,61.609711013166496
27,61.14014728543449
28,60.47024317955406
29,59.72059806844859
30,59.546420297943065
31,59.81741258152397
32,60.30883238848001
33,60.55184108870532
34,60.725813707025374
35,60.74028507909465
36,60.57795153032692
37,60.41700697224602
38,60.11061591780825
39,59.94413360218922
40,59.95821830510284
41,60.021683111807484
42,60.39695747080253
43,60.872066746713905
44,61.29275521358683
45,61.93462982469892
46,62.15482593159469
47,62.268195145844686
48,62.77869926517323
49,63.20231219275738
50,63.41660680708744
51,63.55689962033394
52,63.609572524897004
53,63.53602317824912
54,63.570318890547725
55,63.61071320430701
56,63.404695419332704
57,63.25507165158974
58,63.09744352190494
59,63.18469141159493
60,63.119712569812044
61,63.11324153114296
62,63.014321009411375
63,63.041074416360935
64,63.02307323720684
65,63.11464852508749
66,63.18764733786871
67,63.35330334421768
68,63.595229810621895
69,63.77291707563062
70,63.89673143600472
71,64.05140582375157
72,64.01345226855089
73,63.94299353991775
74,63.88466703894572
75,63.81898054041604
76,63.82924667337566
77,63.72467238732691
78,63.7291284598336
79,63.726217905181414
80,63.809200542525524
81,63.8626952478009
82,63.94456141111605
83,64.04069373086654
84,64.04954152605708
85,64.0453409035346
86,63.972228629901835
87,63.90487748420623
88,63.847585008675345
89,63.79582898935388
90,63.97932729279172
91,64.38056422892929
92,64.46642770314044
93,64.58064069065077
94,64.6292692952526
95,64.83935630976754
96,65.12477875008118
97,65.28490516009502
98,65.43112669473545
99,65.722007917399
100,65.97297339049862
101,66.16150958441636
102,66.35532437022479
103,66.41339448612676
104,66.48775491776156
105,66.51141877819082
106,66.55525103762461
107,66.40745549810183
108,64.07503547041634
109,63.044225671068155
110,61.78996140522067
111,61.47156227723699
112,61.676567564238795
113,61.79268739047519
114,61.84835683561083
115,62.07371675922222
116,62.0773062990091
117,61.59197746985066
118,62.513523650687716
119,63.0357412646499
120,62.885030558177064
121,62.23879554661496
122,60.91171551620992
123,60.660208797823685
124,60.4193223532265
125,60.36887789627265
126,60.771655552915625
127,61.20485636545331
128,61.844011247226454
129,62.50966431543875
130,63.093063924264776
131,63.50475192852831
132,63.104679808143175
133,63.13654234242285
134,63.45531524956142
135,63.140241556692494
136,62.90921248826862
137,62.583594861278165
138,62.36317131207079
139,62.17997688287341
140,61.11415496117171
141,60.288628548847825
142,58.93471583042662
143,58.11867352339505
144,58.95873628891401
145,58.40207653146905
146,60.76883161640938
147,61.85503206425238
148,62.16170898190462
149,63.294916899815306
150,64.18822723310734
151,65.93767204865465
152,68.03500493742257
153,69.95719520206677
154,71.10490578186234
155,70.48120061785515
156,70.27676960393741
157,70.2598728752234
158,70.04684127774959
159,69.83036124501164
160,69.72793498119697
161,69.13498024616737
162,69.31858364262429
163,69.18859699050354
164,67.90131140951473
165,66.45545163288311
166,64.00557975708568
167,61.07673245380622
168,61.10560809528171
169,60.15818809114125
170,58.889563652084824
171,58.19914647252919
172,58.526445573637005
173,59.969544252748385
174,60.50366839502406
175,61.880196742376455
176,63.60724950498107
177,64.84669135149669
178,65.37044564997538
179,64.75677235551316
180,64.13998372801547
181,62.98708694002351
182,62.214992677359206
183,61.26818047244389
184,61.67452774148217
185,62.17883807165486
186,62.54921625494043
187,62.12288354958006
188,62.089229621919586
189,62.072410552326396
190,62.067242210845556
191,62.59137942953035
192,63.1576963721339
193,62.80935826572196
194,61.46331697159005
195,60.204927003677184
196,59.40920046696554
197,59.24807186685375
198,58.92429585429305
199,58.66314851405694
200,58.29797605129022
201,58.168720221097615
202,57.587040290054645
203,57.67025910141589
204,58.08963774148313
205,57.97940432271894
206,58.113923033597494
207,57.308374812712344
208,55.67504574794654
209,56.00218385151781
210,56.43122120957196
211,56.70581806340009
212,57.97975451390807
213,59.558997965072464
214,61.40111156615191
215,62.796950261146584
216,63.41249297360364
217,63.842131490447
218,64.021934224688
219,64.06178600431944
220,63.93594359467703
221,63.781256470500075
222,63.20959535166772
223,63.14357815079039
224,63.32131205122576
225,63.565378772713665
226,64.15674904344648
227,65.05495121058519
228,65.34408442380212
229,65.5114996872085
230,65.75230901352109
231,66.32455650449636
232,66.31175802396068
233,64.97878354517383
234,63.251094036949986
235,61.29699195581088
236,59.457334426397026
237,58.974489440975375
238,58.95092317114789
239,59.30912301265443
240,59.46337038364962
241,59.71295942255624
242,60.58791954908166
243,60.186132884436915
244,60.16244500938503
245,60.34562848145181
246,60.62652904176838
247,60.98433102006743
248,60.80396492972588
249,61.154260884559505
250,61.15760039761464
251,61.71106899368274
252,63.54562143000457
253,65.11768626742447
254,66.10692193618786
255,66.03049875220754
256,65.70235523413693
257,66.34286520207318
258,66.3795983805716
259,65.43034833803944
260,64.26476125748312
261,62.75137617202609
262,61.94888850504395
263,60.938740770069785
264,60.49665534427325
265,54.99678107797446
266,55.43712369476567
267,59.307963139817474
268,62.914336717740966
269,63.68599607076775
270,65.45933867721828
271,63.599237693562394
272,65.17154300331451
273,63.80119332700775
274,65.74232490095226
275,69.1280016627791
276,75.37486881343476
277,80.31809033368692
278,85.29393076507361
279,90.03808757139414
280,94.14952951500861
281,95.78345811429267
282,98.7462756352216
283,102.99259493414071
284,103.75224935241995
285,103.03608657786124
286,102.32568372931848
287,102.35765856533256
288,101.88844949711148
289,100.22035393372818
290,97.31504875448728
291,100.26797964080842
292,98.08717127310769
293,93.6745858739061
294,91.30570800169389
295,84.98009358291803
296,82.24456344270838
297,80.99371707262287
298,75.24172203848256
299,70.91618331853516
300,71.20535213147758
301,70.45461293978086
302,71.39580946062539
303,73.05133909914454
304,73.34941711604743
305,71.9372392563983
