,angle
0,22.57354056666014
1,25.292119915624774
2,29.497798467743827
3,34.86797760751028
4,37.98085064467451
5,39.73620435509186
6,40.22996278324789
7,41.37935124020447
8,42.686588915205554
9,42.39301913740814
10,42.2688255096935
11,41.41285597613431
12,41.37445546741916
13,41.300635900413134
14,40.658500927493144
15,40.16542938606421
16,39.986763031476755
17,36.0984149068502
18,32.95900725065677
19,31.878684121945128
20,31.37191891474896
21,31.755492217118956
22,32.73492757865651
23,34.15726625463745
24,35.158695599978465
25,36.87194337785358
26,38.29443931784635
27,38.728793157919675
28,39.11594100339617
29,39.15500403324674
30,39.0247580441555
31,39.43062459878522
32,38.53403816308365
33,38.501613042379326
34,38.38718624450281
35,38.21186247252185
36,38.06826078719082
37,34.929140204939586
38,34.132801105725946
39,33.00435194695229
40,33.52548984233122
41,35.75852928183937
42,36.840230255896316
43,36.76126899275798
44,36.94106621574902
45,36.65220511631264
46,36.28150066753773
47,36.067517203189986
48,36.08062860658573
49,36.10237344324101
50,36.13331933637766
51,36.22658706458414
52,36.36241179550289
53,36.66330096414301
54,36.583846142674105
55,36.542478442175174
56,36.63911227897344
57,36.783448822793325
58,36.96919385610309
59,37.14516041091698
60,34.6620288595004
61,34.827466354338846
62,35.26436625177077
63,35.62566727479097
64,35.87906596567794
65,36.12801271478992
66,36.457849286156325
67,36.77962347015843
68,37.23176478123404
69,37.46717873156331
70,37.479970087234214
71,37.03432340524169
72,36.118066555728795
73,36.140989364840216
74,35.880925574694544
75,35.756651439392186
76,35.69421491881172
77,35.64538476694408
78,35.61796877978918
79,35.59390062287403
80,35.586951510298235
81,35.53241771146163
82,35.523009290019004
83,35.44488723580422
84,34.25411659326419
85,33.4453797945756
86,28.048034362109025
87,23.969117270823535
88,23.499930164943063
89,23.6236213665238
90,22.947874230316867
91,24.360193984365374
92,25.48564011267782
93,26.376736693749784
94,27.240285268405973
95,28.266073791206466
96,28.71648731570137
97,29.288979931115467
98,29.73994190910393
99,30.068335555941296
100,30.570899902655984
101,31.052541145702303
102,31.223655474976088
103,31.401495707068275
104,32.14115950276035
105,33.837181226886756
106,34.77267272417307
107,34.55023812219455
108,32.858881827695
109,32.934789375682655
110,33.1362246112589
111,32.58188116132202
112,32.97668573953787
113,33.23453165842446
114,32.887018818245785
115,32.65759814915586
116,32.21468041548204
117,31.99203597904431
118,32.05574346933592
119,32.87879167740364
120,33.378687421035565
121,33.41158719130439
122,28.243256869857543
123,30.069564057408815
124,26.868451269527903
125,28.930015892458126
126,37.13211232394563
127,31.518773905900936
128,31.109937294443057
129,37.1988755008089
130,40.30665947965849
131,42.06102320891319
132,41.562461950713626
133,38.60253129315725
134,39.851011620090794
135,39.78818794049232
136,39.00371880872922
137,39.80129986535321
138,40.50438090542149
139,41.05546050122084
140,35.29801781235892
141,31.99671250715622
142,32.19709121313959
143,33.060081747838474
144,32.89887681472079
145,6.757520754610543
146,25.005336012696905
147,31.21357161993329
148,32.68535070087077
149,27.06854755847992
150,31.524459737029918
151,33.22469618297836
152,38.59411028868296
153,41.516785597142466
154,41.58967888833134
155,41.85586883276556
156,43.87728716427173
157,43.604908781306555
158,42.241009092341734
159,41.91671162203959
160,41.51099426234264
161,41.75087671800247
162,41.89682606420465
163,42.50050576802713
164,39.37975353873057
165,34.38158604648221
166,28.52676131057882
167,29.22072946951756
168,28.1702403122021
169,29.064675663434812
170,29.432530779290264
171,28.401134085567616
172,28.18404933563028
173,31.82129234580896
174,27.082314830651505
175,30.043114329327786
176,30.808919818201808
177,32.83503015579516
178,33.9439120107355
179,33.16997292631592
180,33.33034593494769
181,30.07698477080704
182,30.17656225592052
183,27.874094682517548
184,28.306949104854723
185,33.520984777573304
186,35.03715954623226
187,33.24755437956184
188,32.23628290972965
189,33.420325356844145
190,33.84305446102122
191,34.732686245849806
192,35.43366312000653
193,39.60881582138608
194,38.899244000043495
195,38.261427355425894
196,39.138459691208496
197,41.01298262460352
198,41.95841414777689
199,41.75423394812904
200,41.23426329369789
201,40.422944322219365
202,40.50106679872398
203,39.40510544957166
204,38.351817455710005
205,37.356761258391835
206,37.25984155207502
207,39.010276579939706
208,38.941882941801346
209,40.85949009329564
210,41.80671862974413
211,41.263518080370275
212,40.58102182618324
213,39.70440281093708
214,38.496106085893906
215,37.82804755675791
216,38.346620507932684
217,37.97351784786921
218,39.00725935678892
219,38.88826230464123
220,38.57162340671629
221,38.399481380782724
222,37.35842656003792
223,40.15507383006942
224,41.96069032459639
225,42.325012177605686
226,41.59648856636711
227,40.37835246350127
228,38.2359075505279
229,37.315097934223495
230,36.966838863538946
231,36.355257944571946
232,36.741887206251796
233,38.59097275381645
234,39.053480935419245
235,39.262853022676055
236,37.92991388389783
237,37.46708207507269
238,37.718782484793365
239,36.995168438924615
240,36.67772899984397
241,36.6176699423497
242,36.99200158672668
243,36.99356775795043
244,37.19759715131635
245,36.8453314508157
246,36.02481043713877
247,36.52583111824144
248,36.75557807558422
249,35.29136621181128
250,36.33694600224847
251,37.998316398886224
252,33.312536893883816
253,31.471237918598245
254,30.869952935038935
255,32.16688801661838
256,33.54472963574213
257,35.94143034224293
258,37.17153993120404
259,36.061663784844725
260,35.98753608463847
261,34.55691860697788
262,34.68365382564659
263,33.904403415278225
264,33.55478013275762
265,31.874108946766004
266,32.80443699809948
267,35.17373975979239
268,35.37749850973261
269,37.36165635065801
270,38.04635153612667
271,40.637895739580145
272,43.376367724872026
273,47.575721217943496
274,48.80418309522459
275,45.89982405231399
276,40.87286544816723
277,48.53681542099907
278,46.91704066194491
279,49.62193933098652
280,50.457613722375825
281,54.505163706645504
282,55.64299937886669
283,56.10035034393707
284,54.97114601715447
285,54.856063499431635
286,53.54914639994138
287,53.09242189699663
288,53.931580954552096
289,57.478104446139405
290,56.23761555277604
291,53.57483669516692
292,51.29194632638424
293,51.32035900979041
294,53.23723062265239
295,60.9959103662588
296,62.99653622038578
297,61.724338383457
298,58.765051766647396
299,61.357607351094565
300,56.73174532987208
301,56.62573520880443
302,55.88487447119536
303,51.46453842394837
304,50.95260033770827
305,49.306481504244395
