,angle
0,172.51043619723754
1,172.39926529455025
2,176.9409578903509
3,172.72984706290234
4,173.22133218087333
5,174.30437800646854
6,175.56391811814873
7,175.88097708767427
8,176.6813680660888
9,176.9922445158723
10,173.83226316731108
11,174.33287327281028
12,176.5172116085276
13,177.6737914715008
14,179.53339725912568
15,178.74430450929717
16,178.55672657162907
17,178.47209120359483
18,178.33325889015532
19,178.83701392729057
20,178.93497982883565
21,179.30770757107118
22,179.31433197251755
23,179.37174742422718
24,176.89030827146007
25,176.76145844698524
26,176.52015859331001
27,176.25160195063555
28,176.49572728824288
29,176.69147170341282
30,177.15370263151644
31,177.6083769927418
32,177.75344095621278
33,177.9975179177841
34,178.0211831516619
35,177.96896442506917
36,178.03882047042288
37,177.6285541753717
38,177.84288746601663
39,178.0557069386024
40,177.9541171529103
41,178.11873279363851
42,178.02943778417705
43,175.65291510920713
44,174.90012549999275
45,174.96144522647887
46,175.40807138789432
47,177.0450829498014
48,176.4356955018413
49,177.18726627214517
50,177.15624486550976
51,176.54573412957012
52,176.62054013784072
53,176.6701543018817
54,177.50788386956125
55,178.40320948479803
56,179.02313164591166
57,179.13614619855034
58,178.79493363586093
59,178.47389642136966
60,178.66621865115482
61,179.3450689934037
62,179.8538592585639
63,179.2991262877156
64,179.0938187607378
65,178.05358184284253
66,177.7689620140803
67,177.3394534394168
68,177.07444484433688
69,176.83338003140554
70,176.85829636835987
71,176.91948790189167
72,176.56959904859633
73,176.45548960585833
74,176.15129686239302
75,175.99198934577856
76,175.7423150890238
77,175.3955534897555
78,175.15625644782463
79,174.9713093344995
80,174.92257653054958
81,174.50209788559883
82,174.27383603670754
83,174.29881918068034
84,174.41837059990755
85,174.64625286304886
86,174.7114377842386
87,174.72353215639873
88,174.39288060531348
89,174.03555169115103
90,173.66661918587275
91,173.39815024179276
92,173.25658870200033
93,173.03974270458062
94,172.6788235858505
95,173.58049278663924
96,173.72684855330235
97,173.52972825179012
98,173.44005526764047
99,173.49924649115167
100,173.47394059449687
101,173.48598356534495
102,173.58196002275503
103,173.63388609226902
104,171.68723653219286
105,170.13539051133858
106,169.75408131617
107,169.1358186360627
108,169.76181300793945
109,171.86881574853942
110,173.31114461817523
111,173.4529045384693
112,173.69852427545078
113,173.82656851677567
114,174.60312586091902
115,176.18671512725336
116,176.3936798782348
117,176.70637099928115
118,176.22910974524368
119,174.71891412980492
120,177.57674514651947
121,178.15386908017493
122,175.1150592139745
123,173.33871590794584
124,178.25322513108344
125,177.66204861884103
126,175.76209319570444
127,174.92298859139075
128,175.9985291935522
129,179.24809252002046
130,179.70480827460966
131,178.62441838545604
132,178.15643973097892
133,177.85006365678385
134,178.30274897167953
135,177.91898696671217
136,179.24073526315146
137,179.500611973816
138,177.62593533173973
139,175.63461082117763
140,178.2687318976391
141,179.3627881942075
142,177.92972157242545
143,175.1915182316526
144,176.11883542976568
145,177.36620252388457
146,177.50502449606554
147,179.97032455755334
148,177.4382693391337
149,174.32555661321885
150,176.15123959081959
151,179.08813432401843
152,177.07770318942784
153,178.5239774503325
154,178.62428837621096
155,177.78418621134034
156,178.25976387864054
157,176.80783304613337
158,176.15569310654737
159,175.07887750475726
160,175.1088531056714
