,angle
0,108.43384287297324
1,109.31378262204973
2,110.29077195652239
3,110.80399876815011
4,111.1536765905418
5,111.38421261352931
6,111.53427936212893
7,111.4925652083025
8,111.45558199335866
9,111.47195875409608
10,111.60319526710529
11,111.68489324532169
12,112.11671989551303
13,112.31441491758383
14,112.48354066020082
15,112.69118323307652
16,113.04403344623123
17,112.9793031584823
18,113.0669825796819
19,112.93802324461915
20,112.89483370566043
21,113.00706514174772
22,113.01940518253227
23,113.05696802164564
24,113.16378538675716
25,113.20484154160005
26,113.19185688129701
27,113.19069702969469
28,113.196902642987
29,113.2139146544244
30,113.21837566182603
31,113.2696181778561
32,113.30759192109284
33,113.3588144249023
34,113.36831397777812
35,113.37643670849016
36,113.38197936793364
37,113.36693895820127
38,113.440939659896
39,113.37341446414337
40,113.35083608914064
41,113.33486178760967
42,113.3122028733763
43,113.28786158217562
44,113.31882846885028
45,113.33201290709556
46,113.35394989247396
47,113.35125682073414
48,113.36230590650396
49,113.30761403927298
50,113.36206813027553
51,113.44950584872794
52,113.52407284587284
53,113.53365059229515
54,113.50291198941596
55,113.44550052549619
56,113.39684026869816
57,113.4115558283032
58,113.50081688748139
59,113.50541712349218
60,113.54360232804424
61,113.50806100601613
62,113.45700917708365
63,113.3633237732821
64,113.3141190402086
65,113.20349435571049
66,113.18621277939178
67,113.12488026723881
68,113.09576066915776
69,113.09286969810006
70,113.06326120422708
71,113.03691476477212
72,112.9527773215184
73,112.94261683349347
74,112.8210843310508
75,112.76836027731287
76,112.72181899221675
77,112.687402807539
78,112.64563442164172
79,112.55908406085027
80,112.46759943680951
81,112.4298670578334
82,112.49343459945223
83,112.54860313996122
84,112.6010079942063
85,112.64103052810862
86,112.6739912336181
87,112.80186115475689
88,112.9365271844853
89,112.85465910768667
90,113.01773631583578
91,113.23085332055973
92,113.29702596278986
93,113.45778006137394
94,113.56441470048051
95,113.54074994573915
96,113.54781868853627
97,113.52681697931789
98,113.4367461611869
99,113.43374831452783
100,113.3606686537617
101,113.36038531759183
102,113.15320306759767
103,112.84376961625594
104,113.01316638540507
105,112.9215344746809
106,112.67456795147095
107,112.29572210111672
108,111.60744228482235
109,111.77351807457174
110,111.85855028031088
111,111.75877100814412
112,111.66556940538555
113,111.66708118583645
114,111.60931174396472
115,111.42452988329052
116,111.28088802875604
117,111.18129874737662
118,111.07742982486417
119,111.25638521905222
120,111.33305793841384
121,111.34100329315532
122,111.26625309079924
123,111.06966549240576
124,110.89048717230239
125,110.54143165857803
126,109.72033748237983
127,108.56634989734013
128,108.00501182113751
129,107.52641668510248
130,107.1927168196192
131,106.48255276824253
132,106.29470199841674
133,106.41192075834496
134,106.06812760503904
135,106.54672182785303
136,106.5718921376367
137,106.67986852052255
138,106.82880018114001
139,106.76447215332348
140,106.40231963289754
141,106.178024823217
142,105.45398641426557
143,104.99109908848102
144,105.00681656648123
145,105.33340936755708
146,105.61434694489513
147,106.0172715571895
148,106.17474216929176
149,106.00122018464675
150,105.96007637317668
151,105.73428394241286
152,105.25226850675705
153,105.0625457538497
154,105.24144386828657
155,105.61040777393585
156,105.84330898933955
157,106.1972482752544
158,106.37061992387353
159,106.65856129086724
160,106.8684645146598
161,107.36458926256165
162,107.58994905356408
163,107.91766348382333
164,108.16925390785438
165,108.11651541144747
166,107.9003531995693
167,107.13181949590832
168,107.09868982381539
169,107.02208672706023
170,106.8966720299687
171,106.79767792242052
172,106.75772134342003
173,106.7849653011961
174,106.79639773643572
175,107.20080474871115
176,108.50713714913262
177,109.61234655140417
178,109.75601492457713
179,110.1955130744135
180,110.59424185624852
181,110.52139406548895
182,109.97462517645664
183,109.64170909779347
184,109.48066119382966
185,108.8532888981228
186,108.92130222486395
187,108.91289216699585
188,108.89268675194941
189,108.82916216391499
190,109.26570831492921
191,108.7174886116471
192,106.73265707665084
193,105.2409908776564
194,104.73417982275787
195,105.22197348470912
196,105.6416202440495
197,106.06070071565962
198,106.18788550704878
199,106.53845525525054
200,107.16234894215319
201,107.28616273500398
202,107.42385252543387
203,107.4653616626494
204,107.54274446503325
205,107.42055519830222
206,107.30865926587914
207,107.16917795320306
208,108.14156715653354
209,108.7157037481091
210,108.2636795884697
211,107.81307256546265
212,107.79627432146319
213,107.54303358426246
214,107.23900935603476
215,107.1680021212539
216,106.76364694242962
217,107.23862845041688
218,107.62171070751903
219,107.82805425482205
220,107.95875032907645
221,108.54839971727385
222,109.23051261270643
223,109.6805811893542
224,110.06162255104499
225,110.10617886893974
226,110.09217602664347
227,110.00979920975878
228,109.92148831214497
229,109.80903120944042
230,109.7000185591491
231,109.5576583447956
232,108.73769454556927
233,108.63618573221476
234,108.63240597776063
235,109.423913117995
236,110.34517832445177
237,110.77654636191033
238,111.32186487574154
239,111.56606902304986
240,111.63349264445554
241,112.26059706687954
242,112.33785189286343
243,112.34707356495852
244,112.23431094311425
245,112.24553087415657
246,111.60462671526619
247,111.41824419338744
248,111.42574156764823
249,111.60851812464514
250,111.93620110290146
251,112.31823243440084
252,112.49723205130329
253,112.58026772753391
254,112.8084959200543
255,113.10006532760826
256,113.29512587975131
257,113.55402394042204
258,113.6178783561547
259,113.55926843730168
260,113.32504593657208
261,112.76557681901792
262,112.64603859923398
263,112.52464636325814
264,112.20829133115532
265,112.13157552651808
266,111.89135234098123
267,111.81139550442307
268,111.60899228119177
269,111.38253916241612
270,111.24428372696133
271,111.19479623185163
272,111.06574786755095
273,110.8923331763504
274,110.79564056281308
275,110.63367175174011
276,110.60234885103057
277,110.66440798431387
278,110.64205833125135
279,110.29301718943529
280,110.23382605193879
281,110.2411169839379
282,110.14045481282727
283,109.95307498206543
284,109.667139378061
285,109.44291877017676
286,109.41332744623622
287,109.41626075097449
288,109.39166650507389
289,109.37684387950156
290,109.3751032612073
291,109.40212940673868
292,109.46394766192836
293,109.48042842107051
294,109.55098292391014
295,109.58773435314333
296,109.80882044632122
297,109.80846850314089
298,109.89877453293403
299,109.97110415066228
300,110.25526247086663
301,110.5418807439718
302,110.86465167547212
303,111.26911495614081
304,111.5976886482292
305,112.00842864218734
