,angle
0,11.318788088266157
1,11.379870898024945
2,11.391760041545643
3,11.495760798009464
4,11.741443891462342
5,11.934740205802164
6,12.028244493307534
7,12.069206910359533
8,12.103755821760853
9,12.158655565625677
10,12.227667424832823
11,12.25083242710456
12,12.236134465843945
13,12.211230975159854
14,12.193588023932676
15,12.136772617772412
16,12.066943491585155
17,12.040776328541481
18,12.038970580275802
19,12.04016041492174
20,12.059498126310706
21,12.180761250368759
22,12.268232396216078
23,12.361976468993648
24,12.469535845430446
25,12.618866151299391
26,12.70651798227091
27,12.74846505800989
28,12.791796176985446
29,12.829316975840863
30,12.892996908542672
31,12.91599445000145
32,12.932107147300885
33,12.903831392969535
34,12.904578420385192
35,12.866320960336457
36,12.77159976990077
37,12.718835436872935
38,12.711831892333647
39,12.706661036213518
40,12.690292901242735
41,12.695023952492301
42,12.703211514293566
43,12.71297904217891
44,12.744785519732137
45,12.754565447224568
46,12.752928689060896
47,12.749893181518791
48,12.71302824056919
49,12.709671258564613
50,12.699241294638519
51,12.701584335577095
52,12.776041104796313
53,12.831292329202622
54,12.861032262886367
55,12.896661267861102
56,12.83389805106645
57,12.828231666159295
58,12.880469041671573
59,12.931873278922634
60,12.964154202507693
61,12.972968433413373
62,12.98456882950874
63,13.00221136958863
64,13.009526421364273
65,13.013309652346114
66,13.046362211220885
67,13.0192918096671
68,13.000995464297228
69,12.992888868180936
70,12.974007216770843
71,12.961768566216696
72,12.936324259401209
73,12.912315206908596
74,12.874899021672448
75,12.859891889312838
76,12.837653336337153
77,12.833459222244622
78,12.839628041899312
79,12.842044194952614
80,12.85124436580993
81,12.921787466084732
82,13.127404507384727
83,13.243170348989409
84,13.277252853690047
85,13.287015996481118
86,13.253228401815381
87,13.221908723205303
88,13.164565555425396
89,13.058392529054272
90,12.990605014743569
91,12.846952840031701
92,12.750651145096052
93,12.696071153704017
94,12.660027531113695
95,12.601383870472898
96,12.6649500608867
97,12.56137105054331
98,12.394281695886752
99,12.351436498175673
100,12.316361753230305
101,12.341797317277113
102,12.408253783266566
103,12.486640328538853
104,12.555545588488568
105,12.70683969253659
106,12.87742210341352
107,13.061296814584379
108,13.080425432611518
109,13.03555011966294
110,12.943368456924116
111,12.94445433780894
112,13.014162618553994
113,13.11016666876487
114,13.159886360393019
115,13.173455421642945
116,13.116598352181148
117,12.909690420674252
118,12.830914506785465
119,12.864628772470024
120,12.815106587244822
121,12.822401089349828
122,12.769472852323855
123,12.725616948697787
124,12.736421910171796
125,12.861684996705147
126,12.740926401616548
127,12.578050118113211
128,12.639218705857296
129,13.023504483823185
130,13.050524450695107
131,13.047560774951535
132,13.185806071963295
133,13.199364378053131
134,13.194417567064036
135,13.194244457814875
136,13.172603162582634
137,13.202862237863277
138,13.213476173896721
139,13.270574070463287
140,13.34740309257785
141,13.27065464516093
142,13.204920876666028
143,13.11793063337153
144,13.138637490814167
145,13.18987175653814
146,13.179051364323604
147,13.12895207409643
148,13.11878778475459
149,12.99261347840917
150,12.959208161410446
151,13.044041621557726
152,12.909950912970059
153,13.033323846723503
154,13.531611147095967
155,14.107731518689144
156,14.21569844878954
157,14.510574689646877
158,15.036524796712387
159,16.795329449955208
160,16.5805494016431
161,16.48355897346278
162,16.659945676037133
163,17.00252894591711
164,17.079970866703317
165,16.79546384676434
166,15.678906042808055
167,14.85866928641939
168,14.372530996703246
169,13.955639594779086
170,13.411477204875373
171,12.939319453364497
172,12.749378474462377
173,12.548065477592603
174,12.396324648938098
175,12.319993063777101
176,12.46403651235286
177,12.502313823526594
178,12.312810771404406
179,12.13544568612456
180,12.034119513330614
181,12.242566332595713
182,12.373166107415749
183,12.375995687979382
184,12.835399530895595
185,13.566555105330822
186,14.101099497979302
187,14.563222174198538
188,14.755035365370642
189,14.817450795488979
190,14.776260788168019
191,14.737724655981763
192,14.25451744081123
193,13.653861192333107
194,13.222724718827596
195,12.903589460328986
196,12.420234645610668
197,11.940827754683284
198,11.6469574428383
199,11.633562385276493
200,11.804704667601788
201,11.970716743739215
202,12.169006989684073
203,12.222067639074968
204,12.25400075379379
205,12.601217773240483
206,12.801746792964114
207,13.37396055675268
208,14.23888120692888
209,15.0753624384218
210,15.15607806603259
211,14.92852952923314
212,14.899726250373085
213,14.936620807568666
214,14.858574670199296
215,14.623592726381121
216,13.66125822751733
217,13.7297788488475
218,13.5419784242595
219,13.150012333447297
220,12.791217101769757
221,12.371819247869837
222,12.15148527310829
223,12.18260266438354
224,12.108900696588917
225,12.074392579340223
226,11.985859577927425
227,11.94999230239162
228,11.923328316607744
229,12.027024754223206
230,12.239923536942555
231,12.832205277281389
232,13.24049989052996
233,13.33945053320896
234,13.317812535648256
235,13.325276039835362
236,13.314158314785365
237,13.239882331040242
238,13.1378011557429
239,13.018594509384146
240,12.794040716836047
241,12.299268327734053
242,11.839233604579995
243,11.512962223722804
244,11.460246154796558
245,11.308528543629594
246,11.161630014291685
247,11.099829902110667
248,11.040892117405841
249,11.061588214330486
250,11.235074504536811
251,11.418193220774075
252,11.42297997615017
253,11.448308883563753
254,11.565210292022458
255,11.800586490987895
256,11.968277967352043
257,11.967893873947977
258,11.960607462337263
259,11.960348775090447
260,12.133284939686718
261,12.25972854674981
262,12.337156076215324
263,12.299950620817244
264,12.320351373827128
265,12.643918677828744
266,12.84950839264373
267,12.898417698106536
268,12.970697017525724
269,13.071792055764945
270,13.221284540047746
271,13.440869182012271
272,13.403609883465982
273,13.269512033677158
274,13.24773421622669
275,13.27311400373677
276,13.311746416144024
277,13.304900940890272
278,13.343003331678128
279,13.345207294780158
280,13.448522955255095
281,13.35590610382247
282,13.273604216895919
283,13.272940808066924
284,13.330349809717775
285,13.38991265911659
286,13.421670156230162
287,13.434036935207812
288,13.37240542141814
289,13.285916268773649
290,13.155582502485714
291,13.100264845560819
292,13.06036977774307
293,13.102508718752656
294,13.173577284891293
295,14.445275669657427
296,15.640686495192552
297,15.87715776476965
298,15.761584762904363
299,15.327586616909823
300,14.645040239794369
301,14.12752746090894
302,13.824889575384987
303,13.576980392610443
304,13.12267051993139
305,12.767650218946345
