,angle
0,36.95797507241384
1,35.59476299126945
2,34.93707605715468
3,36.52186291621468
4,37.53542323997168
5,36.43080313451196
6,35.851515897408575
7,34.84714527231009
8,35.189402390271844
9,35.36734154831227
10,35.42623073286706
11,35.47771091406556
12,35.586421968841776
13,35.39789015302786
14,35.11939182136068
15,35.164469315843455
16,35.47108559740573
17,35.994049818016684
18,36.261784857334895
19,36.084321171739525
20,35.968508678096235
21,36.15906649523793
22,36.53508272729359
23,36.95811941495961
24,36.06996144533852
25,35.67867216768573
26,35.80144006781514
27,36.04964566263145
28,36.100294851071126
29,35.99169769618821
30,35.86573010067174
31,35.45358614889549
32,35.05959665781339
33,35.00981726688737
34,35.106127568118815
35,35.449407039695046
36,35.86396003967743
37,35.81667940734404
38,35.82104832102431
39,35.706460896071
40,35.53755818350988
41,35.59132518309671
42,35.42912945963659
43,35.505168317307195
44,35.65691445892159
45,35.61743869685379
46,35.71486959395362
47,35.69604036354413
48,34.91255951344925
49,34.59670841192145
50,34.76147345814315
51,34.76284000997012
52,35.133866860405725
53,35.26180228869793
54,35.17994207030848
55,35.32139842002826
56,35.23715680526849
57,35.062841348466065
58,34.76555626451421
59,34.619618301604945
60,34.59031632152554
61,34.56017745579035
62,34.702561798050894
63,34.73806781780177
64,34.488960386381954
65,34.12450242917321
66,34.10759903576681
67,33.84019724252196
68,33.80681396660557
69,33.931306338893535
70,34.103886485546276
71,34.167070533001386
72,34.209969007836555
73,34.440864106692054
74,34.64015583414131
75,34.79364586925507
76,35.17605080817753
77,35.47914415528905
78,35.83468742574033
79,36.421535059047784
80,36.944162669705186
81,37.11201752515868
82,37.32929959280671
83,37.19033200250145
84,36.94566042913099
85,36.87686560538021
86,36.641384610880614
87,36.878649177546166
88,35.98062700589669
89,34.817650596623565
90,33.3442982229819
91,31.49903690318367
92,29.49487172352396
93,28.875548712560533
94,28.79205986947802
95,28.806780901763066
96,29.81914762889528
97,29.95321633622257
98,30.79903961144797
99,30.337315942068226
100,28.441269464660124
101,27.777506348554358
102,27.081603616856874
103,29.373099836995365
104,32.563684248430235
105,32.63300567446088
106,31.26502898808194
107,32.92784159179765
108,33.93084116210125
109,34.090626612342
110,34.115151299406556
111,33.91200481608849
112,33.98030993920539
113,35.05906181391665
114,36.591466628484234
115,37.065485578988195
116,36.10868718688591
117,34.245511818701665
118,33.985148180162874
119,34.51875496229973
120,35.27561267454762
121,35.67191424248552
122,36.69413437039874
123,36.660467228312264
124,37.26460246649372
125,37.43258768202275
126,36.314702463129
127,37.42150248959124
128,37.54500747802246
129,36.929545134387595
130,35.04424965226159
131,33.08641961857669
132,31.1849876992692
133,30.85077584355128
134,31.97117406932368
135,32.05998922311717
136,32.19033007766658
137,33.635481574010036
138,34.128653291520216
139,35.59563231286936
140,36.933253594150344
141,36.578159152011786
142,35.50102943265904
143,34.7707594862956
144,35.37017248836218
145,35.66896932339598
146,35.31015922010462
147,35.42499004565677
148,35.3754998624622
149,33.90878418670082
150,31.856883432051045
151,32.458342740003694
152,31.572636218827622
153,31.645774580076967
154,36.9202086764379
155,38.760617501193714
156,34.97841066436132
157,32.613378720912586
158,32.54495691584716
159,31.95693768199753
160,31.79136122489226
161,31.799313916839708
162,31.9791336883459
163,33.36055827912864
164,34.81584585201099
165,35.6940281005085
166,38.38880284333133
167,37.29185802480908
168,36.423749699720204
169,35.75738517306927
170,36.0011419795238
171,36.41376632067817
172,36.35526724764149
173,36.892217192552124
174,36.86146720122422
175,38.47198141631285
