,angle
0,5.842130124802401
1,5.777352023339835
2,5.589422440870578
3,5.207095948532824
4,5.604041850170823
5,5.5986537042898155
6,4.467593255736469
7,3.8147479443480665
8,3.332782665021356
9,3.0113786679869454
10,2.7673716740522485
11,3.0333950654824724
12,3.371462602213194
13,2.3180449953368174
14,1.8349175160947628
15,1.7749653703333923
16,1.745029187451098
17,1.6473144343725339
18,1.591142929638942
19,1.4503594548953729
20,1.7077508852344572
21,1.902420354319489
22,1.8688529239477898
23,1.784394275244139
24,1.8947330059222787
25,1.9746686284711377
26,2.1816867132695306
27,2.3556529387339857
28,2.4764224279131355
29,2.5380497978344416
30,2.6151301461381817
31,2.7405713980180804
32,2.9318205352569953
33,3.0933329488273147
34,3.246224022038541
35,3.2844120078392622
36,3.278754143778796
37,3.3089303054484462
38,3.35615404226565
39,3.3545962701380145
40,3.3184653711139735
41,3.365529568330046
42,3.4928493087599137
43,3.385491785275224
44,3.2601048498281795
45,3.1075953646625383
46,2.7801574262657205
47,2.618306483524318
48,2.320049665789066
49,2.162970430932826
50,1.992354154309787
51,1.9270974031543424
52,1.756868784505618
53,1.798630820698758
54,1.8350141185139286
55,1.7818936918968558
56,1.9569511900322876
57,2.247451691894237
58,2.4359422086109324
59,2.593467930897471
60,2.440730094969791
61,2.440262743661692
62,2.4816000116796477
63,2.431607679938624
64,2.3376817710104905
65,1.995545181518952
66,1.7539301663875233
67,1.5487950303288076
68,1.440027451174968
69,1.3326132640460253
70,1.2039486023073542
71,1.1518980807726067
72,1.1134916051163934
73,1.0350817404554715
74,1.0171254469949893
75,1.046869503115982
76,1.0399443066093517
77,1.0686496976897113
78,1.124164924112194
79,1.2129602367055374
80,1.410499801862849
81,1.610156949160836
82,1.6572308977887251
83,1.7519683298518158
84,1.868921751261233
85,2.414703983222017
86,2.140695901443164
87,2.0919547947231
88,1.6567927541051495
89,1.9516113806998787
90,1.9757319014185468
91,2.630898253097057
92,2.8677381360711385
93,3.3002808607799046
94,4.044895450323206
95,4.5885323052206175
96,4.648357388025822
97,5.057164760572947
98,6.014541307023103
99,6.893878037215913
100,7.698829274373837
101,7.907641698638233
102,7.708533114092729
103,8.154137811582189
104,8.35970031449803
105,9.524180353977087
106,10.301720796327738
107,11.53671720190543
108,11.478217218856534
109,9.745674816515907
110,8.981816243751215
111,8.247959240518854
112,8.32989118329658
113,9.271885203212738
114,9.933498662099632
115,9.867166832334595
116,9.318382542528568
117,7.756267805395144
118,8.445239992786881
119,9.962308115887666
120,10.017786538815116
121,10.523426406515153
122,12.091939510085522
123,15.032348557034922
124,18.001786113038467
125,19.673823276262663
126,23.366420362491855
127,25.254926547614758
128,29.0663921602486
129,28.86624795626052
130,31.956057642463723
131,36.729368717252484
132,47.62707725541391
133,57.722484409983466
134,61.25487144577014
135,62.370767862252045
136,60.84447042334837
137,59.8505451649673
138,63.13978588380741
139,64.69290962723304
140,63.44903390148026
141,54.601154628719286
142,35.77504969446351
143,32.3544988653764
144,25.731794114204675
145,23.62818669931327
146,22.004319009396553
147,21.538862734291904
148,21.738933366829695
149,24.400852457507952
150,26.364045862671297
151,28.446263333134144
152,31.609627844705553
153,35.556878075740734
154,40.36692592781444
155,48.413429827996374
156,58.124908497444366
157,69.0450437841542
158,77.91758795728799
159,85.64396040844136
160,90.84131801813155
161,93.59669319913883
162,93.86729578125723
163,93.713555620818
164,92.86887808731366
165,89.90801961135251
166,76.57045580945424
167,56.049484079250654
168,43.43924848751056
169,36.777329776318574
170,32.30468735826076
171,31.041297710071504
172,31.31095758198418
173,32.813500784824484
174,32.57261261109658
175,33.2414847513808
176,35.95515319545672
177,41.079219354154894
178,47.22103610842562
179,54.15603741577399
180,61.17067462623172
181,67.49202386617812
182,72.5339969422642
183,77.0573770451574
184,81.35712146577544
185,87.5465997448707
186,92.45369270159843
187,98.73415159156217
188,102.8124980711836
189,98.4233648578975
190,85.31390251870556
191,72.52991538762015
192,51.23257431129649
193,37.236409955755214
194,28.935738862729057
195,27.038998470858363
196,25.077470411950603
197,23.598373164959387
198,23.38602705366557
199,23.482601203864828
200,24.589845440609924
201,24.817686358689464
202,25.467517666147906
203,26.22398876676696
204,29.25875377056872
205,33.37191849706247
206,41.3429590054952
207,50.49856138346884
208,60.4487772338837
209,66.87579706322748
210,67.87136485457255
211,57.46103692929054
212,36.984914148036424
213,23.66438634054215
214,19.259164896882893
215,19.05577486210974
216,18.559116530243966
217,20.174957993070624
218,17.31360748603483
219,17.56924365761039
220,16.291662639644574
221,15.371053100092135
222,13.755294837974306
223,12.927585180008165
224,12.728425004007605
225,12.959420498718766
226,13.546100441888312
227,13.83609094356808
228,14.820936388587372
229,15.74938780157731
230,18.100388014550358
231,17.97455104733329
232,18.31237680784026
233,16.901788266021956
234,16.417575412802442
235,11.852722799215659
236,8.030546540483614
237,7.034509212785775
238,6.969219180464325
239,6.658247687671489
240,7.668867618931957
241,8.284910605057158
242,9.978901357905453
243,9.897169763148629
244,9.32210183441992
245,8.648306815183254
246,8.867731147872759
247,8.369983210516281
248,9.325115480114636
249,9.784926898560986
250,10.278298912886841
251,10.202982993152236
252,9.96123435376492
253,9.693829114938474
254,9.224235467633331
255,8.565530004132684
256,7.0639760225057024
257,5.11056952705682
258,5.7348829462460955
259,3.947100594650973
260,5.969942804130904
261,7.081871463058417
262,6.742567911479459
263,6.486352864117942
264,6.106394425357967
265,1.4175867251720182
266,1.3418721342560762
267,4.591463557554953
268,4.7965799097005934
269,7.556312402810633
270,7.528590903308017
271,6.362783874003798
272,5.32916058341997
273,2.3435564877009463
274,3.8389659801480702
275,2.374406763091017
276,3.0181372370256754
277,4.272624608686472
278,4.1150706671250425
279,4.037828106059581
280,4.2094964444209255
281,4.0871697462122505
282,3.763279815490273
283,3.8664710836949894
284,3.783268506763645
285,3.733452586310417
286,3.6961787768363092
287,3.6288035089829727
288,3.3928349735934002
289,3.342899375241265
290,2.8761890987156833
291,2.9298854732163337
292,3.1053218124227913
293,2.399652030388013
294,2.3788377995255954
295,3.540216999024335
296,4.708236514488112
297,6.072447877529728
298,7.1729313897338205
299,8.815354980234382
300,11.149556876795323
301,12.051764783072898
302,12.407536477431085
303,12.539755891326113
304,11.582551185052772
305,11.007450255219377
