,angle
0,168.3788875546571
1,162.76002770439231
2,161.1666807245639
3,159.2581283908801
4,157.4116465742698
5,156.18537299150253
6,155.79309485391784
7,155.8980364515335
8,156.0172029419239
9,156.52283395741907
10,157.5833810750643
11,159.09153560693198
12,159.6924628273868
13,159.90714561026712
14,159.82661610868627
15,159.88001860661103
16,159.4793952947794
17,159.5575246057758
18,159.7134635403041
19,159.7534346960891
20,159.64035462857387
21,159.2227975087575
22,158.8662337707637
23,158.67767101388364
24,158.43136837329874
25,158.11779906775936
26,157.79882994604924
27,157.62574931132875
28,157.50644756742406
29,157.45181396375412
30,157.5052978819218
31,157.66324111582057
32,157.66333573598175
33,158.02508681278772
34,158.2828307678803
35,158.18270626741463
36,157.9361942236094
37,157.66616297062663
38,157.584428381558
39,157.5940553165906
40,157.58407591575684
41,157.68127452501997
42,157.70913609129042
43,157.73780017865587
44,157.87138248947082
45,158.00265272781382
46,158.09026378157918
47,158.13129724990392
48,158.17676701652078
49,158.44204673483236
50,158.73877002166913
51,158.76789082544792
52,158.83899788645812
53,158.86257642552636
54,158.68165017309673
55,158.61386459484464
56,158.15936454602883
57,158.3772365114886
58,158.44354705372808
59,158.63564644950148
60,158.95289204850332
61,159.1167172767555
62,159.36904075184583
63,159.53249116612506
64,159.60998953681445
65,160.17503188447608
66,160.33848166784313
67,160.4096009990848
68,160.52386362903496
69,160.7242089695197
70,160.23793091618114
71,159.7695764122117
72,159.45676595503798
73,159.66065785562813
74,159.33201201043266
75,159.2042525574686
76,158.7499595504286
77,158.48130929020343
78,158.2530571274241
79,158.41239985872272
80,158.6744291197367
81,158.95805804500927
82,159.51229781625634
83,159.52160220314488
84,160.55916581928193
85,159.85398990194736
86,160.57590992295127
87,160.55448144560248
88,161.50771827303808
89,162.53418868937518
90,162.82830505897863
91,162.99107168965713
92,162.90696741694853
93,162.32590807249684
94,160.64079010922632
95,159.70195716411467
96,159.20619400936442
97,160.38809774410197
98,160.98687897933064
99,161.15720546266212
100,160.62144217809427
101,160.96358839594345
102,160.98490439256793
103,160.86854657577905
104,160.73223126298623
105,160.92946794312783
106,161.39224092574398
107,162.66201408582063
108,163.29340569321315
109,163.46095209505646
110,163.78253023119183
111,164.457232774733
112,164.89615478480945
113,165.59880995894423
114,166.10976757906028
115,165.85746422479485
116,165.52070307823647
117,164.87108334186647
118,163.75078797127398
119,162.86713272658707
120,161.83859949457784
121,162.57199896304368
122,163.14455774331924
123,163.066569692849
124,163.94659768618445
125,164.22511595683883
126,164.40843505508826
127,164.88283609045544
128,163.8717676033486
129,163.97217383658958
130,165.3403689301717
131,165.0087456902309
132,164.52817606846324
133,165.25099739052737
134,167.51491411918082
135,167.3330326163077
136,167.4168197920892
137,167.12711204801147
138,166.70706612925235
139,167.5508970031966
140,167.95079901946767
141,165.62157426604585
142,160.6220342978797
143,160.52503460464808
144,161.09208200056824
145,160.88727162398135
146,160.9837968950467
147,161.49295577582146
148,161.92868644331907
149,163.22315043804574
150,165.64619355134448
151,166.73614871595274
152,165.5911435324595
153,159.46056738952893
154,157.41844085892455
155,156.8928729952528
156,156.17490600771228
157,156.12380055347057
158,155.93674885273137
159,154.66950813068783
160,154.2943175222624
161,155.86157690881046
162,156.64712772071067
163,158.5637568664605
164,160.24139257335017
165,161.778354828443
166,161.99256235518916
167,162.88672600729421
168,165.77916520765515
169,167.94354622864677
170,168.7277019642775
171,168.5299299361714
172,168.13234119692618
173,168.28789956641953
174,167.9982920116962
175,167.7991088280941
176,167.84977884000162
177,168.30319756797218
178,167.85984700208073
179,167.5902991342371
180,167.25681337684043
181,166.62123278569553
182,166.3697884424139
183,166.28738613798575
184,167.17252583721353
185,167.8102399442019
186,168.17508503745293
187,168.28762010581275
188,167.63240334489458
189,167.62325933057957
190,168.0210403972842
191,168.45977972507495
192,168.7851612994441
193,169.07869150332667
194,169.3137568485466
195,169.06241259357589
196,168.3829471864991
197,168.17346679523064
198,168.20809681746906
199,167.8619642535211
200,168.31752488655334
201,169.3702983382226
202,169.5187566399973
203,169.32892234460033
204,169.1367798113117
205,169.15810126346798
206,168.85910477805697
207,168.90340627375326
208,169.10207466808453
209,169.25536168599274
210,169.14457798385405
211,168.63972049082034
212,168.15053367119884
213,167.68852107071126
214,166.53863058424244
215,165.18400079073558
216,164.00895369050374
217,163.84598730042882
218,164.46703699999622
219,165.0038805196578
220,164.63051702552434
221,165.35531365138576
222,165.40595968738347
223,165.4436166752562
224,166.0419567996676
225,166.37402373592178
226,166.35385528372225
227,166.27181929327236
228,166.13401430357627
229,165.73931194901544
230,165.83286089657207
231,165.8827581852106
232,166.13820273977944
233,166.88590778539358
234,167.04487560174465
235,167.64842875481594
236,168.45808711410376
237,168.7572650768806
238,169.16387718487883
239,169.5019088046774
240,168.8920601374945
241,168.46346828664008
242,167.95402582691335
243,168.0173590498825
244,168.03524090331516
245,168.22932735266167
246,168.1652137995723
247,167.9636182505607
248,167.62021214529094
249,167.11288725183013
250,166.44852109505393
251,166.10005340512654
252,165.46747421980163
253,164.85696035270357
