,angle
0,105.6308490282052
1,106.0799449195029
2,105.8599381008991
3,106.34167287731066
4,106.4434785495784
5,106.39658336935871
6,106.25955596677512
7,106.1459754362911
8,106.10514575700488
9,106.09080120872682
10,106.08378250963835
11,106.11043260907074
12,106.07783298505328
13,106.09212966600029
14,106.113352427388
15,106.12858585658692
16,106.14558172728607
17,106.23708692112072
18,106.24751270436808
19,106.23956832628913
20,106.27908335840235
21,106.29633351447508
22,106.30842002940847
23,106.32200476122578
24,106.20926991812944
25,106.08955821297639
26,105.91050548767019
27,105.73658823698689
28,105.70953744540066
29,105.68822466445647
30,105.66760365359119
31,105.64094932944867
32,105.59683076494231
33,105.59691895869256
34,105.57351947710849
35,105.57001464040574
36,105.68246851745796
37,105.71639925139557
38,105.77957719913084
39,105.84183237694931
40,105.94620661267236
41,105.96184390491081
42,105.98117622871385
43,106.01113651314766
44,106.03736997487792
45,106.06416417811617
46,106.06206953392483
47,106.05579980423535
48,106.03618889733488
49,106.03461198268643
50,105.97192511995492
51,105.9243415860301
52,105.92127198373171
53,105.90506572000959
54,105.89408792308859
55,105.85092228557198
56,105.8212398539189
57,105.77609416856569
58,105.735491031087
59,105.662973048868
60,105.67086984026444
61,105.66205315250846
62,105.6710765932072
63,105.73908218110124
64,105.78594576218703
65,105.89948530465118
66,105.92968067995064
67,105.93949546141299
68,105.92479976280315
69,105.69964049239726
70,105.57846711685784
71,105.47428373244016
72,105.48406580906091
73,105.46544005379374
74,105.46778530725123
75,105.55378942046765
76,105.60217387957388
77,105.6160130882588
78,105.63536602632823
79,105.66441606302094
80,105.67068911276843
81,105.59635888177668
82,105.49946560030412
83,105.56957377874764
84,105.58715673265509
85,106.04142757149536
86,105.9749346267463
87,106.14514250958487
88,105.44425731268933
89,104.33580485638355
90,103.91053487816507
91,103.70224191175696
92,103.6491471906202
93,103.07600415077124
94,102.74660843251517
95,102.67636418216173
96,102.72895121938092
97,103.05308644840959
98,103.1711548990704
99,103.39691558021087
100,103.57020416406836
101,103.5739154565143
102,103.56560930685724
103,103.53671557073798
104,103.48081513542995
105,103.45635360449812
106,103.48704825006124
107,103.636337330045
108,103.73986496234392
109,103.849713409094
110,103.95077284824318
111,104.42909490518527
112,104.5311577840335
113,103.96799153831942
114,103.47199370758428
115,103.35633694138501
116,103.20178891314924
117,103.05922419063452
118,102.8803218357062
119,102.9116811428378
120,102.77981398061051
121,102.76878535566168
122,102.82888974955513
123,103.01201621765858
124,103.27482443047975
125,103.76644913262156
126,104.78354931964168
127,104.93731523661121
128,104.77476901782059
129,104.6540689576974
130,104.48564314177762
131,104.53975935132442
132,104.6667493243484
133,104.68072935378783
134,104.86637415949377
135,105.14679330787317
136,105.14927787990668
137,105.33844558404365
138,105.54561597790274
139,105.9386597682012
140,106.15486373472406
141,106.77577884508088
142,106.81721414288945
143,106.94571170786737
144,106.99906361821574
145,107.04088524200849
146,107.15264146703379
147,107.2938368043095
148,107.50604127002849
149,107.68480921575488
150,107.54854704256891
151,107.63641547513389
152,107.30113090497512
153,107.0871602300401
154,106.88399076380676
155,106.81002192749999
156,106.47310279370215
157,106.25853693300155
158,105.93449550044409
159,105.68760583212743
160,105.4833156956227
161,105.55253375096125
162,105.43634076648904
